	en	ru
0	RAY BRADBURY  FAHRENHEIT 451  This one, with gratitude, is for DON CONGDON.  FAHRENHEIT 451:  The temperature at which book-paper catches fire and burns 	"Рэй Брэдбери. 451 градус по Фаренгейту --------------------------------------------------------------- Перевод Т. Шинкарь Изд: Рэй  Брэдбери ""О скитаниях вечных и о Земле"". Изд. ""Правда"", 1987. OCR: Петр Лоскутов (peter@mail.ur.ru) --------------------------------------------------------------- 451o по Фаренгейту - температура, при которой воспламеняется и горит бумага. ДОНУ КОНГДОНУ С БЛАГОДАРНОСТЬЮ Если тебе дадут линованную бумагу, пиши поперек. Хуан Рамон Хименес "
1	PART I  IT WAS A PLEASURE TO BURN  IT was a special pleasure to see things eaten, to see things blackened and changed. 	Часть 1. ОЧАГ И САЛАМАНДРА Жечь  было наслаждением. Какое-то особое наслаждение видеть, как  огонь пожирает  вещи, как они чернеют и  меняются. 
2	With the brass nozzle in his fists, with this great python spitting its venomous  kerosene upon the world, the blood pounded in his head, and his hands were the  hands of some amazing conductor playing all the symphonies of blazing and burning  to bring down the tatters and charcoal ruins of history. 	Медный  наконечник  брандспойта зажат в кулаках, громадный питон  изрыгает на  мир  ядовитую струю керосина, кровь  стучит  в  висках,  а  руки  кажутся   руками  диковинного  дирижера, исполняющего симфонию огня  и  разрушения,  превращая  в  пепел  изорванные, обуглившиеся страницы истории. 
3	With his symbolic helmet  numbered 451 on his stolid head, and his eyes all orange flame with the thought of  what came next, he flicked the igniter and the house jumped up in a gorging fire that  burned the evening sky red and yellow and black. 	Символический  шлем,  украшенный цифрой 451, низко  надвинут на лоб, глаза сверкают  оранжевым пламенем  при мысли о том, что должно сейчас произойти:  он  нажимает  воспламенитель  -  и огонь жадно бросается на  дом,  окрашивая вечернее небо в багрово-желто-черные тона. 
4	He strode in a swarm of fireflies. He wanted above all, like the old joke, to shove a marshmallow on a stick in the  furnace, while the flapping pigeon-winged books died on the porch and lawn of the  house. While the books went up in sparkling whirls and blew away on a wind turned  dark with burning. 	Он шагает в рое огненно-красных светляков,  и больше всего  ему хочется сделать сейчас то, чем он  так часто забавлялся в  детстве,- сунуть в огонь прутик с леденцом, пока книги, как  голуби, шелестя крыльями-страницами,  умирают  на крыльце и на лужайке перед домом, они взлетают в огненном вихре, и черный от копоти ветер уносит их прочь. 
5	Montag grinned the fierce grin of all men singed and driven back by flame. 	Жесткая  улыбка  застыла  на  лице  Монтэга,  улыбка-гримаса,   которая появляется  на  губах  у  человека,  когда  его  вдруг  опалит  огнем  и  он стремительно отпрянет назад от его жаркого прикосновения. 
6	He knew that when he returned to the firehouse, he might wink at himself, a minstrel  man, burnt-corked, in the mirror. 	Он знал, что, вернувшись в пожарное депо, он, менестрель огня, взглянув в зеркало, дружески подмигнет своему  обожженному, измазанному сажей лицу. 
7	Later, going to sleep, he would feel the fiery smile  still gripped by his face muscles, in the dark. 	И позже  в  темноте,  уже  засыпая,  он  все  еще  будет чувствовать на  губах застывшую  судорожную улыбку. 
8	It never went away, that. smile, it never  ever went away, as long as he remembered. 	Она  никогда  не покидала  его лица,  никогда, сколько он себя помнит. 
9	He hung up his black-beetle-coloured helmet and shined it, he hung his flameproof  jacket neatly; he showered luxuriously, and then, whistling, hands in pockets, walked  across the upper floor of the fire station and fell down the hole. 	Он тщательно вытер и повесил на гвоздь черный блестящий шлем, аккуратно повесил рядом брезентовую куртку, с наслаждением вымылся  под сильной струей душа и, насвистывая,  сунув руки в карманы, пересек площадку верхнего  этажа пожарной станции и скользнул в люк. 
10	At the last moment,  when disaster seemed positive, he pulled his hands from his pockets and broke his  fall by grasping the golden pole. He slid to a squeaking halt, the heels one inch from  the concrete floor downstairs. 	В  последнюю  секунду, когда  катастрофа уже казалась неизбежной,  он  выдернул руки из карманов,  обхватил блестящий бронзовый  шест  и со  скрипом затормозил  за  миг до  того,  как  его  ноги коснулись цементного пола нижнего этажа. 
11	He walked out of the fire station and along the midnight street toward the subway  where the silent, air-propelled train slid soundlessly down its lubricated flue in the  earth and let him out with a great puff of warm air an to the cream-tiled escalator  rising to the suburb. 	Выйдя  на  пустынную  ночную улицу, он  направился  к  метро. Бесшумный пневматический поезд поглотил его, пролетел, как челнок, по хорошо смазанной трубе подземного туннеля и вместе с сильной  струей теплого воздуха выбросил на  выложенный желтыми плитками эскалатор, ведущий на поверхность в одном из пригородов. 
12	Whistling, he let the escalator waft him into the still night air. 	Насвистывая,  Монтэг поднялся на эскалаторе навстречу ночной тишине. 
13	He walked toward the  comer, thinking little at all about nothing in particular. 	Не думая ни  о чем,  во  всяком случае, ни о  чем  в  особенности,  он дошел до поворота. 
14	Before he reached the corner,  however, he slowed as if a wind had sprung up from nowhere, as if someone had  called his name. 	Но еще  раньше,  чем  выйти на угол,  он вдруг замедлил  шаги, как будто ветер, налетев откуда-то, ударил ему в лицо или кто-то окликнул его по имени. 
15	The last few nights he had had the most uncertain feelings about the sidewalk just  around the corner here, moving in the starlight toward his house. 	Уже  несколько   раз,  приближаясь  вечером  к  повороту,  за   которым освещенный звездами  тротуар  вел  к  его дому,  он  испытывал это  странное чувство. 
16	He had felt that a  moment before his making the turn, someone had been there. 	Ему казалось, что за мгновение до того, как ему повернуть, за углом кто-то стоял. 
17	The air seemed  charged with a special calm as if someone had waited there, quietly, and only a  moment before he came, simply turned to a shadow and let him through. 	В  воздухе  была  какая-то особая тишина,  словно там, в  двух шагах, кто-то  притаился и  ждал и лишь за  секунду  до его  появления вдруг превратился в тень и пропустил его сквозь себя. 
18	Perhaps his  nose detected a faint perfume, perhaps the skin on the backs of his hands, on his  face, felt the temperature rise at this one spot where a person's standing might raise the immediate atmosphere ten degrees for an instant. 	Может быть, его ноздри улавливали слабый аромат, может быть, кожей лица и рук  он ощущал чуть заметное  повышение температуры вблизи того места, где стоял  кто-то  невидимый, согревая воздух  своим  теплом. 
19	There was no understanding it. 	Понять  это  было невозможно. 
20	Each time he made the turn, he saw only the white, unused, buckling sidewalk, with  perhaps, on one night, something vanishing swiftly across a lawn before he could  focus his eyes or speak. 	Однако,  завернув за угол, он всякий раз видел лишь  белые плиты пустынного  тротуара. Только  однажды  ему показалось,  будто  чья-то  тень мелькнула через лужайку, но все  исчезло,  прежде чем он смог вглядеться или произнести хоть слово. 
21	But now, tonight, he slowed almost to a stop. 	Сегодня  же у поворота  он так замедлил шаги,  что  почти  остановился. 
22	His inner mind, reaching out to turn the  corner for him, had heard the faintest whisper. 	Мысленно он  уже был за углом - и  уловил слабый шорох. 
23	Breathing? 	Чье-то  дыхание? 
24	Or was the atmosphere  compressed merely by someone standing very quietly there, waiting? 	Или движение  воздуха, вызванное  присутствием  кого-то,  кто очень тихо стоял и ждал? 
25	He turned the corner. 	Он завернул за угол. 
26	The autumn leaves blew over the moonlit pavement in such a way as to make the girl  who was moving there seem fixed to a sliding walk, letting the motion of the wind and  the leaves carry her forward. 	По  залитому  лунным  светом  тротуару  ветер  гнал  осенние листья,  и казалось, что идущая навстречу девушка не переступает по плитам, а  скользит над ними, подгоняемая ветром и листвой. 
27	Her head was half bent to watch her shoes stir the  circling leaves. 	Слегка нагнув голову,  она смотрела, как носки ее туфель задевают кружащуюся  листву. 
