	en	ru
0	*** START OF THIS PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND *** Produced by David Widger ALICE'S ADVENTURES IN WONDERLAND By Lewis Carroll 	Льюис Кэрролл. Алиса в стране чудес (Перевод Бориса Заходера) 
1	CHAPTER I. Down the Rabbit-Hole 	ГЛАВА ПЕРВАЯ, 
2	Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversation?' 	"в которой Алиса чуть не провалилась сквозь Землю Алиса сидела со старшей сестрой на берегу и маялась: делать ей было совершенно нечего, а сидеть без дела, сами знаете, дело нелегкое; раз-другой она, правда, сунула нос в книгу, которую сестра читала, но там не оказалось ни картинок, ни стишков. ""Кому нужны книжки без картинок.- или хоть стишков, не понимаю!"" - думала Алиса. "
3	So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her. 	С горя она начала подумывать (правда, сейчас это тоже было дело не из легких - от жары ее совсем разморило), что, конечно, неплохо бы сплести венок из маргариток, но плохо то, что тогда нужно подниматься и идти собирать эти маргаритки, как вдруг... Как вдруг совсем рядом появился белый кролик с розовыми глазками! 
4	There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 	Тут, разумеется, еще не было ничего такого необыкновенного; Алиса-то не так уж удивилась, даже когда услыхала, что Кролик сказал (а сказал он: 
5	'Oh dear! Oh dear! 	"""Ай-ай-ай! "
6	I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge. 	"Я опаздываю!""). Кстати, потом, вспоминая обо всем этом, она решила, что все-таки немножко удивиться стоило, но сейчас ей казалось, что все идет как надо. Но когда Кролик достал из жилетного кармана (да-да, именно!) ЧАСЫ (настоящие!) и, едва взглянув на них, опрометью кинулся бежать, тут Алиса так и подскочила! Еще бы! Ведь это был первый Кролик в жилетке и при часах, какого она встретила за всю свою жизнь! Сгорая от любопытства, она со всех ног помчалась вдогонку за Кроликом и, честное слово, чуть-чуть его не догнала! Во всяком случае, она поспела как раз вовремя, чтобы заметить, как Белый Кролик скрылся в большой норе под колючей изгородью. "
7	In another moment down went Alice after it, never once considering how in the world she was to get out again. 	В ту же секунду Алиса не раздумывая ринулась за ним. А кой о чем подумать ей не мешало бы - ну хоть о том, как она выберется обратно! 
8	The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well. 	Нора сперва шла ровно, как тоннель, а потом сразу обрывалась так круто и неожиданно, что Алиса ахнуть не успела, как полетела-полетела вниз, в какой-то очень, очень глубокий колодец. 
9	Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. 	То ли колодец был действительно уж очень глубокий, то ли летела Алиса уж очень не спеша, но только вскоре выяснилось, что теперь у нее времени вволю и для того, чтобы осмотреться кругом, и для того, чтобы подумать, что ее ждет впереди. 
10	First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. 	Первым делом она, понятно, поглядела вниз и попыталась разобрать, куда она летит, но там было слишком темно; тогда она стала рассматривать стены колодца и заметила, что вместо стен шли сплошь шкафы и шкафчики, полочки и полки; кое-где были развешаны картинки и географические карты. 
11	She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it. 	"С одной из полок Алиса сумела на лету снять банку, на которой красовалась этикетка: ""АПЕЛЬСИНОВОЕ ВАРЕНЬЕ"". Банка, увы, была пуста, но, хотя Алиса и была сильно разочарована, она, опасаясь ушибить кого-нибудь, не бросила ее, а ухитрилась опять поставить банку на какую-то полку. "
12	'Well!' thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs! 	- Да,- сказала себе Алиса,- вот это полетела так полетела! Уж теперь я не заплачу, если полечу с лестницы! 
13	How brave they'll all think me at home! 	Дома скажут: вот молодчина! 
14	Why, I wouldn't say anything about it, even if I fell off the top of the house!' (Which was very likely true.) 	Может, даже с крыши слечу и не пикну! (Боюсь, что тут она была даже чересчур права!) 
15	Down, down, down. 	И она все летела: вниз, и вниз, и вниз! 
16	Would the fall NEVER come to an end! 	Неужели это никогда не кончится? 
17	'I wonder how many miles I've fallen by this time?' she said aloud. 'I must be getting somewhere near the centre of the earth. 	- Интересно, сколько я пролетела? - громко сказала Алиса.- Наверное, я уже где-нибудь около центра Земли! 
18	Let me see: that would be four thousand miles down, I think—' (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a VERY good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '—yes, that's about the right distance—but then I wonder what Latitude or Longitude I've got to?' (Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.) 	Ну да: как раз тысяч шесть километров или что-то в этом роде... (Дело в том, что Алиса уже обучалась разным наукам и как раз недавно проходила что-то в этом роде; хотя сейчас был не самый лучший случай блеснуть своими познаниями - ведь, к сожалению, никто ее не слушал,- она всегда была не прочь попрактиковаться.) - Ну да, расстояние я определила правильно,- продолжала она.- Вот только интересно, на каких же я тогда параллелях и меридианах? (Как видите, Алиса понятия не имела о том, что такое параллели и меридианы,- ей просто нравилось произносить такие красивые, длинные слова.) 
19	Presently she began again. 	Немного отдохнув, она снова начала: 
20	'I wonder if I shall fall right THROUGH the earth! 	- А вдруг я буду так лететь, лететь и пролечу всю Землю насквозь? 
21	How funny it'll seem to come out among the people that walk with their heads downward! 	Вот было бы здорово! Вылезу - и вдруг окажусь среди этих... которые ходят на головах, вверх ногами! 
22	The Antipathies, I think—' (she was rather glad there WAS no one listening, this time, as it didn't sound at all the right word) '—but I shall have to ask them what the name of the country is, you know. 	Как они называются? Анти... Антипятки, что ли? Мы-то с вами, конечно, прекрасно знаем, что тех, кто живет на другой стороне земного шара, называют (во всяком случае, в старину называли) антиподами. (На этот раз Алиса в душе обрадовалась, что ее никто не слышит: она сама почувствовала, что слово какое-то не совсем такое.) - Только мне, пожалуй, там придется спрашивать у прохожих, куда я попала: 
23	Please, Ma'am, is this New Zealand or Australia?' (and she tried to curtsey as she spoke—fancy CURTSEYING as you're falling through the air! 	"""Извините, тетя, это Австралия или Новая Зеландия""? (Вдобавок Алиса попыталась еще вежливо присесть! Представляете? , Книксен в воздухе! "
24	Do you think you could manage it?) 	Вы бы смогли, как вы думаете?) 
25	'And what an ignorant little girl she'll think me for asking! 	- Но ведь эта тетя тогда подумает, что я дурочка, совсем ничего не знаю! 
26	No, it'll never do to ask: perhaps I shall see it written up somewhere.' 	Нет уж, лучше не буду спрашивать. Сама прочитаю! Там ведь, наверно, где- нибудь написано, какая это страна. 
27	Down, down, down. 	И дальше - вниз, вниз и вниз! 
28	There was nothing else to do, so Alice soon began talking again. 	Так как никакого другого занятия у нее не было, Алиса вскоре опять заговорила сама с собой. 
