	en	ru
0	The White Silence 	"Джек Лондон ""Белое безмолвие"" "
1	'Carmen won't last more than a couple of days.' 	— Кармен и двух дней не протянет. 
2	Mason spat out a chunk of ice and surveyed the poor animal ruefully, then put her foot in his mouth and proceeded to bite out the ice which clustered cruelly between the toes. 	Мэйсон выплюнул кусок льда и уныло посмотрел на несчастное животное, потом, поднеся лапу собаки ко рту, стал опять скусывать лед, намерзший большими шишками у нее между пальцев. 
3	'I never saw a dog with a highfalutin' name that ever was worth a rap,' he said, as he concluded his task and shoved her aside. 	— Сколько я ни встречал собак с затейливыми кличками, все они никуда не годились, — сказал он, покончив со своим делом, и оттолкнул собаку. 
4	'They just fade away and die under the responsibility. 	— Они слабеют и в конце концов издыхают. 
5	Did ye ever see one go wrong with a sensible name like Cassiar, Siwash, or Husky? 	Ты видел, чтобы с собакой, которую зовут попросту Касьяр, Сиваш или Хаски, приключилось что-нибудь неладное? 
6	No, sir! 	Никогда! 
7	Take a look at Shookum here, he's—' Snap! 	Посмотри на Шукума: он… Раз! 
8	The lean brute flashed up, the white teeth just missing Mason's throat. 	Отощавший пес взметнулся вверх, едва не вцепившись клыками Мэйсону в горло. 
9	'Ye will, will ye?' 	— Ты что это придумал? 
10	A shrewd clout behind the ear with the butt of the dog whip stretched the animal in the snow, quivering softly, a yellow slaver dripping from its fangs. 	Сильный удар по голове рукояткой бича опрокинул собаку в снег; она судорожно вздрагивала, с клыков у нее капала желтая слюна. 
11	'As I was saying, just look at Shookum here—he's got the spirit. 	— Я и говорю, посмотри на Шукума: Шукум маху не даст. 
12	Bet ye he eats Carmen before the week's out.' 	Бьюсь об заклад, не пройдет и недели, как он задерет Кармен. 
13	'I'll bank another proposition against that,' replied Malemute Kid, reversing the frozen bread placed before the fire to thaw. 'We'll eat Shookum before the trip is over. 	— А я, — сказал Мэйлмют Кид, переворачивая хлеб, оттаивающий у костра, — бьюсь об заклад, что мы сами съедим Шукума, прежде чем доберемся до места. 
14	What d'ye say, Ruth?' 	Что ты на это скажешь, Руфь? 
15	The Indian woman settled the coffee with a piece of ice, glanced from Malemute Kid to her husband, then at the dogs, but vouchsafed no reply. 	Индианка бросила в кофе кусочек льда, чтобы осела гуща, перевела взгляд с Мэйлмюта Кида на мужа, затем на собак, но ничего не ответила. 
16	It was such a palpable truism that none was necessary. 	Столь очевидная истина не требовала подтверждения. Другого выхода им не оставалось. 
