	en	ru
0	WHITE FANG 	Джек Лондон. Белый Клык 
1	PART I 	* ЧАСТЬ ПЕРВАЯ * 
2	CHAPTER I—THE TRAIL OF THE MEAT 	ГЛАВА ПЕРВАЯ. ПОГОНЯ ЗА ДОБЫЧЕЙ 
3	Dark spruce forest frowned on either side the frozen waterway. 	Темный еловый лес стоял, нахмурившись, по обоим берегам скованной льдом реки. 
4	The trees had been stripped by a recent wind of their white covering of frost, and they seemed to lean towards each other, black and ominous, in the fading light. 	Недавно пронесшийся ветер  сорвал с деревьев белый покров инея, и они, черные, зловещие, клонились друг  к другу в надвигающихся сумерках. 
5	A vast silence reigned over the land. 	Глубокое безмолвие  царило  вокруг. 
6	The land itself was a desolation, lifeless, without movement, so lone and cold that the spirit of it was not even that of sadness. 	Весь этот край,  лишенный признаков жизни  с  ее движением, был так пустынен  и  холоден, что дух,  витающий над ним,  нельзя было назвать даже духом  скорби. 
7	There was a hint in it of laughter, but of a laughter more terrible than any sadness—a laughter that was mirthless as the smile of the sphinx, a laughter cold as the frost and partaking of the grimness of infallibility. 	Смех,  но смех  страшнее  скорби,  слышался здесь  --  смех  безрадостный, точно улыбка  сфинкса, смех, леденящий  своим бездушием, как стужа. 
8	It was the masterful and incommunicable wisdom of eternity laughing at the futility of life and the effort of life. 	Это извечная  мудрость --  властная, вознесенная  над миром -- смеялась, видя тщету жизни, тщету  борьбы. 
9	It was the Wild, the savage, frozen-hearted Northland Wild. 	Это была глушь -- дикая, оледеневшая до самого сердца Северная глушь. 
10	But there was life, abroad in the land and defiant. 	И все  же что-то живое двигалось в ней и бросало ей вызов. 
11	Down the frozen waterway toiled a string of wolfish dogs. 	По замерзшей реке пробиралась упряжка ездовых собак. 
12	Their bristly fur was rimed with frost. Their breath froze in the air as it left their mouths, spouting forth in spumes of vapour that settled upon the hair of their bodies and formed into crystals of frost. 	Взъерошенная шерсть их заиндевела на морозе, дыхание застывало в воздухе и кристаллами  оседало  на шкуре. 
13	Leather harness was on the dogs, and leather traces attached them to a sled which dragged along behind. 	Собаки были в кожаной упряжи, и кожаные постромки шли  от нее  к волочившимся сзади саням. 
14	The sled was without runners. It was made of stout birch-bark, and its full surface rested on the snow. 	Сани без полозьев,  из  толстой  березовой  коры, всей  поверхностью ложились  на снег. 
15	The front end of the sled was turned up, like a scroll, in order to force down and under the bore of soft snow that surged like a wave before it. 	Передок их был загнут кверху, как свиток, чтобы приминать мягкие  снежные  волны, встававшие  им  навстречу. 
16	On the sled, securely lashed, was a long and narrow oblong box. 	На  санях  стоял  крепко притороченный узкий, продолговатый  ящик. 
17	There were other things on the sled—blankets, an axe, and a coffee-pot and frying-pan; but prominent, occupying most of the space, was the long and narrow oblong box. 	Были там и другие  вещи:  одежда, топор,  кофейник,  сковорода;  но  прежде  всего  бросался  в  глаза  узкий, продолговатый ящик, занимавший большую часть саней. 
18	In advance of the dogs, on wide snowshoes, toiled a man. 	Впереди собак на широких лыжах с трудом  ступал человек. 
19	At the rear of the sled toiled a second man. 	За  санями шел второй. 
20	On the sled, in the box, lay a third man whose toil was over,—a man whom the Wild had conquered and beaten down until he would never move nor struggle again. 	На санях, в ящике, лежал третий, для которого с земными трудами было покончено, ибо Северная глушь одолела, сломила его, так что он не мог больше ни двигаться, ни бороться. 
