	en	ru
0	The Project Gutenberg EBook of Great Expectations, by Charles Dickens GREAT EXPECTATIONS [1867 Edition] by Charles Dickens 	Чарльз Диккенс. Большие надежды 
1	Chapter I 	ГЛАВА I 
2	My father's family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So, I called myself Pip, and came to be called Pip. 	Фамилия моего отца была Пиррип, мне дали при крещении имя Филип, а  так как из того и другого мой младенческий язык  не  мог  слепить  ничего  более внятного, чем Пип, то я называл себя Пипом, а потом и  все  меня  стали  так называть. 
3	I give Pirrip as my father's family name, on the authority of his tombstone and my sister,—Mrs. Joe Gargery, who married the blacksmith. 	О том, что отец мой носил фамилию Пиррип, мне  достоверно  известно  из надписи на его могильной плите, а также  со  слов  моей  сестры  миссис  Джо Гарджери, которая вышла замуж за кузнеца. 
4	As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like were unreasonably derived from their tombstones. 	Оттого, что я никогда не видел  ни отца, ни матери, ни каких-либо их портретов (о фотографии в те времена и  не слыхивали), первое представление о родителях странным  образом  связалось  у меня с их могильными плитами. 
5	The shape of the letters on my father's, gave me an odd idea that he was a square, stout, dark man, with curly black hair. 	По форме  букв  на  могиле  отца  я  почему-то решил, что он был плотный  и  широкоплечий,  смуглый,  с  черными  курчавыми волосами. 
6	From the character and turn of the inscription, 	Надпись 
7	"""Also Georgiana Wife of the Above,"" I drew a childish conclusion that my mother was freckled and sickly. "	"""А также Джорджиана,  супруга  вышереченного""  вызывала  в моем  детском  воображении  образ  матери  -  хилой,  веснушчатой   женщины. "
8	To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine,—who gave up trying to get a living, exceedingly early in that universal struggle,—I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets, and had never taken them out in this state of existence. 	Аккуратно расположенные  в  ряд  возле  их  могилы  пять  узеньких  каменных надгробий, каждое фута в полтора длиной, под которыми  покоились  пять  моих маленьких братцев, рано отказавшихся от попыток уцелеть во всеобщей  борьбе, породили во мне твердую уверенность, что все они  появились  на  свет,  лежа навзничь и спрятав руки в карманы штанишек, откуда и не вынимали их  за  все время своего пребывания на земле. 
9	Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea. 	Мы жили в болотистом крае близ большой реки, в  двадцати  милях  от  ее впадения  в  море. 
10	My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening. 	Вероятно,  свое  первое  сознательное   впечатление   от окружающего меня широкого мира я получил в один памятный  зимний  день,  уже под вечер. 
11	At such a time I found out for certain that this bleak place overgrown with nettles was the churchyard; and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried; and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried; and that the dark flat wilderness beyond the churchyard, intersected with dikes and mounds and gates, with scattered cattle feeding on it, was the marshes; and that the low leaden line beyond was the river; and that the distant savage lair from which the wind was rushing was the sea; and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip. 	Именно тогда мне  впервые  стало  ясно,  что  это  унылое  место, обнесенное оградой и густо заросшее крапивой, - кладбище; что Филип  Пиррип, житель сего прихода, а также Джорджиана,  супруга  вышереченного,  умерли  и похоронены; что малолетние  сыновья  их,  младенцы  Александер,  Бартоломью, Абраам, Тобиас и Роджер, тоже умерли и похоронены; что плоская  темная  даль за оградой, вся изрезанная  дамбами,  плотинами  и  шлюзами,  среди  которых кое-где пасется скот, - это болота; что замыкающая их  свинцовая  полоска  - река; далекое логово, где  родится  свирепый  ветер,  -  море;  а  маленькое дрожащее существо, что затерялось среди всего этого и плачет  от  страха,  - Пип. 
12	"""Hold your noise!"" cried a terrible voice, as a man started up from among the graves at the side of the church porch. "	- А ну, замолчи!  -  раздался  грозный  окрик,  и  среди  могил,  возле паперти, внезапно вырос человек. 
13	"""Keep still, you little devil, or I'll cut your throat!"" "	- Не ори, чертенок,  не  то  я  тебе  горло перережу! 
14	A fearful man, all in coarse gray, with a great iron on his leg. 	Страшный человек в грубой  серой  одежде,  с  тяжелой  цепью  на  ноге! 
15	A man with no hat, and with broken shoes, and with an old rag tied round his head. 	Человек без шапки, в разбитых башмаках, голова  обвязана  какой-то  тряпкой. 
16	A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars; who limped, and shivered, and glared, and growled; and whose teeth chattered in his head as he seized me by the chin. 	Человек, который, как видно, мок в воде и полз по грязи, сбивал и ранил себе ноги о камни, которого жгла крапива и рвал терновник! Он  хромал  и  трясся, таращил глаза и хрипел  и  вдруг,  громко  стуча  зубами,  схватил  меня  за подбородок. 
17	"""Oh! Don't cut my throat, sir,"" I pleaded in terror. ""Pray don't do it, sir."" "	- Ой, не режьте меня, сэр! - в ужасе взмолился я. - Пожалуйста, сэр, не надо! 
18	"""Tell us your name!"" said the man. ""Quick!"" "	- Как тебя звать? - спросил человек. - Ну, живо! 
19	"""Pip, sir."" "	- Пип, сэр. 
20	"""Once more,"" said the man, staring at me. ""Give it mouth!"" "	- Как, как? - переспросил человек, сверля меня глазами. - Повтори. 
21	"""Pip. Pip, sir."" "	- Пип. Пип, сэр. 
22	"""Show us where you live,"" said the man. "	- Где ты живешь? - спросил человек. 
23	"""Pint out the place!"" "	- Покажи! 
24	I pointed to where our village lay, on the flat in-shore among the alder-trees and pollards, a mile or more from the church. 	Я указал пальцем туда, где на плоской прибрежной низине, в доброй  миле от церкви, приютилась среди ольхи и ветел наша деревня. 
25	The man, after looking at me for a moment, turned me upside down, and emptied my pockets. 	Посмотрев на меня с минуту, человек  перевернул  меня  вниз  головой  и вытряс мои карманы. 
26	There was nothing in them but a piece of bread. 	В них ничего не было, кроме куска хлеба. 
27	When the church came to itself,—for he was so sudden and strong that he made it go head over heels before me, and I saw the steeple under my feet,—when the church came to itself, I say, I was seated on a high tombstone, trembling while he ate the bread ravenously. 	Когда  церковь стала на место, - а он был до того ловкий и сильный, что разом опрокинул  ее вверх тормашками, так что колокольня очутилась у меня под ногами, - так вот, когда церковь стала на место, оказалось, что я  сижу  на  высоком  могильном камне, а он пожирает мой хлеб. 
28	"""You young dog,"" said the man, licking his lips, ""what fat cheeks you ha' got."" "	- Ух ты, щенок, - сказал человек, облизываясь. - Надо же, какие толстые щеки! 
29	I believe they were fat, though I was at that time undersized for my years, and not strong. 	Возможно, что они и правда были толстые, хотя я в ту пору  был  невелик для своих лет и не отличался крепким сложением. 
30	"""Darn me if I couldn't eat em,"" said the man, with a threatening shake of his head, ""and if I han't half a mind to't!"" "	- Так бы вот и съел их, - сказал человек и яростно мотнул головой, -  а может, черт подери, я и взаправду их съем. 
31	I earnestly expressed my hope that he wouldn't, and held tighter to the tombstone on which he had put me; partly, to keep myself upon it; partly, to keep myself from crying. 	Я очень серьезно его попросил не делать этого  и  крепче  ухватился  за могильный камень, на который он меня посадил, - отчасти для того,  чтобы  не свалиться, отчасти для того, чтобы сдержать слезы. 
32	"""Now lookee here!"" said the man. "	- Слышь ты, - сказал человек. 
33	"""Where's your mother?"" "	- Где твоя мать? 
34	"""There, sir!"" said I. "	- Здесь, сэр, - сказал я. 
35	He started, made a short run, and stopped and looked over his shoulder. 	Он вздрогнул и кинулся было  бежать,  потом,  остановившись,  оглянулся через плечо. 
36	"""There, sir!"" I timidly explained. "	- Вот здесь, сэр, - робко пояснил я.  - 
37	"""Also Georgiana. "	"""Также  Джорджиана"". "
38	"That's my mother."" "	Это  моя мать. 
39	"""Oh!"" said he, coming back. "	- А-а, - сказал он, возвращаясь. 
40	"""And is that your father alonger your mother?"" "	- А это, рядом с матерью, твой отец? 
41	"""Yes, sir,"" said I; ""him too; late of this parish."" "	"- Да, сэр, - сказал я. - Он тоже здесь: ""Житель сего прихода"". "
42	"""Ha!"" he muttered then, considering. "	- Так, - протянул он и помолчал. 
43	"""Who d'ye live with,—supposin' you're kindly let to live, which I han't made up my mind about?"" "	- С кем  же  ты  живешь,  или,  вернее сказать, с кем жил, потому что я не решил еще, оставить  тебя  в  живых  или нет. 
44	"""My sister, sir,—Mrs. Joe Gargery,—wife of Joe Gargery, the blacksmith, sir."" "	- С сестрой, сэр. Миссис Джо Гарджери. Она жена кузнеца, сэр. 
45	"""Blacksmith, eh?"" said he. "	- Кузнеца, говоришь? - переспросил он. 
46	And looked down at his leg. 	И посмотрел на свою ногу. 
47	After darkly looking at his leg and me several times, he came closer to my tombstone, took me by both arms, and tilted me back as far as he could hold me; so that his eyes looked most powerfully down into mine, and mine looked most helplessly up into his. 	Он несколько раз переводил хмурый  взгляд  со  своей  ноги  на  меня  и обратно, потом подошел ко мне вплотную, взял за  плечи  и  запрокинул  назад сколько мог дальше, так что его глаза испытующе глядели на меня сверху вниз, а мои растерянно глядели на него снизу вверх. 
48	"""Now lookee here,"" he said, ""the question being whether you're to be let to live. "	- Теперь слушай меня, - сказал он, - и  помни,  что  я  еще  не  решил, оставить тебя в живых или нет. 
49	"You know what a file is?"" "	Что такое подпилок, ты знаешь? 
50	"""Yes, sir."" "	- Да, сэр. 
51	"""And you know what wittles is?"" "	- А что такое жратва, знаешь? 
52	"""Yes, sir."" "	- Да, сэр. 
53	After each question he tilted me over a little more, so as to give me a greater sense of helplessness and danger. 	После каждого вопроса  он  легонько  встряхивал  меня,  чтобы  я  лучше чувствовал грозящую мне опасность и полную свою беспомощность. 
54	"""You get me a file."" "	- Ты мне достанешь подпилок. 
55	He tilted me again. 	- Он тряхнул меня. 
56	"""And you get me wittles."" "	- И достанешь жратвы. 
57	He tilted me again. 	- Он снова тряхнул меня. 
58	"""You bring 'em both to me."" "	- И принесешь все сюда. 
59	He tilted me again. 	- Он снова тряхнул меня. 
60	"""Or I'll have your heart and liver out."" "	- Не то я вырву у тебя сердце с печенкой. 
61	He tilted me again. 	- Он снова тряхнул меня. 
62	I was dreadfully frightened, and so giddy that I clung to him with both hands, and said, 	Я был до смерти перепуган,  и  голова  у  меня  так  кружилась,  что  я вцепился в него обеими руками и сказал: 
63	"""If you would kindly please to let me keep upright, sir, perhaps I shouldn't be sick, and perhaps I could attend more."" "	- Пожалуйста, сэр, не трясите меня, тогда меня, может, не будет тошнить и я лучше пойму. 
64	He gave me a most tremendous dip and roll, so that the church jumped over its own weathercock. 	Он так запрокинул  меня  назад,  что  церковь  перескочила  через  свою флюгарку. 
65	Then, he held me by the arms, in an upright position on the top of the stone, and went on in these fearful terms:— 	Потом выпрямил одним рывком и, все еще держа за  плечи,  заговорил страшнее прежнего: 
66	"""You bring me, to-morrow morning early, that file and them wittles. "	- Завтра чуть свет ты принесешь мне подпилок  и  жратвы. 
67	You bring the lot to me, at that old Battery over yonder. 	Вон  туда,  к старой батарее. 
68	You do it, and you never dare to say a word or dare to make a sign concerning your having seen such a person as me, or any person sumever, and you shall be let to live. 	Если принесешь, и никому ни слова  не  скажешь,  и  виду  не подашь, что встретил меня или кого другого, тогда, так и быть,  живи. 
69	You fail, or you go from my words in any partickler, no matter how small it is, and your heart and your liver shall be tore out, roasted, and ate. 	А  не принесешь или отступишь от моих слов хоть вот на  столько,  тогда  вырвут  у тебя сердце с печенкой, зажарят и съедят. 
70	Now, I ain't alone, as you may think I am. 	И ты  не  думай,  что  мне  некому помочь. 
71	There's a young man hid with me, in comparison with which young man I am a Angel. 	У меня тут спрятан один приятель, так я по сравнению  с  ним  просто ангел. 
72	That young man hears the words I speak. 	Этот мой приятель слышит все,  что  я  тебе  говорю. 
73	That young man has a secret way pecooliar to himself, of getting at a boy, and at his heart, and at his liver. 	У  этого  моего приятеля свой секрет есть, как добраться до мальчишки, и до сердца его, и до печенки. 
74	It is in wain for a boy to attempt to hide himself from that young man. 	Мальчишке  от  него  не  спрятаться,  пусть  лучше  и  не  пробует. 
75	A boy may lock his door, may be warm in bed, may tuck himself up, may draw the clothes over his head, may think himself comfortable and safe, but that young man will softly creep and creep his way to him and tear him open. 	Мальчишка и дверь запрет, и в постель залезет, и с головой одеялом укроется, и будет думать, что вот, мол, ему тепло и хорошо и никто его  не  тронет,  а мой приятель тихонько к нему подберется, да и зарежет!.. 
76	I am a keeping that young man from harming of you at the present moment, with great difficulty. 	Мне  и  сейчас-то, знаешь, как трудно сделать, чтобы он на тебя не бросился. 
77	I find it wery hard to hold that young man off of your inside. 	Я его  еле  держу, до того ему не терпится тебя сцапать. 
78	"Now, what do you say?"" "	Ну, что ты теперь скажешь? 
79	I said that I would get him the file, and I would get him what broken bits of food I could, and I would come to him at the Battery, early in the morning. 	Я сказал, что достану ему подпилок, и еды достану, сколько найдется,  и принесу на батарею, рано утром. 
80	"""Say Lord strike you dead if you don't!"" said the man. "	"- Повтори за мной: ""Разрази меня бог, если вру"", - сказал человек. "
81	I said so, and he took me down. 	Я повторил, и он снял меня с камня. 
82	"""Now,"" he pursued, ""you remember what you've undertook, and you remember that young man, and you get home!"" "	- А теперь, - сказал он, - не забудь, что  обещал,  и  про  того  моего приятеля не забудь, и беги домой. 
83	"""Goo-good night, sir,"" I faltered. "	- П-покойной ночи, сэр, - пролепетал я. 
84	"""Much of that!"" said he, glancing about him over the cold wet flat. "	- Покойной! - сказал он, окидывая взглядом холодную мокрую  равнину. 
85	"""I wish I was a frog. "	- Где уж тут! В лягушку бы, что ли, превратиться. 
86	"Or a eel!"" "	Либо в угря. 
87	At the same time, he hugged his shuddering body in both his arms,—clasping himself, as if to hold himself together,—and limped towards the low church wall. 	Он крепко обхватил обеими руками свое дрожащее тело,  словно  опасаясь, что оно развалится, и заковылял к низкой  церковной  ограде. 
