	en	ru
0	Five On A Treasure Island Famous Five 01 Enid Blyton 	Энид Блайтон Тайна острова сокровищ 
1	Chapter One A GREAT SURPRISE 	БОЛЬШОЙ СЮРПРИЗ 
2	"""Mother, have you heard about our summer holidays yet?"" said Julian, at the breakfast-table. "	— Мама, ты уже решила что-нибудь насчет наших каникул? — спросил Джулиан за завтраком. 
3	"""Can we go to Polseath as usual?"" "	— Поедем, как всегда, в Полсит? 
4	"""I'm afraid not,"" said his mother. "	— Боюсь, что нет, — ответила мама. 
5	"""They are quite full up this year."" "	— В этом году у них и без нас полно постояльцев. 
6	The three children at the breakfast-table looked at one another in great disappointment. 	Трое ребят за столом разочарованно посмотрели друг на друга. 
7	They did so love the house at Polseath. 	Им так нравился дом в Полсите. 
8	The beach was so lovely there, too, and the bathing was fine. 	А потом, там такой чудесный пляж и такое купание! 
9	"""Cheer up,"" said Daddy. "	— Не расстраивайтесь, — утешил их папа. 
10	"""I dare say we'll find somewhere else just as good for you. "	— Я уверен, найдем для вас место не хуже этого. 
11	And anyway, Mother and I won't be able to go with you this year. 	У нас с мамой в этом году другие планы — поехать в Шотландию. 
12	"Has Mother told you?"" "	Мама сказала вам об этом? 
13	"""No!"" said Anne. "	— Нет, — ответила Энн. 
14	"""Oh, Mother—is it true? "	— Мама, это правда? 
15	Can't you really come with us on our holidays? 	Разве ты не сможешь провести с нами каникулы? 
16	"You always do."" "	Ты ведь всегда ездила с нами. 
17	"""Well, this time Daddy wants me to go to Scotland with him,"" said Mother. ""All by ourselves! And as you are really getting big enough to look after yourselves now, we thought it would be rather fun for you to have a holiday on your own too. "	— В этом году мы хотим поехать одни, вы уже достаточно самостоятельные, и вам будет даже интересно провести каникулы без нас. 
18	"But now that you can't go to Polseath, I don't really quite know where to send you."" "	Правда, вместо Полсита пока не представляю, куда вас отправить. 
19	"""What about Quentin's?"" suddenly said Daddy. "	— А как насчет Квентина? — спросил папа. 
20	Quentin was his brother, the children's uncle. 	Квентин был его братом. 
21	They had only seen him once, and had been rather frightened of him. 	Дети видели его только один раз и немного побаивались. 
22	He was a very tall, frowning man, a clever scientist who spent all his time studying. 	Этот умный, очень высокий, всегда угрюмый человек был вечно занят своими научными изысканиями. 
23	He lived by the sea— but that was about all that the children knew of him! 	Он жил у моря — больше ничего ребята о нём не знали. 
24	"""Quentin?"" said Mother, pursing up her lips. "	— Насчет Квентина? — переспросила мама. 
25	"""Whatever made you think of him? "	— Почему это ты вдруг подумал о нем? 
26	"I shouldn't think he'd want the children messing about in his little house."" "	Вряд ли он захочет, чтобы дети поселились в их небольшом доме и мешали ему. 
