	en	ru
0	Chapter 1 	Глава 1. 
1	...in which we are introduced to Winnie-the-Pooh and some bees, and the stories begin 	В которой нас знакомят с Винни-Пухом и пчелами, с чего и начинаются все истории. 
2	HERE is Edward Bear, coming downstairs now, bump, bump, bump, on the back of his head, behind Christopher Robin. 	Это -- Эдуард Бэр, в данный момент  спускающийся по  лестнице, -- бух,бух,бух,  -- затылочной частью своей  головы, позади Кристофера  Робина. 
3	It is, as far as he knows, the only way of coming downstairs, but sometimes he feels that there really is another way, if only he could stop bumping for a moment and think of it. 	Это, насколько он знает, единственный способ спускаться вниз; правда, иногда он  чувствует,  что на  самом  деле можно найти  другой  способ, если только остановиться, перестать на секунду  делать bump и сосредоточиться. 
4	And then he feels that perhaps there isn't. 	А  иногда ему кажется, что, возможно, иного пути нет. 
5	Anyhow, here he is at the bottom, and ready to be introduced to you. 	Тем не менее, он уже внизу и рад с вами познакомиться. 
6	Winnie-the-Pooh. 	Винни-Пух. 
7	When I first heard his name, I said, just as you are going to say, 	Когда я впервые услышал его имя, я сказал, точно так же, как вы  теперь собирались сказать: 
8	"""But I thought he was a boy?"" "	"""Но я думал, он мальчик?"" "
9	"""So did I,"" said Christopher Robin. "	"""Ну да"", говорит Кристофер Робин. "
10	"""Then you can't call him Winnie?"" "	"""Тогда ты не можешь называть его Винни""[8]. "
11	"""I don't."" "	"""Не могу"". "
12	"""But you said -- "" "	"""Но ты сказал___ "" "
13	"""He's Winnie-ther-Pooh. "	"""Его зовут Винни-де-Пуx. "
14	"Don't you know what 'ther' means?"" "	"Ты что, не знаешь, что значит ther?""[9] "
15	"""Ah, yes, now I do,"" I said quickly; and I hope you do too, because it is all the explanation you are going to get. "	"""А, да, теперь да"",  быстро говорю я и,  надеюсь,  вы  тоже, потому что других объяснений все равно больше не будет. "
16	Sometimes Winnie-the-Pooh likes a game of some sort when he comes downstairs, and sometimes he likes to sit quietly in front of the fire and listen to a story. 	Иногда Винни-Пуху нравится  игра  --  спуск по лестнице, -- а порой он любит тихо посидеть перед камином и послушать истории. 
17	This evening -- 	В тот вечер__ 
18	"""What about a story?"" said Christopher Robin. "	"""Как насчет истории"", говорит Кристофер Робин. "
19	"""What about a story?"" I said. "	"""Насчет какой истории?"", говорю. "
20	"""Could you very sweetly tell Winnie-the-Pooh one?"" "	"""Не может ли твоя светлость рассказать Винни-Пуху одну?"" "
21	"""I suppose I could,"" I said. ""What sort of stories does he like?"" "	"""Может, и может"", говорю, ""а какого рода истории ему нравятся?"" "
22	"""About himself. "	"""О нем самом. "
23	"Because he's that sort of Bear."" "	"Потому что он ведь у нас тот еще Медведь!"" "
24	"""Oh, I see."" "	"""О, понимаю!"" "
25	"""So could you very sweetly?"" "	"""Так что не могла бы твоя светлость?"" "
26	"""I'll try,"" I said. "	"""Попробую"", говорю. "
27	So I tried. 	Итак, я попробовал. 
28	Once upon a time, a very long time ago now, about last Friday, Winnie-the-Pooh lived in a forest all by himself under the name of Sanders. 	Однажды, давным-давно, вероятно, в прошлую Пятницу, жил-был Винни-Пух,жил он в Лесу сам по себе под именем Сандерс. 
29	"(""What does 'under the name' mean?"" asked Christopher Robin. "	"""Что значит 'под именем'?"", говорит Кристофер Робин. "
30	"""It means he had the name over the door in gold letters, and lived under it."" "	"""Это значит, что имя было  написано у него на двери золотыми буквами, а он под ним жил"". "
31	"""Winnie-the-Pooh wasn't quite sure,"" said Christopher Robin. "	""" Винни-Пух в этом не вполне уверен"", говорит Кристофер Робин. "
32	"""Now I am,"" said a growly voice. "	"""Все нормально"", говорит ворчливый голос. "
33	"""Then I will go on,"" said I.) "	"""Тогда я продолжаю"", говорю. "
34	One day when he was out walking, he came to an open place in the middle of the forest, and in the middle of this place was a large oak-tree, and, from the top of the tree, there came a loud buzzing-noise. 	Однажды  во  время  прогулки  по Лесу он  подошел к открытому  месту на середине  Леса, а в середине  этого места стояло огромное дубовое дерево и с верхушки дерева раздавалось громкое гудение. 
35	Winnie-the-Pooh sat down at the foot of the tree, put his head between his paws and began to think. 	Пух сел у подножья дерева, положил голову на лапы и стал думать. 
36	First of all he said to himself: 	Прежде  всего  он сказал себе: 
37	"""That buzzing-noise means something. "	"""Это  гудение что-то  да значит. "
38	You don't get a buzzing-noise like that, just buzzing and buzzing, without its meaning something. 	Нельзяпросто вот  так  гудеть,  гудеть и  гудеть без  всякого смысла. 
39	"If there's a buzzing-noise, somebody's making a buzzing-noise, and the only reason for making a buzzing-noise that I know of is because you're a bee."" "	"Если оттудараздается гудение, значит, это кто-то  гудит,  и я знаю только одну причину, которая заставила бы меня гудеть, -- это если бы я был пчелой"". "
40	Then he thought another long time, and said: 	Он еще довольно долго размышлял и  после этого сказал: 
41	"""And the only reason for being a bee that I know of is making honey."" "	"""А единственный резон быть пчелой, который я знаю, состоит в том, чтобы делать мед"". "
42	And then he got up, and said: 	И тогда он встал и сказал: 
43	"""And the only reason for making honey is so as I can eat it."" "	"""А единственный резон делать мед  состоит  в том, чтобы я мог его есть"". "
44	So he began to climb the tree 	Итак, он начал карабкаться на дерево. 
45	He climbed and he climbed and he climbed and as he climbed he sang a little song to himself. 	Он лез, и лез, и лез, и по мере того,  как  он лез,  он пел самому себе небольшую песню. 
46	It went like this: 	Там было примерно так: 
47	Isn't it funny  How a bear likes honey? Buzz! Buzz! Buzz! 	Не забавно ли? Медведю подавай мед. 
48	I wonder why he does? 	Зачем он ему![10] 
49	Then he climbed a little further. . . and a little further . . . and then just a little further. 	Затем он вскарабкался немного дальше... и еще немного дальше... и затем еще немного дальше. 
50	By that time he had thought of another song. 	Но в это время он придумал уже другую песню: 
51	It's a very funny thought that, if Bears were Bees,  They'd build their nests at the bottom of trees. 	Забавно, что будь мы, Медведи, Пчелой,   То мы бы спилили деревья пилой. 
52	And that being so (if the Bees were Bears),  We shouldn't have to climb up all these stairs. 	И, лакомым медом влекомы, Не лазали б так далеко мы. Тогда бы Пчела (а она же Медведь!),  Уставши все  время летать и гудеть,  Построила тихо берлогу И в ней бы жила понемногу[11]. 
53	He was getting rather tired by this time, so that is why he sang a Complaining Song. 	К тому времени он начал уставать, потому-то он и пел ЖАЛОБНУЮ ПЕСНЮ. 
54	He was nearly there now, and if he just s t o o d o n t h a t branch . . . 	Он уже был бы почти на месте, если бы только успел встать во-н на ту ветку... 
55	Crack ! 	Крэк! 
56	"""Oh, help!"" said Pooh, as he dropped ten feet on the branch below him. "	"""Ox, на помощь!"", сказал Пух, скользнув по ветке на десять футов вниз. "
57	"""If only I hadn't -- "" he said, as he bounced twenty feet on to the next branch. "	"""Если бы я  только  не__"",  сказал  он,  подпрыгнув на следующей  ветке двадцатью футами ниже. "
58	"""You see, what I meant to do,"" he explained, as he turned head-over-heels, and crashed on to another branch thirty feet below, ""what I meant to do -- "" "	"""Дело в том, что__"", объяснил он,  переворачиваясь и  врезаясь в другую ветку тридцатью футами ниже, ""что я имел в виду__"" "
59	"""Of course, it was rather -- "" he admitted, as he slithered very quickly through the next six branches. "	"""Конечно, это было с моей  стороны__"", заметил он, быстро скатываясь по шести последним веткам. "
60	"""It all comes, I suppose,"" he decided, as he said good-bye to the last branch, spun round three times, and flew gracefully into a gorse-bush, ""it all comes of liking honey so much. "	"""Полагаю, что  все это от  того__"", решил он  и попрощался  с последней веткой,  перевернулся  три  раза  в воздухе  и  грациозно  свалился  в  куст ут?сника, ""все это  происходит  от  слишком  большой  любви  к меду. "
61	"Oh, help!"" "	"Ох, на помощь!"" "
