	en	ru
0	There is one day that is ours. 	Есть в году один день, который принадлежит нам. 
1	There is one day when all we Americans who are not self-made go back to the old home to eat saleratus biscuits and marvel how much nearer to the porch the old pump looks than it used to. 	День, когда все мы, американцы, не выросшие на улице, возвращаемся в свой отчий дом, лакомимся содовым печеньем и дивимся тому, что старый колодец гораздо ближе к крыльцу, чем нам казалось. 
2	Bless the day. 	Да будет благословен этот день! 
3	President Roosevelt gives it to us. 	Нас оповещает о нем президент Рузвельт (1). 
4	We hear some talk of the Puritans, but don't just remember who they were. 	Что-то говорится в эти дни о пуританах, только никто уже не может вспомнить, кто они были. 
5	Bet we can lick 'em, anyhow, if they try to land again. 	Во всяком случае мы бы, конечно, намяли им бока, если б они снова попробовали высадиться здесь. 
6	Plymouth Rocks? Well, that sounds more familiar. 	Плимут Рокс? (2) Вот это уже более знакомо. 
7	Lots of us have had to come down to hens since the Turkey Trust got its work in. 	Многим из нас пришлось перейти на курятину, с тех пор как индейками занялся могущественный Трест. 
8	But somebody in Washington is leaking out advance information to 'em about these Thanksgiving proclamations. 	Не иначе, кто-то в Вашингтоне заранее сообщает им о дне праздника. 
9	The big city east of the cranberry bogs has made Thanksgiving Day an institution. 	Великий город, расположенный на восток от поросших клюквой болот, возвел День Благодарения в национальную традицию. 
10	The last Thursday in November is the only day in the year on which it recognizes the part of America lying across the ferries. 	Последний четверг ноября - это единственный день в году, когда он признает существование остальной Америки, с которой его соединяют паромы. 
11	It is the one day that is purely American. 	Это единственный чисто американский день. 
12	Yes, a day of celebration, exclusively American. 	Да, единственный чисто американский праздник. 
13	And now for the story which is to prove to you that we have traditions on this side of the ocean that are becoming older at a much rapider rate than those of England are—thanks to our git-up and enterprise. 	А теперь приступим к рассказу, из которого будет видно, что и у нас, по эту сторону океана, существуют традиции, складывающиеся гораздо быстрее, чем в Англии, благодаря нашему упорству и предприимчивости. 
14	Stuffy Pete took his seat on the third bench to the right as you enter Union Square from the east, at the walk opposite the fountain. 	Стаффи Пит уселся на третьей скамейке направо, если войти в Юнион-сквер с восточной стороны, у дорожки напротив фонтана. 
15	Every Thanksgiving Day for nine years he had taken his seat there promptly at 1 o'clock. For every time he had done so things had happened to him—Charles Dickensy things that swelled his waistcoat above his heart, and equally on the other side. 	Вот уже девять лет, как в День Благодарения он приходил сюда ровно в час дня и садился на эту скамейку, и всегда после этого с ним происходило нечто — нечто в духе Диккенса, от чего жилет его высоко вздымался у него над сердцем, да и не только над сердцем. 
16	But to-day Stuffy Pete's appearance at the annual trysting place seemed to have been rather the result of habit than of the yearly hunger which, as the philanthropists seem to think, afflicts the poor at such extended intervals. 	Но в этот год появление Стаффи Пита на обычном месте объяснялось скорее привычкой, чем чувством голода, приступы которого, по мнению филантропов, мучают бедняков именно с такими длительными интервалами. 
17	Certainly Pete was not hungry. 	Пит безусловно не был голоден. 
18	He had just come from a feast that had left him of his powers barely those of respiration and locomotion. 	Он пришел с такого пиршества, что едва мог дышать и двигаться. 
19	His eyes were like two pale gooseberries firmly imbedded in a swollen and gravy-smeared mask of putty. 	Глаза его, напоминавшие две ягоды бесцветного крыжовника, казались воткнутыми во вздутую, лоснящуюся маску. 
20	His breath came in short wheezes; a senatorial roll of adipose tissue denied a fashionable set to his upturned coat collar. 	Дыханье с присвистом вырывалось из его груди, сенаторские складки жира на шее портили строгую линию поднятого воротника. 
21	Buttons that had been sewed upon his clothes by kind Salvation fingers a week before flew like popcorn, strewing the earth around him. 	Пуговицы, неделю тому назад пришитые к его одежде сострадательными пальчиками солдат Армии спасения, отскакивали, как зерна жареной кукурузы, и падали на землю у его ног. 
22	Ragged he was, with a split shirt front open to the wishbone; but the November breeze, carrying fine snowflakes, brought him only a grateful coolness. 	Он был в лохмотьях, рубашка его была разорвана на груди, и все же ноябрьский ветер с колючим снегом нес ему только желанную прохладу. 
23	For Stuffy Pete was overcharged with the caloric produced by a super-bountiful dinner, beginning with oysters and ending with plum pudding, and including (it seemed to him) all the roast turkey and baked potatoes and chicken salad and squash pie and ice cream in the world. 	Стаффи Пит был перегружен калориями — последствие экстраплотного обеда, начатого с устриц, законченного сливовым пудингом и включавшего, как показалось Стаффи, все существующее на свете количество индеек, печеной картошки, салата из цыплят, слоеных пирогов и мороженого. 
