	en	ru
0	THE RANSOM OF RED CHIEF 	О'Генри Вождь краснокожих 
1	It looked like a good thing: but wait till I tell you. 	Дельце как будто подвертывалось выгодное. 
2	We were down South, in Alabama—Bill Driscoll and myself—when this kidnapping idea struck us. 	Но погодите, дайте я вам сначала расскажу. Мы были тогда с Биллом Дрисколлом на Юге, в штате Алабама. Там нас и осенила блестящая идея насчет похищения. 
3	"It was, as Bill afterward expressed it, ""during a moment of temporary mental apparition""; but we didn't find that out till later. "	"Должно быть, как говаривал потом Билл, ""нашло временное помрачение ума"", - только мы-то об этом догадались много позже. "
4	There was a town down there, as flat as a flannel-cake, and called Summit, of course. 	"Есть там один городишко, плоский, как блин, и, конечно, называется ""Вершины"". "
5	It contained inhabitants of as undeleterious and self-satisfied a class of peasantry as ever clustered around a Maypole. 	Живет в нем самая безобидная и всем довольная деревенщина, какой впору только плясать вокруг майского шеста. 
6	Bill and me had a joint capital of about six hundred dollars, and we needed just two thousand dollars more to pull off a fraudulent town-lot scheme in Western Illinois with. 	У нас с Биллом было в то время долларов шестьсот объединенного капитала, а требовалось нам еще ровно две тысячи на проведение жульнической спекуляции земельными участками в Западном Иллинойсе. 
7	We talked it over on the front steps of the hotel. 	Мы поговорили об этом, сидя на крыльце гостиницы. 
8	Philoprogenitiveness, says we, is strong in semi-rural communities; therefore and for other reasons, a kidnapping project ought to do better there than in the radius of newspapers that send reporters out in plain clothes to stir up talk about such things. 	Чадолюбие, говорили мы, сильно развито в полудеревенских общинах; а поэтому, а также и по другим причинам план похищения легче будет осуществить здесь, чем в радиусе действия газет, которые поднимают в таких случаях шум, рассылая во все стороны переодетых корреспондентов. 
9	We knew that Summit couldn't get after us with anything stronger than constables and maybe some lackadaisical bloodhounds and a diatribe or two in the Weekly Farmers' Budget. 	"Мы знали, ""что городишко не может послать за нами в погоню ничего страшнее констеблей, да каких-нибудь сентиментальных ищеек, да двух-трех обличительных заметок в ""Еженедельном бюджете фермера"". "
10	So, it looked good. 	Как будто получалось недурно. 
11	We selected for our victim the only child of a prominent citizen named Ebenezer Dorset. 	Мы выбрали нашей жертвой единственного сына самого видного из горожан, по имени Эбенезер Дорсет. 
12	The father was respectable and tight, a mortgage fancier and a stern, upright collection-plate passer and forecloser. 	Папаша был человек почтенный и прижимистый, любитель просроченных закладных, честный и неподкупный церковный сборщик. 
13	The kid was a boy of ten, with bas-relief freckles, and hair the colour of the cover of the magazine you buy at the news-stand when you want to catch a train. 	Сынок был мальчишка лет десяти, с выпуклыми веснушками по всему лицу и волосами приблизительно такого цвета, как обложка журнала, который покупаешь обычно в киоске, спеша на поезд. 
14	Bill and me figured that Ebenezer would melt down for a ransom of two thousand dollars to a cent. 	Мы с Биллом рассчитывали, что Эбенезер сразу выложит нам за сынка две тысячи долларов, никак не меньше. 
15	But wait till I tell you. 	Но погодите, дайте я вам сначала расскажу. 
16	About two miles from Summit was a little mountain, covered with a dense cedar brake. 	Милях в двух от города есть невысокая гора, поросшая густым кедровником. 
17	On the rear elevation of this mountain was a cave. 	В заднем склоне этой горы имеется пещера. 
18	There we stored provisions. 	Там мы сложили провизию. 
19	One evening after sundown, we drove in a buggy past old Dorset's house. 	Однажды вечером, после захода солнца, мы проехались в шарабане мимо дома старика Дорсета. 
20	The kid was in the street, throwing rocks at a kitten on the opposite fence. 	Мальчишка был на улице и швырял камнями в котенка, сидевшего на заборе. 
21	"""Hey, little boy!"" says Bill, ""would you like to have a bag of candy and a nice ride?"" "	- Эй, мальчик! - говорил Билл. - Хочешь получить пакетик леденцов и прокатиться? 
22	The boy catches Bill neatly in the eye with a piece of brick. 	Мальчишка засветил Биллу в самый глаз обломком кирпича. 
23	"""That will cost the old man an extra five hundred dollars,"" says Bill, climbing over the wheel. "	- Это обойдется старику в лишних пятьсот долларов, сказал Билл, перелезая через колесо. 
24	That boy put up a fight like a welter-weight cinnamon bear; but, at last, we got him down in the bottom of the buggy and drove away. 	Мальчишка этот дрался, как бурый медведь среднего веса, но в конце концов мы его запихали на дно шарабана и поехали. 
25	We took him up to the cave and I hitched the horse in the cedar brake. 	Мы отвели мальчишку в пещеру, а лошадь я привязал в кедровнике. 
26	After dark I drove the buggy to the little village, three miles away, where we had hired it, and walked back to the mountain. 	Когда стемнело, я отвез шарабан в деревушку, где мы его нанимали, милях в трех от нас, а оттуда прогулялся к горе пешком. 
27	Bill was pasting court-plaster over the scratches and bruises on his features. 	Смотрю, Билл заклеивает липким пластырем царапины и ссадины на своей физиономии. 
28	There was a fire burning behind the big rock at the entrance of the cave, and the boy was watching a pot of boiling coffee, with two buzzard tail-feathers stuck in his red hair. 	Позади большой скалы у входа в пещеру горит костер, и мальчишка с двумя ястребиными перьями в рыжих волосах следит за кипящим кофейником. 
29	He points a stick at me when I come up, and says: 	Подхожу я, а он нацелился в меня палкой и говорит: 
30	"""Ha! cursed paleface, do you dare to enter the camp of Red Chief, the terror of the plains? "	- А, проклятый бледнолицый, как ты смеешь являться в лагерь Вождя Краснокожих, грозы равнин? 
31	"""He's all right now,"" says Bill, rolling up his trousers and examining some bruises on his shins. "	- Сейчас он еще ничего, - говорит Билл, закатывая штаны, чтобы разглядеть ссадины на голенях. 
32	"""We're playing Indian. "	- Мы играем в индейцев. 
33	We're making Buffalo Bill's show look like magic-lantern views of Palestine in the town hall. 	Цирк по сравнению с нами - просто виды Палестины в волшебном фонаре. 
34	I'm Old Hank, the Trapper, Red Chief's captive, and I'm to be scalped at daybreak. 	Я старый охотник Хенк, пленник Вождя Краснокожих, и на рассвете с меня снимут скальп. 
35	"By Geronimo! that kid can kick hard."" "	Святые мученики! И здоров же лягаться этот мальчишка! 
36	Yes, sir, that boy seemed to be having the time of his life. 	Да, сэр, мальчишка, видимо, веселился вовсю. 
37	The fun of camping out in a cave had made him forget that he was a captive himself. 	Жить в пещере ему понравилось, он и думать забыл, что он сам пленник. 
38	He immediately christened me Snake-eye, the Spy, and announced that, when his braves returned from the warpath, I was to be broiled at the stake at the rising of the sun. 	Меня он тут же окрестил Змеиным Глазом и Соглядатаем и объявил, что, когда его храбрые воины вернутся из похода, я буду изжарен на костре, как только взойдет солнце. 
39	Then we had supper; and he filled his mouth full of bacon and bread and gravy, and began to talk. 	Потом мы сели ужинать, и мальчишка, набив рот хлебом с грудинкой, начал болтать. 
40	He made a during-dinner speech something like this: 	Он произнес застольную речь в таком роде: 
41	"""I like this fine. "	- Мне тут здорово нравится. 
42	I never camped out before; but I had a pet 'possum once, and I was nine last birthday. 	Я никогда еще не жил в лесу; зато у меня был один раз ручной опоссум, а в прошлый день рождения мне исполнилось девять лет. 
43	I hate to go to school. 	Терпеть не могу ходить в школу. 
44	Rats ate up sixteen of Jimmy Talbot's aunt's speckled hen's eggs. 	Крысы сожрали шестнадцать штук яиц из-под рябой курицы тетки Джимми Талбота. 
45	Are there any real Indians in these woods? 	А настоящие индейцы тут в лесу есть? 
46	I want some more gravy. 	Я хочу еще подливки. 
47	Does the trees moving make the wind blow? 	Ветер отчего дует? Оттого, что деревья качаются? 
48	We had five puppies. 	У нас было пять штук щенят. 
49	What makes your nose so red, Hank? 	Хенк, отчего у тебя нос такой красный? 
50	My father has lots of money. 	У моего отца денег видимоневидимо. 
51	Are the stars hot? 	А звезды горячие? 
52	I whipped Ed Walker twice, Saturday. 	В субботу я два раза отлупил Эда Уокера. 
53	I don't like girls. 	Не люблю девчонок! 
54	You dassent catch toads unless with a string. 	Жабу не очень-то поймаешь, разве только на веревочку. 
55	Do oxen make any noise? 	Быки ревут или нет? 
56	Why are oranges round? 	Почему апельсины круглые? 
57	Have you got beds to sleep on in this cave? 	А кровати у вас в пещере есть? 
58	Amos Murray has got six toes. 	Амос Меррей - шестипалый. 
59	A parrot can talk, but a monkey or a fish can't. 	Попугай умеет говорить, а обезьяна и рыба нет. 
60	"How many does it take to make twelve?"" "	Дюжина - это сколько будет? 
61	Every few minutes he would remember that he was a pesky redskin, and pick up his stick rifle and tiptoe to the mouth of the cave to rubber for the scouts of the hated paleface. 	Каждые пять минут мальчишка вспоминал, что он краснокожий, и, схватив палку, которую он называл ружьем, крался на цыпочках ко входу в пещеру выслеживать лазутчиков ненавистных бледнолицых. 
62	Now and then he would let out a war-whoop that made Old Hank the Trapper shiver. That boy had Bill terrorized from the start. 	Время от времени он испускал военный клич, от которого бросало в дрожь старого охотника Хенка, Билла этот мальчишка запугал с самого начала. 
63	"""Red Chief,"" says I to the kid, ""would you like to go home?"" "	- Вождь Краснокожих, - говорю я ему, - а домой тебе разве не хочется? 
64	"""Aw, what for?"" says he. "	- А ну их, чего я там не видал? - говорит он. 
65	"""I don't have any fun at home. "	- Дома ничего нет интересного. 
66	I hate to go to school. 	В школу ходить я не люблю. 
67	I like to camp out. 	Мне нравится жить в лесу. 
68	"You won't take me back home again, Snake-eye, will you?"" "	Ты ведь не отведешь меня домой. Змеиный Глаз? 
69	"""Not right away,"" says I. "	- Пока не собираюсь, - говорю я. 
70	"""We'll stay here in the cave a while."" "	- Мы еще поживем тут в пещере. 
71	"""All right!"" says he. "	- Ну ладно, - говорит он. 
72	"""That'll be fine. "	- Вот здорово! 
73	"I never had such fun in all my life."" "	Мне никогда в жизни не было так весело. 
74	We went to bed about eleven o'clock. 	Мы легли спать часов в одиннадцать. 
75	We spread down some wide blankets and quilts and put Red Chief between us. 	Расстелили на землю шерстяные и стеганые одеяла, посередине уложили Вождя Краснокожих, а сами легли с краю. 
76	We weren't afraid he'd run away. 	Что он сбежит, мы не боялись. 
77	"He kept us awake for three hours, jumping up and reaching for his rifle and screeching: ""Hist! pard,"" in mine and Bill's ears, as the fancied crackle of a twig or the rustle of a leaf revealed to his young imagination the stealthy approach of the outlaw band. "	"Часа три он, не давая нам спать, все вскакивал, хватал свое ружье; при каждом треске сучка и шорохе листьев, его юному воображению чудилось, будто к пещере подкрадывается шайка разбойников, и он верещал на ухо то мне, то Биллу: ""Тише, приятель!"" "
78	At last, I fell into a troubled sleep, and dreamed that I had been kidnapped and chained to a tree by a ferocious pirate with red hair. 	Под конец я заснул тревожным сном и во сне видел, будто меня похитил и приковал к дереву свирепый пират с рыжими волосами. 
79	Just at daybreak, I was awakened by a series of awful screams from Bill. 	На рассвете меня разбудил страшный визг Билла. 
80	They weren't yells, or howls, or shouts, or whoops, or yawps, such as you'd expect from a manly set of vocal organs—they were simply indecent, terrifying, humiliating screams, such as women emit when they see ghosts or caterpillars. 	Не крики, или вопли, или вой, или рев, какого можно было бы ожидать от голосовых связок мужчины, - нет, прямо-таки неприличный, ужасающий, унизительный визг, каким визжат женщины, увидев привидение или гусеницу. 
81	It's an awful thing to hear a strong, desperate, fat man scream incontinently in a cave at daybreak. 	Ужасно слышать, как на утренней заре в пещере визжит без умолку толстый, сильный, отчаянной храбрости мужчина. 
82	I jumped up to see what the matter was. 	Я вскочил с постели посмотреть, что такое делается. 
83	Red Chief was sitting on Bill's chest, with one hand twined in Bill's hair. 	Вождь Краснокожих сидел на груди Билла, вцепившись одной рукой ему в волосы. 
84	In the other he had the sharp case-knife we used for slicing bacon; and he was industriously and realistically trying to take Bill's scalp, according to the sentence that had been pronounced upon him the evening before. 	В другой руке он держал острый ножик, которым мы обыкновенно резали грудинку, и самым деловитым и недвусмысленным образом пытался снять с Билла скальп, выполняя приговор, который вынес ему вчера вечером. 
85	I got the knife away from the kid and made him lie down again. 	Я отнял у мальчишки ножик и опять уложил его спать. 
86	But, from that moment, Bill's spirit was broken. 	Но с этой самой минуты дух Билла был сломлен. 
87	He laid down on his side of the bed, but he never closed an eye again in sleep as long as that boy was with us. 	Он улегся на своем краю постели, однако больше уже не сомкнул глаз за все то время, что мальчик был с нами. 
