	en	ru
0	The War of the Worlds by H. 	Герберт Джордж Уэллс 
1	G. 	Война миров 
2	Wells [1898] 	Часть первая 
3	THE COMING OF THE MARTIANS CHAPTER ONE THE EVE OF THE WAR 	«Прибытие марсиан» 
4	No one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than man's and yet as mortal as his own; that as men busied themselves about their various concerns they were scrutinised and studied, perhaps almost as narrowly as a man with a microscope might scrutinise the transient creatures that swarm and multiply in a drop of water. 	1.  Накануне войны Никто не поверил бы в последние годы девятнадцатого столетия, что за всем происходящим на Земле зорко и внимательно следят существа более развитые, чем человек, хотя такие же смертные, как и он; что в то время, как люди занимались своими делами, их исследовали и изучали, может быть, так же тщательно, как человек в микроскоп изучает эфемерных тварей, кишащих и размножающихся в капле воды. 
5	With infinite complacency men went to and fro over this globe about their little affairs, serene in their assurance of their empire over matter. 	С бесконечным самодовольством сновали люди по всему земному шару, занятые своими делишками, уверенные в своей власти над материей. 
6	It is possible that the infusoria under the microscope do the same. 	Возможно, что инфузория под микроскопом ведет себя так же. 
7	No one gave a thought to the older worlds of space as sources of human danger, or thought of them only to dismiss the idea of life upon them as impossible or improbable. 	Никому не приходило в голову, что более старые миры вселенной – источник опасности для человеческого рода; самая мысль о какой‑либо жизни на них казалась недопустимой и невероятной. 
8	It is curious to recall some of the mental habits of those departed days. 	Забавно вспомнить некоторые общепринятые в те дни взгляды. 
9	At most terrestrial men fancied there might be other men upon Mars, perhaps inferior to themselves and ready to welcome a missionary enterprise. 	Самое большее, допускалось, что на Марсе живут другие люди, вероятно, менее развитые, чем мы, но, во всяком случае, готовые дружески встретить нас как гостей, несущих им просвещение. 
10	Yet across the gulf of space, minds that are to our minds as ours are to those of the beasts that perish, intellects vast and cool and unsympathetic, regarded this earth with envious eyes, and slowly and surely drew their plans against us. 	А между тем через бездну пространства на Землю смотрели глазами, полными зависти, существа с высокоразвитым, холодным, бесчувственным интеллектом, превосходящие нас настолько, насколько мы превосходим вымерших животных, и медленно, но верно вырабатывали свои враждебные нам планы. 
11	And early in the twentieth century came the great disillusionment. 	На заре двадцатого века наши иллюзии были разрушены. 
