	en	ru
0	Chapter 1 	Джейн Остен Гордость и предубеждение КНИГА ПЕРВАЯ ГЛАВА I 
1	It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. 	Все знают, что молодой человек, располагающий средствами, должен подыскивать себе жену. 
2	However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered the rightful property of some one or other of their daughters. 	Как бы мало ни были известны намерения и взгляды такого человека после того, как он поселился на новом месте, эта истина настолько прочно овладевает умами неподалеку живущих семейств, что на него тут же начинают смотреть как на законную добычу той или другой соседской дочки. 
3	"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" "	— Дорогой мистер Беннет, — сказала как-то раз миссис Беннет своему мужу, — слышали вы, что Незерфилд-парк наконец больше не будет пустовать? 
4	Mr. Bennet replied that he had not. 	Мистер Беннет ответил, что он этого не слышал. 
5	"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" "	— Тем не менее это так, — продолжала она. — Только что заходила миссис Лонг и сообщила мне эту новость! 
6	Mr. Bennet made no answer. 	Мистер Беннет промолчал. 
7	"""Do you not want to know who has taken it?"" cried his wife impatiently. "	— А хотелось бы вам знать, кто будет нашим новым соседом? — с нетерпением спросила его жена. 
8	"""You want to tell me, and I have no objection to hearing it."" "	— Готов вас выслушать, если вам очень хочется мне об этом сказать. 
9	This was invitation enough. 	Большего от него не требовалось. 
10	"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it, that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" "	— Ну так слушайте, мой дорогой, — продолжала миссис Беннет. — Незерфилд, по словам миссис Лонг, снят очень богатым молодым человеком из Северной Англии. В понедельник он приезжал туда в карете, запряженной четверкой лошадей, осмотрел поместье и пришел в такой восторг, что тут же условился обо всем с мистером Моррисом. Он переезжает к Михайлову дню, и уже в конце будущей недели туда приедет кое-кто из его прислуги. 
11	"""What is his name?"" "	— А как его зовут? 
12	"""Bingley."" "	— Бингли. 
13	"""Is he married or single?"" "	— Он женат или холост? 
14	"""Oh! Single, my dear, to be sure! "	— Холост, дорогой, в том-то и дело, что холост! 
15	A single man of large fortune; four or five thousand a year. 	Молодой холостяк с доходом в четыре или пять тысяч в год! 
16	"What a fine thing for our girls!"" "	Не правда ли, удачный случай для наших девочек? 
17	"""How so? "	— Как так? 
18	"How can it affect them?"" "	Разве это имеет к ним отношение? 
19	"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! "	— Дорогой мистер Беннет, — ответила его жена, — сегодня вы просто невыносимы. 
20	"You must know that I am thinking of his marrying one of them."" "	Разумеется, вы понимаете, что я имею в виду его женитьбу на одной из них. 
21	"""Is that his design in settling here?"" "	— Гм, таковы его планы? 
22	"""Design! "	— Планы! 
23	Nonsense, how can you talk so! 	Боже мой, скажете же вы иной раз! 
24	"But it is very likely that he may fall in love with one of them, and therefore you must visit him as soon as he comes."" "	Но ведь может вполне случиться, что он в одну из них влюбится. Поэтому, как только он приедет, вам необходимо будет нанести ему визит. 
25	"""I see no occasion for that. "	— Я, признаюсь, не вижу к тому достаточных оснований. 
26	"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley may like you the best of the party."" "	Поезжайте-ка вы сами с девочками. Или пошлите их одних — это, возможно, будет еще лучше. Не то вдруг он вздумает влюбиться в вас — ведь вы ничуть не менее привлекательны, чем любая из наших дочек. 
27	"""My dear, you flatter me. "	— Вы мне льстите, дорогой. 
28	I certainly have had my share of beauty, but I do not pretend to be anything extraordinary now. 	Когда-то я и в самом деле была не лишена привлекательности. Но сейчас, увы, я уже не претендую на то, чтобы слыть красавицей. 
29	"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty."" "	Женщине, у которой пять взрослых дочерей, не следует много думать о собственной красоте. 
30	"""In such cases, a woman has not often much beauty to think of."" "	— В этих обстоятельствах у женщины не часто остается столько красоты, чтобы о ней приходилось особенно много думать. 
31	"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood."" "	— Но, мой друг, вам непременно следует навестить мистера Бингли, как только он появится. 
