	en	ru
0	Of course there are two sides to the question. 	Конечно, у этой проблемы есть две стороны. 
1	Let us look at the other. 	Рассмотрим вторую. 
2	"We often hear ""shop-girls"" spoken of. "	Нередко приходится слышать о «продавщицах». 
3	No such persons exist. 	Но их не существует. 
4	There are girls who work in shops. 	Есть девушки, которые работают в магазинах. 
5	They make their living that way. 	Это их профессия. 
6	But why turn their occupation into an adjective? 	Однако с какой стати название профессии превращать в определение человека? 
7	Let us be fair. 	Будем справедливы. 
8	"We do not refer to the girls who live on Fifth Avenue as ""marriage-girls."" "	Ведь мы не именуем девушек, живущих на Пятой авеню, «невестами». 
9	Lou and Nancy were chums. 	Лу и Нэнси были подругами. 
10	They came to the big city to find work because there was not enough to eat at their homes to go around. 	Они приехали в Нью-Йорк искать работы, потому что родители не могли их прокормить. 
11	Nancy was nineteen; Lou was twenty. 	Нэнси было девятнадцать лет, Лу — двадцать. 
12	Both were pretty, active, country girls who had no ambition to go on the stage. 	Это были хорошенькие трудолюбивые девушки из провинции, не мечтавшие о сценической карьере. 
13	The little cherub that sits up aloft guided them to a cheap and respectable boarding-house. 	Ангел-хранитель привел их в дешевый и приличный пансион. 
14	Both found positions and became wage-earners. 	Обе нашли место и начали самостоятельную жизнь. 
15	They remained chums. 	Они остались подругами. 
16	It is at the end of six months that I would beg you to step forward and be introduced to them. 	Разрешите теперь, по прошествии шести месяцев, познакомить вас: Назойливый Читатель — мои добрые друзья мисс Нэнси и мисс Лу. 
17	Meddlesome Reader: My Lady friends, Miss Nancy and Miss Lou. 	Раскланиваясь, обратите внимание — только незаметно, — как они одеты. 
18	While you are shaking hands please take notice—cautiously—of their attire. 	Но только незаметно! 
19	Yes, cautiously; for they are as quick to resent a stare as a lady in a box at the horse show is. 	Они так же не любят, чтобы на них глазели, как дама в ложе на скачках. 
20	Lou is a piece-work ironer in a hand laundry. 	Лу работает сдельно гладильщицей в ручной прачечной. 
21	She is clothed in a badly-fitting purple dress, and her hat plume is four inches too long; but her ermine muff and scarf cost $25, and its fellow beasts will be ticketed in the windows at $7.98 before the season is over. 	Пурпурное платье плохо сидит на ней, перо на шляпе на четыре дюйма длиннее, чем следует, но ее горностаевая муфта и горжетка стоят двадцать пять долларов, а к концу сезона собратья этих горностаев будут красоваться в витринах, снабженные ярлыками «7 долларов 98 центов». 
22	Her cheeks are pink, and her light blue eyes bright. 	У нее розовые щеки и блестящие голубые глаза. 
23	Contentment radiates from her. 	По всему видно, что она вполне довольна жизнью. 
24	Nancy you would call a shop-girl—because you have the habit. 	Нэнси вы назовете продавщицей — по привычке. 
25	There is no type; but a perverse generation is always seeking a type; so this is what the type should be. 	Такого типа не существует. Но поскольку пресыщенное поколение повсюду ищет тип, ее можно назвать «типичной продавщицей». 
26	She has the high-ratted pompadour, and the exaggerated straight-front. 	У нее высокая прическа помпадур и корректнейшая английская блузка. 
27	Her skirt is shoddy, but has the correct flare. 	Юбка ее безупречного покроя, хотя и из дешевой материи. 
28	No furs protect her against the bitter spring air, but she wears her short broadcloth jacket as jauntily as though it were Persian lamb! 	Нэнси не кутается, в меха от резкого весеннего ветра, но свой короткий суконный жакет она носит с таким шиком, как будто это каракулевое манто. 
29	On her face and in her eyes, remorseless type-seeker, is the typical shop-girl expression. It is a look of silent but contemptuous revolt against cheated womanhood; of sad prophecy of the vengeance to come. 	Ее лицо, ее глаза, о безжалостный охотник за типами, хранят выражение, типичное для продавщицы: безмолвное, презрительное негодование попранной женственности, горькое обещание грядущей мести. 
30	When she laughs her loudest the look is still there. 	Это выражение не исчезает, даже когда она весело смеется. 
31	The same look can be seen in the eyes of Russian peasants; and those of us left will see it some day on Gabriel's face when he comes to blow us up. 	То же выражение, можно увидеть в глазах русских крестьян, и те из нас, кто доживет, узрят его на лице архангела Гавриила, когда он затрубит последний сбор. 
32	It is a look that should wither and abash man; but he has been known to smirk at it and offer flowers—with a string tied to them. 	Это выражение должно было бы смутить и уничтожить мужчину, однако он чаще ухмыляется и преподносит букет за которым тянется веревочка. 
33	Now lift your hat and come away, while you receive Lou's cheery 	А теперь приподнимите шляпу и уходите, получив на прощанье веселое «до скорого!» 
34	"""See you again,"" and the sardonic, sweet smile of Nancy that seems, somehow, to miss you and go fluttering like a white moth up over the housetops to the stars. "	Лу и насмешливую, нежную улыбку Нэнси, улыбку, которую вам почему-то не удается поймать, и она, как белая ночная бабочка, трепеща, поднимается над крышами домов к звездам. 
35	The two waited on the corner for Dan. 	Девушки ждали на углу Дэна. 
36	Dan was Lou's steady company. 	Дэн был верный поклонник Лу. 
37	Faithful? 	Преданный? 
38	Well, he was on hand when Mary would have had to hire a dozen subpoena servers to find her lamb. 	Он был бы при ней и тогда, когда Мэри пришлось бы разыскивать свою овечку[1] при помощи наемных сыщиков. 
39	"""Ain't you cold, Nance?"" said Lou. "	— Тебе не холодно, Нэнси? — заметила Лу. 
40	"""Say, what a chump you are for working in that old store for $8. a week! "	— Ну и дура ты! Торчишь в этой лавчонке за восемь долларов в неделю! 
41	I made $18.50 last week. 	На прошлой неделе я заработала восемнадцать пятьдесят. 
42	Of course ironing ain't as swell work as selling lace behind a counter, but it pays. 	Конечно, гладить не так шикарно, — как продавать кружева за прилавком, зато плата хорошая. 
43	None of us ironers make less than $10. 	Никто из наших гладильщиц меньше десяти долларов не получает. 
44	"And I don't know that it's any less respectful work, either."" "	И эта работа ничем не унизительнее твоей. 
45	"""You can have it,"" said Nancy, with uplifted nose. ""I'll take my eight a week and hall bedroom. "	— Ну, и бери ее себе, — сказала Нэнси, вздернув нос, — а мне хватит моих восьми долларов и одной комнаты. 
46	I like to be among nice things and swell people. 	Я люблю, чтобы вокруг были красивые вещи и шикарная публика. 
47	And look what a chance I've got! 	И потом, какие там возможности! 
48	Why, one of our glove girls married a Pittsburg—steel maker, or blacksmith or something—the other day worth a million dollars. 	У нас в отделе перчаток одна вышла за литейщика или как там его, — кузнеца, из Питсбурга. Он миллионер! 
49	I'll catch a swell myself some time. 	И я могу подцепить не хуже. 
50	I ain't bragging on my looks or anything; but I'll take my chances where there's big prizes offered. 	Я вовсе не хочу хвастать своей наружностью, но я по мелочам не играю. 
51	"What show would a girl have in a laundry?"" "	Ну, а в прачечной какие у девушки возможности? 
52	"""Why, that's where I met Dan,"" said Lou, triumphantly. "	— Там я познакомилась с Дэном! — победоносно заявила Лу. 
53	"""He came in for his Sunday shirt and collars and saw me at the first board, ironing. "	— Он зашел за своей воскресной рубашкой и воротничками, а я гладила на первой доске. 
54	We all try to get to work at the first board. 	У нас все хотят работать за первой доской. 
55	Ella Maginnis was sick that day, and I had her place. 	В этот день Элла Меджинниз заболела, и я заняла ее место. 
56	He said he noticed my arms first, how round and white they was. I had my sleeves rolled up. 	Он говорит, что сперва заметил мои руки — такие белые и круглые; У, меня были закатаны рукава. 
57	Some nice fellows come into laundries. 	В прачечные заходят очень приличные люди. 
58	"You can tell 'em by their bringing their clothes in suit cases; and turning in the door sharp and sudden."" "	Их сразу видно: они белье приносят в чемоданчике и в дверях не болтаются. 
59	"""How can you wear a waist like that, Lou?"" said Nancy, gazing down at the offending article with sweet scorn in her heavy-lidded eyes. "	— Как ты можешь носить такую блузку, Лу? — спросила Нэнси, бросив из-под тяжелых век томно-насмешливый взгляд на пестрый туалет подруги. 
60	"""It shows fierce taste."" "	— Ну и вкус же у тебя! 
61	"""This waist?"" cried Lou, with wide-eyed indignation. "	— А что? — вознегодовала Лу. 
62	"""Why, I paid $16. for this waist. It's worth twenty-five. "	— За эту блузку я шестнадцать долларов заплатила; а стоит она двадцать пять. 
63	A woman left it to be laundered, and never called for it. 	Какая-то женщина сдала ее в стирку, да так и не забрала. 
64	The boss sold it to me. 	Хозяин продал ее мне. 
65	It's got yards and yards of hand embroidery on it. 	Она вся в ручной вышивке! 
66	"Better talk about that ugly, plain thing you've got on."" "	Ты лучше скажи, что это на тебе за серое безобразие? 
67	"""This ugly, plain thing,"" said Nancy, calmly, ""was copied from one that Mrs. Van Alstyne Fisher was wearing. "	— Это серое безобразие, — холодно сказала Нэнси, — точная копия того безобразия, которое носит миссис ван Олстин Фишер. 
68	The girls say her bill in the store last year was $12,000. 	Девушки говорят, что в прошлом году у нее в нашем магазине счет был двенадцать тысяч долларов. 
69	I made mine, myself. 	Мою юбку я сшила сама. 
70	It cost me $1.50. 	Она обошлась мне в полтора доллара. 
71	"Ten feet away you couldn't tell it from hers."" "	3а пять шагов ты их не различишь. 
72	"""Oh, well,"" said Lou, good-naturedly, ""if you want to starve and put on airs, go ahead. "	— Ладно, уж! — добродушно сказала Лу. — Если хочешь голодать и важничать — дело твое. 
73	"But I'll take my job and good wages; and after hours give me something as fancy and attractive to wear as I am able to buy."" "	А мне годится и моя работа, только бы платили хорошо; зато уж после работы я хочу носить самое нарядное, что мне по карману. 
74	But just then Dan came—a serious young man with a ready-made necktie, who had escaped the city's brand of frivolity—an electrician earning 30 dollars per week who looked upon Lou with the sad eyes of Romeo, and thought her embroidered waist a web in which any fly should delight to be caught. 	Тут появился Дэн, монтер (с заработком тридцать долларов в неделю), серьезный юноша в дешевом галстуке, избежавший печати развязности, которую город накладывает на молодежь. Он взирал на Лу печальными глазами Ромео, и ее вышитая блузка казалась ему паутиной, запутаться в которой сочтет за счастье любая муха. 
75	"""My friend, Mr. Owens—shake hands with Miss Danforth,"" said Lou. "	— Мой друг мистер Оуэне — познакомьтесь с мисс Дэнфорс, — представила Лу. 
76	"""I'm mighty glad to know you, Miss Danforth,"" said Dan, with outstretched hand. "	— Очень рад, мисс Дэнфорс, — сказал Дэн, протягивая руку. 
77	"""I've heard Lou speak of you so often."" "	— Лу много говорила о вас. 
78	"""Thanks,"" said Nancy, touching his fingers with the tips of her cool ones, "	— Благодарю, — сказала Нэнси и дотронулась до его ладони кончиками холодных пальцев. 
79	"""I've heard her mention you—a few times."" "	— Она упоминала о вас — иногда. 
80	Lou giggled. 	Лу хихикнула. 
81	"""Did you get that handshake from Mrs. Van Alstyne Fisher, Nance?"" she asked. "	— Это рукопожатие ты подцепила у миссис ван Олстин Фишер? — спросила она. 
82	"""If I did, you can feel safe in copying it,"" said Nancy. "	— Тем более можешь быть уверена, что ему стоит научиться, — сказала Нэнси. 
83	"""Oh, I couldn't use it, at all. "	— Ну, мне оно ни к чему. 
84	It's too stylish for me. 	Очень уж тонно. 
85	It's intended to set off diamond rings, that high shake is. 	Придумано, чтобы щеголять брильянтовыми кольцами. 
86	"Wait till I get a few and then I'll try it."" "	Вот когда они у меня будут, я попробую. 
87	"""Learn it first,"" said Nancy wisely, ""and you'll be more likely to get the rings."" "	— Сначала научись, — благоразумно заметила Нэнси, — тогда и кольца скорее появятся. 
88	"""Now, to settle this argument,"" said Dan, with his ready, cheerful smile, ""let me make a proposition. "	— Ну, чтобы покончить с этим спором, — вмешался Дэн, как всегда весело улыбаясь, — позвольте мне внести предложение. 
89	As I can't take both of you up to Tiffany's and do the right thing, what do you say to a little vaudeville? 	Поскольку я не могу пригласить вас обеих в ювелирный магазин, может быть отправимся в оперетку? 
90	I've got the rickets. 	У меня есть билеты. 
91	"How about looking at stage diamonds since we can't shake hands with the real sparklers?"" "	Давайте поглядим на театральные брильянты, раз уж настоящие камешки не про нас. 
92	The faithful squire took his place close to the curb; Lou next, a little peacocky in her bright and pretty clothes; Nancy on the inside, slender, and soberly clothed as the sparrow, but with the true Van Alstyne Fisher walk—thus they set out for their evening's moderate diversion. 	Верный рыцарь занял свое место у края тротуара, рядом шла Лу в пышном павлиньем наряде, а затем Нэнси, стройная, скромная, как воробышек, но с манерами подлинной миссис ван Олстин Фишер, — так они отправились на поиски своих нехитрых развлечений. 
93	I do not suppose that many look upon a great department store as an educational institution. 	Немногие, я думаю, сочли бы большой универсальный магазин учебным заведением. 
94	But the one in which Nancy worked was something like that to her. 	Но для Нэнси ее магазин был самой настоящей школой. 
95	She was surrounded by beautiful things that breathed of taste and refinement. 	Ее окружали красивые вещи, дышавшие утонченным вкусом. 
96	If you live in an atmosphere of luxury, luxury is yours whether your money pays for it, or another's. 	Если вокруг вас роскошь, она принадлежит вам, кто бы за нее ни платил — вы или другие. 
97	The people she served were mostly women whose dress, manners, and position in the social world were quoted as criterions. 	Большинство ее покупателей были женщины с высоким положением в обществе, законодательницы мод и манер. 
98	From them Nancy began to take toll—the best from each according to her view. 	И с них Нэнси начала взимать дань-то, что ей больше всего нравилось в каждой. 
99	"From one she would copy and practice a gesture, from another an eloquent lifting of an eyebrow, from others, a manner of walking, of carrying a purse, of smiling, of greeting a friend, of addressing ""inferiors in station."" "	У одной она копировала жест, у другой — красноречивое движение бровей, у третьей — походку, манеру держать сумочку, улыбаться, здороваться с друзьями, обращаться к «низшим». 
100	From her best beloved model, Mrs. Van Alstyne Fisher, she made requisition for that excellent thing, a soft, low voice as clear as silver and as perfect in articulation as the notes of a thrush. 	А у своей излюбленной модели, миссис ван Олстин Фишер, она заимствовала нечто поистине замечательное-негромкий нежный голос, чистый, как серебро, музыкальный, как пение дрозда. 
101	Suffused in the aura of this high social refinement and good breeding, it was impossible for her to escape a deeper effect of it. 	Это пребывание в атмосфере высшей утонченности и хороших манер неизбежно должно было оказать на нее и более глубокое влияние. 
102	As good habits are said to be better than good principles, so, perhaps, good manners are better than good habits. 	Говорят, что хорошие привычки лучше хороших принципов. Возможно, хорошие манеры лучше хороших привычек. 
103	"The teachings of your parents may not keep alive your New England conscience; but if you sit on a straight-back chair and repeat the words ""prisms and pilgrims"" forty times the devil will flee from you. "	Родительские поучения могут и не спасти от гибели вашу пуританскую совесть; но если вы выпрямитесь на стуле, не касаясь спинки, и сорок раз повторите слова «призмы, пилигримы», сатана отыдет от вас. 
104	And when Nancy spoke in the Van Alstyne Fisher tones she felt the thrill of noblesse oblige to her very bones. 	И когда Нэнси прибегала к ван-олстин-фишеровской интонации, ее охватывал гордый трепет noblesse oblige[2]. 
105	There was another source of learning in the great departmental school. 	В этой универсальной школе были и другие источники познания. 
106	Whenever you see three or four shop-girls gather in a bunch and jingle their wire bracelets as an accompaniment to apparently frivolous conversation, do not think that they are there for the purpose of criticizing the way Ethel does her back hair. 	Когда вам доведется увидеть, что несколько продавщиц собрались в тесный кружок и позвякивают дутыми браслетами в такт, по-видимому, легкомысленной беседе, не думайте, что они обсуждают челку модницы Этель. 
107	The meeting may lack the dignity of the deliberative bodies of man; but it has all the importance of the occasion on which Eve and her first daughter first put their heads together to make Adam understand his proper place in the household. 	Может быть, этому сборищу не хватает спокойного достоинства мужского законодательного собрания, но важность его равна важности первого совещания Евы и ее старшей дочери о том, как поставить Адама на место. 
108	It is Woman's Conference for Common Defense and Exchange of Strategical Theories of Attack and Repulse upon and against the World, which is a Stage, and Man, its Audience who Persists in Throwing Bouquets Thereupon. 	Это — Женская Конференция Взаимопомощи и Обмена Стратегическими Теориями Нападения на и Защиты от Мира, Который есть Сцена, и от Зрителя-Мужчины, упорно Бросающего Букеты на Таковую. 
109	Woman, the most helpless of the young of any animal—with the fawn's grace but without its fleetness; with the bird's beauty but without its power of flight; with the honey-bee's burden of sweetness but without its—Oh, let's drop that simile—some of us may have been stung. 	Женщина — самое беспомощное из земных созданий, грациозная, как лань, но без ее быстроты, прекрасная, как птица, но без ее крыльев, полная сладости, как медоносная пчела, но без ее… Лучше бросим метафору — среди нас могут оказаться ужаленные. 
110	During this council of war they pass weapons one to another, and exchange stratagems that each has devised and formulated out of the tactics of life. 	На этом военном совете обмениваются оружием и делятся опытом, накопленным в жизненных стычках. 
111	"""I says to 'im,"" says Sadie, ""ain't you the fresh thing! "	— А я ему говорю: «Нахал! — говорит Сэди. — Как вы смеете говорить мне такие вещи? 
112	Who do you suppose I am, to be addressing such a remark to me? 	За кого вы меня принимаете?» А он мне отвечает… 
113	"And what do you think he says back to me?"" "	Головы-черные, каштановые, рыжие, белокурые и золотистые — сближаются. 
114	The heads, brown, black, flaxen, red, and yellow bob together; the answer is given; and the parry to the thrust is decided upon, to be used by each thereafter in passages-at-arms with the common enemy, man. 	Сообщается ответ, и совместно решается, как в дальнейшем парировать подобный выпад на дуэли с общим врагом-мужчиной. 
115	Thus Nancy learned the art of defense; and to women successful defense means victory. 	Так Нэнси училась искусству защиты, а для женщины успешная защита означает победу. 
116	The curriculum of a department store is a wide one. 	Учебная программа универсального магазина весьма обширна. 
117	Perhaps no other college could have fitted her as well for her life's ambition—the drawing of a matrimonial prize. 	И, пожалуй, ни один колледж не подготовил бы Нэнси так хорошо для осуществления ее заветного желания — выиграть в брачной лотерее. 
118	Her station in the store was a favored one. 	Ее прилавок был расположен очень удачно. 
119	The music room was near enough for her to hear and become familiar with the works of the best composers—at least to acquire the familiarity that passed for appreciation in the social world in which she was vaguely trying to set a tentative and aspiring foot. 	Рядом находился музыкальный отдел, и она познакомилась с произведениями крупнейших композиторов, по крайней мере настолько, насколько это требовалось, чтобы сойти за тонкую ценительницу в том неведомом «высшем свете», куда она робко надеялась проникнуть. 
120	She absorbed the educating influence of art wares, of costly and dainty fabrics, of adornments that are almost culture to women. 	Она впитывала возвышающую атмосферу художественных безделушек, красивых дорогих материй и ювелирных изделий, которые для женщины почти заменяют культуру. 
121	The other girls soon became aware of Nancy's ambition. 	Честолюбивые стремления Нэнси недолго оставались тайной для ее подруг. 
122	"""Here comes your millionaire, Nancy,"" they would call to her whenever any man who looked the rôle approached her counter. "	«Смотри, вон твой миллионер, Нэнси!» — раздавалось кругом, когда к ее прилавку приближался покупатель подходящей внешности. 
123	It got to be a habit of men, who were hanging about while their women folk were shopping, to stroll over to the handkerchief counter and dawdle over the cambric squares. Nancy's imitation high-bred air and genuine dainty beauty was what attracted. 	Постепенно у мужчин, слонявшихся без дела по магазину, пока их дамы занимались покупками, вошло в привычку останавливаться у прилавка с носовыми платками и не спеша перебирать батистовые квадратики Их привлекали поддельный светский тон Нэнси и ее неподдельная изящная красота. 
124	Many men thus came to display their graces before her. 	Желающих полюбезничать с ней было много. 
125	Some of them may have been millionaires; others were certainly no more than their sedulous apes. 	Некоторые из них, возможно, были миллионерами, остальные прилагали все усилия, чтобы сойти за таковых. 
126	Nancy learned to discriminate. 	Нэнси научилась различать. 
127	There was a window at the end of the handkerchief counter; and she could see the rows of vehicles waiting for the shoppers in the street below. 	Сбоку от ее прилавка было окно; за ним были видны ряды машин, ожидавших внизу покупателей. 
128	She looked and perceived that automobiles differ as well as do their owners. 	И Нэнси узнала, что автомобили, как и их владельцы, имеют свое лицо. 
129	Once a fascinating gentleman bought four dozen handkerchiefs, and wooed her across the counter with a King Cophetua air. 	Однажды обворожительный джентльмен, ухаживая за ней с видом короля Кофетуа, купил четыре дюжины носовых платков. 
130	When he had gone one of the girls said: 	Когда он ушел, одна из продавщиц спросила: 
131	"""What's wrong, Nance, that you didn't warm up to that fellow. "	— В чем дело, Нэн? Почему ты его спровадила? 
132	"He looks the swell article, all right, to me."" "	По-моему, товар что надо. 
133	"""Him?"" said Nancy, with her coolest, sweetest, most impersonal, Van Alstyne Fisher smile; ""not for mine. "	— Он-то? — сказала Нэнси с самой холодной, самой любезной, самой безразличной улыбкой из арсенала миссис ван Олстин Фишер. — Не для меня. 
134	I saw him drive up outside. 	Я видела, как он подъехал. 
135	A 12 H. P. machine and an Irish chauffeur! 	Машина в двенадцать лошадиных сил, и шофер — ирландец. 
136	And you saw what kind of handkerchiefs he bought—silk! 	А ты заметила, какие платки он купил — шелковые! 
137	And he's got dactylis on him. 	И у него кольцо с печаткой. 
138	"Give me the real thing or nothing, if you please."" "	Нет, мне подделок не надо. 
139	"Two of the most ""refined"" women in the store—a forelady and a cashier—had a few ""swell gentlemen friends"" with whom they now and then dined. "	У Двух самых «утонченных» дам магазина — заведующей отделом и кассирши — были «шикарные» кавалеры; которые иногда приглашали их в ресторан. 
140	Once they included Nancy in an invitation. 	Как-то они предложили Нэнси пойти те ними. 
141	The dinner took place in a spectacular café whose tables are engaged for New Year's eve a year in advance. 	Обед происходив в одном из тех модных кафе, где заказы на столики к Новому году принимаются за год вперед. 
142	"There were two ""gentlemen friends""—one without any hair on his head—high living ungrew it; and we can prove it—the other a young man whose worth and sophistication he impressed upon you in two convincing ways—he swore that all the wine was corked; and he wore diamond cuff buttons. "	«Шикарных» кавалеров было двое: один был лыс (его волосы развеял вихрь удовольствий — это нам достоверно известно), другой — молодой человек, который чрезвычайно убедительно доказывал свою значительность и пресыщенность жизнью, — во-первых, он клялся, что вино никуда не годится, а во-вторых, носил брильянтовые запонки. 
143	This young man perceived irresistible excellencies in Nancy. 	Этот юноша узрел в Нэнси массу неотразимых достоинств. 
144	His taste ran to shop-girls; and here was one that added the voice and manners of his high social world to the franker charms of her own caste. 	Он вообще был неравнодушен к продавщицам, а в этой безыскусственная простота ее класса соединялась с манерами его круга. 
145	So, on the following day, he appeared in the store and made her a serious proposal of marriage over a box of hem-stitched, grass-bleached Irish linens. 	И вот на следующий день он явился в магазин и сделал ей формальное предложение руки и сердца над коробкой платочков из беленого ирландского полотна. 
146	Nancy declined. 	Нэнси отказала. 
147	A brown pompadour ten feet away had been using her eyes and ears. 	В течение всей их беседы каштановая прическа помпадур по соседству напрягала зрение и слух. 
148	When the rejected suitor had gone she heaped carboys of upbraidings and horror upon Nancy's head. 	Когда отвергнутый влюбленный удалился, на голову Нэнси полились ядовитые потоки упреков и негодования. 
149	"""What a terrible little fool you are! "	— Идиотка! 
150	That fellow's a millionaire—he's a nephew of old Van Skittles himself. 	Это же миллионер — племянник самого ван Скиттлза. 
151	And he was talking on the level, too. 	И ведь он говорил всерьез. 
152	"Have you gone crazy, Nance?"" "	Нет, ты окончательно рехнулась, Нэн! 
153	"""Have I?"" said Nancy. "	— Ты думаешь? — сказала Нэнси. 
154	"""I didn't take him, did I? "	— Ах, значит, надо было согласиться? 
155	He isn't a millionaire so hard that you could notice it, anyhow. 	Прежде всего, он не такой уж миллионер. 
156	"His family only allows him $20,000 a year to spend. The bald-headed fellow was guying him about it the other night at supper."" "	Семьи дает ему всего двадцать тысяч в год на расходы, лысый вчера над этим смеялся. 
157	The brown pompadour came nearer and narrowed her eyes. 	Каштановая прическа придвинулась и прищурила глаза. 
158	"""Say, what do you want?"" she inquired, in a voice hoarse for lack of chewing-gum. "	— Что ты воображаешь? — вопросила она хриплым голосом (от волнения она забыла сунуть в рот жевательную резинку). 
159	"""Ain't that enough for you? "	— Тебе что, мало? 
