	en	ru
0	Project Gutenberg's Twenty Thousand Leagues under the Sea, by Jules Verne 	ДВАДЦАТЬ ТЫСЯЧ ЛЬЕ ПОД ВОДОЙ 
1	This eBook is for the use of anyone anywhere at no cost and with 	Жюль ВЕРН 
2	almost no restrictions whatsoever.  You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.net Title: Twenty Thousand Leagues under the Sea Author: Jules Verne Release Date: May 24, 2008 [EBook #164] Language: English Character set encoding: ISO-8859-1 *** START OF THIS PROJECT GUTENBERG EBOOK 20000 LEAGUES UNDER THE SEA *** This etext was done by a number of anonymous volunteers of the Gutenberg Project, to whom we owe a great deal of thanks and to whom we dedicate this book. 	ONLINE БИБЛИОТЕКА http://www.bestlibrary.ru 
3	TWENTY THOUSAND LEAGUES UNDER THE SEA by JULES VERNE 	Кругосветное путешествие в морских глубинах 
4	PART ONE 	ЧАСТЬ ПЕРВАЯ 
5	CHAPTER I A SHIFTING REEF 	1. ПЛАВАЮЩИЙ РИФ 
6	The year 1866 was signalised by a remarkable incident, a mysterious and puzzling phenomenon, which doubtless no one has yet forgotten. Not to mention rumours which agitated the maritime population and excited the public mind, even in the interior of continents, seafaring men were particularly excited. Merchants, common sailors, captains of vessels, skippers, both of Europe and America, naval officers of all countries, and the Governments of several States on the two continents, were deeply interested in the matter. 	1866 год ознаменовался удивительным происшествием, которое, вероятно, еще многим памятно. Не говоря уже о том, что слухи, ходившие в связи с необъяснимым явлением, о котором идет речь, волновали жителей приморских городов и континентов, они еще сеяли тревогу и среди моряков. Купцы, судовладельцы, капитаны судов, Шкиперы как в Европе, так и в Америке, моряки военного флота всех стран, даже правительства различных государств Старого и Нового Света были озабочены событием, не поддающимся объяснению. 
7	"For some time past vessels had been met by ""an enormous thing,"" a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale. "	Дело в том, что с некоторого времени многие корабли стали встречать в море какой-то длинный, фосфоресцирующий, веретенообразный предмет, далеко превосходивший кита как размерами, так и быстротой передвижения. 
8	The facts relating to this apparition (entered in various log-books) agreed in most respects as to the shape of the object or creature in question, the untiring rapidity of its movements, its surprising power of locomotion, and the peculiar life with which it seemed endowed. If it was a whale, it surpassed in size all those hitherto classified in science. Taking into consideration the mean of observations made at divers times—rejecting the timid estimate of those who assigned to this object a length of two hundred feet, equally with the exaggerated opinions which set it down as a mile in width and three in length—we might fairly conclude that this mysterious being surpassed greatly all dimensions admitted by the learned ones of the day, if it existed at all. And that it DID exist was an undeniable fact; and, with that tendency which disposes the human mind in favour of the marvellous, we can understand the excitement produced in the entire world by this supernatural apparition. As to classing it in the list of fables, the idea was out of the question. 	Записи, сделанные в бортовых журналах разных судов, удивительно схожи в описании внешнего вида загадочного существа или предмета, неслыханной скорости и силы его движений, а также особенностей его поведения. Если это было китообразное, то, судя по описаниям, оно превосходило величиной всех доныне известных в науке представителей этого отряда. Ни Кювье, ни Ласепед, ни Дюмериль, ни Катрфаж не поверили бы в существование такого феномена, не увидав его собственными глазами, вернее глазами ученых. Оставляя без внимания чересчур осторожные оценки, по которым в пресловутом существе было не более двухсот футов длины, отвергая явные преувеличения, по которым оно рисовалось каким-то гигантом, - в ширину одна миля, в длину три мили! - все же надо было допустить, придерживаясь золотой середины, что диковинный зверь, если только он существует, в значительной степени превосходит размеры, установленные современными зоологами. По свойственной человеку склонности верить во всякие чудеса легко понять, как взволновало умы это необычное явление. Некоторые попытались было отнести всю эту историю в область пустых слухов, но напрасно! Животное все же существовало; этот факт не подлежал ни малейшему сомнению. 
9	On the 20th of July, 1866, the steamer Governor Higginson, of the Calcutta and Burnach Steam Navigation Company, had met this moving mass five miles off the east coast of Australia. Captain Baker thought at first that he was in the presence of an unknown sandbank; he even prepared to determine its exact position when two columns of water, projected by the mysterious object, shot with a hissing noise a hundred and fifty feet up into the air. Now, unless the sandbank had been submitted to the intermittent eruption of a geyser, the Governor Higginson had to do neither more nor less than with an aquatic mammal, unknown till then, which threw up from its blow-holes columns of water mixed with air and vapour. 	"Двадцатого июля 1866 года судно ""Гавернор-Хигинсон"" пароходной компании ""Калькутта энд Бернах"" встретило огромную плавучую массу в пяти милях от восточных берегов Австралии. Капитан Бэкер решил сперва, что он обнаружил не занесенный на карты риф; он принялся было устанавливать его координаты, но тут из недр этой темной массы вдруг вырвались два водяных столба и со свистом взлетели в воздух футов на полтораста. Что за причина? Подводный риф, подверженный извержениям гейзеров? Или же просто-напросто какое-нибудь морское млекопитающее, которое выбрасывало из ноздрей вместе с воздухом фонтаны воды? "
10	Similar facts were observed on the 23rd of July in the same year, in the Pacific Ocean, by the Columbus, of the West India and Pacific Steam Navigation Company. But this extraordinary creature could transport itself from one place to another with surprising velocity; as, in an interval of three days, the Governor Higginson and the Columbus had observed it at two different points of the chart, separated by a distance of more than seven hundred nautical leagues. 	"Двадцать третьего июля того же года подобное явление наблюдалось в водах Тихого океана с парохода ""Кристобал-Колон"", принадлежащего Тихоокеанской Вест-Индской пароходной компании. Слыханное ли дело, чтобы какое-либо китообразное способно было передвигаться с такой сверхъестественной скоростью? В течение трех дней два парохода - ""Гавернор-Хигинсон"" и ""Кристобал-Колон"" - встретили его в двух точках земного шара, отстоящих одна от другой более чем на семьсот морских лье! "
11	Fifteen days later, two thousand miles farther off, the Helvetia, of the Compagnie-Nationale, and the Shannon, of the Royal Mail Steamship Company, sailing to windward in that portion of the Atlantic lying between the United States and Europe, respectively signalled the monster to each other in 42° 15' N. lat. and 60° 35' W. long. In these simultaneous observations they thought themselves justified in estimating the minimum length of the mammal at more than three hundred and fifty feet, as the Shannon and Helvetia were of smaller dimensions than it, though they measured three hundred feet over all. 	" Пятнадцать дней спустя, в двух тысячах лье от вышеупомянутого места, пароходы ""Гельвеция"", Национальной пароходной компании, и ""Шанон"", пароходной компании ""Рояль-Мэйл"", шедшие контргалсом, встретившись в Атлантическом океане на пути между Америкой и Европой, обнаружили морское чудище под 42o15' северной широты и 60o35' долготы, к западу от Гринвичского меридиана. При совместном наблюдении установили на глаз, что в длину млекопитающее по меньшей мере достигает трехсот пятидесяти английских футов . Они исходили из того расчета, что ""Шанон"" и ""Гельвеция"" были меньше животного, хотя оба имели по сто метров от форштевня до ахтерштевня. Самые громадные киты, что водятся в районе Алеутских островов, и те не превышали пятидесяти шести метров в длину, - если вообще достигали подобных размеров! "
12	Now the largest whales, those which frequent those parts of the sea round the Aleutian, Kulammak, and Umgullich islands, have never exceeded the length of sixty yards, if they attain that. 	"Эти донесения, поступившие одно вслед за другим, новые сообщения с борта трансатлантического парохода ""Пэрер"", столкновение чудовища с судном ""Этна"", акт, составленный офицерами французского фрегата ""Нормандия"", и обстоятельный отчет, поступивший от коммодора Фитц-Джеймса с борта ""Лорд-Кляйда"", - все это серьезно встревожило общественное мнение. В странах, легкомысленно настроенных, феномен служил неисчерпаемой темой шуток, но в странах положительных и практических, как Англия, Америка, Германия, им живо заинтересовались. "
13	"In every place of great resort the monster was the fashion. They sang of it in the cafes, ridiculed it in the papers, and represented it on the stage. All kinds of stories were circulated regarding it. There appeared in the papers caricatures of every gigantic and imaginary creature, from the white whale, the terrible ""Moby Dick"" of sub-arctic regions, to the immense kraken, whose tentacles could entangle a ship of five hundred tons and hurry it into the abyss of the ocean. The legends of ancient times were even revived. "	"Во всех столицах морское чудовище вошло в моду: о нем пелись песенки в кафе, над ним издевались в газетах, его выводили на подмостках театров. Для газетных уток открылась оказия нести яйца всех цветов. Журналы принялись извлекать на свет всяких фантастических гигантов, начиная от белого кита, страшного ""Моби Дика"" арктических стран, до чудовищных осьминогов, которые в состоянии своими щупальцами опутать судно в пятьсот тонн водоизмещением и увлечь его в пучины океана. Извлекли из-под спуда старинные рукописи, труды Аристотеля и Плиния, допускавших существование морских чудовищ, норвежские рассказы епископа Понтопидана, сообщения Поля Геггеда и, наконец, донесения Харингтона, добропорядочность которого не подлежит сомнению, утверждавшего, что в 1857 году, находясь на борту ""Кастиллана"", он собственными глазами видел чудовищного морского змия, до того времени посещавшего только воды блаженной памяти ""Конститюсьонель"". "
14	"Then burst forth the unending argument between the believers and the unbelievers in the societies of the wise and the scientific journals. ""The question of the monster"" inflamed all minds. Editors of scientific journals, quarrelling with believers in the supernatural, spilled seas of ink during this memorable campaign, some even drawing blood; for from the sea-serpent they came to direct personalities. "	В ученых обществах и на страницах научных журналов поднялась нескончаемая полемическая возня между верующими и неверующими. Чудовищное животное послужило волнующей темой. Журналисты, поклонники науки, в борьбе со своими противниками, выезжавшими на остроумии, пролили в эту памятную эпопею потоки чернил; а некоторые из них даже пролили две-три капли крови, потому что из-за этого морского змия дело буквально доходило до схваток! 
