	en	ru
0	By Wilkie Collins 	Уилки КОЛЛИНЗ 
1	THE TWO DESTINIES 	ДВЕ СУДЬБЫ 
2	The Prelude. 	Печатается по изданию 1879 года ВВЕДЕНИЕ 
3	THE GUEST WRITES AND TELLS THE STORY OF THE DINNER PARTY. 	ГОСТЬ ОПИСЫВАЕТ ИСТОРИЮ ОДНОГО ОБЕДА 
4	MANY years have passed since my wife and I left the United States to pay our first visit to England. 	Много лет миновало с тех пор, как мы с женой в первый раз приехали в Англию из Соединенных Штатов. 
5	We were provided with letters of introduction, as a matter of course. 	Разумеется, нас снабдили рекомендательными письмами. 
6	Among them there was a letter which had been written for us by my wife's brother. 	Между прочим, одно было написано женой моего брата. 
7	It presented us to an English gentleman who held a high rank on the list of his old and valued friends. 	Оно представляло нас английскому дворянину, который занимал почетное место в списке его старых и дорогих друзей. 
8	"""You will become acquainted with Mr. George Germaine,"" my brother-in-law said, when we took leave of him, ""at a very interesting period of his life. "	— Вы познакомитесь с мистером Джорджем Джерменем в самый интересный период его жизни, — сказал брат, когда мы прощались. 
9	My last news of him tells me that he is just married. 	— В своем последнем письме он сообщает мне, что женился. 
10	I know nothing of the lady, or of the circumstances under which my friend first met with her. 	Я не знаю ничего о его жене или о тех обстоятельствах, при которых он с ней познакомился. 
11	"But of this I am certain: married or single, George Germaine will give you and your wife a hearty welcome to England, for my sake."" "	Но в одном я уверен: холостой или женатый, Джермен окажет радушный прием из чувства дружбы ко мне. 
12	The day after our arrival in London, we left our letter of introduction at the house of Mr. Germaine. 	На другой день по прибытии в Лондон мы оставили наше рекомендательное письмо в доме мистера Джерменя. 
13	The next morning we went to see a favorite object of American interest, in the metropolis of England—the Tower of London. 	На следующее утро мы отправились посмотреть на главный предмет интереса для американцев в столице Англии — «Большой Бен». 
14	The citizens of the United States find this relic of the good old times of great use in raising their national estimate of the value of republican institutions. On getting back to the hotel, the cards of Mr. and Mrs. Germaine told us that they had already returned our visit. 	Граждане Соединенных Штатов находят, что этот остаток доброго старого времени полезно действует на повышение в национальной оценке достоинства республиканских учреждений По возвращении в гостиницу мы нашли карточки мистера и мистрис Джермень, свидетельствовавшие, что они уже ответили на наш визит. 
15	The same evening we received an invitation to dine with the newly married couple. 	В тот же вечер мы получили от новобрачных приглашение на обед. 
16	It was inclosed in a little note from Mrs. Germaine to my wife, warning us that we were not to expect to meet a large party. 	Оно заключалось в записочке мистрис Джермень к моей жене, в которой она предупреждала, что мы не встретим у них большого собрания. 
17	"""It is the first dinner we give, on our return from our wedding tour"" (the lady wrote); ""and you will only be introduced to a few of my husband's old friends."" "	«Это наш первый обед после возвращения из свадебной поездки (писала она), и вы познакомитесь только с немногими из старых друзей моего мужа». 
18	In America, and (as I hear) on the continent of Europe also, when your host invites you to dine at a given hour, you pay him the compliment of arriving punctually at his house. 	В Америке и на европейском материке (как я слышал), когда хозяин приглашает на обед в назначенный час, гости проявляют вежливость и являются ровно в определенное время. 
