	en	ru
0	Jane Eyre, by Charlotte Bronte - The Project Gutenberg eBook 	Шарлотта Бронте. Джен Эйр 
1	CHAPTER I 	Глава I 
2	There was no possibility of taking a walk that day. 	В  этот день нечего было и  думать о  прогулке. 
3	We had been wandering, indeed, in the leafless shrubbery an hour in the morning; but since dinner (Mrs. Reed, when there was no company, dined early) the cold winter wind had brought with it clouds so sombre, and a rain so penetrating, that further out-door exercise was now out of the question. 	Правда,  утром мы  еще побродили часок по дорожкам облетевшего сада,  но после обеда (когда не было гостей,  миссис Рид кушала рано) холодный зимний ветер нагнал угрюмые тучи и полил такой пронизывающий дождь, что и речи не могло быть ни о какой попытке выйти еще раз. 
4	I was glad of it: I never liked long walks, especially on chilly afternoons: dreadful to me was the coming home in the raw twilight, with nipped fingers and toes, and a heart saddened by the chidings of Bessie, the nurse, and humbled by the consciousness of my physical inferiority to Eliza, John, and Georgiana Reed. 	Что же,  тем лучше:  я вообще не любила подолгу гулять зимой,  особенно под вечер. Мне казалось просто ужасным возвращаться домой в зябких сумерках, когда пальцы на руках и ногах немеют от стужи,  а сердце сжимается тоской от вечной воркотни Бесси, нашей няньки, и от унизительного сознания физического превосходства надо мной Элизы, Джона и Джоржианы Рид. 
5	The said Eliza, John, and Georgiana were now clustered round their mama in the drawing-room: she lay reclined on a sofa by the fireside, and with her darlings about her (for the time neither quarrelling nor crying) looked perfectly happy. 	Вышеупомянутые Элиза,  Джон  и  Джорджиана собрались теперь в  гостиной возле своей мамы:  она полулежала на диване перед камином, окруженная своими дорогими детками  (в  данную  минуту  они  не  ссорились и  не  ревели),  и, очевидно, была безмятежно счастлива. 
6	Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.” 	Я  была освобождена от участия в этой семейной группе;  как заявила мне миссис Рид,  она весьма сожалеет,  но  приходится отделить меня от остальных детей,  по крайней мере до тех пор,  пока Бесси не сообщит ей, да и она сама не  увидит,  что  я  действительно прилагаю все  усилия,  чтобы  стать более приветливой и  ласковой девочкой,  более уживчивой и  кроткой,  пока она  не заметит во мне что-то более светлое, доброе и чистосердечное; а тем временем она вынуждена лишить меня всех радостей, которые предназначены для скромных, почтительных деток. 
7	“What does Bessie say I have done?” 	- А что Бесси сказала? 
8	I asked. 	Что я сделала? 
9	“Jane, I don’t like cavillers or questioners; besides, there is something truly forbidding in a child taking up her elders in that manner. 	- Джен,  я  не  выношу придирок и  допросов;  это просто возмутительно, когда ребенок так  разговаривает со  старшими. 
10	Be seated somewhere; and until you can speak pleasantly, remain silent.” 	Сядь  где-нибудь и,  пока не научишься быть вежливой, молчи. 
11	A breakfast-room adjoined the drawing-room, I slipped in there. 	Рядом с гостиной находилась небольшая столовая, где обычно завтракали Я тихонько шмыгнула туда. 
12	It contained a bookcase: I soon possessed myself of a volume, taking care that it should be one stored with pictures. 	Там  стоял  книжный шкаф;  я  выбрала себе  книжку, предварительно убедившись,  что в ней много картинок. 
13	I mounted into the window-seat: gathering up my feet, I sat cross-legged, like a Turk; and, having drawn the red moreen curtain nearly close, I was shrined in double retirement. 	Взобравшись на широкий подоконник,  я  уселась,  поджав ноги  по-турецки,  задернула почти вплотную красные штофные занавесы и  оказалась,  таким образом,  отгороженной с  двух сторон от окружающего мира. 
14	Folds of scarlet drapery shut in my view to the right hand; to the left were the clear panes of glass, protecting, but not separating me from the drear November day. At intervals, while turning over the leaves of my book, I studied the aspect of that winter afternoon. 	Тяжелые  складки  пунцовых драпировок загораживали меня  справа;  слева оконные стекла защищали от непогоды,  хотя и не могли скрыть картину унылого ноябрьского дня  Перевертывая страницы,  я  время  от  времени поглядывала в окно,  наблюдая,  как  надвигаются зимние сумерки. 
15	Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast. 	Вдали  тянулась сплошная завеса туч и  тумана;  на переднем плане раскинулась лужайка с растрепанными бурей кустами, их непрерывно хлестали потоки дождя, которые гнал перед собой ветер, налетавший сильными порывами и жалобно стенавший. 
16	I returned to my book—Bewick’s History of British Birds: the letterpress thereof I cared little for, generally speaking; and yet there were certain introductory pages that, child as I was, I could not pass quite as a blank. 	"Затем я снова начинала просматривать книгу - это была ""Жизнь английских птиц"" Бьюика. "
17	They were those which treat of the haunts of sea-fowl; of “the solitary rocks and promontories” by them only inhabited; of the coast of Norway, studded with isles from its southern extremity, the Lindeness, or Naze, to the North Cape— 	Собственно говоря, самый текст мало интересовал меня, однако к некоторым страницам введения я, хоть и совсем еще ребенок, не могла остаться равнодушной:  там говорилось об убежище морских птиц,  о  пустынных скалах и утесах,  населенных только ими;  о  берегах Норвегии,  от  южной оконечности которой - мыса Линденеса - до Нордкапа разбросано множество островов: 
18	“Where the Northern Ocean, in vast whirls,     Boils round the naked, melancholy isles     Of farthest Thule; and the Atlantic surge     Pours in among the stormy Hebrides.” 	...Где ледяного океана ширь Кипит у островов, нагих и диких, На дальнем севере; и низвергает волны Атлантика на мрачные Гебриды 
19	Nor could I pass unnoticed the suggestion of the bleak shores of Lapland, Siberia, Spitzbergen, Nova Zembla, Iceland, Greenland, with “the vast sweep of the Arctic Zone, and those forlorn regions of dreary space,—that reservoir of frost and snow, where firm fields of ice, the accumulation of centuries of winters, glazed in Alpine heights above heights, surround the pole, and concentre the multiplied rigours of extreme cold.” 	"Не  могла  я  также  пропустить и  описание суровых  берегов Лапландии, Сибири,  Шпицбергена,  Новой Земли,  Исландии,  Гренландии,  ""всего широкого простора полярных стран,  этих безлюдных,  угрюмых пустынь,  извечной родины морозов и снегов, где ледяные поля в течение бесчисленных зим намерзают одни над другими,  громоздясь ввысь,  подобно обледенелым Альпам;  окружая полюс, они как бы сосредоточили в себе все многообразные козни сильнейшего холода"". "
20	Of these death-white realms I formed an idea of my own: shadowy, like all the half-comprehended notions that float dim through children’s brains, but strangely impressive. 	У   меня   сразу  же   сложилось  какое-то   свое   представление  об   этих мертвенно-белых мирах,  - правда, туманное, но необычайно волнующее, как все те,  еще неясные догадки о вселенной,  которые рождаются в уме ребенка. 
21	The words in these introductory pages connected themselves with the succeeding vignettes, and gave significance to the rock standing up alone in a sea of billow and spray; to the broken boat stranded on a desolate coast; to the cold and ghastly moon glancing through bars of cloud at a wreck just sinking. 	Под впечатлением этих вступительных страниц приобретали для  меня особый смысл и виньетки в  тексте:  утес,  одиноко стоящий среди пенящегося бурного прибоя; разбитая лодка,  выброшенная на пустынный берег;  призрачная луна,  глядящая из-за угрюмых туч на тонущее судно. 
22	I cannot tell what sentiment haunted the quite solitary churchyard, with its inscribed headstone; its gate, its two trees, its low horizon, girdled by a broken wall, and its newly-risen crescent, attesting the hour of eventide. 	Неизъяснимый трепет вызывало во  мне изображение заброшенного кладбища: одинокий могильный камень с надписью,  ворота,  два дерева, низкий горизонт, очерченный  полуразрушенной  оградой,   и  узкий  серп  восходящего  месяца, возвещающий наступление вечера. 
23	The two ships becalmed on a torpid sea, I believed to be marine phantoms. 	Два корабля, застигнутые штилем в недвижном море, казались мне морскими призраками. 
24	The fiend pinning down the thief’s pack behind him, I passed over quickly: it was an object of terror. 	Страничку,   где  был  изображен  сатана,  отнимающий  у  вора  узел  с похищенным добром, я поскорее перевернула: она вызывала во мне ужас. 
25	So was the black horned thing seated aloof on a rock, surveying a distant crowd surrounding a gallows. 	С  таким же ужасом смотрела я  и  на черное рогатое существо,  которое, сидя на скале, созерцает толпу, теснящуюся вдали у виселицы. 
