	en	ru
0	CHAPTER I One morning, in the fall of 1880, a middle-aged woman, accompanied by a young girl of eighteen, presented herself at the clerk's desk of the principal hotel in Columbus, Ohio, and made inquiry as to whether there was anything about the place that she could do. 	Глава I Осенним утром 1880 года немолодая женщина в сопровождении девушки лет восемнадцати вошла в главный отель города Колумбуса (штат Огайо) и, подойдя к портье, спросила, не найдется ли для нее в отеле какой-нибудь работы. 
1	She was of a helpless, fleshy build, with a frank, open countenance and an innocent, diffident manner. Her eyes were large and patient, and in them dwelt such a shadow of distress as only those who have looked sympathetically into the countenances of the distraught and helpless poor know anything about. 	Она была полная, но некрепкого сложения, держалась скромно и просто. Лицо у нее было открытое, большие глаза смотрели терпеливо и кротко, и в них таилась тень скорби, понятной лишь тем, кому случалось участливо заглянуть в лицо беспомощного, подавленного горем бедняка. 
2	Any one could see where the daughter behind her got the timidity and shamefacedness which now caused her to stand back and look indifferently away. 	Нетрудно было понять, откуда взялись у ее дочери робость и застенчивость, которые теперь заставляли ее держаться позади матери и с притворным равнодушием смотреть в сторону. 
3	She was a product of the fancy, the feeling, the innate affection of the untutored but poetic mind of her mother combined with the gravity and poise which were characteristic of her father. 	В характере этой девушки воображение, природная чуткость и впечатлительность неразвитого, но поэтического ума, унаследованные от матери, сочетались с отцовской серьезностью и уравновешенностью. 
4	Poverty was driving them. 	Женщин этих привела сюда нужда. 
5	Together they presented so appealing a picture of honest necessity that even the clerk was affected. 	Они казались таким трогательным воплощением честной бедности, что вызвали сочувствие даже у портье. 
6	"""What is it you would like to do?"" he said. "	— А какую работу вы ищете? — спросил он. 
7	"""Maybe you have some cleaning or scrubbing,"" she replied, timidly. "	— Может, вам нужно где прибрать или что почистить, — несмело ответила мать. 
8	"""I could wash the floors."" "	— А еще я могу мыть полы. 
9	The daughter, hearing the statement, turned uneasily, not because it irritated her to work, but because she hated people to guess at the poverty that made it necessary. 	Дочь при этих словах поежилась — не то, чтобы ей не хотелось работать, но было горько, что люди поймут, какая крайность заставляет их браться за черную работу. 
10	The clerk, manlike, was affected by the evidence of beauty in distress. 	Портье, как подобает мужчине, был тронут горем красивой девушки. 
11	The innocent helplessness of the daughter made their lot seem hard indeed. 	Что и говорить, из-за ее наивности и беспомощности их доля казалась еще более тяжкой. 
12	"""Wait a moment,"" he said; and, stepping into a back office, he called the head housekeeper. "	— Подождите минуту, — сказал он и, пройдя в контору, подозвал старшую горничную. 
13	There was work to be done. 	В отеле действительно нашлась работа. 
14	The main staircase and parlor hall were unswept because of the absence of the regular scrub-woman. 	Главная лестница и вестибюль оставались неубранными, так как постоянная поломойка получила расчет. 
15	"""Is that her daughter with her?"" asked the housekeeper, who could see them from where she was standing. "	— Это ее дочка? — спросила старшая горничная, издали глядя на женщин. 
16	"""Yes, I believe so."" "	— Похоже на то. 
17	"""She might come this afternoon if she wants to. "	— Что ж, пускай сегодня же принимаются за работу. 
18	"The girl helps her, I suppose?"" "	Девушка, наверное, будет помогать? 
19	"""You go see the housekeeper,"" said the clerk, pleasantly, as he came back to the desk. "	— Поговорите со старшей горничной, приветливо сказал портье, вернувшись к своей конторке. 
20	"""Right through there""—pointing to a near-by door. "	— Пройдите вот сюда. — Он указал на дверь рядом. 
21	"""She'll arrange with you about it."" "	— Там с вами договорятся. 
22	A succession of misfortunes, of which this little scene might have been called the tragic culmination, had taken place in the life and family of William Gerhardt, a glass-blower by trade. 	Сцену эту можно назвать трагическим завершением долгой череды несчастий и неудач, которые постигли Уильяма Герхардта, стеклодува по профессии, и его семью. 
23	Having suffered the reverses so common in the lower walks of life, this man was forced to see his wife, his six children, and himself dependent for the necessaries of life upon whatever windfall of fortune the morning of each recurring day might bring. 	Этот человек потерял работу — такие превратности судьбы хорошо знакомы бедным труженикам — и теперь с трепетом встречал каждое утро, не зная, что принесет новый день ему, его жене и шестерым детям, ибо их хлеб насущный зависел от прихоти случая. 
24	He himself was sick in bed. 	Сам Герхардт был прикован болезнью к постели. 
25	"His oldest boy, Sebastian, or ""Bass,"" as his associates transformed it, worked as an apprentice to a local freight-car builder, but received only four dollars a week. Genevieve, the oldest of the girls, was past eighteen, but had not as yet been trained to any special work. "	Его старший сын, Себастьян, или Басс, как называли его приятели, работал подручным в местных вагоностроительных мастерских, но получал только четыре доллара в неделю, Дженевьеве, старшей дочери, минуло восемнадцать, но ее до сих пор не обучили никакому ремеслу. 
26	The other children, George, aged fourteen; Martha, twelve; William ten, and Veronica, eight, were too young to do anything, and only made the problem of existence the more complicated. 	У Герхардта были и еще дети — четырнадцатилетний Джордж, двенадцатилетняя Марта, десятилетний Уильям и восьмилетняя Вероника; они были еще слишком малы, чтобы работать, и всех их надо было прокормить. 
27	Their one mainstay was the home, which, barring a six-hundred-dollar mortgage, the father owned. 	Единственным достоянием и подспорьем семьи был принадлежавший Герхардту дом, да и тот заложен за шестьсот долларов. 
28	He had borrowed this money at a time when, having saved enough to buy the house, he desired to add three rooms and a porch, and so make it large enough for them to live in. 	Герхардт занял эти деньги в то время, когда истратив свои сбережения на покупку дома, задумал пристроить к нему еще три комнаты и веранду, чтобы семье жилось просторнее. 
29	A few years were still to run on the mortgage, but times had been so bad that he had been forced to use up not only the little he had saved to pay off the principal, but the annual interest also. 	До полного расчета по закладной оставалось еще несколько лет, но настали такие тяжелые времена, что пришлось истратить и небольшую сумму, отложенную для уплаты основного долга, и взнос в счет годовых процентов. 
30	Gerhardt was helpless, and the consciousness of his precarious situation—the doctor's bill, the interest due upon the mortgage, together with the sums owed butcher and baker, who, through knowing him to be absolutely honest, had trusted him until they could trust no longer—all these perplexities weighed upon his mind and racked him so nervously as to delay his recovery. 	Теперь Герхардт был совершенно беспомощен и сознавал, что положение его отчаянное; доктор прислал счет, проценты по закладной не выплачены, давно пора расплатиться с мясником, с булочником — оба они, полагаясь на его безукоризненную честность, верили ему в долг до последней возможности… Все это терзало и мучило его и мешало справиться с недугом. 
31	Mrs. Gerhardt was no weakling. 	Миссис Герхардт отнюдь не была малодушной женщиной. 
32	For a time she took in washing, what little she could get, devoting the intermediate hours to dressing the children, cooking, seeing that they got off to school, mending their clothes, waiting on her husband, and occasionally weeping. 	Она стала брать белье в стирку, когда удавалось найти клиентов, а в остальное время шила и чинила одежду детей, собирала их в школу, стряпала, ухаживала за больным мужем и, случалось, плакала. 
33	Not infrequently she went personally to some new grocer, each time farther and farther away, and, starting an account with a little cash, would receive credit until other grocers warned the philanthropist of his folly. 	Нередко она отыскивала какую-нибудь новую бакалейную лавку — каждый раз все дальше и дальше от дома — и, заплатив для начала наличными, покупала в кредит до тех пор, пока другие лавочники не предостерегали легковерного благотворителя. 
34	Corn was cheap. 	Кукуруза была дешевле всего. 
35	Sometimes she would make a kettle of lye hominy, and this would last, with scarcely anything else, for an entire week. 	Миссис Герхардт варила полный котел, и этой еды, чуть ли не единственной, хватало на целую неделю. 
36	Corn-meal also, when made into mush, was better than nothing, and this, with a little milk, made almost a feast. 	Каша из кукурузной муки тоже была лучше, чем ничего, а если в нее удавалось подбавить немного молока, это было уже почти пиршество. 
37	Potatoes fried was the nearest they ever came to luxurious food, and coffee was an infrequent treat. 	Жареная картошка считалась у Герхардтов самым роскошным блюдом, кофе — редким лакомством. 
38	Coal was got by picking it up in buckets and baskets along the maze of tracks in the near-by railroad yard. 	Уголь они подбирали, бродя с ведрами и корзинами по запутанным путям соседнего железнодорожного депо. 
39	Wood, by similar journeys to surrounding lumber-yards. 	Дрова добывались во время таких же походов на ближайшие лесные склады. 
40	Thus they lived from day to day, each hour hoping that the father would get well and that the glass-works would soon start up. 	Так они перебивались со дня на день, в ежечасной надежде, что отец поправится и что возобновится работа на стекольном заводе. 
41	But as the winter approached Gerhardt began to feel desperate. 	Но приближалась зима, и Герхардтом все сильнее овладевало отчаяние. 
42	"""I must get out of this now pretty soon,"" was the sturdy German's regular comment, and his anxiety found but weak expression in the modest quality of his voice. "	— Я непременно должен поскорее выпутаться из этой истории, — то и дело повторял упрямый немец; его маловыразительный голос бессилен был передать гложущую его тревогу. 
43	To add to all this trouble little Veronica took the measles, and, for a few days, it was thought that she would die. 	В довершение всех несчастий маленькая Вероника заболела корью, и несколько дней ее жизнь была в опасности. 
44	The mother neglected everything else to hover over her and pray for the best. 	Мать забросила все дела, не отходила от ребенка и молилась. 
45	Doctor Ellwanger came every day, out of purely human sympathy, and gravely examined the child. 	Доктор Элуонгер, движимый сочувствием, ежедневно навещал больную. 
46	The Lutheran minister, Pastor Wundt, called to offer the consolation of the Church. 	Лютеранский священник, пастор Вундт, являлся с утешениями от лица святой церкви. 
47	Both of these men brought an atmosphere of grim ecclesiasticism into the house. 	Оба они вносили в дом дух мрачного ханжества. 
48	They were the black-garbed, sanctimonious emissaries of superior forces. 	Это были облаченные во все черное посланцы высших сил. 
49	Mrs. Gerhardt felt as if she were going to lose her child, and watched sorrowfully by the cot-side. 	Миссис Герхардт думала, что теряет девочку, и скорбно бодрствовала у ее постели. 
50	After three days the worst was over, but there was no bread in the house. 	Через три дня опасность миновала, но в доме не было ни куска хлеба. 
51	Sebastian's wages had been spent for medicine. 	Получка Себастьяна ушла на лекарства. 
52	Only coal was free for the picking, and several times the children had been scared from the railroad yards. 	Только уголь удавалось добывать даром, но уже несколько раз детей прогоняли из депо. 
53	Mrs. Gerhardt thought of all the places to which she might apply, and despairingly hit upon the hotel. 	Миссис Герхардт мысленно перебрала все места, куда можно было бы обратиться в поисках работы, и без всякой надежды на успех отправилась в отель. 
54	Now, by a miracle, she had her chance. 	И вот, чудом, ей повезло. 
55	"""How much do you charge?"" the housekeeper asked her. "	— Сколько вы хотите? — спросила старшая горничная. 
