	en	ru
0	O.Henry JEFF PETERS AS A PERSONAL MAGNET 	О'Генри Джефф Питерс как персональный магнит 
1	Jeff Peters has been engaged in as many schemes for making money as there are recipes for cooking rice in Charleston, S.C. 	Джефф Питерс делал деньги самыми разнообразными способами. Этих способов было у него никак не меньше, чем рецептов для изготовления рисовых блюд у жителей Чарлстона, штат Южная Каролина. 
2	Best of all I like to hear him tell of his earlier days when he sold liniments and cough cures on street corners, living hand to mouth, heart to heart with the people, throwing heads or tails with fortune for his last coin. 	Больше всего я люблю слушать его рассказы о днях его молодости, когда он торговал на улицах мазями и порошками от кашля, жил впроголодь, дружил со всем светом и на последние медяки играл в орлянку с судьбой. 
3	"""I struck Fisher Hill, Arkansaw,"" said he, ""in a buckskin suit, moccasins, long hair and a thirty-carat diamond ring that I got from an actor in Texarkana. "	— Попал я однажды в поселок Рыбачья Гора, в Арканзасе, — рассказывал он. — На мне был костюм из оленьей шкуры, мокасины, длинные волосы и перстень с тридцатикаратовым брильянтом, который я получил от одного актера в Тексаркане. 
4	I don't know what he ever did with the pocket knife I swapped him for it. 	Не знаю, что он сделал с тем перочинным ножиком, который я дал ему в обмен на этот перстень. 
5	"""I was Dr. Waugh-hoo, the celebrated Indian medicine man. "	В то время я был доктор Воф-Ху, знаменитый индейский целитель. 
6	I carried only one best bet just then, and that was Resurrection Bitters. 	В руках у меня не было ничего, кроме великолепного снадобья: «Настойки для Воскрешения Больных». 
7	It was made of life-giving plants and herbs accidentally discovered by Ta-qua-la, the beautiful wife of the chief of the Choctaw Nation, while gathering truck to garnish a platter of boiled dog for the annual corn dance. 	Настойка состояла из живительных трав, случайно открытых красавицей Та-ква-ла, супругой вождя племени Чокто. Красавица собирала зелень для украшения национального блюда — вареной собаки, ежегодно подаваемой во время пляски на Празднестве Кукурузы, — и наткнулась на эту траву. 
8	"""Business hadn't been good in the last town, so I only had five dollars. "	В городке, где я был перед этим, дела шли неважно: у меня оставалось всего пять долларов. 
9	I went to the Fisher Hill druggist and he credited me for half a gross of eight-ounce bottles and corks. 	Прибыв на Рыбачью Гору, я пошел в аптеку, и там мне дали взаймы шесть дюжин восьмиунцевых склянок с пробками. 
10	I had the labels and ingredients in my valise, left over from the last town. 	Этикетки и нужные припасы были у меня в чемодане. 
11	"Life began to look rosy again after I got in my hotel room with the water running from the tap, and the Resurrection Bitters lining up on the table by the dozen. ""Life began to look rosy again…"" "	Жизнь снова показалась мне прекрасной, когда я достал себе в гостинице номер, где из крана текла вода, и бутылки с «Настойкой для Воскрешения Больных» дюжинами стали выстраиваться передо мной на столе. 
12	"""Fake? "	Шарлатанство? 
13	No, sir. 	Нет, сэр. 
14	There was two dollars' worth of fluid extract of cinchona and a dime's worth of aniline in that half-gross of bitters. 	В склянках была не только вода. К ней я примешал хинина на два доллара, да на десять центов анилиновой краски. 
15	I've gone through towns years afterwards and had folks ask for 'em again. 	Много лет спустя, когда я снова проезжал по тем местам, люди просили меня дать им еще порцию этого снадобья. 
16	"""I hired a wagon that night and commenced selling the bitters on Main Street. "	В тот же вечер я нанял тележку и открыл торговлю на Главной улице. 
17	Fisher Hill was a low, malarial town; and a compound hypothetical pneumocardiac anti-scorbutic tonic was just what I diagnosed the crowd as needing. 	Рыбачья Гора, хоть и называлась Горой, но была расположена в болотистой, малярийной местности; и я поставил диагноз, что населению как раз не хватает легочно-сердечной и противозолотушной микстуры. 
18	The bitters started off like sweetbreads-on-toast at a vegetarian dinner. 	Настойка разбиралась так шибко, как мясные бутерброды на вегетарианском обеде. 
19	I had sold two dozen at fifty cents apiece when I felt somebody pull my coat tail. 	Я уже продал две дюжины склянок по пятидесяти центов за штуку, как вдруг почувствовал, что кто-то тянет меня за фалды. 
20	"I knew what that meant; so I climbed down and sneaked a five dollar bill into the hand of a man with a German silver star on his lapel. ""I … commenced selling the bitters on Main Street."" "	Я знал, что это значит. Быстро спустившись с тележки, я сунул пять долларов в руку субъекту с немецкой серебряной звездой на груди. 
21	"""'Constable,' says I, 'it's a fine night.' "	— Констебль, — говорю я, — какой прекрасный вечер! 
22	"""'Have you got a city license,' he asks, 'to sell this illegitimate essence of spooju that you flatter by the name of medicine?' "	А он спрашивает: — Имеется ли у вас городской патент на право продажи этой нелегальной бурды, которую вы из любезности зовете лекарством? Получили ли вы бумагу от города? 
23	"""'I have not,' says I. 'I didn't know you had a city. "	— Нет, не получал, — говорю я, — так как я не знал, что-то город. 
24	If I can find it to-morrow I'll take one out if it's necessary.' 	Если мне удастся найти его завтра, я достану себе и патент. 
25	"""'I'll have to close you up till you do,' says the constable. "	— Ну, а до той поры я вынужден прикрыть вашу торговлю, — говорит полисмен. 
26	"""I quit selling and went back to the hotel. "	Я перестал торговать и, вернувшись в гостиницу, рассказал хозяину все, что случилось. 
27	"I was talking to the landlord about it. ""'Oh, you won't stand no show in Fisher Hill,' says he. "	— У нас, на Рыбачьей Горе, вам не дадут развернуться, — сказал он. 
28	'Dr. Hoskins, the only doctor here, is a brother-in-law of the Mayor, and they won't allow no fake doctor to practice in town.' 	— Ничего у вас не выйдет. Доктор Хескинс — зять мэра, единственный доктор на весь город, и власти никогда не допустят, чтобы какой-то самозванный целитель отбивал у него практику. 
29	"""'I don't practice medicine,' says I, "	— Да я не занимаюсь медициной, — говорю я. 
30	'I've got a State peddler's license, and I take out a city one wherever they demand it.' 	— У меня патент от управления штата на розничную торговлю, а когда с меня требуют особое свидетельство от города я беру его, вот и все. 
31	"""I went to the Mayor's office the next morning and they told me he hadn't showed up yet. They didn't know when he'd be down. "	На следующее утро иду я в канцелярию мэра, но мне говорят, что он еще не приходил, а когда придет — неизвестно. 
32	So Doc Waugh-hoo hunches down again in a hotel chair and lights a jimpson-weed regalia, and waits. 	Поэтому доктору Воф-Ху ничего не оставалось, как снова вернуться в гостиницу, грустно усесться в кресло, закурить сигару и ждать. 
33	"""By and by a young man in a blue necktie slips into the chair next to me and asks the time. "	Немного погодя подсаживается ко мне молодой человек в синем галстуке и спрашивает, который час. 
34	"""'Half-past ten,' says I, 'and you are Andy Tucker. "	— Половина одиннадцатого, — говорю я, — а вы Энди Таккер. 
35	I've seen you work. 	Я знаю некоторые ваши делишки. 
36	Wasn't it you that put up the Great Cupid Combination package on the Southern States? 	Ведь это вы создали в Южных штатах «Универсальную посылку Купидон». 
37	Let's see, it was a Chilian diamond engagement ring, a wedding ring, a potato masher, a bottle of soothing syrup and Dorothy Vernon—all for fifty cents.' 	Погодите-ка, что в ней было. Да, да, обручальный перстень с чилийским брильянтом, кольцо для венчания, машинка для растирания картофеля, склянка успокоительных капель и портрет Дороти Вернон *1 — все за пятьдесят центов. 
38	"""Andy was pleased to hear that I remembered him. "	Энди был польщен, что я помню его. 
39	He was a good street man; and he was more than that—he respected his profession, and he was satisfied with 300 per cent. profit. 	Это был талантливый уличный жулик, и, что важнее всего, он уважал свое ремесло и довольствовался тремястами процентов чистой прибыли. 
40	He had plenty of offers to go into the illegitimate drug and garden seed business; but he was never to be tempted off of the straight path. 	Он имел много предложений перейти на нелегальную торговлю наркотиками, но никому не удавалось совратить его с прямого пути. 
41	"""I wanted a partner, so Andy and me agreed to go out together. "	Мне нужен был компаньон, мы переговорили друг с другом и согласились работать вместе. 
42	I told him about the situation in Fisher Hill and how finances was low on account of the local mixture of politics and jalap. 	Я сообщил ему о положении вещей на Рыбачьей Горе, как трудны здесь финансовые операции ввиду вторжения в политику касторки. 
43	Andy had just got in on the train that morning. 	Энди прибыл только что с утренним поездом. 
44	He was pretty low himself, and was going to canvass the whole town for a few dollars to build a new battleship by popular subscription at Eureka Springs. 	У него у самого дела была не блестящи, и он намеревался открыть в этом городе публичную подписку для сбора пожертвований на постройку нового броненосца в городе Эврика-Спрингс *2. 
45	So we went out and sat on the porch and talked it over. 	Было о чем потолковать, и мы вышли на крыльцо. 
46	"""The next morning at eleven o'clock when I was sitting there alone, an Uncle Tom shuffles into the hotel and asked for the doctor to come and see Judge Banks, who, it seems, was the mayor and a mighty sick man. "	На следующее утро в одиннадцать, когда я сидел в номере один-одинешенек, является ко мне какой-то дядя Том и просит, чтобы доктор пожаловал на квартиру к судье Бэнксу, который, как выяснилось, и был мэром, — он тяжело захворал. 
47	"""'I'm no doctor,' says I. 'Why don't you go and get the doctor?' "	— Я не доктор, — говорю я, — почему вы не позовете доктора? 
48	"""'Boss,' says he. 'Doc Hoskins am done gone twenty miles in de country to see some sick persons. "	— Ах, господин, — говорит дядя Том, — доктора Хоскина уехала из города за двадцать миль… в деревню… его вызвали к больному. 
49	He's de only doctor in de town, and Massa Banks am powerful bad off. 	Он один врач на весь город, а судья Бенкса очень плоха.. 
50	He sent me to ax you to please, suh, come.' 	Он послал меня. Пожалуйста, идите к нему. Он очень, очень просит. 
51	"""'As man to man,' says I, 'I'll go and look him over.' So I put a bottle of Resurrection Bitters in my pocket and goes up on the hill to the mayor's mansion, the finest house in town, with a mansard roof and two cast iron dogs on the lawn. "	— Как человек к человеку, я, пожалуй, пойду и осмотрю его, как человек человека, — говорю я, кладу к себе в карман флакон «Настойки для Воскрешения Больных» и направляюсь в гору к особняку мэра. Отличный дом, лучший в городе: мансарда, прекрасная крыша и две чугунные собаки на лужайке. 
52	"""This Mayor Banks was in bed all but his whiskers and feet. "	Мэр Бэнкс в постели; из-под одеяла торчат только бакенбарды да кончики ног. 
53	He was making internal noises that would have had everybody in San Francisco hiking for the parks. 	Он издает такие утробные звуки, что, будь это в Сан-Франциско, все подумали бы, что землетрясение, и кинулись бы спасаться в парки. 
54	A young man was standing by the bed holding a cup of water. 	У кровати стоит молодой человек и держит кружку воды. 
55	"""'Doc,' says the Mayor, 'I'm awful sick. "	— Доктор, — говорит мэр, — я ужасно болен. 
56	I'm about to die. 	Помираю. 
57	Can't you do nothing for me?' 	Не можете ли вы мне помочь? 
58	"""'Mr. Mayor,' says I, 'I'm not a regular preordained disciple of S. Q. Lapius. "	— Мистер мэр, — говорю я, — я не могу назвать себя подлинным учеником Эс Ку Лаппа. 
59	I never took a course in a medical college,' says I. 'I've just come as a fellow man to see if I could be off assistance.' 	Я никогда не изучал в университете медицинских наук и пришел к вам просто, как человек к человеку, посмотреть, чем я могу помочь. 
60	"""'I'm deeply obliged,' says he. "	— Я глубоко признателен вам, — отвечает больной. 
61	'Doc Waugh-hoo, this is my nephew, Mr. Biddle. 	— Доктор Воф-Ху, это мой племянник, мистер Бидл. 
62	He has tried to alleviate my distress, but without success. 	Он пытался облегчить мою боль, но безуспешно. 
63	Oh, Lordy! 	О господи! 
64	Ow-ow-ow!!' he sings out. 	Ой, ой, ой! — завопил он вдруг. 
65	"""I nods at Mr. Biddle and sets down by the bed and feels the mayor's pulse. "	Я кланяюсь мистеру Бидлу, подсаживаюсь к кровати и щупаю пульс у больного. 
66	'Let me see your liver—your tongue, I mean,' says I. 	— Позвольте посмотреть вашу печень, то есть язык, — говорю я. 
67	Then I turns up the lids of his eyes and looks close that the pupils of 'em. 	Затем поднимаю ему веки и долго вглядываюсь в зрачки. 
68	"""'How long have you been sick?' I asked. "	— Когда вы заболели? — спрашиваю я. 
69	"""'I was taken down—ow-ouch—last night,' says the Mayor. "	— Меня схватило… ой, ой… вчера вечером, — говорит мэр. 
70	'Gimme something for it, doc, won't you?' 	— Дайте мне чего- нибудь, доктор, спасите, облегчите меня! 
71	"""'Mr. Fiddle,' says I, 'raise the window shade a bit, will you?' "	— Мистер Фидл, — говорю я, — приподнимите-ка штору. 
72	"""'Biddle,' says the young man. "	— Не Фидл, а Бидл, — поправляет меня молодой человек. 
73	'Do you feel like you could eat some ham and eggs, Uncle James?' 	— А что, дядя Джеймс, — обращается он к судье, — не думаете ли вы, что вы могли бы скушать яичницу с ветчиной? 
74	"""'Mr. Mayor,' says I, after laying my ear to his right shoulder blade and listening, 'you've got a bad attack of super-inflammation of the right clavicle of the harpsichord!' "	— Мистер мэр, — говорю я, приложив ухо к его правой лопатке и прислушиваясь, — вы схватили серьезное сверхвоспаление клавикулы клавикордиала. 
75	"""'Good Lord!' says he, with a groan, 'Can't you rub something on it, or set it or anything?' "	— Господи боже мой, — застонал он, — нельзя ли что-нибудь втереть, или вправить, или вообще что-нибудь? 
76	"""I picks up my hat and starts for the door. "	Я беру шляпу и направляюсь к двери. 
77	"""'You ain't going, doc?' says the Mayor with a howl. "	— Куда вы? — кричит мэр. 
78	'You ain't going away and leave me to die with this—superfluity of the clapboards, are you?' 	— Не покинете же вы меня одного умирать от этих сверхклавикордов? 
79	"""'Common humanity, Dr. Whoa-ha,' says Mr. Biddle, 'ought to prevent your deserting a fellow-human in distress.' "	— Уж из одного сострадания к ближнему, — говорит Бидл, — вы не должны покидать больного, доктор Хоа-Хо… 
