	en	ru
0	W. Somerset Maugham. 	Сомерсет Моэм. 
1	Rain. 	Дождь. Пер. - И. Гурова. 
2	It was nearly bed-time and when they awoke next morning land would be in sight. 	Скоро время ложиться, а завтра, когда они проснутся,  уже  будет  видна земля. 
3	Dr. Macphail lit his pipe and, leaning over the rail, searched the heavens for the Southern Cross. 	Доктор Макфейл закурил трубку и, опираясь на поручни,  стал  искать среди созвездий Южный Крест. 
4	After two years at the front and a wound that had taken longer to heal than it should, he was glad to settle down quietly at Apia for twelve months at least, and he felt already better for the journey. 	После двух лет  на  фронте  и  раны,  которая заживала дольше, чем следовало бы, он был рад поселиться на  год  в  Тихой Апии, и путешествие уже принесло ему заметную пользу. 
5	Since some of the passengers were leaving the ship next day at Pago-Pago they had had a little dance that evening and in his ears hammered still the harsh notes of the mechanical piano. 	Так как на следующее утро некоторым пассажирам предстояло сойти в Паго-Паго, вечером на корабле были устроены танцы, и в ушах у доктора все еще  отдавались  резкие  звуки пианолы. 
6	But the deck was quiet at last. 	Теперь, наконец, на палубе воцарилось спокойствие. 
7	A little way off he saw his wife in a long chair talking with the Davidsons, and he strolled over to her. 	Неподалеку  он увидел  свою  жену,  занятую  разговором  с  Дэвидсонами,  и   неторопливо направился к  ее  шезлонгу. 
8	When he sat down under the light and took off his hat you saw that he had very red hair, with a bald patch on the crown, and the red, freckled skin which accompanies red hair; he was a man of forty, thin, with a pinched face, precise and rather pedantic; and he spoke with a Scots accent in a very low, quiet voice. 	Когда  он  сел  под  фонарем  и  снял  шляпу,  оказалось, что у него огненно-рыжие волосы, плешь на макушке и обычная для рыжих людей красноватая веснушчатая кожа. Это  был  человек  лет  сорока, худой, узколицый, аккуратный и немного педант. Он  говорил  с  шотландским акцентом, всегда негромко и спокойно. 
9	Between the Macphails and the Davidsons, who were missionaries, there had arisen the intimacy of shipboard, which is due to propinquity rather than to any community of taste. 	Между Макфейлами и Дэвидсонами - супругами миссионерами  -  завязалась пароходная дружба, возникающая не из-за  близости  взглядов  и  вкусов,  а благодаря неизбежно частым встречам. 
10	Their chief tie was the disapproval they shared of the men who spent their days and nights in the smoking-room playing poker or bridge and drinking. 	Больше всего их объединяла неприязнь, которую все четверо испытывали к пассажирам, проводившим  дни  и  ночи  в курительном салоне за покером, бриджем и вином. 
11	Mrs. Macphail was not a little flattered to think that she and her husband were the only people on board with whom the Davidsons were willing to associate, and even the doctor, shy but no fool, half unconsciously acknowledged the compliment. 	Миссис Макфейл немножко гордилась тем, что они с мужем были единственными людьми на борту, которых Дэвидсоны не сторонились, и  даже  сам  доктор,  человек  застенчивый,  но отнюдь не глупый, в глубине души чувство-вал  себя  польщенным. 
12	It was only because he was of an argumentative mind that in their cabin at night he permitted himself to carp. 	И  только потому, что у него был критический склад ума, он позволил себе  поворчать, когда они в этот вечер ушли в свою каюту. 
13	"""Mrs. Davidson was saying she didn`t know how they`d have got through the journey if it hadn`t been for us,"" said Mrs. Macphail, as she neatly brushed out her transformation. "	- Миссис Дэвидсон говорила мне, что не знает, как бы они выдержали  эту поездку, если бы не мы, - сказала миссис Макфейл, осторожно  выпутывая  из волос накладку. 
14	"""She said we were really the only people on the ship they cared to know."" "	- Она сказала, что, кроме нас, им просто не с кем было  бы здесь познакомиться. 
15	"""I shouldn`t have thought a missionary was such a big bug that he could afford to put on frills."" "	- По-моему, миссионер - не такая уж важная птица, чтобы чваниться. 
16	"""It`s not frills. "	- Это не чванство. 
17	I quite understand what she means. 	Я очень хорошо ее понимаю. 
18	"It wouldn`t have been very nice for the Davidsons to have to mix with all that rough lot in the smoking-room."" "	Дэвидсонам  не  подходит грубое общество курительного салона. 
19	"""The founder of their religion wasn`t so exclusive,"" said Dr. Macphail with a chuckle. "	- Основатель их религии не был так  разборчив,  -  со  смешком  заметил доктор. 
20	"""I`ve asked you over and over again not to joke about religion,"" answered his wife. "	- Сколько раз я просила тебя не шутить  над  религией,  -  сказала  его жена. 
21	"""I shouldn`t like to have a nature like yours, Alec. "	- Не хотела бы я иметь твой характер, Алек. 
22	"You never look for the best in people."" "	Ты ищешь в людях  только дурное. 
23	He gave her a sidelong glance with his pale, blue eyes, but did not reply. 	Он  искоса  посмотрел  на  нее  своими  бледно-голубыми   глазами,   но промолчал. 
24	After many years of married life he had learned that it was more conducive to peace to leave his wife with the last word. 	Долгие годы супружеской жизни убедили  его,  что  ради  мира  в семье последнее слово следует оставлять за женой. 
25	He was undressed before she was, and climbing into the upper bunk he settled down to read himself to sleep. 	Он  кончил  раздеваться раньше ее и, забравшись на верхнюю полку, устроился почитать перед сном. 
26	When he came on deck next morning they were close to land. 	Когда на следующее утро доктор  вышел  на  палубу,  земля  была  совсем близко. 
27	He looked at it with greedy eyes. 	Он жадно смотрел на нее. 
28	There was a thin strip of silver beach rising quickly to hills covered to the top with luxuriant vegetation. 	Узкая  полоска  серебряного  пляжа  сразу сменялась крутыми горами, вплоть   до вершин покрытыми пышной растительностью. 
29	The coconut trees, thick and green, came nearly to the water`s edge, and among them you saw the grass houses of the Samoaris; and here and there, gleaming white, a little church. 	Среди зелени кокосовых пальм, спускавшихся почти к  самой воде, виднелись травяные хижины  самоанцев  и  кое-где  белели  церквушки. 
30	Mrs. Davidson came and stood beside him. 	Миссис Дэвидсон вышла на палубу и остановилась рядом с доктором. 
31	She was dressed in black, and wore round her neck a gold chain, from which dangled a small cross. 	Она  была одета в черное, на шее - золотая цепочка с крестиком. 
32	She was a little woman, with brown, dull hair very elaborately arranged, and she had prominent blue eyes behind invisible pince-nez. 	Это  была  маленькая женщина  с  тщательно  приглаженными  тусклыми  каштановыми   волосами и выпуклыми голубыми глазами за стеклами пенсне. 
33	Her face was long, like a sheep`s, but she gave no impression of foolishness, rather of extreme alertness; she had the quick movements of a bird. 	Несмотря на длинное  овечье лицо,  она  не  казалась  простоватой,  а,   наоборот,   настороженной и энергичной. У нее были быстрые птичьи движения. 
34	The most remarkable thing about her was her voice, high, metallic, and without inflection; it fell on the ear with a hard monotony, irritating to the nerves like the pitiless clamour of the pneumatic drill. 	Самым примечательным в ней был голос - высокий, металлический, лишенный всякой интонации; он  бил  по барабанным перепонкам с  неумолимым  однообразием,  раздражая  нервы,  как безжалостное жужжание пневматического сверла. 
35	"""This must seem like home to you,"" said Dr. Macphail, with his thin, difficult smile. "	- Вы, наверное, чувствуете себя почти дома, - сказал доктор  Макфейл  с обычной слабой, словно вымученной улыбкой. 
36	"""Ours are low islands, you know, not like these. "	- Видите ли, наши острова непохожи на эти - они плоские. 
37	Coral. 	Коралловые. 
38	These are volcanic. 	А эти - вулканические. 
39	"We`ve got another ten days` journey to reach them."" "	Нам осталось еще десять дней пути. 
40	"""In these parts that`s almost like being in the next street at home,"" said Dr. Macphail facetiously. "	- В здешних краях это то же, что  на  родине  -  соседний  переулок,  - пошутил доктор. 
41	"""Well, that`s rather an exaggerated way of putting it, but one does look at distances differently in the South Seas. "	- Ну, вы, разумеется, преувеличиваете, однако в Южных морях  расстояния действительно кажутся другими. 
42	"So far you`re right."" "	В этом отношении вы совершенно правы. 
43	Dr. Macphail sighed faintly. 	Доктор Макфейл слегка вздохнул. 
44	"""I`m glad we`re not stationed here,"" she went on. "	- Я рада, что наша миссия не на  этом  острове,  - продолжала  она. 
45	"""They say this is a terribly difficult place to work in. "	- Говорят, здесь почти невозможно работать. 
46	The steamers` touching makes the people unsettled; and then there`s the naval station; that`s bad for the natives. 	Сюда заходит много пароходов,  а это развращает жителей; и, кроме того, здесь стоят  военные  корабли,  что дурно влияет на туземцев. 
47	In our district we don`t have difficulties like that to contend with. 	В нашем округе нам не приходится сталкиваться  с подобными трудностями. 
48	"There are one or two traders, of course, but we take care to make them behave, and if they don`t we make the place so hot for them they`re glad to go."" "	Ну, разумеется, там живут два-три торговца,  но  мы следим, чтобы они вели себя как следует, а в противном случае  мы  их  так допекаем, что они бывают рады уехать. 
49	Fixing the glasses on her nose she looked at the green island with a ruthless stare. 	Поправив пенсне, она устремила на зеленый остров беспощадный взгляд. 
50	"""It`s almost a hopeless task for the missionaries here. "	- Стоящая перед  здешними  миссионерами  задача  почти  неразрешима. 
51	"I can never be sufficiently thankful to God that we are at least spared that."" "	Я неустанно благодарю бога, что по крайней мере это испытание нас миновало. 
52	Davidson`s district consisted of a group of islands to the North of Samoa; they were widely separated and he had frequently to go long distances by canoe. 	Округ Дэвидсона  охватывал  группу  островов  к  северу  от  Самоа;  их разделяли большие расстояния,  и  ему  нередко  приходилось  совершать  на пироге далекие поездки. 
53	At these times his wife remained at their headquarters and managed the mission. 	В таких  случаях  его  жена  оставалась  управлять миссией. 
54	Dr. Macphail felt his heart sink when he considered the efficiency with which she certainly managed it. 	Доктор Макфейл вздрогнул, представив себе,  с  какой  неукротимой энергией она, вероятно,  это  делает. 
55	She spoke of the depravity of the natives in a voice which nothing could hush, but with a vehemently unctuous horror. 	Она  говорила  о  безнравственности туземцев с елейным негодованием,  но  не  понижая  голоса. 
56	Her sense of delicacy was singular. 	Ее  понятия  о нескромности были несколько своеобразными. 
57	Early in their acquaintance she had said to him: 	В самом  начале  их  знакомства она сказала ему: 
58	"""You know, their marriage customs when we first settled in the islands were so shocking that I couldn`t possibly describe them to you. "	- Представьте себе, когда мы только приехали, брачные обычаи  на  наших островах были столь возмутительны, что я ни в коем случае не могу  вам  их описать. 
59	"But I`ll tell Mrs. Macphail and she`ll tell you."" "	Но я расскажу миссис Макфейл, а она расскажет вам. 
60	Then he had seen his wife and Mrs. Davidson, their deck-chairs close together, in earnest conversation for about two hours. 	Затем он в течение двух часов смотрел, как его жена и миссис  Дэвидсон, сдвинув шезлонги, вели оживленный разговор. 
61	As he walked past them backwards and forwards for the sake of exercise, he had heard Mrs. Davidson`s agitated whisper, like the distant flow of a mountain torrent, and he saw by his wife`s open mouth and pale face that she was enjoying an alarming experience. 	Прохаживаясь мимо  них,  чтобы размяться, он слышал  возбужденный  шепот  миссис  Дэвидсон,  напо-минавший отдаленный рев горного потока, и, видя побледневшее лицо  и  полураскрытый рот жены, догадывался, что она  замирает  от  блаженного  ужаса. 
62	At night in their cabin she repeated to him with bated breath all she had heard. 	Вечером, когда они ушли к себе в каюту, она, захлебываясь, передала  ему  все,  что услышала. 
63	"""Well, what did I say to you?"" cried Mrs. Davidson, exultant, next morning. "	- Ну, что я вам говорила? - торжествуя, вскричала  миссис  Дэвидсон  на следующее утро. 
64	"""Did you ever hear anything more dreadful? "	- Ужасно, не правда ли? 
65	You don`t wonder that I couldn`t tell you myself, do you? 	Теперь вас не удивляет, что я сама не осмелилась рассказать вам все это? 
66	"Even though you are a doctor."" "	Несмотря даже на то, что вы доктор. 
67	Mrs. Davidson scanned his face. 	Миссис Дэвидсон  пожирала  его  глазами. 
