	en	ru
0	Henry O. THE ROADS WE TAKE 	Дороги, которые мы выбираем. О. Генри 
1	"Twenty miles west of Tucson, the ""Sunset Express"" stopped at a tank to take on water. "	В двадцати милях к западу от Таксона «Вечерний экспресс» остановился у водокачки набрать воды. 
2	Besides the aqueous addition the engine of that famous flyer acquired some other things that were not good for it. 	Кроме воды, паровоз этого знаменитого экспресса захватил и еще кое-что, не столь для него полезное. 
3	While the fireman was lowering the feeding hose, Bob Tidball, 	В то время как кочегар отцеплял шланг, Боб Тидбол, 
4	"""Shark"" Dodson and a quarter-bred Creek Indian called John Big Dog climbed on the engine and showed the engineer three round orifices in pieces of ordnance that they carried. "	«Акула» Додсон и индеец-метис из племени криков, по прозвищу Джон Большая Собака, влезли на паровоз и показали машинисту три круглых отверстия своих карманных артиллерийских орудий. 
5	These orifices so impressed the engineer with their possibilities that he raised both hands in a gesture such as accompanies the ejaculation 	Это произвело на машиниста такое сильное впечатление, что он мгновенно вскинул обе руки вверх, как это делают при восклицании: 
6	"""Do tell!"" "	«Да что вы! Быть не может!» 
7	At the crisp command of Shark Dodson, who was leader of the attacking force the engineer descended to the ground and uncoupled the engine and tender. 	По короткой команде Акулы Додсона, который был начальником атакующего отряда, машинист сошел на рельсы и отцепил паровоз и тендер. 
8	Then John Big Dog, perched upon the coal, sportively held two guns upon the engine driver and the fireman, and suggested that they run the engine fifty yards away and there await further orders. 	После этого Джон Большая Собака, забравшись на груду угля, шутки ради направил на машиниста и кочегара два револьвера и предложил им отвести паровоз на пятьдесят ярдов от состава и ожидать дальнейших распоряжений. 
9	Shark Dodson and Bob Tidball, scorning to put such low-grade ore as the passengers through the mill, struck out for the rich pocket of the express car. 	Акула Додсон и Боб Тидбол не стали пропускать сквозь грохот такую бедную золотом породу, как пасссажиры, а направились прямиком к богатым россыпям почтового вагона. 
10	"They found the messenger serene in the belief that the ""Sunset Express"" was taking on nothing more stimulating and dangerous than aqua pura. "	Проводника они застали врасплох — он был в полной уверенности, что «Вечерний экспресс» не набирает ничего вреднее и опаснее чистой воды. 
11	While Bob was knocking this idea out of his head with the butt-end of his six-shooter Shark Dodson was already dosing the express-car safe with dynamite. 	Пока Боб Тидбол выбивал это пагубное заблуждение из его головы ручкой шестизарядного кольта, Акула Додсон, не теряя времени, закладывал динамитный патрон под сейф почтового вагона. 
12	The safe exploded to the tune of $30,000, all gold and currency. 	Сейф взорвался, дав тридцать тысяч долларов чистой прибыли золотом и кредитками. 
13	The passengers thrust their heads casually out of the windows to look for the thunder-cloud. 	Пассажиры то там, то здесь высовывались из окон поглядеть, где это гремит гром. 
14	The conductor jerked at the bell-rope, which sagged down loose and unresisting, at his tug. 	Старший кондуктор дернул за веревку от звонка, но она, безжизненно повиснув, не оказала никакого сопротивления. 
15	Shark Dodson and Bob Tidball, with their booty in a stout canvas bag, tumbled out of the express car and ran awkwardly in their high-heeled boots to the engine. 	Акула Додсон и Боб Тидбол, побросав добычу в крепкий брезентовый мешок, спрыгнули наземь и, спотыкаясь на высоких каблуках, побежали к паровозу. 
16	The engineer, sullenly angry but wise, ran the engine, according to orders, rapidly away from the inert train. 	Машинист, угрюмо, но благоразумно повинуясь их команде, погнал паровоз прочь от неподвижного состава. 
17	But before this was accomplished the express messenger, recovered from Bob Tidball's persuader to neutrality, jumped out of his car with a Winchester rifle and took a trick in the game. 	Но еще до этого проводник почтового вагона, очнувшись от гипноза, выскочил на насыпь с винчестером в руках и принял активное участие в игре. 
18	Mr. John Big Dog, sitting on the coal tender, unwittingly made a wrong lead by giving an imitation of a target, and the messenger trumped him. 	Джон Большая Собака, сидевший на тендере с углем, сделал неверный ход, подставив себя под выстрел, и проводник прихлопнул его козырным тузом. 
19	With a ball exactly between his shoulder blades the Creek chevalier of industry rolled off to the ground, thus increasing the share of his comrades in the loot by one-sixth each. 	Рыцарь большой дороги скатился наземь с пулей между лопаток, и таким образом доля добычи каждого из его партнеров увеличилась на одну шестую. 
20	Two miles from the tank the engineer was ordered to stop. 	В двух милях от водокачки машинисту было приказано остановиться. 
21	The robbers waved a defiant adieu and plunged down the steep slope into the thick woods that lined the track. 	Бандиты вызывающе помахали ему на прощанье ручкой и, скатившись вниз по крутому откосу, исчезли в густых зарослях, окаймлявших путь. 
22	Five minutes of crashing through a thicket of chaparral brought them to open woods, where three horses were tied to low-hanging branches. 	Через пять минут, с треском проломившись сквозь кусты чаппараля, они очутились на поляне, где к нижним ветвям деревьев были привязаны три лошади. 
23	One was waiting for John Big Dog, who would never ride by night or day again. 	Одна из них дожидалась Джона Большой Собаки, которому уже не суждено было ездить на ней ни днем, ни ночью. 
24	This animal the robbers divested of saddle and bridle and set free. 	Сняв с этой лошади седло и уздечку, бандиты отпустили ее на волю. 
25	They mounted the other two with the bag across one pommel, and rode fast and with discretion through the forest and up a primeval, lonely gorge. 	На остальных двух они сели сами, взвалив мешок на луку седла, и поскакали быстро, но озираясь по сторонам, сначала через лес, затем по дикому, пустынному ущелью. 
26	Here the animal that bore Bob Tidball slipped on a mossy boulder and broke a foreleg. 	Здесь лошадь Боба Тидбола поскользнулась на мшистом валуне и сломала переднюю ногу. 
27	They shot him through the head at once and sat down to hold a council of flight. 	Бандиты тут же пристрелили ее и уселись держать совет. 
28	Made secure for the present by the tortuous trail they had travelled, the question of time was no longer so big. 	Проделав такой длинный и извилистый путь, они пока были в безопасности — время еще терпело. 
29	Many miles and hours lay between them and the spryest posse that could follow. 	Много миль и часов отделяло их от самой быстрой погони. 
30	Shark Dodson's horse, with trailing rope and dropped bridle, panted and cropped thankfully of the grass along the stream in the gorge. 	Лошадь Акулы Додсона, волоча уздечку по земле и поводя боками, благодарно щипала траву на берегу ручья. 
31	Bob Tidball opened the sack, drew out double handfuls of the neat packages of currency and the one sack of gold and chuckled with the glee of a child. 	Боб Тидбол развязал мешок и, смеясь, как ребенок, выгреб из него аккуратно заклеенные пачки новеньких кредиток и единственный мешочек с золотом. 
32	"""Say, you old double-decked pirate,"" he called joyfully to Dodson, ""you said we could do it—you got a head for financing that knocks the horns off of anything in Arizona."" "	— Послушай-ка, старый разбойник, — весело обратился он к Додсону, — а ведь ты оказался прав, дело-то выгорело. Ну и голова у тебя, прямо министр финансов. Кому угодно в Аризоне можешь дать сто очков вперед. 
33	"""What are we going to do about a hoss for you, Bob? "	— Как же нам быть с лошадью, Боб? 
34	We ain't got long to wait here. 	Засиживаться здесь нельзя. 
35	"They'll be on our trail before daylight in the mornin'."" "	Они еще до рассвета пустятся за нами в погоню. 
36	"""Oh, I guess that cayuse of yourn'll carry double for a while,"" answered the sanguine Bob. "	— Ну, твой Боливар выдержит пока что и двоих, — ответил жизнерадостный Боб. 
37	"""We'll annex the first animal we come across. "	— Заберем первую же лошадь, какая нам подвернется. 
38	By jingoes, we made a haul, didn't we? 	Черт возьми, хорош улов, а? 
39	"Accordin' to the marks on this money there's $30,000—$15,000 apiece!"" "	Тут тридцать тысяч, если верить тому, что на бумажках напечатано, — по пятнадцати тысяч на брата. 
