	en	ru
0	The Woman in White 	Уилки Коллинз. 
1	by Wilkie Collins 	Женщина в белом 
2	THE STORY BEGUN BY WALTER HARTRIGHT (of Clement's Inn, Teacher of Drawing) 	ПЕРВЫЙ ПЕРИОД РАССКАЗЫВАЕТ УЧИТЕЛЬ РИСОВАНИЯ ИЗ КЛИМЕНТС-ИННА, УОЛТЕР ХАРТРАЙТ I 
3	This is the story of what a Woman's patience can endure, and what a Man's resolution can achieve. 	Это  история  о  том, что может выдержать женщина и чего может добиться мужчина. 
4	If the machinery of the Law could be depended on to fathom every case of suspicion, and to conduct every process of inquiry, with moderate assistance only from the lubricating influences of oil of gold, the events which fill these pages might have claimed their share of the public attention in a Court of Justice. 	Если  бы  машина правосудия неукоснительно и беспристрастно разбиралась в  каждом  подозрении  и  вела судебное следствие, лишь умеренно подмазанная золотом,  события,  описанные  на  этих  страницах,  вероятно,  получили  бы широкую огласку во время судебного разбирательства. 
5	But the Law is still, in certain inevitable cases, the pre-engaged servant of the long purse; and the story is left to be told, for the first time, in this place. 	Но  в  некоторых  случаях  закон до сих пор еще остается наемным слугой туго  набитого  кошелька,  и  потому  эта  история  будет впервые рассказана здесь. 
6	As the Judge might once have heard it, so the Reader shall hear it now. 	Так  же как мог бы услышать ее судья, теперь услышит читатель. 
7	No circumstance of importance, from the beginning to the end of the disclosure, shall be related on hearsay evidence. 	Ни об одном  из существенных обстоятельств, относящихся к раскрытию этого дела, от начала его и до конца, не будет рассказано здесь на основании слухов. 
8	When the writer of these introductory lines (Walter Hartright by name) happens to be more closely connected than others with the incidents to be recorded, he will describe them in his own person. 	В  тех случаях, когда Уолтер Хартрайт, пишущий эти строки, будет стоять ближе  других к событиям, о которых идет речь, он расскажет о них сам. 
9	When his experience fails, he will retire from the position of narrator; and his task will be continued, from the point at which he has left it off, by other persons who can speak to the circumstances under notice from their own knowledge, just as clearly and positively as he has spoken before them. 	Когда он  не  будет участвовать в них, он уступит свое место тем, кто лично знаком с обстоятельствами дела и кто продолжит его труд столь же точно и правдиво. 
10	Thus, the story here presented will be told by more than one pen, as the story of an offence against the laws is told in Court by more than one witness—with the same object, in both cases, to present the truth always in its most direct and most intelligible aspect; and to trace the course of one complete series of events, by making the persons who have been most closely connected with them, at each successive stage, relate their own experience, word for word. 	Итак,  эту  историю  будут  писать  несколько человек - как на судебном процессе   выступают  несколько  свидетелей;  цель  в  обоих  случаях  одна: изложить  правду  наиболее точно и обстоятельно и проследить течение событий в  целом,  предоставляя  живым  свидетелям  этой  истории  одному  за другим рассказывать ее. 
11	Let Walter Hartright, teacher of drawing, aged twenty-eight years, be heard first. 	Первым  выслушаем  учителя рисования Уолтера Хартрайта, двадцати восьми лет. 
12	II 	II 
13	It was the last day of July. 	Был последний день июля. 
