	en	ru
0	The horrible conclusion which had been gradually intruding itself upon my confused and reluctant mind was now an awful certainty. 	Леденящее предчувствие, назойливо  кружившее в  моем смущенном, но  еще способном   противиться  сознании,  перешло  в  уверенность. 
1	I was lost, completely, hopelessly lost in the vast and labyrinthine recess of the Mammoth Cave. 	Я  был   один, окончательно и безнадежно один в лабиринте широкой  пасти Мамонтовой пещеры. 
2	Turn as I might, in no direction could my straining vision seize on any object capable of serving as a guidepost to set me on the outward path. 	Топчась на месте, я обводил пространство напряженным взглядом, но ни в одной стороне мне не открылся знак, который указал бы путь к  спасению. 
3	That nevermore should I behold the blessed light of day, or scan the pleasant hills and dales of the beautiful world outside, my reason could no longer entertain the slightest unbelief. 	Не  узреть мне больше благословенного света дня, не ласкать взором милые холмы и долины прекрасного  мира, оставшегося далеко, мое  сознание  не могло далее лелеять даже тень  надежды. 
4	Hope had departed. 	Она покинула  меня. 
5	Yet, indoctrinated as I was by a life of philosophical study, I derived no small measure of satisfaction from my unimpassioned demeanour; for although I had frequently read of the wild frenzies into which were thrown the victims of similar situations, I experienced none of these, but stood quiet as soon as I clearly realised the loss of my bearings. 	Однако жизнь  приобщила меня к касте философов,  и  я  испытал   немалое удовлетворение  от  бесстрастия  моего поведения: хотя мне приходилось  читать  о неукротимом бешенстве, в  которое впадают несчастные,  оказавшиеся в подобной ситуации,  я не испытывал ничего даже  близкого  к такому  состоянию  и оставался в той же мере невозмутим, в какой осознавал полную потерю ориентации. 
6	Nor did the thought that I had probably wandered beyond the utmost limits of an ordinary search cause me to abandon my composure even for a moment. 	Мысль  о том, что,  должно быть,  я  вышел  за пределы,  отведенные для прогулок, ни на минуту не лишила меня хладнокровия. 
7	If I must die, I reflected, then was this terrible yet majestic cavern as welcome a sepulchre as that which any churchyard might afford, a conception which carried with it more of tranquillity than of despair. 	Если смерть  ждет меня, рассуждал  я, то эта ужасная,  но величественная  пещера, став моим склепом, окажет  мне  столь же  радушный  прием, что и  кладбище; и  это  соображение отозвалось во мне волной спокойствия, а не отчаяния. 
8	Starving would prove my ultimate fate; of this I was certain. 	Я был  уверен:  впереди меня ждет  последний  знак  состоявшейся судьбы голод. 
9	Some, I knew, had gone mad under circumstances such as these, but I felt that this end would not be mine. 	Я знал, что уделом многих,  чей путь я повторял, было безумие;  но я чувствовал меня ждал другой конец. 
10	My disaster was the result of no fault save my own, since unknown to the guide I had separated myself from the regular party of sightseers; and, wandering for over an hour in forbidden avenues of the cave, had found myself unable to retrace the devious windings which I had pursued since forsaking my companions. 	Мне  некого  было винить в моем бедствии, без ведома гида я покинул послушные  ряды любителей достопримечательностей и уже более часа блуждал по заповедным переходам; а теперь ясно понял, что мне не  отыскать  в  кружении  лабиринта  пути,  по  которому  я  ушел  от своих спутников. 
11	Already my torch had begun to expire; soon I would be enveloped by the total and almost palpable blackness of the bowels of the earth. 	Свет от  фонарика  бледнел; близился момент,  когда  кромешная  темнота земного зева должна была окутать  меня. 
12	As I stood in the waning, unsteady light, I idly wondered over the exact circumstances of my coming end. 	Внутри тающего неверного круга света я оцепенело рисовал себе точную картину приближающейся смерти. 
