	en	ru
0	HENRY O. THE HIDING OF BLACK BILL 	О. Генри Как скрывался черный Билл 
1	A lank, strong, red-faced man with a Wellington beak and small, fiery eyes tempered by flaxen lashes, sat on the station platform at Los Pinos swinging his legs to and fro. 	Худой, жилистый, краснолицый человек с крючковатым носом и маленькими горящими глазками, блеск которых несколько смягчали белесые ресницы, сидел на краю железнодорожной платформы на станции Лос-Пиньос, болтая ногами. 
2	At his side sat another man, fat, melancholy, and seedy, who seemed to be his friend. They had the appearance of men to whom life had appeared as a reversible coat—seamy on both sides. 	Рядом с ним сидел другой человек - толстый, обтрепанный, унылый, должно быть, его приятель, У обоих был такой вид, словно грубые швы изнанки жизни давно уже натерли им мозоли по всему телу. 
3	"""Ain't seen you in about four years, Ham,"" said the seedy man. "	- Года четыре не видались, верно. Окорок? - сказал обтрепанный. 
4	"""Which way you been travelling?"" "	- Где тебя носило? 
5	"""Texas,"" said the red-faced man. "	- В Техасе, - сказал краснолицый. 
6	"""It was too cold in Alaska for me. "	- На Аляске слишком холодно - это не для меня. 
7	And I found it warm in Texas. 	А в Техасе тепло, как выяснилось. 
8	I'll tell you about one hot spell I went through there. 	Один раз было даже довольно жарко. Сейчас расскажу. 
9	"""One morning I steps off the International at a water-tank and lets it go on without me. "	Как-то утром я соскочил с экспресса, когда он остановился у водокачки, и разрешил ему следовать дальше без меня. 
10	'Twas a ranch country, and fuller of spite-houses than New York City. Only out there they build 'em twenty miles away so you can't smell what they've got for dinner, instead of running 'em up two inches from their neighbors' windows. 	Оказалось, что я попал в страну ранчо. Домов там еще больше, чем в Нью-Йорке, только их строят не в двух дюймах, а в двадцати милях друг от друга, так что нельзя учуять носом, что у соседей на обед. 
11	"""There wasn't any roads in sight, so I footed it 'cross country. "	Дороги я не нашел и потащился напрямик, куда глаза глядят. 
12	The grass was shoe-top deep, and the mesquite timber looked just like a peach orchard. It was so much like a gentleman's private estate that every minute you expected a kennelful of bulldogs to run out and bite you. 	Трава там по колено, а мескитовые рощи издали совсем как персиковые сады, - так и кажется, что забрел в чужую усадьбу и сейчас налетят на тебя бульдоги и начнут хватать за пятки. 
13	But I must have walked twenty miles before I came in sight of a ranch-house. 	Однако я отмахал миль двадцать, прежде чем набрел на усадьбу. 
14	It was a little one, about as big as an elevated-railroad station. 	Небольшой такой домик - величиной с платформу надземной железной дороги. 
15	"""There was a little man in a white shirt and brown overalls and a pink handkerchief around his neck rolling cigarettes under a tree in front of the door. "	Невысокий человек в белой рубахе и коричневом комбинезоне, с розовым платком вокруг шеи, скручивал сигаретки под деревом у входа в дом. 
16	"""'Greetings,' says I. "	- Привет, - говорю я ему. 
17	'Any refreshment, welcome, emoluments, or even work for a comparative stranger?' 	- Может ли в некотором роде чужестранец прохладиться, подкрепиться, найти приют или даже какую-нибудь работенку в вашем доме? 
18	"""'Oh, come in,' says he, in a refined tone. "	- Заходите, - говорит он самым любезным тоном. 
19	'Sit down on that stool, please. 	Присядьте, пожалуйста, на этот табурет. 
20	I didn't hear your horse coming.' 	Я и не слышал, как вы подъехали. 
21	"""'He isn't near enough yet,' says I. "	- Я еще не подъехал, - говорю я. 
22	'I walked. 	- Я пока подошел. 
23	I don't want to be a burden, but I wonder if you have three or four gallons of water handy.' 	Неприятно затруднять вас, но если бы вы раздобыли ведра два воды... 
24	"""'You do look pretty dusty,' says he; 'but our bathing arrangements—' "	- Да, вы изрядно запылились, - говорит он, - только наши купальные приспособления... 
25	"""'It's a drink I want,' says I. "	- Я хочу напиться, - говорю я. 
26	'Never mind the dust that's on the outside.' 	- Пыль, которая у меня снаружи, не имеет особого значения. 
27	"""He gets me a dipper of water out of a red jar hanging up, and then goes on: "	Он налил мне ковш воды из большого красного кувшина и спрашивает: 
28	"""'Do you want work?' "	- Так вам нужна работа? 
29	"""'For a time,' says I. "	- Временно, - говорю я. 
30	'This is a rather quiet section of the country, isn't it?' 	- Здесь, кажется, довольно тихое местечко? 
31	"""'It is,' says he. "	- Вы не ошиблись, - говорит он. 
32	'Sometimes—so I have been told—one sees no human being pass for weeks at a time. 	- Иной раз неделями ни одной живой души не увидишь. Так я слышал. 
33	I've been here only a month. 	Сам я всего месяц, как обосновался здесь. 
34	I bought the ranch from an old settler who wanted to move farther west.' 	Купил это ранчо у одного старожила, который решил перебраться дальше на Запад. 
35	"""'It suits me,' says I. "	- Мне это подходит, - говорю я. 
36	'Quiet and retirement are good for a man sometimes. 	- Человеку иной раз полезно пожить в таком тихом углу. 
37	And I need a job. 	Но мне нужна работа. 
38	I can tend bar, salt mines, lecture, float stock, do a little middle-weight slugging, and play the piano.' 	Я умею сбивать коктейли, шельмовать с рудой, читать лекции, выпускать акции, немного играю на пианино и боксирую в среднем весе. 
39	"""'Can you herd sheep?' asks the little ranchman. "	- Так...-говорит этот недоросток. - А не можете ли вы пасти овец? 
40	"""'Do you mean have I heard sheep?' says I. "	- Не могу ли я спасти овец? - удивился я. 
41	"""'Can you herd 'em—take charge of a flock of 'em?' says he. "	- Да нет, не спасти, а пасти, - говорит он. - Ну, стеречь стадо. 
42	"""'Oh,' says I, 'now I understand. "	- А, - говорю я, - понимаю! 
43	You mean chase 'em around and bark at 'em like collie dogs. 	Сгонять их в кучу, как овчарка, и лаять, чтоб не разбежались! 
44	Well, I might,' says I. 	Что ж, могу. 
45	'I've never exactly done any sheep-herding, but I've often seen 'em from car windows masticating daisies, and they don't look dangerous.' 	Мне, по правде сказать, еще не приходилось пастушествовать, но я не раз наблюдал из окна вагона, как овечки жуют на лугу ромашки, и вид у них был не особенно кровожадный. 
46	"""'I'm short a herder,' says the ranchman. "	- Мне нужен пастух, - говорит овцевод. 
47	'You never can depend on the Mexicans. 	- А на мексиканцев я не очень-то полагаюсь. 
48	I've only got two flocks. 	У меня два стада. 
49	You may take out my bunch of muttons—there are only eight hundred of 'em—in the morning, if you like. 	Можете хоть завтра с утра выгнать на пастбище моих баранов их всего восемьсот штук. 
50	The pay is twelve dollars a month and your rations furnished. 	Жалованье - двенадцать долларов в месяц, харчи мои. 
51	You camp in a tent on the prairie with your sheep. 	Жить будете там же на выгоне, в палатке. 
52	You do your own cooking, but wood and water are brought to your camp. 	Стряпать вам придется самому, а дрова и воду будут доставлять. 
53	It's an easy job.' 	Работа не тяжелая. 
54	"""'I'm on,' says I. "	- По рукам, - говорю я. 
55	'I'll take the job even if I have to garland my brow and hold on to a crook and wear a loose-effect and play on a pipe like the shepherds do in pictures.' 	- Берусь за эту работу, если даже придется украсить голову венком, облачиться в балахон, взять в руки жезл и наигрывать на дудочке, как делают это пастухи на картинках. 
56	"""So the next morning the little ranchman helps me drive the flock of muttons from the corral to about two miles out and let 'em graze on a little hillside on the prairie. "	И вот на следующее утро хозяин ранчо помогает мне выгнать из корраля стадо баранов и доставить их на пастбище в прерии, мили за две от усадьбы, где они принимаются мирно пощипывать травку на склоне холма. 
57	He gives me a lot of instructions about not letting bunches of them stray off from the herd, and driving 'em down to a water-hole to drink at noon. 	Хозяин дает мне пропасть всяких наставлений: следить, чтобы отдельные скопления баранов не отбивались от главного стада, и в полдень гнать их всех на водопои. 
58	"""'I'll bring out your tent and camping outfit and rations in the buckboard before night,' says he. "	- Вечером я привезу вашу палатку, все оборудование и провиант, - говорит он мне. 
59	"""'Fine,' says I. "	- Роскошно, - говорю я. 
60	'And don't forget the rations. 	- И не забудьте захватить провиант. 
61	Nor the camping outfit. 	Да заодно и оборудование. 
