	en	ru
0	The Canterville Ghost By OSCAR WILDE 	Оскар Уайльд. Кентервильское привидение 
1	I 	1 
2	When Mr. Hiram B. Otis, the American Minister, bought Canterville Chase, every one told him he was doing a very foolish thing, as there was no doubt at all that the place was haunted. 	Когда  мистер  Хайрам  Б. Отис,  американский  посол,   решил   купить Кентервильский замок, все уверяли его, что он делает ужасную глупость,- было достоверно известно, что в замке обитает привидение. 
3	Indeed, Lord Canterville himself, who was a man of the most punctilious honour, had felt it his duty to mention the fact to Mr. Otis when they came to discuss terms. 	Сам лорд Кентервиль, человек  донельзя  щепетильный,  даже  когда  дело касалось сущих пустяков, не преминул  при  составлении  купчей  предупредить мистера Отиса. 
4	"""We have not cared to live in the place ourselves,"" said Lord Canterville, ""since my grandaunt, the Dowager Duchess of Bolton, was frightened into a fit, from which she never really recovered, by two skeleton hands being placed on her shoulders as she was dressing for dinner, and I feel bound to tell you, Mr. Otis, that the ghost has been seen by several living members of my family, as well as by the rector of the parish, the Rev. Augustus Dampier, who is a Fellow of King's College, Cambridge. "	- Нас как-то не тянуло в этот замок,- сказал лорд  Кентервиль,-  с  тех пор как с моей двоюродной бабкой, вдовствующей герцогиней  Болтон,  случился нервный припадок, от которого она так и не оправилась. Она  переодевалась  к обеду, и вдруг ей на плечи опустились две костлявые руки. Не скрою  от  вас, мистер Отис, что привидение это являлось  также  многим  ныне  здравствующим членам моего семейства. Его видел и наш  приходский  священник,  преподобный Огастес Дэмпир,  магистр  Королевского  колледжа  в  Кембридже. 
5	"After the unfortunate accident to the Duchess, none of our younger servants would stay with us, and Lady Canterville often got very little sleep at night, in consequence of the mysterious noises that came from the corridor and the library."" "	После  этой неприятности  с  герцогиней  вся  младшая  прислуга  ушла  от  нас,  а  леди Кен-тервиль  совсем  лишилась  сна:  каждую  ночь  ей   слышались   какие-то непонятные шорохи в коридоре и библиотеке. 
6	"""My Lord,"" answered the Minister, ""I will take the furniture and the ghost at a valuation. "	- Что ж, милорд,-  ответил  посол,-  пусть  привидение  идет  вместе  с мебелью. 
7	"I have come from a modern country, where we have everything that money can buy; and with all our spry young fellows painting the Old World red, and carrying off your best actors and prima-donnas, I reckon that if there were such a thing as a ghost in Europe, we'd have it at home in a very short time in one of our public museums, or on the road as a show."" "	Я приехал из передовой страны, где есть все, что  можно  купить  за деньги. К тому же молодежь у нас  бойкая,  способная  перевернуть  весь  ваш Старый Свет. Наши молодые  люди  увозят  от  вас  лучших  актрис  и  оперных примадонн. Так что, заведись  в  Европе  хоть  одно  привидение,  оно  мигом очутилось бы у нас в каком-нибудь музее или в разъездном паноптикуме. 
8	"""I fear that the ghost exists,"" said Lord Canterville, smiling, ""though it may have resisted the overtures of your enterprising impresarios. "	- Боюсь, что кентервильское привидение  все-таки  существует,-  сказал, улыбаясь,  лорд  Кентервиль,-  хоть  оно,  возможно,   и   не   соблазнилось предложениями ваших предприимчивых импресарио. 
9	"It has been well known for three centuries, since 1584 in fact, and always makes its appearance before the death of any member of our family."" "	Оно  пользуется  известностью добрых триста лет,- точнее сказать, с тысяча пятьсот восемьдесят  четвертого года,- и неизменно появляется незадолго до  кончины  кого-нибудь  из  членов нашей семьи. 
10	"""Well, so does the family doctor for that matter, Lord Canterville. "	- Обычно, лорд Кентервиль, в подобных случаях приходит  домашний  врач. 
11	"But there is no such thing, sir, as a ghost, and I guess the laws of Nature are not going to be suspended for the British aristocracy."" "	Никаких привидений нет, сэр, и законы природы, смею думать, для всех одни  - даже для английской аристократии. 
12	"""You are certainly very natural in America,"" answered Lord Canterville, who did not quite understand Mr. Otis's last observation, ""and if you don't mind a ghost in the house, it is all right. "	-  Вы,  американцы,  еще  так  близки  к  природе!  -  отозвался   лорд Кентервиль, видимо, не совсем уразумев последнее замечание мистера Отиса. - Что ж, если вас устроит дом с привидением,  то  все  в  порядке. 
13	"Only you must remember I warned you."" "	Только  не забудьте, я вас предупредил. 
14	A few weeks after this, the purchase was concluded, and at the close of the season the Minister and his family went down to Canterville Chase. 	Несколько  недель  спустя  была  подписана  купчая,  и   по   окончании лондонского сезона посол с семьей переехал в  Кентервильский  замок. 
15	Mrs. Otis, who, as Miss Lucretia R. Tappan, of West 53d Street, had been a celebrated New York belle, was now a very handsome, middle-aged woman, with fine eyes, and a superb profile. 	Миссис Отис, которая в свое время - еще под именем мисс Лукреция Р. Тэппен  с  53-й Западной улицы - славилась в Нью-Йорке своей  красотой,  была  теперь  дамой средних лет, все еще весьма привлекательной, с чудесными глазами  и  точеным профилем. 
16	Many American ladies on leaving their native land adopt an appearance of chronic ill-health, under the impression that it is a form of European refinement, but Mrs. Otis had never fallen into this error. 	Многие  американки,  покидая  родину,  принимают  вид  хронических больных, считая это одним из признаков европейской утонченности,  но  миссис Отис этим не грешила. 
17	She had a magnificent constitution, and a really wonderful amount of animal spirits. 	Она обладала великолепным телосложением  и  совершенно фантастическим  избытком  энергии. 
18	Indeed, in many respects, she was quite English, and was an excellent example of the fact that we have really everything in common with America nowadays, except, of course, language. 	Право,  ее  нелегко  было  отличить   от настоящей англичанки, и ее пример лишний раз подтверждал, что теперь у нас с Америкой все одинаковое,  кроме,  разумеется,  языка. 
19	Her eldest son, christened Washington by his parents in a moment of patriotism, which he never ceased to regret, was a fair-haired, rather good-looking young man, who had qualified himself for American diplomacy by leading the German at the Newport Casino for three successive seasons, and even in London was well known as an excellent dancer. 	Старший  из  сыновей, которого родители в порыве патриотизма  окрестили  Вашингтоном,-  о  чем  он всегда сожалел,- был довольно  красивый  молодой  блондин,  обещавший  стать хорошим американским дипломатом, поскольку он три сезона подряд  дирижировал немецкой кадрилью в казино Ньюпорта и  даже  в  Лондоне  заслужил  репутацию превосходного танцора. 
20	Gardenias and the peerage were his only weaknesses. Otherwise he was extremely sensible. 	Он питал слабость к гардениям и геральдике, отличаясь во всем остальном совершенным здравомыслием. 
21	Miss Virginia E. Otis was a little girl of fifteen, lithe and lovely as a fawn, and with a fine freedom in her large blue eyes. 	Мисс  Вирджинии  Е. Отис  шел шестнадцатый год. Это  была  стройная  девочка,  грациозная,  как  лань,  с большими, ясными голубыми глазами. 
22	She was a wonderful Amazon, and had once raced old Lord Bilton on her pony twice round the park, winning by a length and a half, just in front of the Achilles statue, to the huge delight of the young Duke of Cheshire, who proposed for her on the spot, and was sent back to Eton that very night by his guardians, in floods of tears. 	Она прекрасно ездила на пони и,  уговорив однажды старого лорда Билтона проскакать с ней два раза  наперегонки  вокруг Гайд-парка, на полтора корпуса обошла его у самой статуи Ахиллеса; этим  она привела в такой восторг юного герцога Чеширского, что он  немедленно  сделал ей предложение и вечером того же дня, весь  в  слезах,  был  отослан  своими опекунами обратно в Итон. 
