	en	ru
0	LOVE OF LIFE “This out of all will remain—        They have lived and have tossed:     So much of the game will be gain,        Though the gold of the dice has been lost.” 	Джек Лондон. Любовь к жизни 
1	They limped painfully down the bank, and once the foremost of the two men staggered among the rough-strewn rocks. 	Прихрамывая, они спустились к речке, и один раз тот, что шел впереди, зашатался, споткнувшись посреди каменной россыпи. 
2	They were tired and weak, and their faces had the drawn expression of patience which comes of hardship long endured. 	Оба устали и выбились из сил, и лица их выражали терпеливую покорность - след долгих лишений. 
3	They were heavily burdened with blanket packs which were strapped to their shoulders. Head-straps, passing across the forehead, helped support these packs. 	Плечи им оттягивали тяжелые тюки, стянутые ремнями. 
4	Each man carried a rifle. 	Каждый из них нес ружье. 
5	They walked in a stooped posture, the shoulders well forward, the head still farther forward, the eyes bent upon the ground. 	Оба шли сгорбившись, низко нагнув голову и не поднимая глаз. 
6	“I wish we had just about two of them cartridges that’s layin’ in that cache of ourn,” said the second man. 	- Хорошо бы иметь хоть два патрона из тех, что лежат у нас в тайнике, - сказал один. 
7	His voice was utterly and drearily expressionless. 	Голос его звучал вяло, без всякого выражения. 
8	He spoke without enthusiasm; and the first man, limping into the milky stream that foamed over the rocks, vouchsafed no reply. 	Он говорил  равнодушно, и его спутник, только что ступивший в молочно-белую  воду,  пенившуюся  по камням, ничего ему не ответил. 
9	The other man followed at his heels. 	Второй тоже вошел в речку вслед за первым. 
10	They did not remove their foot-gear, though the water was icy cold—so cold that their ankles ached and their feet went numb. 	Они не разулись, хотя вода была холодная, как лед, - такая холодная, что ноги у них и даже пальцы  на ногах онемели от холода. 
11	In places the water dashed against their knees, and both men staggered for footing. 	Местами  вода  захлестывала  колени,  и  оба  они пошатывались, теряя опору. 
12	The man who followed slipped on a smooth boulder, nearly fell, but recovered himself with a violent effort, at the same time uttering a sharp exclamation of pain. 	Второй путник поскользнулся на гладком валуне  и  чуть  не  упал,  но удержался на  ногах,  громко  вскрикнув  от  боли. 
13	He seemed faint and dizzy and put out his free hand while he reeled, as though seeking support against the air. 	Должно  быть,  у  него закружилась голова, - он пошатнулся  и  замахал  свободной  рукой,  словно хватаясь за воздух. 
14	When he had steadied himself he stepped forward, but reeled again and nearly fell. 	Справившись  с  собой,  он  шагнул  вперед,  но  снова пошатнулся и чуть не упал. 
15	Then he stood still and looked at the other man, who had never turned his head. 	Тогда он  остановился  и  посмотрел  на  своего спутника: тот все так же шел впереди, даже не оглядываясь. 
16	The man stood still for fully a minute, as though debating with himself. Then he called out: 	Целую минуту он стоял неподвижно, словно раздумывая, потом крикнул: 
17	“I say, Bill, I’ve sprained my ankle.” 	- Слушай, Билл, я вывихнул ногу! 
18	Bill staggered on through the milky water. 	Билл ковылял дальше по молочно-белой воде. 
19	He did not look around. 	Он ни разу  не  оглянулся. 
20	The man watched him go, and though his face was expressionless as ever, his eyes were like the eyes of a wounded deer. 	Второй смотрел ему вслед, и хотя его лицо оставалось по-прежнему тупым,  в глазах появилась тоска, словно у раненого оленя. 
21	The other man limped up the farther bank and continued straight on without looking back. 	Билл уже выбрался на другой берег и плелся  дальше. 
22	The man in the stream watched him. 	Тот,  что  стоял посреди речки, не сводил с него глаз. 
23	His lips trembled a little, so that the rough thatch of brown hair which covered them was visibly agitated. 	Губы у него так сильно дрожали,  что шевелились жесткие рыжие усы над ними. 
