	en	ru
0	THE MARTIAN CHRONICLES 	"""Марсианские хроники"". "
1	by Ray Bradbury 	Рэй Брэдбери. 
2	For my wife MARGUERITE with all my love 	МОЕЙ ЖЕНЕ МАРГАРЕТ С ИСКРЕННЕЙ ЛЮБОВЬЮ 
3	“It is good to renew one’s wonder,” said the philosopher. 	«Великое дело — способность удивляться, — сказал философ. 
4	“Space travel has again made children of us all.” 	— Космические полеты снова сделали всех нас детьми». 
5	January 1999: ROCKET SUMMER 	Январь 1999 Ракетное лето 
6	One minute it was Ohio winter, with doors closed, windows locked, the panes blind with frost, icicles fringing every roof, children skiing on slopes, housewives lumbering like great black bears in their furs along the icy streets. 	Только что была огайская зима: двери заперты, окна закрыты, стекла незрячие от изморози, все крыши оторочены сосульками, дети мчатся с горок на лыжах, женщины в шубах черными медведицами бредут по гололедным улицам. 
7	And then a long wave of warmth crossed the small town. A flooding sea of hot air; it seemed as if someone had left a bakery door open. 	И вдруг могучая волна тепла прокатилась по городку, вал горячего воздуха захлестнул его, будто нечаянно оставили открытой дверь пекарни. 
8	The heat pulsed among the cottages and bushes and children. 	Зной омывал дома, кусты, детей. 
9	The icicles dropped, shattering, to melt. 	Сосульки срывались с крыш, разбивались и таяли. 
10	The doors flew open. 	Двери распахнулись. 
11	The windows flew up. 	Окна раскрылись. 
12	The children worked off their wool clothes. 	Дети скинули свитера. 
13	The housewives shed their bear disguises. 	Мамаши сбросили медвежье обличье. 
14	The snow dissolved and showed last summer’s ancient green lawns. 	Снег испарился, и на газонах показалась прошлогодняя жухлая трава. 
15	Rocket summer. 	Ракетное лето. 
16	The words passed among the people in the open, airing houses. Rocket summer. 	Из уст в уста с ветром из дома в открытый дом — два слова: Ракетное лето. 
17	The warm desert air changing the frost patterns on the windows, erasing the art work. 	Жаркий, как дыхание пустыни, воздух переиначивал морозные узоры на окнах, слизывал хрупкие кружева. 
18	The skis and sleds suddenly useless. 	Лыжи и санки вдруг стали не нужны. 
19	The snow, falling from the cold sky upon the town, turned to a hot rain before it touched the ground. 	Снег, падавший на городок с холодного неба, превращался в горячий дождь, не долетев до земли. 
20	Rocket summer. 	Ракетное лето. 
21	People leaned from their dripping porches and watched the reddening sky. 	Высунувшись с веранд под дробную капель, люди смотрели вверх на алеющее небо. 
22	The rocket lay on the launching field, blowing out pink clouds of fire and oven heat. 	Ракета стояла на космодроме, испуская розовые клубы огня и печного жара. 
23	The rocket stood in the cold wintar morning, making summer with every breath of its mighty exhausts. 	В стуже зимнего утра ракета творила лето каждым выдохом своих мощных дюз. 
24	The rocket made climates, and summer lay for a brief moment upon the land… 	Ракета делала погоду, и на короткий миг во всей округе воцарилось лето… 
25	February 1999: YLLA 	Февраль 1999 Илла 
26	They had a house of crystal pillars on the planet Mars by the edge of an empty sea, and every morning you could see Mrs. K eating the golden fruits that grew from the crystal walls, or cleaning the house with handfuls of magnetic dust which, taking all dirt with it, blew away on the hot wind. 	Они жили на планете Марс, в доме с хрустальными колоннами, на берегу высохшего моря, и по утрам можно было видеть, как миссис К ест золотые плоды, растущие из хрустальных стен, или наводит чистоту, рассыпая пригоршнями магнитную пыль, которую горячий ветер уносил вместе с сором. 
27	Afternoons, when the fossil sea was warm and motionless, and the wine trees stood stiff in the yard, and the little distant Martian bone town was all enclosed, and no one drifted out their doors, you could see Mr. K himself in his room, reading from a metal book with raised hieroglyphs over which he brushed his hand, as one might play a harp. 	Под вечер, когда древнее море было недвижно и знойно, и винные деревья во дворе стояли в оцепенении, и старинный марсианский городок вдали весь уходил в себя и никто не выходил на улицу, мистера К можно было видеть в его комнате, где он читал металлическую книгу, перебирая пальцами выпуклые иероглифы, точно струны арфы. 
28	And from the book, as his fingers stroked, a voice sang, a soft ancient voice, which told tales of when the sea was red steam on the shore and ancient men had carried clouds of metal insects and electric spiders into battle. 	И книга пела под его рукой, певучий голос древности повествовал о той поре, когда море алым туманом застилало берега и древние шли на битву, вооруженные роями металлических шершней и электрических пауков. 
29	Mr. and Mrs. K had lived by the dead sea for twenty years, and their ancestors had lived in the same house, which turned and followed the sun, flower-like, for ten centuries. 	Мистер и миссис К двадцать лет прожили на берегу мертвого моря, и их отцы и деды тоже жили в этом доме, который поворачивался, подобно цветку, вслед за солнцем, вот уже десять веков. 
30	Mr. and Mrs. K were not old. 	Мистер и миссис К были еще совсем не старые. 
31	They had the fair, brownish skin of the true Martian, the yellow coin eyes, the soft musical voices. 	У них была чистая, смуглая кожа настоящих марсиан, глаза желтые, как золотые монеты, тихие мелодичные голоса. 
32	Once they had liked painting pictures with chemical fire, swimming in the canals in the seasons when the wine trees filled them with green liquors, and talking into the dawn together by the blue phosphorous portraits in the speaking room. 	Прежде они любили писать картины химическим пламенем, любили плавать в каналах в то время года, когда винные деревья наполняли их зеленой влагой, а потом до рассвета разговаривать под голубыми светящимися портретами в комнате для бесед. 
33	They were not happy now. 	Теперь они уже не были счастливы. 
34	This morning Mrs. K stood between the pillars, listening to the desert sands heat, melt into yellow wax, and seemingly run on the horizon. 	В то утро миссис К, словно вылепленная из желтого воска, стояла между колоннами, прислушиваясь к зною бесплодных песков, устремленная куда-то вдаль. 
35	Something was going to happen. 	Что-то должно было произойти. 
36	She waited. 	Она ждала. 
37	She watched the blue sky of Mars as if it might at any moment grip in on itself, contract, and expel a shining miracle down upon the sand. 	Она смотрела на голубое марсианское небо так, словно оно могло вот-вот поднатужиться, сжаться и исторгнуть на песок сверкающее чудо. 
38	Nothing happened. 	Но все оставалось по-прежнему. 
39	Tired of waiting, she walked through the misting pillars. 	Истомившись ожиданием, она стала бродить между туманными колоннами. 
40	A gentle rain sprang from the fluted pillar tops, cooling the scorched air, falling gently on her. 	Из желобков в капителях заструился тихий дождь, охлаждая раскаленный воздух, гладя ее кожу. 
41	On hot days it was like walking in a creek. 	В жаркие дни это было все равно что войти в ручей. 
42	The floors of the house glittered with cool streams. 	Прохладные струи посеребрили полы. 
43	In the distance she heard her husband playing his book steadily, his fingers never tired of the old songs. 	Слышно было, как муж без устали играет на своей книге; древние напевы не приедались его пальцам. 
44	Quietly she wished he might one day again spend as much time holding and touching her like a little harp as he did his incredible books. 	Она подумала без волнения: он бы мог когда-нибудь подарить и ей, как бывало прежде, столько же времени, обнимая ее, прикасаясь к ней, словно к маленькой арфе, как он прикасается к своим невозможным книгам. 
45	But no. 	Увы. 
46	She shook her head, an imperceptible, forgiving shrug. 	Она покачала головой, отрешенно пожала плечами, чуть-чуть. 
47	Her eyelids closed softly down upon her golden eyes. 	Веки мягко прикрыли золотистые глаза. 
48	Marriage made people old and familiar, while still young. 	Брак даже молодых людей делает старыми, давно знакомыми… 
49	She lay back in a chair that moved to take her shape even as she moved. 	Она опустилась в кресло, которое тотчас само приняло форму ее фигуры. 
50	She closed her eyes tightly and nervously. 	Она крепко, нервно зажмурилась. 
51	The dream occurred. 	И сон явился. 
52	Her brown fingers trembled, came up, grasped at the air. 	Смуглые пальцы вздрогнули, метнулись вверх, ловя воздух. 
53	A moment later she sat up, startled, gasping. 	Мгновение спустя она испуганно выпрямилась в кресле, прерывисто дыша. 
54	She glanced about swiftly, as if expecting someone there before her. 	Она быстро обвела комнату взглядом, точно надеясь кого-то увидеть. 
55	She seemed disappointed; the space between the pillars was empty. 	Разочарование: между колоннами было пусто. 
56	Her husband appeared in a triangular door. 	В треугольной двери показался ее супруг. 
57	“Did you call?” he asked irritably. 	— Ты звала меня? — раздраженно спросил он. 
58	“No!” she cried. 	— Нет! — почти крикнула она. 
59	“I thought I heard you cry out.” 	— Мне почудилось, ты кричала. 
60	“Did I? 	— В самом деле? 
61	I was almost asleep and had a dream!” 	Я задремала и видела сон! 
62	“In the daytime? 	— Днем? 
63	You don’t often do that.” 	Это с тобой не часто бывает. 
64	She sat as if struck in the face by the dream. 	Глаза ее говорили о том, что она ошеломлена сновидением. 
65	“How strange, how very strange,” she murmured. 	— Странно, очень-очень странно, — пробормотала она. 
66	“The dream.” 	— Этот сон… 
67	“Oh?” 	— Ну? 
68	He evidently wished to return to his book. 	— Ему явно не терпелось вернуться к книге. 
69	“I dreamed about a man.” 	— Мне снился мужчина. 
70	“A man?” 	— Мужчина? 
71	“A tall man, six feet one inch tall.” 	— Высокий мужчина, шесть футов один дюйм. 
72	“How absurd; a giant, a misshapen giant.” 	— Что за нелепость: это же великан, урод. 
73	“Somehow” — she tried the words — “he looked all right. 	— Почему-то, — она медленно подбирала слова, — он не казался уродом. 
74	In spite of being tall. 	Несмотря на высокий рост. 
75	And he had — oh, I know you’ll think it silly — he had blue eyes!” 	И у него — ах, я знаю, тебе это покажется вздором, — у него были голубые глаза! 
76	“Blue eyes! Gods!” cried Mr. K. 	— Голубые глаза! — воскликнул мистер К. — О боги! 
77	“What’ll you dream next? 	Что тебе приснится в следующий раз? 
78	I suppose he had black hair?” 	Ты еще скажешь — черные волосы? 
79	“How did you guess?” She was excited. 	— Как ты угадал?! — воскликнула она. 
80	“I picked the most unlikely color,” he replied coldly. 	— Просто назвал наименее правдоподобный цвет, — сухо ответил он. 
81	“Well, black it was!” she cried. 	— Да, черные волосы! — крикнула она. 
82	“And he had a very white skin; oh, he was most unusual! 	— И очень белая кожа. Совершенно необычайный мужчина! 
83	He was dressed in a strange uniform and he came down out of the sky and spoke pleasantly to me.” 	На нем была странная одежда, и он спустился с неба и ласково говорил со мной. 
84	She smiled. 	Она улыбалась. 
85	“Out of the sky; what nonsense!” 	— С неба — какая чушь! 
86	“He came in a metal thing that glittered in the sun,” she remembered. 	— Он прилетел в металлической машине, которая сверкала на солнце, — вспоминала миссис К. 
87	She closed her eyes to shape it again. 	Она закрыла глаза, чтобы воссоздать видение. 
88	“I dreamed there was the sky and something sparkled like a coin thrown into the air, and suddenly it grew large and fell down softly to land, a long silver craft, round and alien. 	— Мне снилось небо, и что-то блеснуло, будто подброшенная в воздух монета, потом стало больше, больше и плавно опустилось на землю, — это был длинный серебристый корабль, круглый, чужой корабль. 
89	And a door opened in the side of the silver object and this tall man stepped out.” 	Потом сбоку отворилась дверь и вышел этот высокий мужчина. 
90	“If you worked harder you wouldn’t have these silly dreams.” 	— Работала бы побольше, тебе не снились бы такие дурацкие сны. 
91	“I rather enjoyed it,” she replied, lying back. 	— А мне он понравился, — ответила она, откидываясь в кресле. 
92	“I never suspected myself of such an imagination. 	— Никогда не подозревала, что у меня такое воображение. 
93	Black hair, blue eyes, and white skin! 	Черные волосы, голубые глаза, белая кожа! 
94	What a strange man, and yet — quite handsome.” 	Какой странный мужчина — и, однако, очень красивый. 
95	“Wishful thinking.” 	— Самовнушение. 
96	“You’re unkind. 	— Ты недобрый. 
97	I didn’t think him up on purpose; he just came in my mind while I drowsed. 	Я вовсе не придумала его намеренно, он сам явился мне, когда я задремала. 
98	It wasn’t like a dream. 	Даже не похоже на сон. 
99	It was so unexpected and different. He looked at me and he said, 	Так неожиданно, необычно… Он посмотрел на меня и сказал: 
100	«I’ve come from the third planet in my ship. 	«Я прилетел на этом корабле с третьей планеты. 
101	My name is Nathaniel York — »” 	Меня зовут Натаниел Йорк…» 
102	“A stupid name; it’s no name at all,” objected the husband. 	— Нелепое имя, — возразил супруг. — Таких вообще не бывает. 
103	“Of course it’s stupid, because it’s a dream,” she explained softly. 	— Конечно, нелепое, ведь это был сон, — покорно согласилась она. 
104	“And he said, 	— Еще он сказал: 
105	«This is the first trip across space. 	«Это первый полет через космос. 
106	There are only two of us in our ship, myself and my friend Bert.»” 	Нас всего двое в корабле — я и мой друг Берт». 
107	“Another stupid name.” 	— Еще одно нелепое имя. 
108	“And he said,«We’re from a city on Earth; that’s the name of our planet,»” continued Mrs. K. 	— Он сказал: «Мы из города на Земле, так называется наша планета», — продолжала миссис К. 
109	“That’s what he said. 	— Это его слова. 
110	«Earth» was the name he spoke. 	Так и сказал — Земля. 
111	And he used another language. 	И говорил он не на нашем языке. 
112	Somehow I understood him. 	Но я каким-то образом понимала его. 
113	With my mind. 	В уме. 
114	Telepathy, I suppose.” 	Телепатия, очевидно. 
115	Mr. K turned away. 	Мистер К отвернулся. 
116	She stopped him with a word. 	Ее голос остановил его. 
117	“Yll?” she called quietly. 	— Илл! — тихо позвала она. 
118	“Do you ever wonder if — well, if there are people living on the third planet?” 	— Ты никогда не задумывался… ну… есть ли люди на третьей планете? 
119	“The third planet is incapable of supporting life,” stated the husband patiently. 	— На третьей планете жизнь невозможна, — терпеливо разъяснил супруг. 
120	“Our scientists have said there’s far too much oxygen in their atmosphere.” 	— Наши ученые установили, что в тамошней атмосфере слишком много кислорода. 
121	“But wouldn’t it be fascinating if there were people? 	— А как было бы чудесно, если бы там жили люди! 
122	And they traveled through space in some sort of ship?” 	И умели путешествовать через космос на каких-нибудь особенных кораблях. 
123	“Really, Ylla, you know how I hate this emotional wailing. 	— Вот что, Илла, ты отлично знаешь, я ненавижу эту сентиментальную болтовню. 
124	Let’s get on with our work.” 	Займемся лучше делом. 
125	It was late in the day when she began singing the song as she moved among the whispering pillars of rain. 	Близился вечер, когда она, ступая между колоннами, источающими дождь, запела. 
126	She sang it over and over again. 	Один и тот же мотив, снова и снова. 
127	“What’s that song?” snapped her husband at last, walking in to sit at the fire table. 	— Что это за песня? — рявкнул в конце концов супруг, проходя к огненному столу. 
128	“I don’t know.” 	— Не знаю. 
129	She looked up, surprised at herself. 	Она подняла на него глаза, удивляясь сама себе. 
130	She put her hand to her mouth, unbelieving. 	Озадаченно поднесла ко рту руку. 
131	The sun was setting. The house was closing itself in, like a giant flower, with the passing of light. 	Солнце садилось, и по мере того, как дневной свет угасал, дом закрывался, будто огромный цветок. 
132	A wind blew among the pillars; the fire table bubbled its fierce pool of silver lava. 	Между колоннами подул ветерок, на огненном столе жарко бурлило озерко серебристой лавы. 
133	The wind stirred her russet hair, crooning softly in her ears. 	Ветер перебирал кирпичные волосы миссис К, тихонько шепча ей на ухо. 
134	She stood silently looking out into the great sallow distances of sea bottom, as if recalling something, her yellow eyes soft and moist, 	Она молча стояла, устремив затуманившийся взор золотистых глаз вдаль, на бледно-желтую гладь морского дна, словно вспоминая что-то. 
135	“Drink to me only with thine eyes, and I will pledge with mine,” she sang, softly, quietly, slowly. 	Глазами тост произнеси, И я отвечу взглядом, — запела она тихо, медленно, нежно. 
136	“Or leave a kiss within the cup, and I’ll not ask for wine.” 	Иль край бокала поцелуй — И мне вина не надо. [1] 
137	She hummed now, moving her hands in the wind ever so lightly, her eyes shut. 	Миссис К повторила мелодию, уже без слов, закрыв глаза, и руки ее словно порхали по ветру. 
138	She finished the song. 	Наконец она умолкла. 
139	It was very beautiful. 	Мелодия была прекрасна. 
140	“Never heard that song before. 	— Впервые слышу эту песню. 
141	Did you compose it?” he inquired, his eyes sharp. 	Ты сама ее сочинила? — строго спросил он, испытующе глядя на нее. 
142	“No, Yes. 	— Нет. Да. 
143	No, I don’t know, really!” 	Право, не знаю! 
144	She hesitated wildly. 	— Она была в смятении. 
145	“I don’t even know what the words are; they’re another language!” 	— Я даже не понимаю слов, это другой язык! 
146	“What language?” 	— Какой язык? 
147	She dropped portions of meat numbly into the simmering lava. 	Она машинально бросала куски мяса в кипящую лаву. 
148	“I don’t know.” 	— Не знаю. 
149	She drew the meat forth a moment later, cooked, served on a plate for him. 	— Через мгновение мясо было готово, она извлекла его из огня и подала мужу на тарелке. 
150	“It’s just a crazy thing I made up, I guess. 	— Ах, наверно, я просто придумала весь этот вздор, только и всего. 
151	I don’t know why.” 	Сама не понимаю почему. 
152	He said nothing. 	Он ничего не сказал. 
153	He watched her drown meats in the hissing fire pool. 	Смотрел, как она погружает мясо в шипящую огненную лужицу. 
154	The sun was gone. 	Солнце скрылось. 
155	Slowly, slowly the night came in to fill the room, swallowing the pillars and both of them, like a dark wine poured to the ceiling. 	Медленно-медленно вошла в комнату ночь, темным вином заполнила ее до потолка, поглотив колонны и их двоих. 
156	Only the silver lava’s glow lit their faces. 	Лишь отблески серебристой лавы озаряли лица. 
157	She hummed the strange song again. 	Она снова стала напевать странную песню. 
158	Instantly he leaped from his chair and stalked angrily from the room. 	Он вскочил со стула и гневно прошествовал к двери. 
159	Later, in isolation, he finished supper. 	Позднее он доел ужин один. 
160	When he arose he stretched, glanced at her, and suggested, yawning, 	Встав из-за стола, потянулся, поглядел на нее и, зевая, предложил: 
161	“Let’s take the flame birds to town tonight to see an entertainment.” 	— Съездим на огненных птицах в город, развлечемся? 
162	“You don’t mean it?” she said. 	— Ты серьезно? — спросила она. 
163	“Are you feeling well?” 	— Ты не заболел? 
164	“What’s so strange about that?” 	— А что тут странного? 
165	“But we haven’t gone for an entertainment in six months!” 	— Но мы уже полгода нигде не были! 
166	“I think it’s a good idea.” 	— По-моему, неплохая мысль. 
167	“Suddenly you’re so solicitous,” she said. 	— С чего это вдруг ты так заботлив? 
168	“Don’t talk that way,” he replied peevishly. 	— Ну, хватит, — брюзгливо бросил он. 
169	“Do you or do you not want to go?” 	— Поедешь или нет? 
170	She looked out at the pale desert. 	Она посмотрела на седую пустыню. 
171	The twin white moons were rising. 	Две белые луны вышли из-за горизонта. 
172	Cool water ran softly about her toes. 	Прохладная вода гладила пальцы ног. 
173	She began to tremble just the least bit. 	Легкая дрожь пробежала по ее телу. 
174	She wanted very much to sit quietly here, soundless, not moving until this thing occurred, this thing expected all day, this thing that could not occur but might. A drift of song brushed through her mind. 	Больше всего ей хотелось остаться здесь, сидеть тихо, беззвучно, неподвижно, пока не свершится то, чего она ждала весь день, то, что не должно было произойти и все же могло, могло случиться… Душа встрепенулась от нежного прикосновения песни. 
175	“I — — ” 	— Я… 
176	“Do you good,” he urged. 	— Для тебя же лучше, — настаивал он. 
177	“Come along now.” 	— Поехали. 
178	“I’m tired,” she said. 	— Я устала, — ответила она. 
179	“Some other night.” 	— Как-нибудь в другой раз. 
180	“Here’s your scarf.” 	— Вот твой шарф. 
181	He handed her a phial. 	— Он подал ей флакон. 
182	“We haven’t gone anywhere in months.” 	— Мы уже который месяц никуда не выезжали. 
183	“Except you, twice a week to Xi City.” 	— Если не считать твоих поездок в Кси-Сити два раза в неделю. 
184	She wouldn’t look at him. 	— Она избегала глядеть на него. 
185	“Business,” he said. 	— Дела, — сказал он. 
186	“Oh?” She whispered to herself. 	— Дела? — прошептала она. 
187	From the phial a liquid poured, turned to blue mist, settled about her neck, quivering. 	Из флакона брызнула жидкость, превратилась в голубую мглу и, трепеща, обвилась вокруг ее шеи. 
188	The flame birds waited, like a bed of coals, glowing on the cool smooth sands. 	На ровном прохладном песке, светясь, словно раскаленные угли, ожидали огненные птицы. 
189	The white canopy ballooned on the night wind, flapping softly, tied by a thousand green ribbons to the birds. 	Надуваемый ночным ветром, в воздухе плескался белый балдахин, множеством зеленых лент привязанный к птицам. 
190	Ylla laid herself back in the canopy and, at a word from her husband, the birds leaped, burning, toward the dark sky, The ribbons tautened, the canopy lifted. 	Илла легла под балдахин, и по приказу ее мужа пылающие птицы взметнулись к темному небу. Ленты натянулись, балдахин взмыл в воздух. 
191	The sand slid whining under; the blue hills drifted by, drifted by, leaving their home behind, the raining pillars, the caged flowers, the singing books, the whispering floor creeks. 	Взвизгнув, ушли вниз пески; мимо, мимо потянулись голубые холмы, оттеснив назад их дом, колонны, источающие дождь, цветы в клетках, поющие книги, тихие ручейки на полу. 
192	She did not look at her husband. 	Она не глядела на мужа. 
193	She heard him crying out to the birds as they rose higher, like ten thousand hot sparkles, so many red-yellow fireworks in the heavens, tugging the canopy like a flower petal, burning through the wind. 	Ей было слышно, как он покрикивал на птиц, а те взвивались все выше, летя, словно тысячи каленых искр, словно багрово-желтый фейерверк, все дальше в небо, увлекая за собой сквозь ветер балдахин — трепещущий белый лепесток. 
194	She didn’t watch the dead, ancient bone-chess cities slide under, or the old canals filled with emptiness and dreams. 	Она не смотрела на мелькающие внизу древние мертвые города, на дома — словно вырезанные из кости шахматы, не смотрела на древние каналы, наполненные пустотой и грезами. 
195	Past dry rivers and dry lakes they flew, like a shadow of the moon, like a torch burning. 	Над высохшими реками и сухими озерами пролетали они, будто лунный блик, будто горящий факел. 
196	She watched only the sky. 	Она глядела только на небо. 
197	The husband spoke. 	Муж что-то сказал. 
198	She watched the sky. 	Она глядела на небо. 
199	“Did you hear what I said?” 	— Ты слышала, что я сказал? 
200	“What?” 	— Что? 
201	He exhaled. 	Он шумно выдохнул. 
202	“You might pay attention.” 	— Могла бы быть повнимательнее. 
203	“I was thinking.” 	— Я задумалась. 
204	“I never thought you were a nature lover, but you’re certainly interested in the sky tonight,” he said. 	— Никогда не знал, что ты такая любительница природы. Сегодня ты просто не отрываешь глаз от неба, — сказал он. 
205	“It’s very beautiful.” 	— Оно очень красиво. 
206	“I was figuring,” said the husband slowly. 	— Я вот о чем подумал, — медленно продолжал супруг. 
207	“I thought I’d call Hulle tonight. 	— Не позвонить ли сегодня Халлу? 
208	I’d like to talk to him about us spending some time, oh, only a week or so, in the Blue Mountains. 	Договориться, что мы приедем — на недельку, не больше! — к ним в Голубые горы. 
209	It’s just an idea — ” 	Чем не идея?.. 
210	“The Blue Mountains!” 	— Голубые горы! 
211	She held to the canopy rim with one hand, turning swiftly toward him. 	— Она схватилась одной рукой за край балдахина и резко повернулась к нему. 
212	“Oh, it’s just a suggestion.” 	— Я ведь только предлагаю. 
213	“When do you want to go?” she asked, trembling. 	— И когда ты думаешь ехать? — нервно спросила она. 
214	“I thought we might leave tomorrow morning. 	— Да можно отправиться хоть завтра утром, — подчеркнуто небрежно бросил он. 
215	You know, an early start and all that,” he said very casually. 	— Сама знаешь: раньше начнешь, скорее… 
216	“But we never go this early in the year!” 	— Но мы еще никогда не уезжали так рано! 
217	“Just this once, I thought — ” He smiled. 	— Ну, в этом году в виде исключения… — Он улыбнулся. 
218	“Do us good to get away. 	— Нам полезно переменить обстановку. 
219	Some peace and quiet. 	Пожить в тиши, в покое. 
