	en	ru
0	The Project Gutenberg EBook of The Jungle Book, by Rudyard Kipling Produced by An Anonymous Volunteer and David Widger 	Редьярд Джозеф Киплинг 
1	THE JUNGLE BOOK By Rudyard Kipling 	Книга джунглей 
2	Mowgli's Brothers 	БРАТЬЯ МАУГЛИ 
3	It was seven o'clock of a very warm evening in the Seeonee hills when Father Wolf woke up from his day's rest, scratched himself, yawned, and spread out his paws one after the other to get rid of the sleepy feeling in their tips. 	В Сионийских горах наступил очень жаркий вечер. Отец Волк проснулся после дневного отдыха, зевнул, почесался и одну за другой вытянул свои передние лапы, чтобы прогнать из них остаток тяжести. 
4	Mother Wolf lay with her big gray nose dropped across her four tumbling, squealing cubs, and the moon shone into the mouth of the cave where they all lived. 	Волчица Мать лежала, прикрыв своей большой серой мордой четверых барахтавшихся, повизгивавших волчат, а в отверстие их пещеры светила луна. 
5	"""Augrh!"" said Father Wolf. ""It is time to hunt again."" "	– Огур!.. – сказал Отец Волк. – Пора мне идти на охоту. 
6	He was going to spring down hill when a little shadow with a bushy tail crossed the threshold and whined: 	И он уже готовился пуститься по откосу горы, когда маленькая тень с пушистым хвостом показалась подле входа в пещеру и жалобно провизжала: 
7	"""Good luck go with you, O Chief of the Wolves. And good luck and strong white teeth go with noble children that they may never forget the hungry in this world."" "	– Пусть тебе сопутствует удача, о вождь волков, пусть судьба даст твоим благородным детям сильные, белые зубы; пусть счастье улыбается им. И да не забывают они голодных! 
8	It was the jackal—Tabaqui, the Dish-licker—and the wolves of India despise Tabaqui because he runs about making mischief, and telling tales, and eating rags and pieces of leather from the village rubbish-heaps. 	Говорил шакал Табаки, лизоблюд. Волки Индии презирали Табаки за то, что он всем причинял неприятности, сплетничал и поедал тряпьё и лоскутья кожи на сельских свалках мусора. 
9	But they are afraid of him too, because Tabaqui, more than anyone else in the jungle, is apt to go mad, and then he forgets that he was ever afraid of anyone, and runs through the forest biting everything in his way. 	Вместе с тем, в джунглях боялись его, потому что шакалы способны сходить с ума, а в таком состоянии они забывают всякий страх, бегают по лесам и кусают всех, кого встречают. 
10	Even the tiger runs and hides when little Tabaqui goes mad, for madness is the most disgraceful thing that can overtake a wild creature. 	Когда маленький шакал сходит с ума, даже тигр прячется от него. Ведь для дикого создания безумие величайший позор! 
11	We call it hydrophobia, but they call it dewanee—the madness—and run. 	Мы называем эту болезнь водобоязнью, в джунглях же её считают дивани – безумием. 
12	"""Enter, then, and look,"" said Father Wolf stiffly, ""but there is no food here."" "	– Войди же и посмотри, – сухо сказал ему Волк, – только в пещере нет ничего съедобного. 
13	"""For a wolf, no,"" said Tabaqui, ""but for so mean a person as myself a dry bone is a good feast. "	– Для волка – нет, – ответил Табаки, – но для такого скромного создания, как я, даже обглоданная кость – великолепный пир. 
14	"Who are we, the Gidur-log [the jackal people], to pick and choose?"" "	Что такое мы, Джидур лог – племя шакалов, – чтобы выбирать и пробовать? 
15	He scuttled to the back of the cave, where he found the bone of a buck with some meat on it, and sat cracking the end merrily. 	Мелкими шажками он вбежал в самую глубь пещеры, отыскал там оленью кость с остатками мяса, присел и принялся с наслаждением её грызть. 
16	"""All thanks for this good meal,"" he said, licking his lips. ""How beautiful are the noble children! "	– Прими великую благодарность за прекрасное угощение, – сказал он, облизываясь. – Какие красавцы, благородные дети! 
17	How large are their eyes! 	Какие у них большие глаза! 
18	And so young too! 	А ещё такие юные. 
19	"Indeed, indeed, I might have remembered that the children of kings are men from the beginning."" "	Впрочем, что я? Мне следовало помнить, что королевские дети с первого дня своей жизни – взрослые. 
20	Now, Tabaqui knew as well as anyone else that there is nothing so unlucky as to compliment children to their faces. It pleased him to see Mother and Father Wolf look uncomfortable. 	Табаки, как и все остальные, отлично знал, что похвалы, сказанные детям в лицо, приносят им несчастье, и ему было приятно видеть, что волки‑родители встревожились. 
21	Tabaqui sat still, rejoicing in the mischief that he had made, and then he said spitefully: 	Табаки посидел, молча радуясь, что он сделал им неприятность, потом презрительно сказал: 
22	"""Shere Khan, the Big One, has shifted his hunting grounds. "	– Шер Хан переменил место охоты. 
23	"He will hunt among these hills for the next moon, so he has told me."" "	Он сказал мне, что всю следующую луну будет охотиться в этих горах. 
24	Shere Khan was the tiger who lived near the Waingunga River, twenty miles away. 	Шер Хан был тигр, живший в двадцати милях от пещеры близ реки Венгунга. 
25	"""He has no right!"" Father Wolf began angrily—""By the Law of the Jungle he has no right to change his quarters without due warning. "	– Он не имеет на это права, – сердито начал Отец Волк. – По Законам Джунглей – он не имеет права без предупреждения менять место охоты. 
26	"He will frighten every head of game within ten miles, and I—I have to kill for two, these days."" "	Он распугает всю дичь на десять миль, а мне… мне предстоит охотиться эти два дня. 
27	"""His mother did not call him Lungri [the Lame One] for nothing,"" said Mother Wolf quietly. ""He has been lame in one foot from his birth. That is why he has only killed cattle. "	– Недаром мать Шер Хана назвала его Лунгри, хромым, – спокойно заметила волчица. – Он хромает со дня рождения и потому всегда убивал только домашний скот. 
28	Now the villagers of the Waingunga are angry with him, and he has come here to make our villagers angry. 	В деревне Венгунга сердятся на него, а теперь пришёл сюда, чтобы раздражать «наших людей». 
29	They will scour the jungle for him when he is far away, and we and our children must run when the grass is set alight. 	Они обыщут джунгли, когда он убежит, и нам с детьми придётся спасаться от подожжённой ими травы. 
30	"Indeed, we are very grateful to Shere Khan!"" "	Действительно, мы можем поблагодарить Шер Хана. 
31	"""Shall I tell him of your gratitude?"" said Tabaqui. "	– Передать ему вашу благодарность? – спросил Табаки. 
32	"""Out!"" snapped Father Wolf. ""Out and hunt with thy master. "	– Прочь! – лязгнув зубами, сказал Отец Волк. – Прочь; ступай охотиться со своим господином. 
33	"Thou hast done harm enough for one night."" "	Достаточно неприятностей наговорил нам ты. 
34	"""I go,"" said Tabaqui quietly. ""Ye can hear Shere Khan below in the thickets. "	– Я уйду, – спокойно ответил Табаки. – Слышите, в чащах рычит Шер Хан? 
35	"I might have saved myself the message."" "	Я мог бы даже и не говорить вам о нем. 
36	Father Wolf listened, and below in the valley that ran down to a little river he heard the dry, angry, snarly, singsong whine of a tiger who has caught nothing and does not care if all the jungle knows it. 	Отец Волк прислушался; в долине, которая спускалась к ручью, раздалось сухое, злобное, продолжительное ворчание ничего не поймавшего тигра, которому не стыдно, что все в джунглях узнали о его неудаче. 
37	"""The fool!"" said Father Wolf. ""To begin a night's work with that noise! "	– Глупец, – сказал волк. – Он начинает работу с таким шумом! 
38	"Does he think that our buck are like his fat Waingunga bullocks?"" "	Неужели он думает, что наши олени похожи на его откормленных быков? 
39	"""H'sh. "	– Тсс! 
40	"It is neither bullock nor buck he hunts to-night,"" said Mother Wolf. ""It is Man."" "	Сегодня он охотится не на оленя и не на быка, – сказала волчица. – Его дичь – человек. 
41	The whine had changed to a sort of humming purr that seemed to come from every quarter of the compass. 	Ворчание превратилось в громкое рычание, которое, казалось, неслось со всех сторон. 
42	It was the noise that bewilders woodcutters and gypsies sleeping in the open, and makes them run sometimes into the very mouth of the tiger. 	Именно этот звук заставляет терять рассудок спящих под открытым небом дровосеков и цыган; именно слыша его, они иногда бросаются прямо в пасть тигра. 
43	"""Man!"" said Father Wolf, showing all his white teeth. ""Faugh! "	– Человек, – сказал Отец Волк, оскалив свои белые зубы. – Фу! 
44	"Are there not enough beetles and frogs in the tanks that he must eat Man, and on our ground too!"" "	Неужели в болотах мало водяных жуков и лягушек, чтобы он ещё ел человека, да ещё в наших местах. 
45	The Law of the Jungle, which never orders anything without a reason, forbids every beast to eat Man except when he is killing to show his children how to kill, and then he must hunt outside the hunting grounds of his pack or tribe. 	Закон Джунглей, никогда не приказывающий чего‑либо беспричинно, позволяет зверям есть человека, только когда зверь убивает его, желая показать своим детям, как это надо делать, но тогда он должен охотиться вне мест охоты своей стаи или племени. 
46	The real reason for this is that man-killing means, sooner or later, the arrival of white men on elephants, with guns, and hundreds of brown men with gongs and rockets and torches. 	Настоящая причина этого состоит в том, что вслед за убийством человека, рано или поздно, являются белые на слонах и с ружьями и сотни коричневых людей с гонгами, ракетами и факелами. 
47	Then everybody in the jungle suffers. 	И все в джунглях страдают. 
48	The reason the beasts give among themselves is that Man is the weakest and most defenseless of all living things, and it is unsportsmanlike to touch him. 	Однако между собой звери говорят, что Закон запрещает убивать человека, потому что он самое слабое и беззащитное изо всех живых созданий, и, следовательно, трогать его недостойно охотника. 
49	They say too—and it is true—that man-eaters become mangy, and lose their teeth. 	Кроме того, они уверяют – и справедливо, – что людоеды страшно худеют и теряют зубы. 
50	"The purr grew louder, and ended in the full-throated ""Aaarh!"" of the tiger's charge. Then there was a howl—an untigerish howl—from Shere Khan. "	Рычание стало громче и вдруг послышалось: «ар‑р‑р», короткий крик падающего тигра. 
51	"""He has missed,"" said Mother Wolf. ""What is it?"" "	– Он промахнулся, – сказала Волчица Мать. – Что там? 
52	Father Wolf ran out a few paces and heard Shere Khan muttering and mumbling savagely as he tumbled about in the scrub. 	Было слышно, что Шер Хан со свирепым ворчанием бросается от одного куста к другому. 
53	"""The fool has had no more sense than to jump at a woodcutter's campfire, and has burned his feet,"" said Father Wolf with a grunt. ""Tabaqui is with him."" "	– У этого глупца так мало смысла, что он прыгнул на костёр дровосека и обжёг себе лапы, – сказал Волк. – С ним и Табаки. 
54	"""Something is coming uphill,"" said Mother Wolf, twitching one ear. ""Get ready."" "	– А кто поднимается по откосу? – спросила Волчица Мать и насторожила одно ухо. – Приготовься! 
55	The bushes rustled a little in the thicket, and Father Wolf dropped with his haunches under him, ready for his leap. 	В чаще зашелестели листья. Волк осел на задние лапы, собираясь броситься на добычу. 
56	Then, if you had been watching, you would have seen the most wonderful thing in the world—the wolf checked in mid-spring. 	Потом, если бы вы наблюдали за ним, вы увидели бы самую удивительную вещь на свете: волка, остановившегося на половине прыжка. 
57	He made his bound before he saw what it was he was jumping at, and then he tried to stop himself. 	Ещё не увидав, на что он кидается, зверь прыгнул и в ту же минуту постарался остановиться. 
58	The result was that he shot up straight into the air for four or five feet, landing almost where he left ground. 	Вследствие этого он поднялся на четыре или пять футов от земли и упал на лапы, почти на то самое место, с которого начал нападение. 
59	"""Man!"" he snapped. ""A man's cub. "	– Человек, – коротко сказал он, – детёныш человека! 
60	"Look!"" "	Смотри. 
61	Directly in front of him, holding on by a low branch, stood a naked brown baby who could just walk—as soft and as dimpled a little atom as ever came to a wolf's cave at night. 	Как раз против волка, держась за одну из низких веток, стоял маленький, совершенно обнажённый, коричневый мальчик, только что научившийся ходить, весь мягонький, весь в ямочках. 
62	He looked up into Father Wolf's face, and laughed. 	Он посмотрел прямо в глаза волку и засмеялся. 
63	"""Is that a man's cub?"" said Mother Wolf. ""I have never seen one. "	– Так это человеческий детёныш, – сказала Волчица Мать. – Я никогда не видала их. 
64	"Bring it here."" "	Дай‑ка его сюда. 
65	A Wolf accustomed to moving his own cubs can, if necessary, mouth an egg without breaking it, and though Father Wolf's jaws closed right on the child's back not a tooth even scratched the skin as he laid it down among the cubs. 	Волк, привыкший переносить своих волчат, в случае нужды может взять в рот свежее яйцо, не разбив его, а потому, хотя челюсти зверя схватили ребёнка за спинку, ни один его зуб не оцарапал кожи маленького мальчика. Отец Волк осторожно положил его между своими детёнышами. 
66	"""How little! "	– Какой маленький! 
67	"How naked, and—how bold!"" said Mother Wolf softly. "	Совсем голенький! И какой смелый, – мягко сказала Волчица Мать. 
68	The baby was pushing his way between the cubs to get close to the warm hide. 	Ребёнок расталкивал волчат, чтобы подобраться поближе к её тёплой шкуре. 
69	"""Ahai! He is taking his meal with the others. "	– Ай, да он кормится вместе с остальными! 
70	And so this is a man's cub. 	Вот так человеческий детёныш! 
71	"Now, was there ever a wolf that could boast of a man's cub among her children?"" "	Ну, скажи‑ка: была ли когда‑нибудь в мире волчица, которая могла похвастаться тем, что между её волчатами живёт человеческий детёныш? 
72	"""I have heard now and again of such a thing, but never in our Pack or in my time,"" said Father Wolf. ""He is altogether without hair, and I could kill him with a touch of my foot. "	– Я слышал, что такие вещи случались, только не в нашей стае и не в наши дни, – ответил Отец Волк. – На нем совсем нет шерсти, и я мог бы убить его одним толчком лапы. 
73	"But see, he looks up and is not afraid."" "	Но взгляни: он смотрит и не боится. 
74	The moonlight was blocked out of the mouth of the cave, for Shere Khan's great square head and shoulders were thrust into the entrance. 	Лунный свет перестал проникать в отверстие пещеры; большая четвероугольная голова и плечи Шер Хан заслонили свободное отверстие. 
75	Tabaqui, behind him, was squeaking: 	А позади тигра визжал Табаки: 
76	"""My lord, my lord, it went in here!"" "	– Мой господин, мой господин, он вошёл сюда! 
77	"""Shere Khan does us great honor,"" said Father Wolf, but his eyes were very angry. ""What does Shere Khan need?"" "	– Шер Хан оказывает нам великую честь, – сказал Волк Отец, но в его глазах был гнев. – Что угодно Шер Хану? 
78	"""My quarry. A man's cub went this way,"" said Shere Khan. ""Its parents have run off. "	– Сюда вошёл детёныш человека, – ответил тигр. – Его родители убежали. 
79	"Give it to me."" "	Отдай мне его. 
80	Shere Khan had jumped at a woodcutter's campfire, as Father Wolf had said, and was furious from the pain of his burned feet. 	Как и говорил волк, Шер Хан прыгнул в костёр дровосека и теперь бесновался от боли в обожжённых лапах. 
81	But Father Wolf knew that the mouth of the cave was too narrow for a tiger to come in by. 	Но Волк Отец знал, что тигр не мог войти в слишком узкое для него отверстие пещеры. 
82	Even where he was, Shere Khan's shoulders and forepaws were cramped for want of room, as a man's would be if he tried to fight in a barrel. 	И так уже края боковых камней сдавливали плечи Шер Хана и его лапы сводила судорога; то же самое чувствовал бы человек, если бы он старался поместиться в бочонок. 
83	"""The Wolves are a free people,"" said Father Wolf. ""They take orders from the Head of the Pack, and not from any striped cattle-killer. "	– Волки – свободный народ, – сказал глава семьи. – Они слушаются вожака стаи, а не какого‑нибудь полосатого поедателя домашнего скота. 
84	"The man's cub is ours—to kill if we choose."" "	Человеческий детёныш – наш; мы убьём его, если захотим. 
85	"""Ye choose and ye do not choose! "	– Вы захотите, вы не пожелаете! 
86	What talk is this of choosing? 	Что это за разговоры? 
87	By the bull that I killed, am I to stand nosing into your dog's den for my fair dues? 	Клянусь убитым мной быком, я не буду стоять, нюхая вашу собачью будку и прося того, что мне принадлежит по праву. 
88	"It is I, Shere Khan, who speak!"" "	Это говорю я, Шер Хан. 
89	The tiger's roar filled the cave with thunder. 	Рёв тигра наполнил всю пещеру, как раскаты грома. 
90	Mother Wolf shook herself clear of the cubs and sprang forward, her eyes, like two green moons in the darkness, facing the blazing eyes of Shere Khan. 	Волчица Мать стряхнула с себя своих детёнышей и кинулась вперёд; её глаза, блестевшие в темноте как две зеленые луны, глянули прямо в пылающие глаза Шер Хана. 
91	"""And it is I, Raksha [The Demon], who answers. "	– Ты говоришь, а отвечаю я, Ракша. 
92	The man's cub is mine, Lungri—mine to me! 	Человеческий детёныш мой, хромуля! Да, мой. 
93	He shall not be killed. 	Его не убьют! 
94	He shall live to run with the Pack and to hunt with the Pack; and in the end, look you, hunter of little naked cubs—frog-eater—fish-killer—he shall hunt thee! 	Он будет жить, бегать вместе со стаей, охотиться со стаей и, в конце концов, убьёт тебя, преследователь маленьких голых детёнышей, поедатель лягушек и рыб! Да, он убьёт тебя! 
95	Now get hence, or by the Sambhur that I killed (I eat no starved cattle), back thou goest to thy mother, burned beast of the jungle, lamer than ever thou camest into the world! 	А теперь убирайся или, клянусь убитым мной самбхуром (я не ем палого скота), ты, обожжённое животное, отправишься к своей матери, хромая хуже, чем в день твоего рождения! 
96	"Go!"" "	Уходи! 
97	Father Wolf looked on amazed. 	Отец Волк посмотрел на неё с изумлением. 
98	He had almost forgotten the days when he won Mother Wolf in fair fight from five other wolves, when she ran in the Pack and was not called The Demon for compliment's sake. 	Он почти позабыл тот день, в который после честного боя с пятью другими волками увёл с собой свою подругу; или время, когда она бегала в стае и её называли Демоном не из одной любезности. 
99	Shere Khan might have faced Father Wolf, but he could not stand up against Mother Wolf, for he knew that where he was she had all the advantage of the ground, and would fight to the death. 	Шер Хан мог встретиться лицом к лицу с Волком Отцом, но биться с Ракшей не хотел, зная, что на её стороне все выгоды и что она будет бороться насмерть. 
100	So he backed out of the cave mouth growling, and when he was clear he shouted: 	Поэтому со страшным ворчанием он попятился, освободился из входа в пещеру и, наконец, крикнул: 
101	"""Each dog barks in his own yard! "	– Каждая собака лает у себя во дворе! 
102	We will see what the Pack will say to this fostering of man-cubs. 	Увидим, что‑то скажет сама стая об этом нежничаньи с приёмышем из человеческого племени! 
103	"The cub is mine, and to my teeth he will come in the end, O bush-tailed thieves!"" "	Он – мой и, в конце концов, попадётся мне в зубы, говорю вам, о вы, пушистохвостые воры! 
104	Mother Wolf threw herself down panting among the cubs, and Father Wolf said to her gravely: 	Волчица, задыхаясь, бросилась обратно к своим волчатам, и Отец Волк серьёзно сказал ей: 
105	"""Shere Khan speaks this much truth. "	– В этом отношении Шер Хан прав. 
106	The cub must be shown to the Pack. 	Человеческого детёныша надо показать стае. 
107	"Wilt thou still keep him, Mother?"" "	Скажи, ты все ещё хочешь оставить его у себя? 
108	"""Keep him!"" she gasped. ""He came naked, by night, alone and very hungry; yet he was not afraid! "	– Хочу ли? – произнесла она. – Он – бесшёрстый, голодный, пришёл ночью, совсем один, а между тем не боялся. 
109	Look, he has pushed one of my babes to one side already. 	Смотри: он оттолкнул одного из моих детей! 
110	And that lame butcher would have killed him and would have run off to the Waingunga while the villagers here hunted through all our lairs in revenge! 	Этот хромой злодей убил бы его и убежал в Венгунга; к нам пришли бы люди и в отместку разрушили бы все наши логовища. 
111	Keep him? 	Оставляю ли я его у себя? 
112	Assuredly I will keep him. 	Ну, конечно. 
113	"Lie still, little frog. O thou Mowgli—for Mowgli the Frog I will call thee—the time will come when thou wilt hunt Shere Khan as he has hunted thee."" "	Лежи, лежи, лягушечка, о ты, Маугли… Да, да, я назову тебя Маугли – лягушка… и когда‑нибудь ты будешь охотиться на Шер Хана, как он охотился на тебя. 
114	"""But what will our Pack say?"" said Father Wolf. "	– Но что‑то скажет наша стая? – протянул Отец Волк. 
115	The Law of the Jungle lays down very clearly that any wolf may, when he marries, withdraw from the Pack he belongs to. But as soon as his cubs are old enough to stand on their feet he must bring them to the Pack Council, which is generally held once a month at full moon, in order that the other wolves may identify them. 	Закон Джунглей очень ясно говорит, что каждый вновь женившийся волк может отделиться от своей стаи; однако едва его волчата вырастут настолько, чтобы хорошо держаться на ногах, он обязан привести их и представить Совету стаи, который обыкновенно собирается в полнолуние; это делается для того, чтобы остальные волки узнали их. 
116	After that inspection the cubs are free to run where they please, and until they have killed their first buck no excuse is accepted if a grown wolf of the Pack kills one of them. 	После такого осмотра волчата имеют право бегать куда им угодно и пока они не поймают первого оленя. Для волка, убившего одного из них, нет оправданий. 
117	The punishment is death where the murderer can be found; and if you think for a minute you will see that this must be so. 	Убийцу наказывают смертью. Подумав хорошенько, вы увидите, что это справедливо. 
118	Father Wolf waited till his cubs could run a little, and then on the night of the Pack Meeting took them and Mowgli and Mother Wolf to the Council Rock—a hilltop covered with stones and boulders where a hundred wolves could hide. 	Отец Волк выждал, чтобы его волчата научились бегать, наконец, в день собрания стаи, взял с собой их, Маугли, Волчицу Мать и отправился к Скале Совета; так называлась вершина холма, вся покрытая большими валунами и камнями, посреди которых могло спрятаться около сотни волков. 
119	Akela, the great gray Lone Wolf, who led all the Pack by strength and cunning, lay out at full length on his rock, and below him sat forty or more wolves of every size and color, from badger-colored veterans who could handle a buck alone to young black three-year-olds who thought they could. 	Акела, большой серый волк‑одиночка, благодаря своей силе и хитрости вожак стаи, во всю свою длину растянулся на камне, ниже сидели сорок или больше волков, всех оттенков шерсти – начиная с ветеранов с окраской барсука, которые могли одни вступать в борьбу с диким буйволом, до юных чёрных трехгодовиков, воображавших, будто такая борьба им по силам. 
120	The Lone Wolf had led them for a year now. 	Вот уже целый год Одинокий Волк водил стаю. 
121	He had fallen twice into a wolf trap in his youth, and once he had been beaten and left for dead; so he knew the manners and customs of men. 	В дни своей юности Акела два раза попадался в капканы; раз его избили и бросили, считая мёртвым, – поэтому он знал обычаи и уловки людей. 
122	There was very little talking at the Rock. 	Мало было разговоров. 
123	The cubs tumbled over each other in the center of the circle where their mothers and fathers sat, and now and again a senior wolf would go quietly up to a cub, look at him carefully, and return to his place on noiseless feet. 	Волчата возились и кувыркались в центре кольца, которое составляли их матери и отцы; время от времени один из старших волков спокойно подходил к какому‑нибудь волчонку, внимательно осматривал его и, бесшумно ступая, возвращался на прежнее место. 
124	Sometimes a mother would push her cub far out into the moonlight to be sure that he had not been overlooked. 	Иногда та или другая волчица выталкивала носом своего детёныша в полосу лунного света, желая, чтобы его непременно заметили. 
125	Akela from his rock would cry: 	Акела же со своей скалы восклицал: 
126	"""Ye know the Law—ye know the Law. "	– Вы знаете Закон, вы знаете Закон! 
127	"Look well, O Wolves!"" "	Хорошенько смотрите, о волки! 
128	And the anxious mothers would take up the call: 	И протяжный тревожный вой матерей подхватывал: 
129	"""Look—look well, O Wolves!"" "	– Смотрите, хорошенько смотрите, о волки! 
130	"At last—and Mother Wolf's neck bristles lifted as the time came—Father Wolf pushed ""Mowgli the Frog,"" as they called him, into the center, where he sat laughing and playing with some pebbles that glistened in the moonlight. "	Наконец, – и в эту минуту на шее Ракши поднялась высокая щетина – Отец Волк вытолкнул Маугли‑лягушку, как они назвали мальчика, на самую середину открытого пространства, и он уселся там и стал со смехом играть камешками, блестевшими при лунном свете. 
131	Akela never raised his head from his paws, but went on with the monotonous cry: 	Акела не поднял головы, продолжая монотонно выкрикивать: 
132	"""Look well!"" "	– Смотрите хорошенько! 
133	A muffled roar came up from behind the rocks—the voice of Shere Khan crying: 	Из‑за скалы послышалось глухое рыканье – голос Шер Хана. Тигр кричал: 
134	"""The cub is mine. "	– Детёныш – мой. 
135	Give him to me. 	Отдайте его мне. 
136	"What have the Free People to do with a man's cub?"" "	Зачем Свободному Народу детёныш человека? 
137	Akela never even twitched his ears. 	Акела даже ухом не шевельнул. 
138	All he said was: 	Он только протянул: 
139	"""Look well, O Wolves! "	– Смотрите хорошенько, о волки. 
140	What have the Free People to do with the orders of any save the Free People? 	Разве Свободному Народу есть дело до чьих‑либо заявлений, кроме постановлений Свободного Народа? 
141	"Look well!"" "	Хорошенько смотрите. 
142	There was a chorus of deep growls, and a young wolf in his fourth year flung back Shere Khan's question to Akela: 	Послышались тихие, недовольные, ворчащие голоса; один молодой волк, которому шёл четвёртый год, бросил Акеле вопрос тигра: 
143	"""What have the Free People to do with a man's cub?"" "	– Что делать Свободному Народу с детёнышем человека? 
144	Now, the Law of the Jungle lays down that if there is any dispute as to the right of a cub to be accepted by the Pack, he must be spoken for by at least two members of the Pack who are not his father and mother. 	Надо заметить, что в силу постановлений Закона Джунглей, в случае споров относительно права вступления какого‑нибудь детёныша в стаю, за его принятие должны высказаться, по крайней мере, двое из стаи, но не его отец или мать. 
145	"""Who speaks for this cub?"" said Akela. ""Among the Free People who speaks?"" "	– Кто за этого детёныша? – спросил Акела. – Кто из Свободного Народа высказывается за его вступление в стаю? 
146	There was no answer and Mother Wolf got ready for what she knew would be her last fight, if things came to fighting. 	Ответа не было, и Волчица Мать приготовилась к бою, который, она знала, будет для неё последним. 
147	Then the only other creature who is allowed at the Pack Council—Baloo, the sleepy brown bear who teaches the wolf cubs the Law of the Jungle: old Baloo, who can come and go where he pleases because he eats only nuts and roots and honey—rose upon his hind quarters and grunted. 	Тогда Балу, не принадлежавший к роду волков, но которого допускают в Совет стаи, старый Балу, сонный бурый медведь, преподающий волчатам Закон Джунглей, имеющий право расхаживать повсюду, потому что он ест только орехи, коренья и мёд, поднялся на задние лапы и проревел: 
148	"""The man's cub—the man's cub?"" he said. "	– Человеческий детёныш?.. Человеческий детёныш? 
149	"""I speak for the man's cub. "	Я высказываюсь за него. 
150	There is no harm in a man's cub. 	В нем нет ничего дурного. 
151	I have no gift of words, but I speak the truth. 	Я не обладаю даром слова, но говорю правду. 
152	Let him run with the Pack, and be entered with the others. 	Пусть он бегает вместе со стаей; примите его вместе с остальными. 
153	"I myself will teach him."" "	Я буду учить его! 
154	"""We need yet another,"" said Akela. ""Baloo has spoken, and he is our teacher for the young cubs. "	– Нам нужен ещё голос, – сказал Акела. – Балу высказался, а ведь он учитель наших молодых волков. 
155	"Who speaks besides Baloo?"" "	Кто, кроме Балу, подаст голос за человеческого детёныша? 
156	A black shadow dropped down into the circle. 	Стройная тень скользнула в кольцо волков. 
157	It was Bagheera the Black Panther, inky black all over, but with the panther markings showing up in certain lights like the pattern of watered silk. 	Это была Багира, чёрная пантера, вся чёрная, как чернила, но с пятнами, видными как водяные клейма при известном освещении. 
158	Everybody knew Bagheera, and nobody cared to cross his path; for he was as cunning as Tabaqui, as bold as the wild buffalo, and as reckless as the wounded elephant. 	Все знали Багиру и все боялись становиться ей поперёк дороги, потому что она была хитра, как Табаки, мужественна, как дикий буйвол, неудержима, как раненый слон. 
159	But he had a voice as soft as wild honey dripping from a tree, and a skin softer than down. 	Тем не менее, её голос звучал мягко, точно звук падающих с дерева капель дикого мёда, а её шерсть была нежнее лебяжьего пуха. 
160	"""O Akela, and ye the Free People,"" he purred, ""I have no right in your assembly, but the Law of the Jungle says that if there is a doubt which is not a killing matter in regard to a new cub, the life of that cub may be bought at a price. "	– О Акела, и ты, Свободный Народ, – промурлыкала она: – я не имею права голоса в ваших собраниях, но Закон Джунглей говорит, что в случае сомнений, возникших относительно нового детёныша, сомнений, не касающихся охоты, его жизнь можно купить за известную цену. 
161	And the Law does not say who may or may not pay that price. 	И Закон не определяет, кто может и кто не может заплатить за сохранение его жизни. 
162	"Am I right?"" "	Правильно ли я говорю? 
163	"""Good! Good!"" said the young wolves, who are always hungry. ""Listen to Bagheera. "	– Правильно, правильно, – ответили вечно голодные молодые волки. – Слушайте Багиру. 
164	The cub can be bought for a price. 	Детёныша можно купить за известную цену. 
