	en	ru
0	THE JACKET (THE STAR-ROVER) 	Джек Лондон. Межзвездный скиталец 
1	CHAPTER I 	ГЛАВА I 
2	All my life I have had an awareness of other times and places. 	С  раннего детства во  мне жило сознание  бытия  иных  мест и времен. 
3	I have been aware of other persons in me.—Oh, and trust me, so have you, my reader that is to be. 	"Я чувствовал  присутствие  в  себе  иного  ""я"". И  верьте мне,  мой  грядущий читатель, это  бывало и  с  вами! "
4	Read back into your childhood, and this sense of awareness I speak of will be remembered as an experience of your childhood. 	Оглянитесь на свое  детство -- и  ощущение инобытия, о котором  я говорю, вспомнится  вам  как опыт вашего детства. 
5	You were then not fixed, not crystallized. You were plastic, a soul in flux, a consciousness and an identity in the process of forming—ay, of forming and forgetting. 	Вы тогда еще не определились,  не  выкристаллизовались, вы  были пластичны,  вы были -- душа в движении, сознание  и  тождество в процессе формирования,  -- да, формирования и... забывания. 
6	You have forgotten much, my reader, and yet, as you read these lines, you remember dimly the hazy vistas of other times and places into which your child eyes peered. 	Вы многое  забыли,  читатель; но все  же, читая  эти  строки, вы смутно припомните туманные перспективы иных времен и мест, в которые заглядывал ваш детский глаз. 
7	They seem dreams to you to-day. 	Теперь они вам кажутся грезами, снами. 
8	Yet, if they were dreams, dreamed then, whence the substance of them? 	Но  если это  были сны, привидевшиеся вам  в ту пору, -- откуда,  в таком случае, их вещественность? 
9	Our dreams are grotesquely compounded of the things we know. 	Наши  грезы  уродливо  складываются из  вещей, знакомых нам. 
10	The stuff of our sheerest dreams is the stuff of our experience. 	Материал  самых бесспорных  наших  снов  --  это  материал  нашего опыта. 
11	As a child, a wee child, you dreamed you fell great heights; you dreamed you flew through the air as things of the air fly; you were vexed by crawling spiders and many-legged creatures of the slime; you heard other voices, saw other faces nightmarishly familiar, and gazed upon sunrises and sunsets other than you know now, looking back, you ever looked upon. 	Ребенком,  совсем крохотным ребенком, вы в  грезах  падали с громадных высот; вам снилось, что вы летаете по воздуху, вас пугали ползающие пауки и слизистые многоножки, вы слышали  иные  голоса,  видели  иные  лица,  ныне  кошмарно знакомые  вам, и любовались восходами и закатами солнц иных, чем известные вам ныне. 
12	Very well. These child glimpses are of other-worldness, of other-lifeness, of things that you had never seen in this particular world of your particular life. 	Так  вот,  эти  детские  грезы  принадлежат  иному  миру,  иной  жизни, относятся к  вещам, которых вы никогда  не видели в нынешнем вашем мире и  в нынешней вашей жизни. 
13	Then whence? 	Но где же? 
14	Other lives? 	В другой жизни? 
15	Other worlds? 	В других мирах? 
16	Perhaps, when you have read all that I shall write, you will have received answers to the perplexities I have propounded to you, and that you yourself, ere you came to read me, propounded to yourself. * * * * * 	Когда вы прочтете все,  что  я здесь описываю, вы, может быть, получите ответ на недоуменные вопросы,  которые я перед  вами поставил  и которые  вы сами ставили себе еще до того, как читали эту книгу. 
17	Wordsworth knew. 	Вордсворт знал эту тайну. 
18	He was neither seer nor prophet, but just ordinary man like you or any man. 	Он был не ясновидящий,  не  пророк, а  самый обыкновенный человек, как вы, как всякий другой. 
19	What he knew, you know, any man knows. 	То, что знал он, знаете вы, знает  всякий. 
20	But he most aptly stated it in his passage that begins 	Но  он  необычайно  талантливо  выразил  это в своей  фразе, начинающейся словами: 
21	“Not in utter nakedness, not in entire forgetfulness. . .” 	"""Не в полной наготе, не в полноте забвенья..."" "
22	Ah, truly, shades of the prison-house close about us, the new-born things, and all too soon do we forget. 	Поистине тени тюрьмы окружают нас,  новорожденных, и  слишком  скоро мы забываем! 
23	And yet, when we were new-born we did remember other times and places. 	И все же, едва родившись, мы вспоминали иные времена и иные места. 
24	We, helpless infants in arms or creeping quadruped-like on the floor, dreamed our dreams of air-flight. 	Беспомощными  младенцами, на руках старших,  или  ползая на четвереньках  по полу, мы вновь  переживали  во  сне свои воздушные  полеты. 
25	Yes; and we endured the torment and torture of nightmare fears of dim and monstrous things. 	Да, мы познавали муки и пытку кошмарного страха  перед  чем-то  смутным,  но чудовищным. 
26	We new-born infants, without experience, were born with fear, with memory of fear; and memory is experience. 	Мы, новорожденные  младенцы  без  опыта, рождались  со страхом,  с воспоминанием страха, а в о с п о м и н а н и е е с т ь о п ы т. 
27	As for myself, at the beginnings of my vocabulary, at so tender a period that I still made hunger noises and sleep noises, yet even then did I know that I had been a star-rover. 	Что  касается  меня,  то  я, еще  не  начав  говорить,  в столь  нежном возрасте, что потребность пищи и сна я мог выражать только звуками, -- уже в ту  пору я знал, что  я был  мечтателем,  скитальцем среди звезд. 
28	Yes, I, whose lips had never lisped the word “king,” remembered that I had once been the son of a king. 	"Да, я, чьи уста не произносили слова ""король"",  знал, что некогда  я был сыном  короля. "
29	More—I remembered that once I had been a slave and a son of a slave, and worn an iron collar round my neck. 	Мало того -- я помнил, что некогда я был рабом и сыном раба и носил железный ошейник. 
30	Still more. 	Это не  все. 
31	When I was three, and four, and five years of age, I was not yet I. 	"Когда мне было три, и четыре, и  пять лет, ""я"" не был еще ""я"". "
32	I was a mere becoming, a flux of spirit not yet cooled solid in the mould of my particular flesh and time and place. 	Я еще только  с  т а  н о в и л с я; я был  расплавленный дух,  еще  не застывший и  не  отвердевший в  форме нынешнего моего  тела, нынешнего моего времени и места. 
33	In that period all that I had ever been in ten thousand lives before strove in me, and troubled the flux of me, in the effort to incorporate itself in me and become me. 	"В этот период во  мне бродило, шевелилось все,  чем я был в десятках  тысяч прежних существований, это все мутило мое расплавленное ""я"", стремившееся воплотиться во м н е и стать м н о ю. "
34	Silly, isn’t it? 	Глупо  это  все, не  правда  ли? 
35	But remember, my reader, whom I hope to have travel far with me through time and space—remember, please, my reader, that I have thought much on these matters, that through bloody nights and sweats of dark that lasted years-long, I have been alone with my many selves to consult and contemplate my many selves. 	"Но  вспомните, читатель, --  которого надеюсь  увлечь за собою в  скитания по  безднам  времени и пространства, -- сообразите, читатель,  прошу  вас,  что я много  думал об этих вещах,  что в кровавые ночи и в холодном поту мрака, длившегося долгими годами, я был один на  один со своими многоразличными  ""я"" и мог совещаться с ними и  созерцать их. "
36	I have gone through the hells of all existences to bring you news which you will share with me in a casual comfortable hour over my printed page. 	Я пережил ад  всех существований,  чтобы поведать вам тайны, которые  вы разделите со мной, склонясь в час досуга над моей книгой. 
37	So, to return, I say, during the ages of three and four and five, I was not yet I. 	"Итак, я повторяю: в три, и в четыре, и в пять лет ""я"" не был еще ""я""! "
38	I was merely becoming as I took form in the mould of my body, and all the mighty, indestructible past wrought in the mixture of me to determine what the form of that becoming would be. 	"Я только с  т  а н о в и л с  я,  з а с т  ы в а л в форме  моего тела, и  все могучее, неразрушимое прошлое бродило  в смеси моего  ""я"", определяя,  какую форму  это ""я""  примет. "
39	It was not my voice that cried out in the night in fear of things known, which I, forsooth, did not and could not know. 	Это не  мой  голос, полный страха, кричал по ночам о вещах, которых я, несомненно, не знал и не мог знать. 
40	The same with my childish angers, my loves, and my laughters. 	Также и  мой детский  гнев,  мои привязанности, мой  смех. 
41	Other voices screamed through my voice, the voices of men and women aforetime, of all shadowy hosts of progenitors. 	Иные  голоса прорывались сквозь мой голос, -- голоса людей прошлых веков, голоса туманных полчищ  прародителей. 
42	And the snarl of my anger was blended with the snarls of beasts more ancient than the mountains, and the vocal madness of my child hysteria, with all the red of its wrath, was chorded with the insensate, stupid cries of beasts pre-Adamic and progeologic in time. 	Мой  капризный  плач смешивался с  ревом зверей более древних, чем горы, и  истерические вопли моего детства, когда  я багровел от бешеного гнева,  были настроены в  лад бессмысленным, глупым  крикам зверей, живших раньше Адама, иных биологических эпох. 
43	And there the secret is out. 	Я раскрыл  свою  тайну. 
44	The red wrath! 	Багровый гнев! 
45	It has undone me in this, my present life. 	Он  погубил меня в этой нынешней моей жизни. 
46	Because of it, a few short weeks hence, I shall be led from this cell to a high place with unstable flooring, graced above by a well-stretched rope; and there they will hang me by the neck until I am dead. 	По его милости  меня через несколько быстролетных недель поведут из камеры  на  высокое  место  с шатким помостом, увенчанное  очень  прочной веревкой;  здесь  меня повесят за шею  и будут дожидаться  моего  издыхания. 
47	The red wrath always has undone me in all my lives; for the red wrath is my disastrous catastrophic heritage from the time of the slimy things ere the world was prime. * * * * * 	Багровый гнев всегда губил меня во всех моих жизнях;  ибо  багровый  гнев -- мое злосчастное,  катастрофическое наследие от эпохи комков  живой слизи, -- эпохи, предначальной миру. 
48	It is time that I introduce myself. 	Но пора  мне отрекомендоваться. 
49	I am neither fool nor lunatic. 	Я не  идиот и не помешанный. 
50	I want you to know that, in order that you will believe the things I shall tell you. 	Вы должны это знать, иначе вы не поверите тому, что я вам расскажу. 
51	I am Darrell Standing. 	Меня зовут Дэррель Стэндинг. 
52	Some few of you who read this will know me immediately. 	Кое-кто  из тех, кто прочтет эти строки, тотчас  же вспомнит меня. 
53	But to the majority, who are bound to be strangers, let me exposit myself. 	Но   большинству  читателей  --  лицам,   меня  не  знающим,   --  я  должен представиться. 
54	Eight years ago I was Professor of Agronomics in the College of Agriculture of the University of California. 	Восемь лет  назад я был  профессором  агрономии  в сельскохозяйственном колледже   Калифорнийского   университета. 
55	Eight years ago the sleepy little university town of Berkeley was shocked by the murder of Professor Haskell in one of the laboratories of the Mining Building. 	Восемь   лет    назад   сонный университетский город Берклей был взволнован убийством профессора Гаскелля в одной  из  лабораторий   горнозаводского  отделения. 
56	Darrell Standing was the murderer. 	Убийцей  был  Дэррель Стэндинг. 
57	I am Darrell Standing. 	Я -- Дэррель  Стэндинг. 
58	I was caught red-handed. 	Меня поймали на месте преступления. 
59	Now the right and the wrong of this affair with Professor Haskell I shall not discuss. 	Я не  стану обсуждать теперь, кто был прав и кто виноват в деле профессора Гаскелля. 
60	It was purely a private matter. 	Это было чисто личное дело. 
61	The point is, that in a surge of anger, obsessed by that catastrophic red wrath that has cursed me down the ages, I killed my fellow professor. 	Главная суть в том, что в припадке ярости, одержимый катастрофическим багровым гневом, который был моим проклятием во все века, я убил своего  товарищапрофессора. 
62	The court records show that I did; and, for once, I agree with the court records. 	Протокол судебного следствия показал, что я убил; и я, не колеблясь, признаю правильность судебного протокола. 
63	No; I am not to be hanged for his murder. 	Нет, меня  повесят не за это убийство. 
64	I received a life-sentence for my punishment. 	Меня приговорили к  пожизненному заключению. 
65	I was thirty-six years of age at the time. I am now forty-four years old. 	В ту пору мне было тридцать шесть лет, теперь сорок четыре. 
66	I have spent the eight intervening years in the California State Prison of San Quentin. 	Эти восемь  лет  я провел в государственной Калифорнийской  тюрьме  СанКвэнтина. 
67	Five of these years I spent in the dark. Solitary confinement, they call it. 	Пять лет  из  этих восьми  я провел  в темноте --  это  называется одиночным заключением. 
68	Men who endure it, call it living death. 	Люди,  которым  приходилось  переживать  одиночное  заключение, называют его  погребением заживо. 
69	But through these five years of death-in-life I managed to attain freedom such as few men have ever known. 	Но за эти  пять лет  пребывания в могиле я успел достигнуть свободы, знакомой лишь очень немногим людям. 
70	Closest-confined of prisoners, not only did I range the world, but I ranged time. 	Самый одинокий из узников, я победил не только мир -- я победил и время. 
71	They who immured me for petty years gave to me, all unwittingly, the largess of centuries. 	Те, кто замуровали меня  на несколько  лет, дали  мне,  сами  того не  зная,  простор столетий. 
72	Truly, thanks to Ed Morrell, I have had five years of star-roving. 	Поистине  благодаря  Эду Моррелю  я испытал пять лет  межзвездных  скитаний. 
73	But Ed Morrell is another story. 	Впрочем,  Эд Моррель  --  это уже из другой  области. 
74	I shall tell you about him a little later. 	Я  вам  расскажу о нем после. 
75	I have so much to tell I scarce know how to begin. 	Мне так много  нужно рассказать  вам, что  я, право, не знаю, с  чего начать! 
76	Well, a beginning. 	Итак,   начнем. 
77	I was born on a quarter-section in Minnesota. 	Я  родился  в   штате  Миннесота. 
78	My mother was the daughter of an immigrant Swede. Her name was Hilda Tonnesson. 	Мать  мою  --  дочь эмигрировавшего  в Америку шведа  -- звали Гильда Тоннесон. 
79	My father was Chauncey Standing, of old American stock. 	Отец мой, Чанси Стэндинг,  принадлежал  к   старинной  американской  фамилии. 
80	He traced back to Alfred Standing, an indentured servant, or slave if you please, who was transported from England to the Virginia plantations in the days that were even old when the youthful Washington went a-surveying in the Pennsylvania wilderness. 	Он  вел  свою родословную от Альфреда Стэндинга,  по письменному контракту закабалившегося в слуги  или, если вам угодно, в рабы и перевезенного из Англии на плантации Виргинии  в те дни, когда молодой  Вашингтон  работал землемером в  пустынях Пенсильвании. 
81	A son of Alfred Standing fought in the War of the Revolution; a grandson, in the War of 1812. 	Сын Альфреда Стэндинга сражался в войну Революции; внук -- в войну 1812 года. 
82	There have been no wars since in which the Standings have not been represented. 	С тех пор не случалось войны,  в которой  Стэндинги  не принимали  бы участия. 
83	I, the last of the Standings, dying soon without issue, fought as a common soldier in the Philippines, in our latest war, and to do so I resigned, in the full early ripeness of career, my professorship in the University of Nebraska. 	Я,  последний  из  Стэндингов, которому скоро предстоит умереть, не оставив потомков, сражался простым солдатом на Филиппинах  в последней войне Америки; для этого  я  отказался в  самом начале  карьеры  от  профессорской кафедры в  университете Небраски. 
84	Good heavens, when I so resigned I was headed for the Deanship of the College of Agriculture in that university—I, the star-rover, the red-blooded adventurer, the vagabondish Cain of the centuries, the militant priest of remotest times, the moon-dreaming poet of ages forgotten and to-day unrecorded in man’s history of man! 	Подумайте! Когда я уходил, меня прочили в деканы   сельскохозяйственного   отделения  этого  университета,  --   меня, мечтателя,    сангвинического   авантюриста,   бродягу,    Каина   столетий, воинственного жреца отдаленных времен, мечтающего при луне, как поэт забытых веков, доныне не занесенный в историю человека, писаную человеческой рукой. 
85	And here I am, my hands dyed red in Murderers’ Row, in the State Prison of Folsom, awaiting the day decreed by the machinery of state when the servants of the state will lead me away into what they fondly believe is the dark—the dark they fear; the dark that gives them fearsome and superstitious fancies; the dark that drives them, drivelling and yammering, to the altars of their fear-created, anthropomorphic gods. 	И  вот  я сижу в  государственной тюрьме Фольсома, в Коридоре Убийц,  и ожидаю  дня, назначенного  государственной машиной, -- дня,  в который слуги государства уведут меня туда, где, по их твердому  убеждению, царит мрак, -- мрак,  которого они страшатся, -- мрак, который  рождает в  них  трусливые и суеверные фантазии, который гонит этих слюнявых и хнычущих людишек к алтарям божков, созданных их страхом и ими очеловеченных. 
86	No; I shall never be Dean of any college of agriculture. 	Нет, не быть мне никогда деканом  агрономического отделения! 
87	And yet I knew agriculture. 	А  ведь я знал  агрономию. 
88	It was my profession. 	Это  моя   специальность. 
89	I was born to it, reared to it, trained to it; and I was a master of it. 	Я   родился   для  земледелия, воспитывался на сельском  хозяйстве, обучался сельскому  хозяйству  и изучил сельское хозяйство. 
90	It was my genius. 	В нем я был гениален. 
91	I can pick the high-percentage butter-fat cow with my eye and let the Babcock Tester prove the wisdom of my eye. 	Я на глаз берусь определить, какая корова дает  самое жирное молоко, -- и  пусть специальным прибором проверяют меня! 
92	I can look, not at land, but at landscape, and pronounce the virtues and the shortcomings of the soil. 	Довольно мне взглянуть не то что на землю,  а хотя бы на пейзаж -- и я перечислю вам все достоинства  и недостатки почвы. 
93	Litmus paper is not necessary when I determine a soil to be acid or alkali. 	Мне  не  нужна лакмусовая бумажка,  чтобы  определить, щелочна  или кислотна данная  почва. 
94	I repeat, farm-husbandry, in its highest scientific terms, was my genius, and is my genius. 	Повторяю: сельское хозяйство, в высшем научном значении слова, было  моим призванием и остается моим призванием; в нем я гениален. 
