	en	ru
0	Mr. Towers Chandler was pressing his evening suit in his hall bedroom. 	Мистер Тауэрс Чендлер гладил у себя в комнатушке свой выходной костюм. 
1	One iron was heating on a small gas stove; the other was being pushed vigorously back and forth to make the desirable crease that would be seen later on extending in straight lines from Mr. Chandler's patent leather shoes to the edge of his low-cut vest. 	Один утюг грелся на газовой плитке, а другим он — энергично водил взад и вперед, добиваясь желаемой складки; спустя некоторое время можно будет видеть, как она протянется, прямая, словно стрела от его лакированных ботинок до края жилета с низким вырезом. 
2	So much of the hero's toilet may be intrusted to our confidence. 	Вот и все о туалете нашего героя, что можно довести до всеобщего сведения. 
3	The remainder may be guessed by those whom genteel poverty has driven to ignoble expedient. 	Об остальном пусть догадываются те, кого благородная нищета толкает на жалкие уловки. 
4	Our next view of him shall be as he descends the steps of his lodging-house immaculately and correctly clothed; calm, assured, handsome—in appearance the typical New York young clubman setting out, slightly bored, to inaugurate the pleasures of the evening. 	Мы снова увидим мистера Чендлера, когда он будет спускаться по лестнице дешевых меблированных комнат; безупречно одетый, самоуверенный, элегантный, по внешности — типичный нью-йоркский клубмен, прожигатель жизни, отправляющийся с несколько скучающим видом в погоню за вечерними удовольствиями. 
5	Chandler's honorarium was $18 per week. 	Чендлер получал восемнадцать долларов в неделю. 
6	He was employed in the office of an architect. 	Он служил в конторе у одного архитектора. 
7	He was twenty-two years old; he considered architecture to be truly an art; and he honestly believed—though he would not have dared to admit it in New York—that the Flatiron Building was inferior to design to the great cathedral in Milan. 	Ему было двадцать два года. Он считал архитектуру настоящим искусством и был искренне убежден, — хотя не рискнул бы заявить об этом в Нью-Йорке, — что небоскреб «Утюг» по своим архитектурным формам уступает Миланскому собору. 
8	Out of each week's earnings Chandler set aside $1. 	Каждую неделю Чендлер откладывал из своей получки один доллар. 
9	At the end of each ten weeks with the extra capital thus accumulated, he purchased one gentleman's evening from the bargain counter of stingy old Father Time. 	В конце каждой десятой недели на добытый таким способом сверхкапитал он покупал в лавочке скаредного Папаши Времени один-единственный вечер, который мог провести, как джентльмен. 
10	He arrayed himself in the regalia of millionaires and presidents; he took himself to the quarter where life is brightest and showiest, and there dined with taste and luxury. 	Украсив себя регалиями миллионеров и президентов, он отправлялся в ту часть города, что ярче всего сверкает огнями реклам и витрин, и обедал со вкусом и шиком. 
11	With ten dollars a man may, for a few hours, play the wealthy idler to perfection. 	Имея в кармане десять долларов, можно в течение нескольких часов мастерски разыгрывать богатого бездельника. 
12	The sum is ample for a well-considered meal, a bottle bearing a respectable label, commensurate tips, a smoke, cab fare and the ordinary etceteras. 	Этой суммы достаточно на хорошую еду, бутылку вина с приличной этикеткой, соответствующие чаевые, сигару, извозчика и обычные и т. п. 
13	This one delectable evening culled from each dull seventy was to Chandler a source of renascent bliss. 	Этот один усладительный вечер, выкроенный из семидесяти нудных вечеров, являлся для него источником периодически возрождающегося блаженства. 
14	To the society bud comes but one début; it stands alone sweet in her memory when her hair has whitened; but to Chandler each ten weeks brought a joy as keen, as thrilling, as new as the first had been. 	У девушки первый выезд в свет бывает только раз в жизни; и когда волосы ее поседеют, он по- прежнему будет всплывать в ее памяти, как нечто радостное и неповторимое. Чендлер же каждые десять недель испытывал удовольствие столь же острое и сильное, как в первый раз. 
15	To sit among bon vivants under palms in the swirl of concealed music, to look upon the habitués of such a paradise and to be looked upon by them—what is a girl's first dance and short-sleeved tulle compared with this? 	Сидеть под пальмами в кругу бонвиванов, в вихре звуков невидимого оркестра, смотреть на завсегдатаев этого рая и чувствовать на себе их взгляды — что в сравнении с этим первый вальс и газовое платьице юной дебютантки? 
16	Up Broadway Chandler moved with the vespertine dress parade. 	Чендлер шел по Бродвею, как полноправный участник его передвижной выставки вечерних нарядов. 
17	For this evening he was an exhibit as well as a gazer. 	В этот вечер он был не только зрителем, но и экспонатом. 
18	For the next sixty-nine evenings he would be dining in cheviot and worsted at dubious table d'hôtes, at whirlwind lunch counters, on sandwiches and beer in his hall-bedroom. 	Последующие шестьдесят девять дней он будет ходить в плохоньком костюме и питаться за сомнительными табльдотами, у стойки случайного бара, бутербродами и пивом у себя в комнатушке. 
19	He was willing to do that, for he was a true son of the great city of razzle-dazzle, and to him one evening in the limelight made up for many dark ones. 	Но это его не смущало, ибо он был подлинным сыном великого города мишурного блеска, и один вечер, освещенный огнями Бродвея, возмещал ему множество вечеров, проведенных во мраке. 
20	Chandler protracted his walk until the Forties began to intersect the great and glittering primrose way, for the evening was yet young, and when one is of the beau monde only one day in seventy, one loves to protract the pleasure. 	Он все шел и шел, и вот уже сороковые улицы начали пересекать сверкающий огнями путь наслаждений; было еще рано, а когда человек приобщается к избранному обществу всего раз в семьдесят дней, ему хочется продлить это удовольствие. 
21	Eyes bright, sinister, curious, admiring, provocative, alluring were bent upon him, for his garb and air proclaimed him a devotee to the hour of solace and pleasure. 	Взгляды — сияющие, угрюмые, любопытные, восхищенные, вызывающие, манящие — были обращены на него, ибо его наряд и вид выдавали в нем поклонника часа веселья и удовольствий. 
22	At a certain corner he came to a standstill, proposing to himself the question of turning back toward the showy and fashionable restaurant in which he usually dined on the evenings of his especial luxury. 	На одном углу он остановился, подумывая о том, не пора ли ему повернуть обратно и направиться в роскошный модный ресторан, где он обычно обедал в дни своего расточительства. 
23	Just then a girl scuddled lightly around the corner, slipped on a patch of icy snow and fell plump upon the sidewalk. 	Как раз в эту минуту какая-то девушка, стремительно огибая угол, поскользнулась на кусочке льда и шлепнулась на тротуар, 
24	Chandler assisted her to her feet with instant and solicitous courtesy. 	Чендлер помог ей подняться с отменной и безотлагательной вежливостью. 
25	The girl hobbled to the wall of the building, leaned against it, and thanked him demurely. 	Прихрамывая, девушка отошла к стене, прислонилась к ней и застенчиво поблагодарила его. 
26	"""I think my ankle is strained,"" she said. "	— Кажется, я растянула ногу, — сказала она. 
27	"""It twisted when I fell."" "	— Я почувствовала, как она подвернулась. 
28	"""Does it pain you much?"" inquired Chandler. "	— Очень больно? — спросил Чендлер. 
29	"""Only when I rest my weight upon it. "	— Только когда наступаю на всю ступню. 
30	"I think I will be able to walk in a minute or two."" "	Думаю, что через несколько минут я уже буду в состоянии двигаться. 
31	"""If I can be of any further service,"" suggested the young man, "	— Не могу ли я быть вам чем-нибудь полезен? — предложил молодой человек. 
32	"""I will call a cab, or—"" "	— Хотите, я позову извозчика или… 
33	"""Thank you,"" said the girl, softly but heartily. "	— Благодарю вас, — негромко, но с чувством сказала девушка. 
34	"""I am sure you need not trouble yourself any further. "	— Право, не стоит беспокоиться. 
35	It was so awkward of me. 	Как это меня угораздило? 
36	"And my shoe heels are horridly common-sense; I can't blame them at all."" "	И каблуки у меня самые банальные. 
37	Chandler looked at the girl and found her swiftly drawing his interest. 	Их винить не приходится. 
38	She was pretty in a refined way; and her eye was both merry and kind. 	Чендлер посмотрел на девушку и убедился, что его интерес к ней быстро возрастает. 
39	She was inexpensively clothed in a plain black dress that suggested a sort of uniform such as shop girls wear. 	Она была хорошенькая и изящная, глядела весело и радушно. 
40	Her glossy dark-brown hair showed its coils beneath a cheap hat of black straw whose only ornament was a velvet ribbon and bow. 	На ней было простенькое черное платьице, похожее на те, в какие одевают продавщиц. Из- под дешевой соломенной шляпки, единственным украшением которой была бархатная лента с бантом, выбивались колечки блестящих темно-каштановых волос. 
41	She could have posed as a model for the self-respecting working girl of the best type. 	С нее можно было писать портрет хорошей, полной собственного достоинства трудящейся девушки. 
42	A sudden idea came into the head of the young architect. He would ask this girl to dine with him. 	Вдруг молодого архитектора осенило Он пригласит эту девушку пообедать с ним. 
43	Here was the element that his splendid but solitary periodic feasts had lacked. 	Вот чего недоставало его роскошным, но одиноким пиршествам. 
44	His brief season of elegant luxury would be doubly enjoyable if he could add to it a lady's society. 	Краткий час его изысканных наслаждений был бы приятнее вдвойне, если бы он мог провести его в женском обществе. 
45	This girl was a lady, he was sure—her manner and speech settled that. 	Он не сомневался, что перед ним вполне порядочная девушка, — ее речь и манеры подтверждали это. 
