	en	ru
0	The Project Gutenberg EBook of Moby Dick; or The Whale, by Herman Melville MOBY DICK; or, THE WHALE By Herman Melville Original Transcriber's Notes: This text is a combination of etexts, one from the now-defunct ERIS project at Virginia Tech and one from Project Gutenberg's archives. The proofreaders of this version are indebted to The University of Adelaide Library for preserving the Virginia Tech version. The resulting etext was compared with a public domain hard copy version of the text. In chapters 24, 89, and 90, we substituted a capital L for the symbol for the British pound, a unit of currency. 	Герман Мелвилл. Моби Дик, или Белый кит Роман Натаниелю Готорну в знак преклонения перед его гением посвящается эта книга 
1	ETYMOLOGY. (Supplied by a Late Consumptive Usher to a Grammar School) 	ЭТИМОЛОГИЯ (Сведения,  собранные   Помощником   учителя   классической   гимназии, впоследствии скончавшимся от чахотки.) 
2	The pale Usher—threadbare in coat, heart, body, and brain; I see him now. 	Я  вижу его как  сейчас  - такого  бледного,  в поношенном сюртуке  и с такими же поношенными мозгами, душой и телом. 
3	He was ever dusting his old lexicons and grammars, with a queer handkerchief, mockingly embellished with all the gay flags of all the known nations of the world. 	Он целыми днями стирал пыль со старых   словарей   и   грамматик  своим  необыкновенным   носовым  платком, украшенным,  словно  в  насмешку,  пестрыми флагами  всех  наций  мира. 
4	He loved to dust his old grammars; it somehow mildly reminded him of his mortality. 	Ему нравилось  стирать пыль со старых грамматик; это мирное занятие наводило его на мысль о смерти. 
5	"""While you take in hand to school others, and to teach them by what name a whale-fish is to be called in our tongue leaving out, through ignorance, the letter H, which almost alone maketh the signification of the word, you deliver that which is not true."" —HACKLUYT "	"ЭТИМОЛОГИЯ ""Если  ты берешься  наставлять других и обучать их тому,  что  в  нашем языке рыба-кит именуется  словом whale,  опуская  при  этом, по  собственной необразованности, букву h,  которая одна выражает  почти  все значение этого слова, ты насаждаешь не знания, но заблуждения"". Хаклюйт "
6	"""WHALE.... Sw. and Dan. HVAL. "	"""Whale***  шведск.  и датск. hval. "
7	"This animal is named from roundness or rolling; for in Dan. HVALT is arched or vaulted."" —WEBSTER'S DICTIONARY "	"Название  этого  животного связано с понятием   округлости,   так  как  по-датски   hvalt   означает   ""выгнутый, сводчатый"""". Словарь Вебстера "
8	"""WHALE.... It is more immediately from the Dut. and Ger. WALLEN; A.S. WALW-IAN, to roll, to wallow."" —RICHARDSON'S DICTIONARY "	"""Whale***   происходит  непосредственно  от  голландского  и  немецкого wallen, англосакск. walw-ian - ""кататься, барахтаться"""". Словарь Ричардсона "
9	KETOS,               GREEK.      CETUS,               LATIN.      WHOEL,               ANGLO-SAXON.      HVALT,               DANISH.      WAL,                 DUTCH.      HWAL,                SWEDISH.      WHALE,               ICELANDIC.      WHALE,               ENGLISH.      BALEINE,             FRENCH.      BALLENA,             SPANISH.      PEKEE-NUEE-NUEE,     FEGEE.      PEKEE-NUEE-NUEE,     ERROMANGOAN. 	Древнееврейское - JiI Греческое - xntos Латинское - cetus Англосаксонское - whoel Датское - hvalt Голландское - wal Шведское - hwal Исландское - whale Английское - whale Французское - balein Испанское - ballena Фиджи - пеки-нуи-нуи Эрроманго - пехи-нуи-нуи 
10	EXTRACTS (Supplied by a Sub-Sub-Librarian). 	ИЗВЛЕЧЕНИЯ (Собранные Младшим Помощником библиотекаря) 
11	It will be seen that this mere painstaking burrower and grub-worm of a poor devil of a Sub-Sub appears to have gone through the long Vaticans and street-stalls of the earth, picking up whatever random allusions to whales he could anyways find in any book whatsoever, sacred or profane. 	Читатель   сможет  убедиться,  что   этот  бедняга   Младший  Помощник, немудрящий буквоед и книжный червь, перерыл  целые  ватиканские библиотеки и все  лавки букинистов  на  свете  в  поисках любых  -  хотя  бы  случайных - упоминаний о  китах,  которые могли только встретиться ему в каких бы то  ни было  книгах,  от  священных до богохульных. 
12	Therefore you must not, in every case at least, take the higgledy-piggledy whale statements, however authentic, in these extracts, for veritable gospel cetology. 	И потому  не следует  во  всех случаях  понимать  эти  беспорядочные  китовые  цитаты,  хотя  и  несомненно подлинные, за святое  и неоспоримое евангелие цетологии. 
13	Far from it. 	Это вовсе  не  так. 
14	As touching the ancient authors generally, as well as the poets here appearing, these extracts are solely valuable or entertaining, as affording a glancing bird's eye view of what has been promiscuously said, thought, fancied, and sung of Leviathan, by many nations and generations, including our own. 	Отрывки  из  трудов  всех этих древних  авторов и  упоминаемых  здесь поэтов представляют для нас интерес и  ценность лишь постольку, поскольку они  дают нам общий взгляд с птичьего полета на все то, что только ни было когда-либо, в любой связи и  по любому  поводу, сказано,  придумано, упомянуто и спето о Левиафане всеми нациями и поколениями, включая теперешние. 
15	So fare thee well, poor devil of a Sub-Sub, whose commentator I am. 	Итак, прощай, бедняга  Младший Помощник, чьим комментатором я выступаю. 
16	Thou belongest to that hopeless, sallow tribe which no wine of this world will ever warm; and for whom even Pale Sherry would be too rosy-strong; but with whom one sometimes loves to sit, and feel poor-devilish, too; and grow convivial upon tears; and say to them bluntly, with full eyes and empty glasses, and in not altogether unpleasant sadness—Give it up, Sub-Subs! For by how much the more pains ye take to please the world, by so much the more shall ye for ever go thankless! Would that I could clear out Hampton Court and the Tuileries for ye! 	"Ты принадлежишь  к  тому безрадостному племени, которое в этом мире  никаким вином не согреть и для кого даже  белый  херес оказался бы слишком розовым и крепким; но  с такими, как ты, приятно иногда посидеть вдвоем, чувствуя себя тоже  несчастным и  одиноким,  и,  упиваясь  пролитыми  слезами, проникаться дружелюбием к своему собеседнику; и хочется сказать вам прямо, без обиняков, пока глаза наши мокры, а стаканы сухи и на сердце - сладкая печаль: ""Бросьте вы это дело. Младшие Помощники! Ведь чем больше усилий будете вы прилагать к тому, чтобы угодить миру, тем меньше благодарности вы  дождетесь! Эх, если б мог я очистить для вас  Хэмптон-Корт или  Тюильрийский  дворец! "
17	But gulp down your tears and hie aloft to the royal-mast with your hearts; for your friends who have gone before are clearing out the seven-storied heavens, and making refugees of long-pampered Gabriel, Michael, and Raphael, against your coming. 	Но глотайте скорее  ваши слезы и вскиньте голову, воспарите духом! выше, выше, на  самый топ грот-мачты!  ибо  товарищи ваши,  опередившие вас,  освобождают  для вас семиэтажные небеса, изгоняя прочь перед  вашим приходом истинных  баловней - Гавриила, Михаила и Рафаила. 
18	Here ye strike but splintered hearts together—there, ye shall strike unsplinterable glasses! EXTRACTS. 	"Здесь мы  только чокаемся разбитыми сердцами  - там вы сможете сдвинуть разом свои небьющиеся кубки!"" ИЗВЛЕЧЕНИЯ "
19	"""And God created great whales."" —GENESIS. "	"""И сотворил бог больших китов"". Бытие "
20	"""Leviathan maketh a path to shine after him; One would think the deep to be hoary."" —JOB. "	"""За Левиафаном светится стезя, Бездна кажется сединой"". Иов "
21	"""Now the Lord had prepared a great fish to swallow up Jonah."" —JONAH. "	"""И предуготовил Господь большую рыбу, чтобы поглотила Иону"". Иона "
22	"""There go the ships; there is that Leviathan whom thou hast made to play therein."" —PSALMS. "	"""Там плавают корабли; там Левиафан, которого Ты сотворил играть в нем"". Псалмы "
23	"""In that day, the Lord with his sore, and great, and strong sword, shall punish Leviathan the piercing serpent, even Leviathan that crooked serpent; and he shall slay the dragon that is in the sea."" —ISAIAH "	"""В тот день поразит Господь мечом Своим  тяжелым, и большим, и крепким, левиафана, змея прямобегущего, и левиафана, змея изгибающегося, и убьет змея морского"". Исайя "
24	"""And what thing soever besides cometh within the chaos of this monster's mouth, be it beast, boat, or stone, down it goes all incontinently that foul great swallow of his, and perisheth in the bottomless gulf of his paunch."" —HOLLAND'S PLUTARCH'S MORALS. "	"""И какой бы еще предмет ни очутился в хаосе пасти этого чудовища,  будь то зверь, корабль или камень, мгновенно исчезает он в его огромной зловонной глотке и гибнет в черной бездне его брюха"". Холландов перевод ""Моралий"" Плутарха "
25	"""The Indian Sea breedeth the most and the biggest fishes that are: among which the Whales and Whirlpooles called Balaene, take up as much in length as four acres or arpens of land."" —HOLLAND'S PLINY. "	"""В   Индийском  Море  водятся  величайшие  и  огромнейшие  рыбы,  какие существуют  на  свете; среди  них Киты,  или Водокруты,  именуемые  Balaene, которые имеют в длину столько же, сколько четыре акра, или арпана, земли"". Холландов перевод Плиния "
26	"""Scarcely had we proceeded two days on the sea, when about sunrise a great many Whales and other monsters of the sea, appeared. "	"""И  двух дней не  провели мы в плавании, как вдруг  однажды на рассвете увидели  великое  множество китов  и прочих  морских  чудовищ. "
27	Among the former, one was of a most monstrous size.... 	Из  них один обладал поистине  исполинскими  размерами. 
28	"This came towards us, open-mouthed, raising the waves on all sides, and beating the sea before him into a foam."" —TOOKE'S LUCIAN. ""THE TRUE HISTORY."" "	"Он  приблизился к нам, держа свою пасть разинутой, подымая волны по бокам и вспенивая море перед собою"". Тук. Перевод ""Правдивой Истории"" Лукиана "
29	"""He visited this country also with a view of catching horse-whales, which had bones of very great value for their teeth, of which he brought some to the king.... "	"""Он  прибыл в  нашу страну  также еще  и для  того, чтобы ловить  здесь китов, ибо  клыки  этих  животных  дают очень ценную кость,  образцы коей он привез  в  дар королю***. "
30	The best whales were catched in his own country, of which some were forty-eight, some fifty yards long. 	Наиболее крупные  киты, однако,  вылавливаются  у берегов его родины, из них иные имеют сорок восемь, иные  же пятьдесят ярдов в  длину. 
31	"He said that he was one of six who had killed sixty in two days."" —OTHER OR OTHER'S VERBAL NARRATIVE TAKEN DOWN FROM HIS MOUTH BY KING ALFRED, A.D. 890. "	"Он говорит, что он - с ним еще пятеро - убили по  шестьдесят китов за два дня"". Рассказ Оттара, или Охтхере,  записанный с его слов королем Альфредом в год от Рождества Христова 890 "
32	"""And whereas all the other things, whether beast or vessel, that enter into the dreadful gulf of this monster's (whale's) mouth, are immediately lost and swallowed up, the sea-gudgeon retires into it in great security, and there sleeps."" —MONTAIGNE. —APOLOGY FOR RAIMOND SEBOND. "	"""И между тем  как  все на свете, будь  то живое существо  или  корабль, безразлично,  попадая в  ужасную пропасть, какую являет  собой  глотка этого чудовища (кита), тут же погибает, поглощенное  навеки,  морской пескарь  сам удаляется туда и спит там в полной безопасности"". Монтень. ""Апология Реймонда Себона"" "
33	"""Let us fly, let us fly! "	"""Бежим! "
34	"Old Nick take me if is not Leviathan described by the noble prophet Moses in the life of patient Job."" —RABELAIS. "	"Провалиться мне на сем месте, это Левиафан, которого доблестный пророк Моисей описал в житии святого человека Иова"". Рабле "
35	"""This whale's liver was two cartloads."" —STOWE'S ANNALS. "	"""Печень этого кита нагрузили на две телеги"". Стоу. ""Анналы"" "
36	"""The great Leviathan that maketh the seas to seethe like boiling pan."" —LORD BACON'S VERSION OF THE PSALMS. "	"""Великий Левиафан, заставляющий море пениться, подобно кипящему котлу"". Лорд Бэкон. Перевод Псалмов "
37	"""Touching that monstrous bulk of the whale or ork we have received nothing certain. "	"""Касательно  же  чудовищной  туши  кита,  или  орки, мы не  располагаем сколь-нибудь определенными сведениями. "
38	"They grow exceeding fat, insomuch that an incredible quantity of oil will be extracted out of one whale."" —IBID. ""HISTORY OF LIFE AND DEATH."" "	"Оные существа достигают чрезвычайного объема, так что из одного кита  может быть  получено  прямо-таки невероятное количество жира"". ""История жизни и смерти"" "
39	"""The sovereignest thing on earth is parmacetti for an inward bruise."" —KING HENRY. "	"""И хвалил мне спермацет Как лучшее лекарство от контузий"". ""Король Генрих IV"" "
40	"""Very like a whale."" —HAMLET. "	"""Очень похоже на кита"". ""Гамлет"" "
41	"""Which to secure, no skill of leach's art      Mote him availle, but to returne againe      To his wound's worker, that with lowly dart,      Dinting his breast, had bred his restless paine,      Like as the wounded whale to shore flies thro' the maine.""      —THE FAERIE QUEEN. "	"""Кто может днесь его остановить? Он рвется в бой и кровию залитый, Чтоб низкому обидчику отмстить. Не примет он пощады и защиты. Так к брегу по волнам несется кит подбитый"". ""Королева фей"" "
42	"""Immense as whales, the motion of whose vast bodies can in a peaceful calm trouble the ocean til it boil."" —SIR WILLIAM DAVENANT. PREFACE TO GONDIBERT. "	"""...грандиозен, точно кит, который  движениями своего гигантского  тела заставляет вскипать океан даже в мертвый штиль"". Сэр Уильям. Давенант. Предисловие к ""Гондиберту"" "
43	"""What spermacetti is, men might justly doubt, since the learned Hosmannus in his work of thirty years, saith plainly, Nescio quid sit."" —SIR T. BROWNE. OF SPERMA CETI AND THE SPERMA CETI WHALE. VIDE HIS V. E. "	"""Что  представляет  собой спермацет,  этого люди, по правде говоря,  не знают,  ибо  даже  ученейший  Хофманнус  после  тридцатилетних  исследований открыто признал в своей книге: nescio quid sit""*. Сэр Т. Браун. ""О   спермацете   и   спермацетовом   ките"". См.   его ""Трактат   о распространенных заблуждениях"" "
44	"""Like Spencer's Talus with his modern flail      He threatens ruin with his ponderous tail.    ... "	"""Как  Спенсеров  герой своим цепом, Хвостом  он  сеет  смерть  и  страх кругом. ---------------------------------------- *Не знаю, что сие (лат.). *** "
45	"Their fixed jav'lins in his side he wears,      And on his back a grove of pikes appears.""      —WALLER'S BATTLE OF THE SUMMER ISLANDS. "	"""В боку несет он копий целый лес, Плывя вперед, волнам наперерез"". Уоллер. ""Битва у Летних островов"" "
46	"""By art is created that great Leviathan, called a Commonwealth or State—(in Latin, Civitas) which is but an artificial man."" —OPENING SENTENCE OF HOBBES'S LEVIATHAN. "	"""Искусством   создан   тот   великий   Левиафан,   который   называется государством  (по-латыни  Civitas)  и  который  является лишь  искусственным человеком"". Гоббс. Вводный параграф из ""Левиафана"" "
47	"""Silly Mansoul swallowed it without chewing, as if it had been a sprat in the mouth of a whale."" —PILGRIM'S PROGRESS. "	"""Неосторожный  город Мэнсуол так  и  заглотал его  целиком,  точно  кит рыбешку"". ""Путь Паломника"" "
48	"""That sea beast      Leviathan, which God of all his works      Created hugest that swim the ocean stream."" —PARADISE LOST. "	"""Тот зверь морской, Левиафан, кого из всех творений Всех больше создал бог в пучине водной"". ""Потерянный рай"" "
49	"—-""There Leviathan,      Hugest of living creatures, in the deep      Stretched like a promontory sleeps or swims,      And seems a moving land; and at his gills      Draws in, and at his breath spouts out a sea."" —IBID. "	"""Левиафан, Величественнейший из божьих тварей, Плывет иль дремлет он в глуби подводной, Подобен острову плавучему. Вдыхая, Моря воды он втягивает грудью, Чтобы затем их к небесам извергнуть"". Там же "
50	"""The mighty whales which swim in a sea of water, and have a sea of oil swimming in them."" —FULLLER'S PROFANE AND HOLY STATE. "	"""Величавые киты, что  плавают  в  море воды, в  то время как море масла плавает в них"". Фуллер. ""Мирская и божественная власть"" "
