	en	ru
0	The Big Two-Hearted River Ernest Hemingway 	НА БИГ-РИВЕР 
1	PART I 	I 
2	The train went on up the track out of sight, around one of the hills of burnt timber. 	Поезд исчез за поворотом, за холмом, покрытым обгорелым лесом. 
3	Nick sat down on the bundle of canvas and bedding the baggage man had pitched out of the door of the baggage car. 	Ник  сел на свой парусиновый мешок с припасами и постелью, которые ему  выбросили  из багажного вагона. 
4	There was no town, nothing but the rails and the burned-over country. 	Города не было, ничего не было, кроме рельсов и  обгорелой земли. 
5	The thirteen saloons that had lined the one street of Seney had not left a trace. 	От тринадцати салунов на  единственной  улице  Сенея  не  осталось  и следа. 
6	The foundations of the Mansion House hotel stuck up above the ground. 	"Торчал  из  земли  голый  фундамент ""Гранд-отеля"". "
7	The stone was chipped and split by the fire. 	Камень  от  огня потрескался и раскрошился. 
8	It was all that was left of the town of Seney. 	Вот и все, что осталось  от  города  Сенея. 
9	Even the surface had been burned off the ground. 	Даже верхний слой земли обратился в пепел. 
10	Nick looked at the burned-over stretch of hillside, where he had expected to find the scattered houses of the town and then walked down the railroad track to the bridge over the river. 	Ник оглядел обгорелый склон, по которому раньше были  разбросаны  дома, затем пошел вдоль путей к мосту через реку. 
11	The river was there. 	Река была на месте. 
12	It swirled against the log spires of the bridge. 	Она  бурлила вокруг деревянных свай. 
13	Nick looked down into the clear, brown water, colored from the pebbly bottom, and watched the trout keeping themselves steady in the current with wavering fins. 	Ник посмотрел вниз, в  прозрачную  воду,  темную  от коричневой гальки, устилавшей дно, и  увидел  форелей,  которые,  подрагивая плавниками, неподвижно висели в потоке. 
14	As he watched them they changed their positions again by quick angles, only to hold steady in the fast water again. 	Пока он смотрел, они вдруг  изменили положение, быстро вильнув под углом, и снова застыли в несущейся  воде. 
15	Nick watched them a long time. 	Ник долго смотрел на них. 
16	He watched them holding themselves with their noses into the current, many trout in deep, fast moving water, slightly distorted as he watched far down through the glassy convex surface of the pool its surface pushing and swelling smooth against the resistance of the log-driven piles of the bridge. 	Он смотрел, как  они  держатся  против  течения,  множество  форелей  в глубокой, быстро бегущей воде,  слегка  искаженных,  если  смотреть  на  них сверху, сквозь  стеклянную  выпуклую  поверхность  бочага,  в  котором  вода вздувалась от напора на сваи моста. 
17	At the bottom of the pool were the big trout. 	Самые крупные форели держались  на  дне. 
18	Nick did not see them at first. 	Сперва Ник их не заметил. 
19	Then he saw them at the bottom of the pool, big trout looking to hold themselves on the gravel bottom in a varying mist of gravel and sand, raised in spurts by the current. 	Потом он вдруг увидел их на дне  бочага,-  крупных форелей, старавшихся удержаться против течения  на  песчаном  дне  в  клубах песка и гравия, взметенных потоком. 
20	Nick looked down into the pool from the bridge. 	Ник смотрел в бочаг с моста. 
21	It was a hot day. 	День  был  жаркий. 
22	A kingfisher flew up the stream. 	Над  рекой  вверх  по течению пролетел зимородок. 
23	It was a long time since Nick had looked into a stream and seen trout. 	Давно уже Нику не случалось смотреть в  речку  и видеть форелей. 
24	They were very satisfactory. 	Эти были очень хороши. 
25	As the shadow of the kingfisher moved up the stream, a big trout shot upstream in a long angle, only his shadow marking the angle, then lost his shadow as he came through the surface of the water, caught the sun, and then, as he went back into the stream under the surface, his shadow seemed to float down the stream with the current unresisting, to his post under the bridge where he tightened facing up into the current. 	Когда тень  зимородка  скользнула  по воде, вслед за ней метнулась большая форель, ее тень вычертила  угол;  потом тень исчезла, когда рыба выплеснулась из воды и сверкнула на солнце; а когда она опять  погрузилась,  ее  тень,  казалось,  повлекло  течением  вниз,  до прежнего места под мостом, где форель вдруг напряглась  и  снова  повисла  в воде, головой против течения. 
26	Nick's heart tightened as the trout moved. 	Когда форель шевельнулась, сердце  у  Ника  замерло. 
27	He felt all the old feeling. 	Прежнее  ощущение ожило в нем. 
28	He turned and looked down the stream. 	Он  повернулся  и  взглянул  вниз  по  течению. 
29	It stretched away, pebbly-bottomed with shallows and big boulders and a deep pool as it curved away around the foot of a bluff. 	Река  уходила   вдаль, выстланная по дну галькой, с отмелями, валунами и  глубокой  заводью  в  том месте, где река огибала высокий мыс. 
30	Nick walked back up the ties to where his pack lay in the cinders beside the railway track. 	Ник пошел обратно по шпалам, туда, где на золе около рельсов лежал  его мешок. 
31	He was happy. 	Ник был счастлив. 
32	He adjusted the pack harness around the bundle, pulling straps tight, slung the pack on his back got his arms through the shoulder straps and took some of the pull off his shoulders by leaning his forehead against the wide band of the tump-line. 	Он расправил ремни, туго их затянул, взвалил  мешок на спину, продел руки в боковые  петли  и  постарался  ослабить  тяжесть  на плечах, налегая лбом на широкий головной ремень. 
33	Still, it was too heavy. 	Все-таки  мешок  был  очень тяжел. 
34	It was much too heavy. 	Слишком тяжел. 
35	He had his leather rod-case in his hand and leaning forward to keep the weight of the pack high on his shoulders he walked along the road that paralleled the railway track, leaving the burned town behind in the heat, and he turned off around a hill with a high, fire-scarred hill on either side onto a road that went back into the country. 	В руках  Ник  держал  кожаный  чехол  с  удочками,  и, наклоняясь вперед, чтобы переместить тяжесть повыше на плечи,  он  пошел  по дороге  вдоль  полотна,  оставляя  позади,  под  жарким  солнцем,  городское пожарище, потом свернул в сторону между  двух  высоких  обгорелых  холмов  и выбрался на дорогу, которая  вела  прочь  от  полотна. 
36	He walked along the road feeling the ache from the pull of the heavy pack. 	Он  шел  по  дороге, чувствуя боль в спине от тяжелого  мешка. 
37	The road climbed steadily. 	Дорога  все  время  шла  в  гору. 
38	It was hard work walking up-hill. 	Подниматься в гору было трудно. 
39	His muscles ached and the day was hot, but Nick felt happy. 	Все мускулы у Ника болели, и было жарко,  но Ник был счастлив. 
40	He felt he had left everything behind, the need for thinking, the need to write, other needs. 	Он чувствовал, что все осталось позади, не  нужно  думать, не нужно писать, ничего не нужно. 
41	It was all back of him. 	Все осталось позади. 
42	From the time he had gotten down off the train and the baggage man had thrown his pack out of the open car door things had been different. 	За это время - с той минуты, как он сошел  с  поезда  и  ему  выбросили мешок из багажного вагона,- Ник увидел, что многое изменилось. 
