	en	ru
0	J.D.Salinger. The catcher in the rye TO MY MOTHER 	Джером Д. Сэлинджер. Над пропастью во ржи Роман 
1	Глава 1 	1 
2	If  you  really want to hear about it,  the first thing you'll probably want to know is where  I was born, an what my lousy  childhood was like, and how my parents were  occupied and all before they had me, and all that David Copperfield kind of crap, but I don't  feel like going into it,  if you want to  know the truth. 	Если вам на самом деле хочется услышать  эту  историю,  вы,  наверно, прежде всего захотите узнать, где я  родился,  как  провел  свое  дурацкое детство, что делали мои родители до моего  рождения,  -  словом,  всю  эту давид-копперфилдовскую муть. Но, по  правде  говоря,  мне  неохота  в этом копаться. 
3	In  the first place,  that  stuff bores me,  and in  the second place, my parents would  have about two hemorrhages  apiece if I told anything pretty  personal about  them. 	Во-первых,  скучно,  а  во-вторых,  у  моих  предков,  наверно, случилось бы по два инфаркта на брата, если б я стал болтать про их личные дела. 
4	They're quite touchy  about anything like  that,  especially  my father. 	Они этого терпеть  не  могут,  особенно  отец. 
5	They're nice  and all--I'm  not  saying that--but they're also touchy as hell. 	Вообще-то  они  люди славные, я ничего не говорю, но обидчивые до чертиков. 
6	Besides, I'm not going to tell you my whole goddam autobiography or anything. I'll just tell you about this madman stuff that happened to me around last Christmas  just before  I  got  pretty run-down and had to come out here and take it easy. 	Да я и не собираюсь рассказывать свою автобиографию и всякую такую чушь,  просто  расскажу  ту сумасшедшую историю, которая случилась прошлым рождеством. А потом я  чуть не отдал концы,  и  меня отправили сюда отдыхать и лечиться. 
7	I mean that's all I told D. B. about, and  he's my brother and all. 	Я  и  ему  - Д.Б. - только про это и рассказывал, а ведь он мне как-никак  родной брат. 
8	He's in Hollywood. 	Он живет в Голливуде. 
9	That isn't too far  from this  crumby place,  and he comes over and visits  me  practically every week end. 	Это не очень далеко  отсюда,  от  этого  треклятого санатория, он часто ко мне ездит, почти каждую неделю. 
10	He's going to drive me home when I go home next month maybe. 	И домой он меня сам отвезет - может быть, даже в будущем месяце. 
11	He just got a Jaguar. 	"Купил себе  недавно  ""ягуар"". "
12	One of  those little  English  jobs that can do around two hundred miles  an hour. 	Английская штучка, может делать двести миль в час. 
13	It cost him  damn near four thousand bucks. 	Выложил за нее чуть  ли не четыре тысячи. 
14	He's got  a lot of dough, now. 	Денег у него теперь куча. 
15	He didn't  use to. 	Не  то  что  раньше. 
16	He used to be  just a  regular writer, when he was home. 	Раньше, когда он жил дома, он был настоящим писателем. 
17	He wrote this terrific book of short stories, The Secret Goldfish, in case you never heard of him. 	"Может,  слыхали  -  это  он написал мировую книжку рассказов ""Спрятанная рыбка"". "
18	"The best one in it was ""The Secret Goldfish."" It  was about  this little kid that wouldn't  let  anybody look at his goldfish because he'd bought  it with his own  money. "	"Самый лучший  рассказ так и назывался - ""Спрятанная рыбка"", там про  одного  мальчишку,  который никому не позволял смотреть на свою золотую рыбку, потому что купил ее  на собственные деньги. "
19	It killed me. 	С ума сойти,  какой  рассказ! 
20	Now he's out in Hollywood, D. B.,  being  a prostitute. 	А  теперь  мой  брат  в Голливуде, совсем скурвился. 
21	If there's  one thing I hate, it's the movies. 	Если я что ненавижу, так это кино. 
22	Don't even  mention them to me. 	Терпеть не могу. 
23	Where I  want to start telling is the day I left  Pencey Prep. 	Лучше всего начну рассказывать с того  дня,  как  я  ушел  из  Пэнси. 
24	Pencey Prep is this  school that's in Agerstown, Pennsylvania. 	Пэнси  -  это  закрытая средняя школа  в  Эгерстауне,  штат  Пенсильвания. 
25	You probably heard of it. 	Наверно,  вы про нее слыхали. 
26	You've probably seen the ads, anyway. 	Рекламу вы,  во всяком случае,  видели. 
27	They advertise in about  a  thousand magazines, always showing some hotshot guy on a horse jumping over a fence. 	Ее печатают чуть ли не в тысяче журналов -  этакий  хлюст,  верхом на лошади, скачет через препятствия. 
28	Like as if all you ever did at Pencey was play polo all the time. 	Как будто в Пэнси только и делают, что играют в поло. 
29	I never even once saw a horse anywhere  near the place. 	А  я  там даже лошади ни разу в глаза не видал. 
30	And underneath the guy on  the horse's picture, it always  says: 	И  под этим конным хлюстом  подпись: 
31	"""Since   1888  we  have  been  molding  boys  into  splendid, clear-thinking  young  men."" "	"""С  1888  года  в  нашей  школе  выковывают  смелых  и благородных  юношей"". "
32	Strictly for the birds. 	Вот уж липа! 
33	They don't do any damn more molding at Pencey than they do  at any other school. 	Никого они там не выковывают,  да и в других школах тоже. 
34	And I didn't know anybody there that was splendid and clear-thinking and  all. Maybe two guys. If that many. 	"И ни одного  ""благородного и смелого""  я не встречал, ну, может, есть там один-два  -  и обчелся. "
35	And they probably came  to Pencey that way. 	Да и то они такими были еще до школы. 
36	Anyway, it was the Saturday of the football game with  Saxon Hall. 	Словом,  началось  это  в  субботу,  когда  шел  футбольный  матч   с Сэксонн-холлом. 
37	The game with Saxon Hall was supposed to be a very  big  deal  around Pencey. 	Считалось, что для Пэнси этот матч важней всего  на свете. 
38	It was the last game of the year, and  you  were  supposed to commit  suicide or something if old Pencey didn't win. 	Матч был финальный, и, если бы наша школа проиграла, нам  всем  полагалось чуть ли не перевешаться с горя. 
39	I remember around three o'clock that  afternoon  I was standing way the hell up on top of Thomsen Hill, right next to this crazy cannon that was in  the  Revolutionary War and all. 	Помню, в тот день,  часов  около  трех,  я стоял черт знает где,  на  самой  горе  Томпсона,  около  дурацкой  пушки, которая там торчит, кажется, с самой войны за независимость. 
40	You could see the  whole  field from there,  and  you could see the  two teams  bashing each  other  all over the place. 	Оттуда  видно было все поле и как обе команды гоняют  друг  дружку  из  конца  в  конец. 
41	You couldn't see the grandstand too hot, but you could  hear them all yelling, deep and terrific on the Pencey side, because practically the whole school except me was there, and scrawny and  faggy on the Saxon  Hall  side, because the visiting team  hardly ever brought many people with them. 	Трибун я как следует разглядеть не мог, только слышал, как  там  орут. На нашей стороне орали во всю глотку - собралась вся школа, кроме меня,  -  а на их стороне что-то вякали: у приезжей команды народу всегда маловато. 
42	There were never  many girls at all  at  the football  games. 	На футбольных матчах всегда мало  девчонок. 
43	Only  seniors  were allowed to bring girls with  them. 	Только  старшеклассникам разрешают их приводить. 
44	It was a  terrible school,  no matter how you looked at it. 	Гнусная школа, ничего не скажешь. 
45	I like to be  somewhere at  least where  you can see a few girls around once  in a while, even if they're only scratching their arms or blowing  their  noses  or  even  just  giggling  or   something. 	А я люблю бывать там, где вертятся девчонки, даже  если  они  просто  сидят,  ни  черта  не делают, только  почесываются,  носы вытирают или  хихикают. 
46	Old  Selma Thurmer--she was the headmaster's  daughter--showed up  at the  games  quite often, but she wasn't exactly  the type that drove you mad with  desire. 	Дочка  нашего директора, старика  Термера,  часто  ходит  на  матчи,  но  не  такая  это девчонка, чтоб по ней с ума сходить. 
47	She was  a pretty nice girl, though. 	Хотя в общем она ничего. 
48	I sat  next  to  her once  in the  bus from Agerstown and we sort of struck up a conversation. 	Как-то я  с ней сидел рядом в автобусе, ехали из Эгерстауна и разговорились. 
49	I  liked her. 	Мне  она понравилась. 
50	She had a big nose and her nails were all bitten down  and bleedy-looking and she  had on those damn falsies that point  all  over the  place, but you felt sort of sorry for her. 	Правда, нос у нее длинный, и ногти обкусаны  до  крови,  и  в лифчик что-то подложено,  чтоб торчало во все  стороны,  но  ее  почему-то было жалко. 
51	What I liked about  her, she  didn't give you a lot of horse manure about what a great guy her father was. 	Понравилось мне то, что она тебе не вкручивала,  какой  у  нее замечательный папаша. 
52	She probably knew what a phony slob he was. 	Наверно, сама знала, что он трепло несусветное. 
53	The  reason I was standing way up on Thomsen  Hill, instead  of down  at the  game,  was because  I'd  just got  back from New York with the fencing team. 	Не пошел я на поле и забрался на гору, так как только что вернулся из Нью-Йорка с командой  фехтовальщиков. 
54	I was the goddam manager  of the fencing team. 	Я  капитан  этой  вонючей  команды. 
55	Very big  deal. 	Важная шишка. 
56	We'd gone in to New  York that  morning for this  fencing meet with McBurney School. 	Поехали мы в Нью-Йорк на  состязание  со  школой  Мак-Берни. 
57	Only, we didn't have the meet. 	Только состязание не состоялось. 
58	I left all the  foils  and equipment and  stuff on  the goddam subway. 	Я забыл рапиры, и костюмы, и  вообще  всю эту петрушку в вагоне метро. 
59	It  wasn't  all my fault. 	Но я не совсем виноват. 
60	I had  to  keep getting  up to look at this  map,  so we'd know where to get off. 	Приходилось все время вскакивать, смотреть на схему, где нам выходить. 
61	So  we got back to  Pencey  around two-thirty instead of  around dinnertime. 	Словом,  вернулись  мы  в Пэнси не к обеду, а уже в половине третьего. 
62	The whole team ostracized me the whole  way back on the train. 	Ребята меня бойкотировали всю дорогу. 
63	It was pretty funny, in a way. 	Даже смешно. 
64	The other reason I wasn't down at the game was  because  I was on my way  to  say good-by to old Spencer, my  history teacher. 	И еще я не пошел на футбол  оттого,  что  собрался  зайти  к  старику Спенсеру, моему учителю истории, попрощаться перед отъездом. 
65	He had the grippe, and  I  figured I  probably wouldn't see him again till  Christmas  vacation started. 	У  него  был грипп, и я сообразил, что до начала рождественских каникул я его не увижу. 
66	He wrote  me this note saying he wanted to see  me  before  I  went home. He knew  I wasn't coming back  to Pencey. 	А он мне прислал записку, что хочет меня видеть до того, как я уеду домой, Он знал, что я не вернусь. 
67	I forgot to  tell you about that. They kicked me  out. 	Да, забыл сказать - меня вытурили из школы. 
68	I wasn't supposed to  come back after  Christmas vacation  on account of I was flunking four subjects and not applying myself and all. 	После рождества  мне  уже не надо было возвращаться,  потому что я провалился по четырем предметам и вообще не занимался  и все такое. 
69	They gave me frequent warning to  start applying myself--especially around  midterms,  when  my  parents  came  up  for  a  conference  with old Thurmer--but I didn't do it. 	Меня сто раз предупреждали  -  старайся, учись. А  моих  родителей среди четверти вызывали к старому Термеру,  но я все равно не занимался. 
70	So I got the  ax. 	Меня и вытурили. 
71	They give guys the  ax quite frequently at Pencey. 	Они много кого выгоняют из Пэнси. 
72	It has a very good academic rating, Pencey. It really does. 	У них очень высокая академическая успеваемость, серьезно, очень высокая. 
73	Anyway, it was December and all,  and it was  cold as a  witch's teat, especially on  top of that stupid hill. 	Словом, дело было в декабре, и  холодно,  как  у  ведьмы  за пазухой, особенно на этой треклятой горке. 
74	I only  had on my reversible and no gloves or anything. 	На мне была только куртка - ни перчаток, ни черта. 
75	The week before that, somebody'd stolen  my camel's-hair coat right out of my room, with my fur-lined gloves right in the pocket  and all. 	На прошлой неделе кто-то спер  мое  верблюжье  пальто  прямо  из комнаты, вместе с теплыми перчатками - они там и были, в  кармане. 
