	en	ru
0	Nyarlathotep . . . the crawling chaos . . . 	Ньярлатхотеп... Крадущийся хаос... 
1	I am the last . . . 	Я — последний... 
2	I will tell the audient void. . . . 	Я скажу внимающей пустоте... 
3	I do not recall distinctly when it began, but it was months ago. 	Я не помню точно, когда это началось, но с тех пор прошли месяцы. 
4	The general tension was horrible. 	Общее напряжение было ужасно. 
5	To a season of political and social upheaval was added a strange and brooding apprehension of hideous physical danger; a danger widespread and all-embracing, such a danger as may be imagined only in the most terrible phantasms of the night. 	Череда политических и общественных потрясений сопровождалась странным и тягостным предчувствием жуткой физической опасности, опасности масштабной и всеохватывающей, какую можно вообразить себе только в ужаснейших ночных кошмарах. 
6	I recall that the people went about with pale and worried faces, and whispered warnings and prophecies which no one dared consciously repeat or acknowledge to himself that he had heard. 	Я вспоминаю, как люди ходили с бледными и встревоженными лицами, шепча предупреждения и пророчества, которые никто не осмеливался сознательно повторять или признаться самому себе, что слышал их. 
7	A sense of monstrous guilt was upon the land, and out of the abysses between the stars swept chill currents that made men shiver in dark and lonely places. 	Ощущение чудовищной вины нависало над землей, и из бездн между звездами сквозили холодные потоки, от которых людей била дрожь в темных и пустынных местах. 
8	There was a daemoniac alteration in the sequence of the seasons — the autumn heat lingered fearsomely, and everyone felt that the world and perhaps the universe had passed from the control of known gods or forces to that of gods or forces which were unknown. 	Наблюдалось демоническое искажение последовательности времен года — осенняя жара устрашающе затянулась, и все чувствовали, что наш мир, и, быть может, вся Вселенная перешли из-под контроля известных богов или сил к богам или силам, которые были неведомы. 
9	And it was then that Nyarlathotep came out of Egypt. 	И тогда из Египта вышел Ньярлатхотеп. 
10	Who he was, none could tell, but he was of the old native blood and looked like a Pharaoh. 	Никто не мог сказать, кто он, но он был древних туземных кровей и выглядел как фараон. 
11	The fellahin knelt when they saw him, yet could not say why. 	Феллахи падали на колени, увидев его, хотя не могли объяснить, почему. 
12	He said he had risen up out of the blackness of twenty-seven centuries, and that he had heard messages from places not on this planet. 	Он говорил, что восстал из мрака двадцати семи веков и слышал вести из мест, лежащих за пределами этой планеты. 
13	Into the lands of civilisation came Nyarlathotep, swarthy, slender, and sinister, always buying strange instruments of glass and metal and combining them into instruments yet stranger. 	Смуглый, стройный и зловещий, Ньярлатхотеп пришел в цивилизованные земли, постоянно покупая странные приборы из стекла и металла и собирая из них приборы еще более странные. 
14	He spoke much of the sciences – of electricity and psychology — and gave exhibitions of power which sent his spectators away speechless, yet which swelled his fame to exceeding magnitude. 	Он много говорил о науках — об электричестве и психологии — и демонстрировал способности, от которых видевшие его теряли дар речи и благодаря которым слава его разрослась непомерно. 
15	Men advised one another to see Nyarlathotep, and shuddered. 	Люди советовали друг другу увидеть Ньярлатхотепа и трепетали. 
16	And where Nyarlathotep went, rest vanished; for the small hours were rent with the screams of nightmare. 	И куда бы ни приходил Ньярлатхотеп, покой исчезал там; ибо предрассветную тишину разрывали крики ужаса. 
17	Never before had the screams of nightmare been such a public problem; now the wise men almost wished they could forbid sleep in the small hours, that the shrieks of cities might less horribly disturb the pale, pitying moon as it glimmered on green waters gliding under bridges, and old steeples crumbling against a sickly sky. 	Никогда еще крики ужаса не представляли собой такой проблемы для общества; теперь мудрецы почти жалели, что не могут запретить людям спать в предрассветные часы, чтобы вопли городов не так сильно терзали бледную, жалостливую луну, тускло освещавшую зеленые воды под мостами и старые шпили, крошившиеся о блеклое небо. 
18	I remember when Nyarlathotep came to my city — the great, the old, the terrible city of unnumbered crimes. 	Я помню, как Ньярлатхотеп пришел в мой город — великий, древний, страшный город бесчисленных преступлений. 
19	My friend had told me of him, and of the impelling fascination and allurement of his revelations, and I burned with eagerness to explore his uttermost mysteries. 	Мой друг рассказал мне о нем и о манящей прелести и очаровании его откровений, и я загорелся страстным желанием познать его глубочайшие тайны. 
20	My friend said they were horrible and impressive beyond my most fevered imaginings; and what was thrown on a screen in the darkened room prophesied things none but Nyarlathotep dared prophesy, and in the sputter of his sparks there was taken from men that which had never been taken before yet which shewed only in the eyes. 	Мой друг говорил, что тайны эти были ужасны и способны поразить самое воспаленное воображение; и картины, появлявшиеся на экране в затемненной комнате, предрекали то, что никто, кроме Ньярлатхотепа, не смел предрекать, и в суматохе своих вспышек он отнимал у людей то, что никогда не отнималось прежде, а лишь выражалось в глазах. 
21	And I heard it hinted abroad that those who knew Nyarlathotep looked on sights which others saw not. 	И я повсюду слышал намеки, что те, кто знал Ньярлатхотепа, наблюдали зрелища, недоступные для прочих. 
22	It was in the hot autumn that I went through the night with the restless crowds to see Nyarlathotep; through the stifling night and up the endless stairs into the choking room. 	Той жаркой осенью я шел сквозь ночь вместе с беспокойными толпами, чтобы увидеть Ньярлатхотепа; сквозь душную ночь, вверх по бесконечной лестнице, в тесную комнату. 
23	And shadowed on a screen, I saw hooded forms amidst ruins, and yellow evil faces peering from behind fallen monuments. 	И в смене теней на экране я видел закутанные в плащи фигуры посреди развалин, и злые желтые лица, выглядывающие из-за поваленных памятников. 
24	And I saw the world battling against blackness; against the waves of destruction from ultimate space; whirling, churning, struggling around the dimming, cooling sun. 	И я видел, как мир сражается с мраком, с волнами разрушения, которые шли из глубин космоса; вихрь, кружение, борьба вокруг тускнеющего, остывающего Солнца. 
25	Then the sparks played amazingly around the heads of the spectators, and hair stood up on end whilst shadows more grotesque than I can tell came out and squatted on the heads. 	Потом искры изумительно заплясали вокруг голов зрителей, и волосы у всех встали дыбом, в то время как тени, более гротескные, чем я могу описать, вышли и уселись на головах. 
