	en	ru
0	A guard came to the prison shoe-shop, where Jimmy Valentine was assiduously stitching uppers, and escorted him to the front office. 	Надзиратель вошел в сапожную мастерскую, где Джимми Валентайн усердно тачал заготовки, и повел его в тюремную канцелярию. 
1	There the warden handed Jimmy his pardon, which had been signed that morning by the governor. 	Там смотритель тюрьмы вручил Джимми помилование, подписанное губернатором в это утро. 
2	Jimmy took it in a tired kind of way. 	Джимми взял его с утомленным видом. 
3	He had served nearly ten months of a four year sentence. 	Он отбыл почти десять месяцев из четырехлетнего срока, хотя рассчитывал просидеть не больше трех месяцев. 
4	"He expected to stay only about three months, at the longest. When a man with as many friends on the outside as Jimmy Valentine had is received in the ""stir"" it is hardly worth while to cut his hair. "	Когда у арестованного столько друзей на воле, сколько у Джимми Валентайна, едва ли стоит даже брить ему голову. 
5	"""Now, Valentine,"" said the warden, ""you'll go out in the morning. "	— Ну, Валентайн, — сказал смотритель, — завтра утром вы выходите на свободу. 
6	Brace up, and make a man of yourself. 	Возьмите себя в руки, будьте человеком. 
7	You're not a bad fellow at heart. 	В душе вы парень неплохой. 
8	"Stop cracking safes, and live straight."" "	Бросьте взламывать сейфы, живите честно. 
9	"""Me?"" said Jimmy, in surprise. "	— Это вы мне? — удивленно спросил Джимми. 
10	"""Why, I never cracked a safe in my life."" "	— Да я в жизни не взломал ни одного сейфа. 
11	"""Oh, no,"" laughed the warden. ""Of course not. "	— Ну да, — улыбнулся смотритель, — разумеется. 
12	Let's see, now. 	Посмотрим все-таки. 
13	How was it you happened to get sent up on that Springfield job? 	Как же это вышло, что вас посадили за кражу в Спрингфилде? 
14	Was it because you wouldn't prove an alibi for fear of compromising somebody in extremely high-toned society? 	Может, вы не захотели доказывать свое алиби из боязни скомпрометировать какую-нибудь даму из высшего общества? 
15	Or was it simply a case of a mean old jury that had it in for you? 	А может, присяжные подвели вас по злобе? 
16	"It's always one or the other with you innocent victims."" "	Ведь с вами, невинными жертвами, иначе не бывает. 
17	"""Me?"" said Jimmy, still blankly virtuous. "	— Я? — спросил Джимми в добродетельном недоумении. 
18	"""Why, warden, I never was in Springfield in my life!"" "	— Да что вы! Я и в Спрингфилде никогда не бывал! 
19	"""Take him back, Cronin!"" said the warden, ""and fix him up with outgoing clothes. "	— Отведите его обратно, Кронин, — улыбнулся смотритель, — и оденьте как полагается. 
20	Unlock him at seven in the morning, and let him come to the bull-pen. 	Завтра в семь утра вы его выпустите и приведете сюда. 
21	"Better think over my advice, Valentine."" "	А вы лучше обдумайте мой совет, Валентайн. 
22	At a quarter past seven on the next morning Jimmy stood in the warden's outer office. 	На следующее утро, в четверть восьмого, Джимми стоял в тюремной канцелярии. 
23	He had on a suit of the villainously fitting, ready-made clothes and a pair of the stiff, squeaky shoes that the state furnishes to its discharged compulsory guests. 	На нем был готовый костюм отвратительного покроя и желтые скрипучие сапоги, какими государство снабжает всех своих подневольных гостей, расставаясь с ними. 
24	The clerk handed him a railroad ticket and the five-dollar bill with which the law expected him to rehabilitate himself into good citizenship and prosperity. 	Письмоводитель вручил ему железнодорожный билет и бумажку в пять долларов, которые, как полагал закон, должны были вернуть Джимми права гражданства и благосостояние. 
25	The warden gave him a cigar, and shook hands. 	Смотритель пожал ему руку и угостил его сигарой. 
26	Valentine, 9762, was chronicled on the books, 	Валентайн, N 9762, был занесен в книгу под рубрикой 
27	"""Pardoned by Governor,"" and Mr. James Valentine walked out into the sunshine. "	«Помилован губернатором», и на солнечный свет вышел мистер Джеймс Валентайн. 
28	Disregarding the song of the birds, the waving green trees, and the smell of the flowers, Jimmy headed straight for a restaurant. 	Не обращая внимания на пение птиц, волнующуюся листву деревьев и запах цветов, Джимми направился прямо в ресторан. 
29	There he tasted the first sweet joys of liberty in the shape of a broiled chicken and a bottle of white wine—followed by a cigar a grade better than the one the warden had given him. 	Здесь он вкусил первых радостей свободы в виде жаренного цыпленка и бутылки белого вина. За ними последовала сигара сортом выше той, которую он получил от смотрителя. 
30	From there he proceeded leisurely to the depot. 	Оттуда он, не торопясь, проследовал на станцию железной дороги. 
31	He tossed a quarter into the hat of a blind man sitting by the door, and boarded his train. 	Бросив четверть доллара слепому, сидевшему у дверей вокзала, он сел на поезд. 
32	Three hours set him down in a little town near the state line. 	Через три часа Джимми высадился в маленьком городке, недалеко от границы штата. 
33	He went to the cafe of one Mike Dolan and shook hands with Mike, who was alone behind the bar. 	Войдя в кафе некоего Майка Долана, он пожал руку хозяину, в одиночестве дежурившему за стойкой. 
34	"""Sorry we couldn't make it sooner, Jimmy, me boy,"" said Mike. "	— Извини, что мы не могли сделать этого раньше, Джимми, сынок, сказал Долан. 
35	"""But we had that protest from Springfield to buck against, and the governor nearly balked. "	— Но из Спрингфилда поступил протест, и губернатор было заартачился. 
36	"Feeling all right?"" "	Как ты себя чувствуешь? 
37	"""Fine,"" said Jimmy. "	— Отлично, — сказал Джимми. 
38	"""Got my key?"" "	— Мой ключ у тебя? 
39	He got his key and went upstairs, unlocking the door of a room at the rear. 	Он взял ключ и, поднявшись наверх, отпер дверь комнаты в глубине дома. 
40	Everything was just as he had left it. 	Все было так, как он оставил уходя. 
41	There on the floor was still Ben Price's collar-button that had been torn from that eminent detective's shirt-band when they had overpowered Jimmy to arrest him. 	На полу еще валялась запонка от воротничка Бена Прайса, сорванная с рубашки знаменитого сыщика в ту минуту, когда полиция набросилась на Джимми и арестовала его. 
42	Pulling out from the wall a folding-bed, Jimmy slid back a panel in the wall and dragged out a dust-covered suit-case. 	Оттащив от стены складную кровать, Джимми сдвинул в сторону одну филенку и достал запыленный чемоданчик. 
43	He opened this and gazed fondly at the finest set of burglar's tools in the East. 	Он открыл его и любовно окинул взглядом лучший набор отмычек в Восточных штатах. 
44	It was a complete set, made of specially tempered steel, the latest designs in drills, punches, braces and bits, jimmies, clamps, and augers, with two or three novelties, invented by Jimmy himself, in which he took pride. 	Это был полный набор, сделанный из стали особого закала: последнего образца сверла, резцы, перки, отмычки, клещи, буравчики и еще две-три новинки, изобретенные самим Джимми, которыми он очень гордился. 
45	Over nine hundred dollars they had cost him to have made at ----, a place where they make such things for the profession. 	Больше девятисот долларов стоило ему изготовить этот набор в… словом, там, где фабрикуются такие вещи для людей его профессии. 
46	In half an hour Jimmy went down stairs and through the cafe. 	Через полчаса Джимми спустился вниз и прошел через кафе. 
47	He was now dressed in tasteful and well-fitting clothes, and carried his dusted and cleaned suit-case in his hand. 	Теперь он был одет со вкусом, в отлично сшитый костюм, и нес в руке вычищенный чемоданчик. 
48	"""Got anything on?"" asked Mike Dolan, genially. "	— Что-нибудь наклевывается? — сочувственно спросил Майк Долан. 
49	"""Me?"" said Jimmy, in a puzzled tone. "	— У меня? — удивленно переспросил Джимми. 
