	en	ru
0	Henry O. 	О. Генри 
1	THE COMPLETE LIFE OF JOHN HOPKINS 	Один час полной жизни 
2	There is a saying that no man has tasted the full flavour of life until he has known poverty, love and war. 	Существует поговорка, что тот еще не жил полной жизнью, кто не знал бедности, любви и войны. 
3	The justness of this reflection commends it to the lover of condensed philosophy. 	Справедливость такого суждения должна прельстить всякого любителя сокращенной философии. 
4	The three conditions embrace about all there is in life worth knowing. A surface thinker might deem that wealth should be added to the list. 	В этих трех условиям заключается все, что стоит знать о жизни Поверхностный мыслитель, возможно, счел бы, что к этому списку следует прибавить еще и богатство. 
5	Not so. 	Но это не так. 
6	When a poor man finds a long-hidden quarter-dollar that has slipped through a rip into his vest lining, he sounds the pleasure of life with a deeper plummet than any millionaire can hope to cast. 	Когда бедняк находит за подкладкой жилета давным давно провалившуюся в прореху четверть доллара, он забрасывает лот в такие глубины жизненной радости, до каких не добраться ни одному миллионеру. 
7	It seems that the wise executive power that rules life has thought best to drill man in these three conditions; and none may escape all three. 	По-видимому, так распорядилась мудрая исполнительная власть, которая управляет жизнью, что человек неизбежно проходит через все эти три условия, и никто не может быть избавлен от всех трех. 
8	In rural places the terms do not mean so much. 	В сельских местностях эти условия не имеют такого значения. 
9	Poverty is less pinching; love is temperate; war shrinks to contests about boundary lines and the neighbors' hens. 	Бедность гнетет меньше, любовь не так горяча, война сводится к дракам из-за соседской курицы или границы участка. 
10	It is in the cities that our epigram gains in truth and vigor; and it has remained for one John Hopkins to crowd the experience into a rather small space of time. 	Зато в больших городах наш афоризм приобретает особую правдивость и силу, и некоему Джону Гопкинсу досталось в удел испытать все это на себе в сравнительно короткое время. 
11	The Hopkins flat was like a thousand others. 	Квартира Гопкинса была такая же, как тысячи других. 
12	There was a rubber plant in one window; a flea-bitten terrier sat in the other, wondering when he was to have his day. 	На одном окне стоял фикус, на другом сидел блохастый терьер, изнывая от скуки. 
13	John Hopkins was like a thousand others. 	Джон Гопкинс был такой же, как тысячи других. 
