	en	ru
0	TOLD AFTER SUPPER by Jerome K. Jerome Contents: Introductory How the Stories came to be told Teddy Biffles' Story—Johnson and Emily; or, the Faithful Ghost Interlude—The Doctor's Story Mr. Coombe's Story—The Haunted Mill; or, the Ruined Home Interlude My Uncle's Story—The Ghost of the Blue Chamber A Personal Explanation My Own Story INTRODUCTORY 	Джером К.Джером. Пирушка с привидениями ВВЕДЕНИЕ 
1	It was Christmas Eve. 	Это было в сочельник. 
2	I begin this way because it is the proper, orthodox, respectable way to begin, and I have been brought up in a proper, orthodox, respectable way, and taught to always do the proper, orthodox, respectable thing; and the habit clings to me. 	Я  начинаю  именно  так  потому,  что  это  самое общепринятое, благопристойное и респектабельное начало, а я был воспитан в общепринятом, благопристойном и  респектабельном  духе,  привык  поступать самым общепринятым,  благопристойным  и  респектабельным  образом,  и  эта привычка стала у меня второй натурой. 
3	Of course, as a mere matter of information it is quite unnecessary to mention the date at all. The experienced reader knows it was Christmas Eve, without my telling him. 	Собственно говоря, нет необходимости  уточнять  дату  нашей  вечеринки: опытный читатель, не дожидаясь разъяснения, сам поймет, что  дело  было  в сочельник. 
4	It always is Christmas Eve, in a ghost story, Christmas Eve is the ghosts' great gala night. 	Если в рассказе участвуют призраки,  значит  время  действия  - сочельник. Это у привидений самый излюбленный и боевой вечер. 
5	On Christmas Eve they hold their annual fete. 	В  сочельник они справляют  свой  ежегодный  праздник. 
6	On Christmas Eve everybody in Ghostland who IS anybody—or rather, speaking of ghosts, one should say, I suppose, every nobody who IS any nobody—comes out to show himself or herself, to see and to be seen, to promenade about and display their winding-sheets and grave-clothes to each other, to criticise one another's style, and sneer at one another's complexion. 	В  сочельник  каждый  обитатель загробного мира, из тех, кто хоть что-нибудь собой представляет  (впрочем, о  духах  следовало  бы  говорить:   каждый,   кто   _ничего_   собой   не представляет), - будь то мужчина или женщина, выходит на свет  божий  себя показать  и  людей  посмотреть. Каждый  красуется  своим  саваном,  своим похоронным нарядом, критикует чужие костюмы и посмеивается над цветом лица других замогильных жильцов. 
7	"""Christmas Eve parade,"" as I expect they themselves term it, is a function, doubtless, eagerly prepared for and looked forward to throughout Ghostland, especially the swagger set, such as the murdered Barons, the crime-stained Countesses, and the Earls who came over with the Conqueror, and assassinated their relatives, and died raving mad. "	Своего предрождественского парада - так, я уверен, называют  они  между собой это событие - все  жители  царства  духов  несомненно  дожидаются  с большим нетерпением. Особенно готовятся  к  нему  высшие  слои  общества:  злодейки-графини, зарезанные  ими  бароны,  а  также  пэры  с  генеалогией   от   Вильгельма Завоевателя, успевшие придушить кого-нибудь из родичей и кончившие  буйным помешательством. 
8	Hollow moans and fiendish grins are, one may be sure, energetically practised up. 	В эту пору в мире духов повсеместно и с большим  усердием разучиваются глухие стоны  и  дьявольское  хихиканье. 
9	Blood-curdling shrieks and marrow-freezing gestures are probably rehearsed for weeks beforehand. 	Неделями,  наверно, репетируются душераздирающие крики и жесты, от которых  кровь  леденеет  в жилах. 
10	Rusty chains and gory daggers are over-hauled, and put into good working order; and sheets and shrouds, laid carefully by from the previous year's show, are taken down and shaken out, and mended, and aired. 	Заржавленные  цепи  и  окровавленные   кинжалы   вытаскиваются   и приводятся в пригодный для работы  вид,  а  покровы  и  саваны,  заботливо спрятанные   с   прошлогоднего   парада,    вытряхиваются,    чинятся    и проветриваются. 
11	Oh, it is a stirring night in Ghostland, the night of December the twenty-fourth! 	Да, хлопотливая ночка в  царстве  духов  эта  ночь  на  двадцать  пятое декабря! 
12	Ghosts never come out on Christmas night itself, you may have noticed. 	Вы, конечно, успели заметить, что непосредственно в рождественскую ночь духи никогда не показываются. 
13	Christmas Eve, we suspect, has been too much for them; they are not used to excitement. 	Видимо,  волнения  плохо  отражаются  на  их здоровье и с них вполне хватает сочельника. 
14	For about a week after Christmas Eve, the gentlemen ghosts, no doubt, feel as if they were all head, and go about making solemn resolutions to themselves that they will stop in next Christmas Eve; while lady spectres are contradictory and snappish, and liable to burst into tears and leave the room hurriedly on being spoken to, for no perceptible cause whatever. 	Вероятно, целую  неделю  после сочельника духи-джентльмены  жалуются  на  головную  боль  и  торжественно клянутся,  что  с  будущего  года  раз   и   навсегда   прекратят   всякие рождественские выступления, а призрачные  леди  становятся  истеричными  и колкими, то беспричинно  заливаются  слезами,  то,  не  говоря  ни  слова, покидают комнату, стоит только с ними заговорить. 
15	Ghosts with no position to maintain—mere middle-class ghosts— occasionally, I believe, do a little haunting on off-nights: on All-hallows Eve, and at Midsummer; and some will even run up for a mere local event—to celebrate, for instance, the anniversary of the hanging of somebody's grandfather, or to prophesy a misfortune. 	Привидения, которым нет надобности сохранять  великосветские  традиции, привидения среднего  сословия,  время  от  времени,  насколько  я  слышал, появляются и в другие вечера, в свободное время. В день всех  святых  и  в ночь под Ивана Купала некоторые из них склонны отмечать своими посещениями какие-нибудь события местного значения, -  например,  годовщину  повешения своего или чужого дедушки. Или появляются,  чтобы  предсказать  какое-либо несчастье. 
16	He does love prophesying a misfortune, does the average British ghost. 	Ах, как он любит напророчить беду,  этот  рядовой  британский  призрак! 
17	Send him out to prognosticate trouble to somebody, and he is happy. 	Пошлите его предсказать кому-нибудь горе, и он просто вне себя от счастья. 
