	en	ru
0	PREFACE  	ВСТУПЛЕНИЕ   
1	 I HAVE no intention of explaining how the correspondence which I now offer to the public fell into my hands.  	Я не собираюсь объяснять, как в мои руки попала та переписка, которую я теперь предлагаю вниманию общества.   
2	 There are two equal and opposite errors into which our race can fall about the devils. 	Есть два равносильных и противоположных заблуждения относительно бесов. 
3	 One is to disbelieve in their existence.  The other is to believe, and to feel an excessive and unhealthy interest in them. 	 Одни не верят в них, другие верят и питают к ним ненужный и нездоровый интерес. 
4	 They themselves are equally pleased by both errors and hail a materialist or a magician with the same delight.  The sort of script which is used in this book can be very easily obtained by anyone who has once learned the knack; but disposed or excitable people who might make a bad use of it shall not learn it from me.  	 Сами бесы рады обеим ошибкам и с одинаковым восторгом приветствуют и материалиста, и любителя черной магии.   
5	 Readers are advised to remember that the devil is a liar.  Not everything that Screwtape says should be assumed to be true even from his own angle. 	Советую моим читателям помнить, что дьявол -- отец лжи и не все, что говорит Баламут, следует считать правдой, даже с его собственной точки зрения.   
6	 I have made no attempt to identify any of the human beings mentioned in the letters; but I think it very unlikely that the portraits, say, of Fr.  Spike or the patient's mother, are wholly just. 	Я не устанавливал личности тех, кто упомянут в письмах.  Однако не думаю, что, например, отец Игл или мать подопечного описаны достоверно. 
7	 There is wishful thinking in Hell as well as on Earth.  	 В аду, как и на земле, умеют подкрашивать мысли в угоду своим намерениям.   
8	 In conclusion, I ought to add that no effort has been made to clear up the chronology of the letters. 	В заключение должен добавить, что я не пытался уточнить хронологию писем. 
9	 Number XVII appears to have been composed before rationing became serious; but in general the diabolical method of dating seems to bear no relation to terrestrial time and I have not attempted to reproduce it. 	 Мне кажется, что чаще всего дьявольский принцип датировки никак не связан с земным временем, и потому я не стал его воспроизводить. 
10	 The history of the European War, except in so far as it happens now and then to impinge upon the spiritual condition of one human being, was obviously of no interest to Screwtape.   --C.  S. LEWIS   MAGDALEN COLLEGE   July 5, 1941  	 История второй мировой войны могла интересовать Баламута только в той степени, в какой она повлияла на духовное состояние интересующего его человека.   
11	    I  	  ПИСЬМО ПЕРВОЕ   
12	 MY DEAR WORMWOOD,  	Мой дорогой Гнусик!   
13	 I note what you say about guiding our patient's reading and taking care that he sees a good deal of his materialist friend. 	Я вижу, ты следишь за чтением своего подопечного и за тем, чтобы он вращался в кругу своих друзей-материалистов. 
14	 But are you not being a trifle naÔf?   It sounds as if you supposed that argument was the way to keep him out of the Enemy's clutches. 	 Но мне кажется, ты немного наивен, полагая, что аргументы смогут вырвать его из объятий Врага. 
15	 That might have been so if he had lived a few centuries earlier. 	 Это было бы возможно, живи он несколькими веками раньше. 
16	 At that time the humans still knew pretty well when a thing was proved and when it was not; and if it was proved they really believed it. 	 Тогда люди еще прекрасно умели отличать доказанное от недоказанного, и уж если что-то доказано, они и верили в это. 
17	 They still connected thinking with doing and were prepared to alter their way of life as the result of a chain of reasoning. 	 Тогда еще не теряли связи между мыслью и делом и как-то могли изменить свою жизнь сообразно умозаключению. 
18	 But what with the weekly press and other such weapons we have largely altered that. 	 Это мы исправили при помощи еженедельной прессы и других средств. 
19	 Your man has been accustomed, ever since he was a boy, to have a dozen incompatible philosophies dancing about together inside his head. 	 Твой подопечный с младенчества привык к тому, что в его голове кружится одновременно добрая дюжина несовместимых воззрений. 
20	" He doesn't think of doctrines as primarily ""true"" of ""false"", but as ""academic"" or ""practical"", ""outworn"" or ""contemporary"", ""conventional"" or ""ruthless"". "	 Концепции он воспринимает прежде всего не как истинные или ложные, а как теоретические или практические, устаревшие или современные, банальные или смелые. 
21	 Jargon, not argument, is your best ally in keeping him from the Church. 	 Самоуверенная тарабарщина, а не аргументы, поможет тебе удержать пациента вдали от церкви. 
