	en	ru
0	THE ETHICS OF PIG 	О. Генри Поросячья этика 
1	On an east-bound train I went into the smoker and found Jefferson Peters, the only man with a brain west of the Wabash River who can use his cerebrum, cerebellum, and medulla oblongata at the same time. 	Войдя в курительный вагон экспресса Сан-Франциско Нью-Йорк, я застал там Джефферсона Питерса. Из всех людей, проживающих западнее реки Уобаш, он единственный наделен настоящей смекалкой. Он способен использовать сразу оба полушария мозга, да еще мозжечок в придачу. 
2	Jeff is in the line of unillegal graft. 	Профессия Джеффа - небеззаконное жульничество. 
3	He is not to be dreaded by widows and orphans; he is a reducer of surplusage. 	Вдовам и сиротам не следует бояться его: он изымает только излишки. 
4	His favorite disguise is that of the target-bird at which the spendthrift or the reckless investor may shy a few inconsequential dollars. 	Больше всего он любит сравнивать себя с той мишенью в виде маленькой птички, в которую любой расточитель или опрометчивый вкладчик может стрельнуть двумя-тремя завалящими долларами. 
5	He is readily vocalized by tobacco; so, with the aid of two thick and easy-burning brevas, I got the story of his latest Autolycan adventure. 	"На его разговорные способности хорошо влияет табак; зная это, я с помощью двух толстых и легко воспламеняемых сигар ""брэва"" узнал историю его последнего приключения. "
6	"""In my line of business,"" said Jeff, ""the hardest thing is to find an upright, trustworthy, strictly honorable partner to work a graft with. "	- Самое трудное в нашем деле, - сказал Джефф, - это найти добросовестного, надежного; безупречно честного партнера, с которым можно было бы мошенничать без всякой опаски. 
7	Some of the best men I ever worked with in a swindle would resort to trickery at times. 	Лучшие мастера, с какими мне случалось работать по части присвоения чужого имущества, и те оказывались иногда надувателями. 
8	"""So, last summer, I thinks I will go over into this section of country where I hear the serpent has not yet entered, and see if I can find a partner naturally gifted with a talent for crime, but not yet contaminated by success. "	Поэтому прошлым летом решил я отправиться куда-нибудь в захолустную местность, куда не проник еще змей-искуситель, и посмотреть, не найдется ли там какого-нибудь подходящего малого, одаренного талантом к преступлению, но еще не развращенного успехом. 
9	"""I found a village that seemed to show the right kind of a layout. "	Попался мне один городишко, на вид как раз то, что нужно. 
10	The inhabitants hadn't found that Adam had been dispossessed, and were going right along naming the animals and killing snakes just as if they were in the Garden of Eden. 	Жители еще ничего не слыхали о конфискации Адамовых угодий и блаженствовали, как в райском саду, давая имена скотам и птицам и убивая гадюк. 
11	They call this town Mount Nebo, and it's up near the spot where Kentucky and West Virginia and North Carolina corner together. 	Городок назывался Маунт-Нэбо и расположен был примерно в том месте, где сходятся штаты Кентукки, Западная Виржиния и Северная Каролина. 
12	Them States don't meet? 	Что, эти штаты не граничат друг с другом? 
13	Well, it was in that neighborhood, anyway. 	Ну, в общем был расположен где-то там, поблизости. 
14	"""After putting in a week proving I wasn't a revenue officer, I went over to the store where the rude fourflushers of the hamlet lied, to see if I could get a line on the kind of man I wanted. "	Потратив неделю на то, чтобы жители удостоверились, что я не сборщик налогов, я как-то зашел в лавочку, где собирались все сливки местного общества, и начал нащупывать почву. 
15	"""'Gentlemen,' says I, after we had rubbed noses and gathered 'round the dried-apple barrel. 'I don't suppose there's another community in the whole world into which sin and chicanery has less extensively permeated than this. "	- Джентльмены, - говорю я (после того, как мы уже достаточно потерлись носами и собрались вокруг бочонка с сушеными яблоками), - джентльмены, мне кажется, что вы самое безгрешное племя на всей земле: вы так далеки от всякого плутовства и порока. 
16	"Life here, where all the women are brave and propitious and all the men honest and expedient, must, indeed, be an idol. It reminds me,' says I, 'of Goldstein's beautiful ballad entitled ""The Deserted Village,"" which says: 'Ill fares the land, to hastening ills a prey, What art can drive its charms away? The judge rode slowly down the lane, mother. For I'm to be Queen of the May.' "	Все женщины у вас благосклонны и храбры, все мужчины честны и настойчивы, и потому жизнь здесь прямо-таки идеальная. 
17	"""'Why, yes, Mr. Peters,' says the storekeeper. 'I reckon we air about as moral and torpid a community as there be on the mounting, according to censuses of opinion; but I reckon you ain't ever met Rufe Tatum.' "	- Да, мистер Питерс, - говорит хозяин лавчонки, правильно вы говорите: мы благородные, неподвижные, заплесневелые люди, лучше нас во всей этой местности нет, но вы не знаете Руфа Татама. 
18	"""'Why, no,' says the town constable, 'he can't hardly have ever. "	- Вот, вот, - подхватывает городской констебль, - он не знает Руфа Татама. 
19	That air Rufe is shore the monstrousest scalawag that has escaped hangin' on the galluses. 	Впрочем, где бы они могли познакомиться? Это самый отчаянный из всех негодяев, когда-либо убежавших от виселицы. 
20	And that puts me in mind that I ought to have turned Rufe out of the lockup before yesterday. The thirty days he got for killin' Yance Goodloe was up then. 	Кстати, я только что вспомнил, что мне еще третьего дня следовало выпустить его из тюрьмы, когда кончился месячный срок, к которому он был присужден за убийство Янса Гудло. 
21	A day or two more won't hurt Rufe any, though.' 	Но ничего: лишние два-три дня ему не повредят. 
22	"""'Shucks, now,' says I, in the mountain idiom, 'don't tell me there's a man in Mount Nebo as bad as that.' "	- Что вы говорите! - воскликнул я. - Да не может этого быть! Неужели у вас в Маунт-Нэбо, есть такой дурной человек? Кто бы мог подумать: убийца! 
23	"""'Worse,' says the storekeeper. "	- Хуже! - говорит хозяин лавки. 
24	'He steals hogs.' 	- Он ворует свиней. 
25	"""I think I will look up this Mr. Tatum; so a day or two after the constable turned him out I got acquainted with him and invited him out on the edge of town to sit on a log and talk business. "	Я решил разыскать этого мистера Татама. Через два-три дня после того как констебль выпустил его из-за решетки, я свел с ним знакомство и пригласил его на окраину города. Мы сели на какое-то бревно и завели деловой разговор, 
26	"""What I wanted was a partner with a natural rural make-up to play a part in some little one-act outrages that I was going to book with the Pitfall & Gin circuit in some of the Western towns; and this R. Tatum was born for the role as sure as nature cast Fairbanks for the stuff that kept Eliza from sinking into the river. "	Мне нужен был компаньон деревенской наружности для одноактной проделки, которую я намеревался поставить в провинции, и Руф Татам был прямо-таки рожден для той роли, которая была намечена мной для него. 
27	"""He was about the size of a first baseman; and he had ambiguous blue eyes like the china dog on the mantelpiece that Aunt Harriet used to play with when she was a child. "	Рост у него был гигантский, глаза синие и лицемерные, как у фарфоровой собаки на камине, с которой играла тетя Гарриет, когда была маленькой девочкой. 
28	His hair waved a little bit like the statue of the dinkus-thrower at the Vacation in Rome, but the color of it reminded you of the 'Sunset in the Grand Canon, by an American Artist,' that they hang over the stove-pipe holes in the salongs. 	"Волосы волнистые, как у дискобола в Ватикане, а цвет волос напоминал вам картину ""Закат солнца в Великом Каньоне"", написанную американским художником повешенную в американской гостиной для прикрытия дыры на обоях. "
29	He was the Reub, without needing a touch. You'd have known him for one, even if you'd seen him on the vaudeville stage with one cotton suspender and a straw over his ear. 	Это было воплощение Деревенского Простофили, это было совершенство. 
30	"""I told him what I wanted, and found him ready to jump at the job. "	Я рассказал ему все мое дело и увидел, что он готов хоть сейчас. 
31	"""'Overlooking such a trivial little peccadillo as the habit of manslaughter,' says I, 'what have you accomplished in the way of indirect brigandage or nonactionable thriftiness that you could point to, with or without pride, as an evidence of your qualifications for the position?' "	- Оставим в стороне смертоубийство, - сказал я. - Это дело пустяковое и мелкое. Сделали ли вы что-нибудь более ценное в области плутовства и разбоя, на что вы могли бы указать - с гордостью или без гордости, - дабы я знал, что вы подходящий для меня компаньон? 
32	"""'Why,' says he, in his kind of Southern system of procrastinated accents, 'hain't you heard tell? "	- Как? - говорит он и растягивает по южному каждое слово. - Разве вам никто не говорил обо мне? 
33	There ain't any man, black or white, in the Blue Ridge that can tote off a shoat as easy as I can without bein' heard, seen, or cotched. 	Во всем Синегорье нет ни одного человека, ни белого, ни чернокожего, который мог бы с такой ловкостью украсть поросенка без всякого шума, не видно, не слышно, и при этом ускользнуть от погони. 
34	I can lift a shoat,' he goes on, 'out of a pen, from under a porch, at the trough, in the woods, day or night, anywhere or anyhow, and I guarantee nobody won't hear a squeal. 	Я могу выкрасть свинью из хлева, из-под навеса, из-за корыта, из леса, днем и ночью, как угодно, откуда угодно и ручаюсь, что никто не услышит ни визга, ни хрюканья. 
35	It's all in the way you grab hold of 'em and carry 'em atterwards. 	Вся штука в том, как ухватить свинью и как нести ее. 
36	Some day,' goes on this gentle despoiler of pig-pens, 'I hope to become reckernized as the champion shoat-stealer of the world.' 	Я надеюсь, - продолжает этот благородный опустошитель свинарников, - что близко то время, когда я буду признан мировым чемпионом свинокрадства. 
37	"""'It's proper to be ambitious,' says I; 'and hog-stealing will do very well for Mount Nebo; but in the outside world, Mr. Tatum, it would be considered as crude a piece of business as a bear raid on Bay State Gas. "	- Честолюбие похвальная черта, - говорю я, - и здесь, в глуши, свинокрадство - почтенная профессия; но там, в большом свете, за границами этого узкого круга, ваша специальность, мистер Татам, покажется провинциально вульгарной. 
38	However, it will do as a guarantee of good faith. 	Впрочем, она свидетельствует о вашем таланте. 
39	We'll go into partnership. 	Я беру вас себе в компаньоны. 
40	I've got a thousand dollars cash capital; and with that homeward-plods atmosphere of yours we ought to be able to win out a few shares of Soon Parted, preferred, in the money market.' 	"Капитала у меня тысяча долларов, и, пользуясь вашей простецкой деревенской наружностью, мы, я надеюсь, заработаем на денежном рынке несколько привилегированных акций ""Прости навек"". "
41	"""So I attaches Rufe, and we go away from Mount Nebo down into the lowlands. And all the way I coach him for his part in the grafts I had in mind. "	И вот я ангажировал Руфа, и мы покинули Маунт-Нэбо и спустились с гор на равнину, и всю дорогу я натаскивал его для той роли, которую он должен играть в задуманных мною беззаконных делах. 
42	I had idled away two months on the Florida coast, and was feeling all to the Ponce de Leon, besides having so many new schemes up my sleeve that I had to wear kimonos to hold 'em. 	Перед тем я два месяца проболтался без дела на Флоридском побережье, чувствовал себя превосходно, и в голове у меня было тесно от всяких затеи и проектов. 
