	en	ru
0	THE PICTURE OF DORIAN GRAY BY OSCAR WILDE 	Оскар Уайлд. Портрет Дориана Грея 
1	THE PREFACE 	ПРЕДИСЛОВИЕ 
2	The artist is the creator of beautiful things. 	Художник -- тот, кто создает прекрасное. 
3	To reveal art and conceal the artist is art's aim. 	Раскрыть  людям  себя  и  скрыть  художника  --  вот  к  чему стремится искусство. 
4	The critic is he who can translate into another manner or a new material his impression of beautiful things. 	Критик -- это тот, кто способен в новой  форме  или  новыми  средствами передать свое впечатление от прекрасного. 
5	The highest, as the lowest, form of criticism is a mode of autobiography. 	Высшая, как и низшая, форма критики -- один из видов автобиографии. 
6	Those who find ugly meanings in beautiful things are corrupt without being charming. 	Те,  кто  в  прекрасном  находят  дурное, -- люди испорченные, и притом испорченность не делает их привлекательными. 
7	This is a fault. 	Это большой грех. 
8	Those who find beautiful meanings in beautiful things are the cultivated. 	Те, кто способны  узреть  в  прекрасном  его  высокий  смысл,  --  люди культурные. 
9	For these there is hope. 	Они не безнадежны. 
10	They are the elect to whom beautiful things mean only Beauty. 	Но избранник -- тот, кто в прекрасном видит лишь одно: Красоту. 
11	There is no such thing as a moral or an immoral book. 	Нет книг нравственных или безнравственных. 
12	Books are well written, or badly written. 	Есть книги хорошо написанные или написанные плохо. 
13	That is all. 	Вот и все. 
14	The nineteenth century dislike of Realism is the rage of Caliban seeing his own face in a glass. 	Ненависть  девятнадцатого  века  к  Реализму  --  это  ярость Калибана, увидевшего себя в зеркале. 
15	The nineteenth century dislike of Romanticism is the rage of Caliban not seeing his own face in a glass. 	Ненависть девятнадцатого века к Романтизму -- это ярость  Калибана,  не находящего в зеркале своего отражения. 
16	The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium. 	Для  художника  нравственная  жизнь  человека  --  лишь одна из тем его творчества. Этика  же  искусствав  совершенном  при-  менении  несовершенных средств. 
17	No artist desires to prove anything. 	Художник   не   стремится   что-то   доказывать. 
