	en	ru
0	"In a little district west of Washington Square the streets have run crazy and broken themselves into small strips called ""places."" "	В небольшом квартале к западу от Вашингтон-сквера улицы перепутались и переломались в короткие полоски, именуемые проездами. 
1	"These ""places"" make strange angles and curves. "	Эти проезды образуют странные углы и кривые линии. 
2	One street crosses itself a time or two. 	Одна улица там даже пересекает самое себя раза два. 
3	An artist once discovered a valuable possibility in this street. 	Некоему художнику удалось открыть весьма ценное свойство этой улицы. 
4	Suppose a collector with a bill for paints, paper and canvas should, in traversing this route, suddenly meet himself coming back, without a cent having been paid on account! 	Предположим, сборщик из магазина со счетом за краски, бумагу и холст повстречает там самого себя, идущего восвояси, не получив ни единого цента по счету! 
5	So, to quaint old Greenwich Village the art people soon came prowling, hunting for north windows and eighteenth-century gables and Dutch attics and low rents. 	И вот люди искусства набрели на своеобразный квартал Гринич-Виллидж в поисках окон, выходящих на север, кровель ХVIII столетия, голландских мансард и дешевой квартирной платы. 
6	"Then they imported some pewter mugs and a chafing dish or two from Sixth avenue, and became a ""colony."" "	Затем они перевезли туда с Шестой авеню несколько оловянных кружек и одну-две жаровни и основали «колонию». 
7	At the top of a squatty, three-story brick Sue and Johnsy had their studio. 	Студия Сью и Джонси помещалась наверху трехэтажного кирпичного дома. 
8	"""Johnsy"" was familiar for Joanna. "	Джонси — уменьшительное от Джоанны. 
9	One was from Maine; the other from California. 	Одна приехала из штата Мэйн, другая из Калифорнии. 
10	They had met at the table d'hote of an Eighth street 	Они познакомились за табльдотом одного ресторанчика на Вольмой улице и нашли, что их взгляды на искусство, цикорный салат и модные рукава вполне совпадают. 
11	"""Delmonico's,"" and found their tastes in art, chicory salad and bishop sleeves so congenial that the joint studio resulted. "	В результате и возникла общая студия. 
12	That was in May. 	Это было в мае. 
13	In November a cold, unseen stranger, whom the doctors called Pneumonia, stalked about the colony, touching one here and there with his icy fingers. 	В ноябре неприветливый чужак, которого доктора именуют Пневмонией, незримо разгуливал по колонии, касаясь то одного, то другого своими ледяными пальцами. 
14	"Over on the east side this ravager strode boldly, smiting his victims by scores, but his feet trod slowly through the maze of the narrow and moss-grown ""places."" "	По Восточной стороне этот душегуб шагал смело, поражая десятки жертв, но здесь, в лабиринте узких, поросших мохом переулков, он плелся нога за нагу. 
15	Mr. Pneumonia was not what you would call a chivalric old gentleman. 	Господина Пневмонию никак нельзя было назвать галантным старым джентльменом. 
16	A mite of a little woman with blood thinned by California zephyrs was hardly fair game for the red-fisted, short-breathed old duffer. 	Миниатюрная девушка, малокровная от калифорнийских зефиров, едва ли могла считаться достойным противником для дюжего старого тупицы с красными кулачищами и одышкой. 
17	But Johnsy he smote; and she lay, scarcely moving, on her painted iron bedstead, looking through the small Dutch window-panes at the blank side of the next brick house. 	Однако он свалил ее с ног, и Джонси лежала неподвижно на крашеной железной кровати, глядя сквозь мелкий переплет голландского окна на глухую стену соседнего кирпичного дома. 
18	One morning the busy doctor invited Sue into the hallway with a shaggy, gray eyebrow. 	Однажды утром озабоченный доктор одним движением косматых седых бровей вызвал Сью в коридор. 
19	"""She has one chance in—let us say, ten,"" he said, as he shook down the mercury in his clinical thermometer. "	— У нее один шанс… ну, скажем, против десяти, — сказал он, стряхивая ртуть в термометре. 
20	"""And that chance is for her to want to live. "	— И то, если она сама захочет жить. 
21	This way people have of lining-up on the side of the undertaker makes the entire pharmacopeia look silly. 	Вся наша фармакопея теряет смысл, когда люди начинают действовать в интересах гробовщика. 
22	Your little lady has made up her mind that she's not going to get well. 	Ваша маленькая барышня решила, что ей уже не поправиться. 
23	"Has she anything on her mind?"" "	О чем она думает? 
24	"""She—she wanted to paint the Bay of Naples some day,"" said Sue. "	— Ей… ей хотелось написать красками Неаполитанский залив. 
25	"""Paint?—bosh! "	— Красками? Чепуха! 
26	"Has she anything on her mind worth thinking about twice—a man, for instance?"" "	Нет ли у нее на душе чего-нибудь такого, о чем действительно стоило бы думать, например, мужчины? 
27	"""A man?"" said Sue, with a jew's-harp twang in her voice. "	— Мужчины? — переспросила Сью, и ее голос зазвучал резко, как губная гармоника. 
28	"""Is a man worth—but, no, doctor; there is nothing of the kind."" "	— Неужели мужчина стоит… Да нет, доктор, ничего подобного нет. 
29	"""Well, it is the weakness, then,"" said the doctor. "	— Ну, тогда она просто ослабла, — решил доктор. 
30	"""I will do all that science, so far as it may filter through my efforts, can accomplish. "	— Я сделаю все, что буду в силах сделать как представитель науки. 
31	But whenever my patient begins to count the carriages in her funeral procession I subtract 50 per cent. from the curative power of medicines. 	Но когда мой пациент начинает считать кареты в своей похоронной процессии, я скидываю пятьдесят процентов с целебной силы лекарств. 
32	"If you will get her to ask one question about the new winter styles in cloak sleeves I will promise you a one-in-five chance for her, instead of one in ten."" "	Если вы сумеете добиться, чтобы она хоть раз спросила, какого фасона рукава будут носить этой зимой, я вам ручаюсь, что у нее будет один шанс из пяти, вместо одного из десяти. 
33	After the doctor had gone Sue went into the workroom and cried a Japanese napkin to a pulp. 	После того как доктор ушел, Сью выбежала в мастерскую и плакала в японскую бумажную салфеточку до тех пор, пока та не размокла окончательно. 
34	Then she swaggered into Johnsy's room with her drawing board, whistling ragtime. 	Потом она храбро вошла в комнату Джонси с чертежной доской, насвистывая рэгтайм. 
35	Johnsy lay, scarcely making a ripple under the bedclothes, with her face toward the window. 	Джонси лежала, повернувшись лицом к окну, едва заметная под одеялами. 
36	Sue stopped whistling, thinking she was asleep. 	Сью перестала насвистывать, думая, что Джонси уснула. 
37	She arranged her board and began a pen-and-ink drawing to illustrate a magazine story. 	Она пристроила доску и начала рисунок тушью к журнальному рассказу. 
38	Young artists must pave their way to Art by drawing pictures for magazine stories that young authors write to pave their way to Literature. 	Для молодых художников путь в Искусство бывает вымощен иллюстрациями к журнальным рассказам, которыми молодые авторы мостят себе путь в Литературу. 
39	As Sue was sketching a pair of elegant horseshow riding trousers and a monocle on the figure of the hero, an Idaho cowboy, she heard a low sound, several times repeated. 	Набрасывая для рассказа фигуру ковбоя из Айдахо в элегантных бриджах и с моноклем в глазу, Сью услышала тихий шепот, повторившийся несколько раз. 
40	She went quickly to the bedside. 	Она торопливо подошла к кровати. 
41	Johnsy's eyes were open wide. 	Глаза Джонси были широко открыты. 
42	She was looking out the window and counting—counting backward. 	Она смотрела в окно и считала — считала в обратном порядке. 
43	"""Twelve,"" she said, and a little later ""eleven;"" and then ""ten,"" and ""nine;"" and then ""eight"" and ""seven,"" almost together. "	— Двенадцать, — произнесла она, и немного погодя: — одиннадцать, — а потом: — «десять» и «девять», а потом: — «восемь» и «семь» — почти одновременно. 
44	Sue looked solicitously out the window. 	Сью посмотрела в окно. 
45	What was there to count? 	Что там было считать? 
46	There was only a bare, dreary yard to be seen, and the blank side of the brick house twenty feet away. 	Был виден только пустой, унылый двор и глухая стена кирпичного дома в двадцати шагах. 
47	An old, old ivy vine, gnarled and decayed at the roots, climbed half way up the brick wall. 	Старый-старый плющ с узловатым, подгнившим у корней стволом заплел до половины кирпичную стену. 
48	The cold breath of autumn had stricken its leaves from the vine until its skeleton branches clung, almost bare, to the crumbling bricks. 	Холодное дыхание осени сорвало листья с лозы, и оголенные скелеты ветвей цеплялись за осыпающиеся кирпичи. 
49	"""What is it, dear?"" asked Sue. "	— Что там такое, милая? — спросила Сью. 
50	"""Six,"" said Johnsy, in almost a whisper. "	— Шесть, — едва слышно ответила Джонси. 
51	"""They're falling faster now. "	— Теперь они облетают гораздо быстрее. 
52	Three days ago there were almost a hundred. 	Три дня назад их было почти сто. 
53	It made my head ache to count them. 	Голова кружилась считать. 
54	But now it's easy. 	А теперь это легко. 
55	There goes another one. 	Вот и еще один полетел. 
56	"There are only five left now."" "	Теперь осталось только пять. 
57	"""Five what, dear. "	— Чего пять, милая? 
58	"Tell your Sudie."" "	Скажи своей Сьюди. 
59	"""Leaves. "	— Листьев. 
60	On the ivy vine. 	На плюще. 
61	When the last one falls I must go, too. 	Когда упадет последний лист, я умру. 
62	I've known that for three days. 	Я это знаю уже три дня. 
63	"Didn't the doctor tell you?"" "	Разве доктор не сказал тебе? 
