	en	ru
0	PROJECT GUTENBERG. Produced by David Widger. The previous edition was updated by Jose Menendez. THE ADVENTURES OF TOM SAWYER                                 BY                             MARK TWAIN                      (Samuel Langhorne Clemens) P R E F A C E 	ПРЕДИСЛОВИЕ 
1	MOST of the adventures recorded in this book really occurred; one or two were experiences of my own, the rest those of boys who were schoolmates of mine. 	Большая часть приключений, о которых рассказано в этой книге, взяты из жизни: одно-два пережиты мною самим, остальные мальчиками, учившимися вместе со мной в школе. 
2	Huck Finn is drawn from life; Tom Sawyer also, but not from an individual--he is a combination of the characteristics of three boys whom I knew, and therefore belongs to the composite order of architecture. 	Гек Финн списан с натуры, Том Сойер также, но не с одного оригинала - он представляет собой комбинацию черт, взятых у трех мальчиков, которых я знал, и потому принадлежит к смешанному архитектурному ордеру. 
3	The odd superstitions touched upon were all prevalent among children and slaves in the West at the period of this story--that is to say, thirty or forty years ago. 	Дикие суеверия, описанные ниже, были распространены среди детей и негров Запада в те времена, то есть тридцать - сорок лет тому назад. 
4	Although my book is intended mainly for the entertainment of boys and girls, I hope it will not be shunned by men and women on that account, for part of my plan has been to try to pleasantly remind adults of what they once were themselves, and of how they felt and thought and talked, and what queer enterprises they sometimes engaged in. 	Хотя моя книга предназначена главным образом для развлечения мальчиков и девочек, я надеюсь, что ею не побрезгуют и взрослые мужчины и женщины, ибо в мои планы входило напомнить им, какими были они сами когда-то, что чувствовали, думали, как разговаривали и в какие странные авантюры иногда ввязывались. 
5	THE AUTHOR. HARTFORD, 1876. 	Хартфорд, 1876 Автор 
6	T O M   S A W Y E R 	ПРИКЛЮЧЕНИЯ ТОМА СОЙЕРА. 
7	CHAPTER I 	ГЛАВА I 
8	"""TOM!"" "	- Том! 
9	No answer. 	Ответа нет. 
10	"""TOM!"" "	- Том! 
11	No answer. 	Ответа нет. 
12	"""What's gone with that boy,  I wonder? "	- Удивительно, куда мог деваться этот мальчишка! 
13	"You TOM!"" "	Том, где ты? 
14	No answer. 	Ответа нет. 
15	The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them. 	Тетя Полли спустила очки на нос и оглядела комнату поверх очков, затем подняла их на лоб и оглядела комнату изпод очков. 
16	"She seldom or never looked THROUGH them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service--she could have seen through a pair of stove-lids just as well. "	Она очень редко, почти никогда не глядела сквозь очки на такую мелочь, как мальчишка; это были парадные очки, ее гордость, приобретенные для красоты, а не для пользы, и что-нибудь разглядеть сквозь них ей было так же трудно, как сквозь пару печных заслонок. 
17	She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear: 	На минуту она растерялась, потом сказала - не очень громко, но так, что мебель в комнате могла ее слышать: 
18	"""Well, I lay if I get hold of you I'll--"" "	- Ну погоди, дай только до тебя добраться... 
19	She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with. 	Не договорив, она нагнулась и стала тыкать щеткой под кровать, переводя дыхание после каждого тычка. 
20	She resurrected nothing but the cat. 	Она не извлекла оттуда ничего, кроме кошки. 
21	"""I never did see the beat of that boy!"" "	- Что за ребенок, в жизни такого не видывала! 
