	en	ru
0	XI.  THE ADVENTURE OF THE BERYL CORONET 	Артур Конан-Дойл Берилловая диадема 
1	“Holmes,” said I as I stood one morning in our bow-window looking down the street, “here is a madman coming along. It seems rather sad that his relatives should allow him to come out alone.” 	— Посмотрите-ка, Холмс, — сказал я. — Какой-то сумасшедший бежит. Не понимаю, как родные отпускают такого без присмотра. 
2	My friend rose lazily from his armchair and stood with his hands in the pockets of his dressing-gown, looking over my shoulder. It was a bright, crisp February morning, and the snow of the day before still lay deep upon the ground, shimmering brightly in the wintry sun. Down the centre of Baker Street it had been ploughed into a brown crumbly band by the traffic, but at either side and on the heaped-up edges of the foot-paths it still lay as white as when it fell. The grey pavement had been cleaned and scraped, but was still dangerously slippery, so that there were fewer passengers than usual. Indeed, from the direction of the Metropolitan Station no one was coming save the single gentleman whose eccentric conduct had drawn my attention. 	Я стоял у сводчатого окна нашей комнаты и глядел вниз, на Бейкер-стрит. Холмс лениво поднялся с кресла, встал у меня за спиной и, засунув руки в карманы халата, взглянул в окно. Было ясное февральское утро. Выпавший вчера снег лежал плотным слоем, сверкая в лучах зимнего солнца. На середине улицы снег превратился в бурую грязную массу, но по обочинам он оставался белым, как будто только что выпал. Хотя тротуары уже очистили, было все же очень скользко, и пешеходов на улице было меньше, чем обычно. Сейчас на улице на всем протяжении от станции подземки до нашего дома находился только один человек. Его эксцентричное поведение и привлекло мое внимание. 
3	He was a man of about fifty, tall, portly, and imposing, with a massive, strongly marked face and a commanding figure. He was dressed in a sombre yet rich style, in black frock-coat, shining hat, neat brown gaiters, and well-cut pearl-grey trousers. Yet his actions were in absurd contrast to the dignity of his dress and features, for he was running hard, with occasional little springs, such as a weary man gives who is little accustomed to set any tax upon his legs. As he ran he jerked his hands up and down, waggled his head, and writhed his face into the most extraordinary contortions. 	Это был мужчина лет пятидесяти, высокий, солидный, с широким энергичным лицом и представительной фигурой. Одет он был богато, но не броско: блестящий цилиндр, темный сюртук из дорогого материала, хорошо сшитые светло-серые брюки и коричневые гетры. Однако все его поведение решительно не соответствовало его внешности и одежде. Он бежал, то и дело подскакивая, как человек, не привыкший к физическим упражнениям, размахивал руками, вертел головой, лицо его искажалось гримасами. 
4	“What on earth can be the matter with him?” I asked. “He is looking up at the numbers of the houses.” 	— Что с ним? — недоумевал я. — Он, кажется, ищет какой-то дом. 
5	“I believe that he is coming here,” said Holmes, rubbing his hands. 	— Я думаю, что он спешит сюда, — сказал Холмс, потирая руки. 
6	“Here?” 	— Сюда? 
7	“Yes; I rather think he is coming to consult me professionally. I think that I recognise the symptoms. Ha! did I not tell you?” As he spoke, the man, puffing and blowing, rushed at our door and pulled at our bell until the whole house resounded with the clanging. 	— Да. Полагаю, ему нужно посоветоваться со мной. Все признаки налицо. Ну, прав я был или нет? В это время незнакомец, тяжело дыша, кинулся к нашей двери и принялся судорожно дергать колокольчик, огласив звоном весь дом. 
8	A few moments later he was in our room, still puffing, still gesticulating, but with so fixed a look of grief and despair in his eyes that our smiles were turned in an instant to horror and pity. For a while he could not get his words out, but swayed his body and plucked at his hair like one who has been driven to the extreme limits of his reason. Then, suddenly springing to his feet, he beat his head against the wall with such force that we both rushed upon him and tore him away to the centre of the room. Sherlock Holmes pushed him down into the easy-chair and, sitting beside him, patted his hand and chatted with him in the easy, soothing tones which he knew so well how to employ. 	Через минуту он вбежал в комнату, едва переводя дух и жестикулируя. В глазах у него затаилось такое горе и отчаяние, что наши улыбки погасли и насмешка уступила место глубокому сочувствию и жалости. Сначала он не мог вымолвить ни слова, только раскачивался взад и вперед и хватал себя за голову, как человек, доведенный до грани сумасшествия. Вдруг он бросился к стене и ударился о нее головой. Мы кинулись к нашему посетителю и оттащили его на середину комнаты. Холмс усадил несчастного в кресло, сам сел напротив и, похлопав его по руке, заговорил так мягко и успокаивающе, как никто, кроме него, не умел. 
9	“You have come to me to tell your story, have you not?” said he. “You are fatigued with your haste. Pray wait until you have recovered yourself, and then I shall be most happy to look into any little problem which you may submit to me.” 	— Вы пришли ко мне, чтобы рассказать, что с вами случилось? — сказал он. — Вы утомились от быстрой ходьбы. Успокойтесь, придите в себя, и я с радостью выслушаю вас, что вы имеете сказать. 
