	en	ru
0	VII.  THE ADVENTURE OF THE BLUE CARBUNCLE   	Артур Конан-Дойл    Голубой карбункул   
1	 I had called upon my friend Sherlock Holmes upon the second morning after Christmas, with the intention of wishing him the compliments of the season. 	 На третий день Рождества зашел я к Шерлоку Холмсу, чтобы поздравить его с праздником. 
2	 He was lounging upon the sofa in a purple dressing-gown, a pipe-rack within his reach upon the right, and a pile of crumpled morning papers, evidently newly studied, near at hand. 	 Он лежал на кушетке в красном халате; по правую руку от него была подставка для трубок, а по левую — груда помятых утренних газет которые он, видимо, только что просматривал. 
3	 Beside the couch was a wooden chair, and on the angle of the back hung a very seedy and disreputable hard-felt hat, much the worse for wear, and cracked in several places. 	 Рядом с кушеткой стоял стул, на его спинке висела сильно поношенная, потерявшая вид фетровая шляпа. 
4	 A lens and a forceps lying upon the seat of the chair suggested that the hat had been suspended in this manner for the purpose of examination.    	 Холмс, должно быть очень внимательно изучал эту шляпу, так как тут же на сиденье стула лежали пинцет и лупа.   
5	“You are engaged,” said I; “perhaps I interrupt you.”    	 — Вы заняты? — сказал я.  — Я вам не помешал?   
6	“Not at all. 	 — Нисколько, — ответил он.  
7	 I am glad to have a friend with whom I can discuss my results. 	— Я рад, что у меня есть друг, с которым я могу обсудить результаты некоторых моих изысканий. 
8	 The matter is a perfectly trivial one”—he jerked his thumb in the direction of the old hat—“but there are points in connection with it which are not entirely devoid of interest and even of instruction.”    	 Дельце весьма заурядное, но с этой вещью, — он ткнул большим пальцем в сторону шляпы, — связаны кое-какие любопытные и даже поучительные события.   
9	I seated myself in his armchair and warmed my hands before his crackling fire, for a sharp frost had set in, and the windows were thick with the ice crystals.  	 Я уселся в кресло и стал греть руки у камина, где потрескивал огонь.  Был сильный мороз; окна покрылись плотными ледяными узорами.   
10	“I suppose,” I remarked, “that, homely as it looks, this thing has some deadly story linked on to it—that it is the clue which will guide you in the solution of some mystery and the punishment of some crime.”    	 — Хотя эта шляпа кажется очень невзрачной, она, должно быть, связана с какой-нибудь кровавой историей, — заметил я.  — Очевидно, она послужит ключом к разгадке страшной тайны, и благодаря ей вам удастся изобличить и наказать преступника.   
11	“No, no.  No crime,” said Sherlock Holmes, laughing.  “Only one of those whimsical little incidents which will happen when you have four million human beings all jostling each other within the space of a few square miles. 	 — Нет, — засмеялся Шерлок Холмс, — тут не преступление, а мелкий, смешной эпизод, который всегда может произойти там, где четыре миллиона человек толкутся на площади в несколько квадратных миль. 
12	 Amid the action and reaction of so dense a swarm of humanity, every possible combination of events may be expected to take place, and many a little problem will be presented which may be striking and bizarre without being criminal. 	 В таком колоссальном человеческом улье возможны любые комбинации событий и фактов, возникает масса незначительных, но загадочных и странных происшествий, хотя ничего преступного в них нет. 
13	 We have already had experience of such.”    	 Нам уже приходилось сталкиваться с подобными случаями.   
14	“So much so,” I remarked, “that of the last six cases which I have added to my notes, three have been entirely free of any legal crime.”    	 — Еще бы! — воскликнул я.  — Из последних шести эпизодов, которыми я пополнил свои записки, три не содержат ничего беззаконного.   
15	“Precisely. 	 — Совершенно верно. 
16	 You allude to my attempt to recover the Irene Adler papers, to the singular case of Miss Mary Sutherland, and to the adventure of the man with the twisted lip. 	 Вы имеете в виду мои попытки обнаружить бумаги Ирен Адлер, интересный случай с мисс Мэри Сазерлэнд и приключения человека с рассеченной губой. 
17	 Well, I have no doubt that this small matter will fall into the same innocent category. 	 Не сомневаюсь, что и это дело окажется столь же невинным. 
18	 You know Peterson, the commissionaire?”    	 Вы знаете Питерсона, посыльного?   
19	“Yes.”    	 — Да.   
20	“It is to him that this trophy belongs.”    	 — Этот трофей принадлежит ему.   
21	“It is his hat.”    	 — Это его шляпа?   
22	“No, no, he found it. 	 — Нет, он нашел ее. 
23	 Its owner is unknown. 	 Владелец ее неизвестен. 
24	 I beg that you will look upon it not as a battered billycock but as an intellectual problem.  And, first, as to how it came here. 	 Я прошу вас рассматривать эту шляпу не как старую рухлядь, а как предмет, таящий в себе серьезную задачу… Однако прежде всего, как эта шляпа попала сюда. 
25	 It arrived upon Christmas morning, in company with a good fat goose, which is, I have no doubt, roasting at this moment in front of Peterson’s fire. 	 Она появилась в первый день Рождества вместе с отличным жирным гусем, который в данный момент наверняка жарится у Питерсона в кухне. 
26	 The facts are these: about four o’clock on Christmas morning, Peterson, who, as you know, is a very honest fellow, was returning from some small jollification and was making his way homeward down Tottenham Court Road. 	 Произошло это так.  На Рождество, в четыре часа утра, Питерсон, человек, как вы знаете, благородный и честный, возвращался с пирушки домой по улице Тоттенхем-Корт- роуд. 
27	 In front of him he saw, in the gaslight, a tallish man, walking with a slight stagger, and carrying a white goose slung over his shoulder. 	 При свете газового фонаря он заметил, что перед ним, слегка пошатываясь, идет какой-то субъект и несет на плече белоснежного гуся. 
28	 As he reached the corner of Goodge Street, a row broke out between this stranger and a little knot of roughs. 	 На углу Гудж-стрит к незнакомцу пристали хулиганы. 
