	en	ru
0	XII.  THE ADVENTURE OF THE COPPER BEECHES 	Артур Конан-Дойл «Медные буки» 
1	“To the man who loves art for its own sake,” remarked Sherlock Holmes, tossing aside the advertisement sheet of the Daily Telegraph, “it is frequently in its least important and lowliest manifestations that the keenest pleasure is to be derived. 	— Человек, который любит искусство ради искусства, — заговорил Шерлок Холмс, отбрасывая в сторону страницу с объявлениями из «Дейли телеграф», — самое большое удовольствие зачастую черпает из наименее значительных и ярких его проявлений. 
2	It is pleasant to me to observe, Watson, that you have so far grasped this truth that in these little records of our cases which you have been good enough to draw up, and, I am bound to say, occasionally to embellish, you have given prominence not so much to the many causes célèbres and sensational trials in which I have figured but rather to those incidents which may have been trivial in themselves, but which have given room for those faculties of deduction and of logical synthesis which I have made my special province.” 	Отрадно заметить, что вы, Уотсон, хорошо усвоили эту истину при изложении наших скромных подвигов, которые по доброте своей вы решились увековечить и, вынужден констатировать, порой пытаетесь приукрашивать, уделяете внимание не столько громким делам и сенсационным процессам, в коих я имел честь принимать участие, сколько случаям самим по себе незначительным, но зато предоставляющим большие возможности для дедуктивных методов мышления и логического синтеза, что особенно меня интересует. 
3	“And yet,” said I, smiling, “I cannot quite hold myself absolved from the charge of sensationalism which has been urged against my records.” 	— Тем не менее, — улыбнулся я, — не смею утверждать, что в моих записках вовсе отсутствует стремление к сенсационности. 
4	“You have erred, perhaps,” he observed, taking up a glowing cinder with the tongs and lighting with it the long cherry-wood pipe which was wont to replace his clay when he was in a disputatious rather than a meditative mood—“you have erred perhaps in attempting to put colour and life into each of your statements instead of confining yourself to the task of placing upon record that severe reasoning from cause to effect which is really the only notable feature about the thing.” 	— Возможно, вы и ошибаетесь, — продолжал он, подхватив щипцами тлеющий уголек и раскуривая длинную трубку вишневого дерева, которая заменяла глиняную в те дни, когда он был настроен скорее спорить, нежели размышлять, — возможно, вы и ошибаетесь, стараясь приукрасить и оживить ваши записки вместо того, чтобы ограничиться сухим анализом причин и следствий, который единственно может вызывать интерес в том или ином деле. 
5	“It seems to me that I have done you full justice in the matter,” I remarked with some coldness, for I was repelled by the egotism which I had more than once observed to be a strong factor in my friend’s singular character. 	— Мне кажется, в своих записках я отдаю вам должное, — несколько холодно возразил я, ибо меня раздражало самомнение моего друга, которое, как я неоднократно убеждался, было весьма приметной чертой в его своеобразном характере. 
6	“No, it is not selfishness or conceit,” said he, answering, as was his wont, my thoughts rather than my words. 	— Нет, это не эгоизм и не тщеславие, — сказал он, отвечая по привычке скорее моим мыслям, чем моим словам. 
7	“If I claim full justice for my art, it is because it is an impersonal thing—a thing beyond myself. 	— Если я прошу отдать должное моему искусству, то это не имеет никакого отношения ко мне лично, оно — вне меня. 
8	Crime is common. 	Преступление — вещь повседневная. 
9	Logic is rare. 	Логика — редкая. 
