	en	ru
0	IX.  THE ADVENTURE OF THE ENGINEER’S THUMB 	Артур Конан-Дойл Палец инженера 
1	Of all the problems which have been submitted to my friend, Mr. Sherlock Holmes, for solution during the years of our intimacy, there were only two which I was the means of introducing to his notice—that of Mr. Hatherley’s thumb, and that of Colonel Warburton’s madness. 	Из всех задач, какие приходилось решать моему другу мистеру Шерлоку Холмсу, мною его вниманию было предложено лишь две, а именно: случай, когда мистер Хэдерли лишился большого пальца, и происшествие с обезумевшим полковником Уорбэртоном. 
2	Of these the latter may have afforded a finer field for an acute and original observer, but the other was so strange in its inception and so dramatic in its details that it may be the more worthy of being placed upon record, even if it gave my friend fewer openings for those deductive methods of reasoning by which he achieved such remarkable results. 	Последняя представляла собой обширное поле деятельности для тонкого и самобытного наблюдателя, зато первая оказалась столь своеобразной и столь драматичной по своим подробностям, что скорее заслуживает изложения в моих записках, хотя и не позволила моему приятелю применить те дедуктивные методы мышления, благодаря которым он неоднократно добивался таких примечательных результатов. 
3	The story has, I believe, been told more than once in the newspapers, but, like all such narratives, its effect is much less striking when set forth en bloc in a single half-column of print than when the facts slowly evolve before your own eyes, and the mystery clears gradually away as each new discovery furnishes a step which leads on to the complete truth. 	Об этой истории, мне помнится, не раз писали газеты, но, как и все подобные события, втиснутая в газетный столбец, она казалась значительно менее увлекательной, нежели тогда, когда ее рассказывал участник событий, и действие как бы медленно развертывалось перед нашими глазами, и мы шаг за шагом проникали в тайну и приближались к истине. 
4	At the time the circumstances made a deep impression upon me, and the lapse of two years has hardly served to weaken the effect. 	В свое время обстоятельства этого дела произвели на меня глубокое впечатление, и прошедшие с тех пор два года ничуть не ослабили этот эффект. 
5	It was in the summer of ’89, not long after my marriage, that the events occurred which I am now about to summarise. 	События, о которых я хочу рассказать, произошли летом 1889 года, вскоре после моей женитьбы. 
6	I had returned to civil practice and had finally abandoned Holmes in his Baker Street rooms, although I continually visited him and occasionally even persuaded him to forgo his Bohemian habits so far as to come and visit us. 	Я снова занялся врачебной практикой и навсегда распрощался с квартирой на Бейкер-стрит, хотя часто навещал Холмса и время от времени даже убеждал отказаться от богемных привычек и почаще приходить к нам. 
7	My practice had steadily increased, and as I happened to live at no very great distance from Paddington Station, I got a few patients from among the officials. 	Практика моя неуклонно росла, а поскольку я жил неподалеку от Паддингтона, то среди пациентов у меня было несколько служащих этого вокзала. 
8	One of these, whom I had cured of a painful and lingering disease, was never weary of advertising my virtues and of endeavouring to send me on every sufferer over whom he might have any influence. 	Один из них, которого мне удалось вылечить от тяжелой, изнурительной болезни, без устали рекламировал мои достоинства и посылал ко мне каждого страждущего, кого он был способен уговорить обратиться к врачу. 
9	One morning, at a little before seven o’clock, I was awakened by the maid tapping at the door to announce that two men had come from Paddington and were waiting in the consulting-room. 	Однажды утром, часов около семи, меня разбудила, постучав в дверь, наша служанка. Она сказала, что с Паддингтона пришли двое мужчин и ждут меня в кабинете. 
10	I dressed hurriedly, for I knew by experience that railway cases were seldom trivial, and hastened downstairs. 	Я быстро оделся, зная по опыту, что несчастные случаи на железной дороге редко бывают пустячными, и сбежал вниз. 
11	As I descended, my old ally, the guard, came out of the room and closed the door tightly behind him. 	Из приемной, плотно прикрыв за собой дверь, вышел мой старый пациент — кондуктор. 
12	“I’ve got him here,” he whispered, jerking his thumb over his shoulder; “he’s all right.” 	— Он здесь, — прошептал он, указывая на дверь. — Все в порядке. 
13	“What is it, then?” 	— Кто? — не понял я. 
14	I asked, for his manner suggested that it was some strange creature which he had caged up in my room. 	По его шепоту можно было подумать, что он запер у меня в кабинете какое-то необыкновенное существо. 
15	“It’s a new patient,” he whispered. 	— Новый пациент, — так же шепотом продолжал он. 
16	“I thought I’d bring him round myself; then he couldn’t slip away. 	— Я решил, что лучше сам приведу его, тогда ему не сбежать. 
