	en	ru
0	ADVENTURE  V.  THE FIVE ORANGE PIPS 	Артур Конан-Дойл Пять зернышек апельсина 
1	When I glance over my notes and records of the Sherlock Holmes cases between the years ’82 and ’90, I am faced by so many which present strange and interesting features that it is no easy matter to know which to choose and which to leave. Some, however, have already gained publicity through the papers, and others have not offered a field for those peculiar qualities which my friend possessed in so high a degree, and which it is the object of these papers to illustrate. Some, too, have baffled his analytical skill, and would be, as narratives, beginnings without an ending, while others have been but partially cleared up, and have their explanations founded rather upon conjecture and surmise than on that absolute logical proof which was so dear to him. There is, however, one of these last which was so remarkable in its details and so startling in its results that I am tempted to give some account of it in spite of the fact that there are points in connection with it which never have been, and probably never will be, entirely cleared up. 	Когда я просматриваю мои заметки о Шерлоке Холмсе за годы от 1882 до 1890, я нахожу так много удивительно интересных дел, что просто не знаю, какие выбрать. Однако одни из них уже известны публике из газет, а другие не дают возможности показать во всем блеске те своеобразные качества, которыми мой друг обладал в такой высокой степени. Все же одно из этих дел было так замечательно по своим подробностям и так неожиданно по результатам, что мне хотелось бы рассказать о нем, хотя с ним связаны такие обстоятельства, которые, по всей вероятности, никогда не будут полностью выяснены. 
2	The year ’87 furnished us with a long series of cases of greater or less interest, of which I retain the records. Among my headings under this one twelve months I find an account of the adventure of the Paradol Chamber, of the Amateur Mendicant Society, who held a luxurious club in the lower vault of a furniture warehouse, of the facts connected with the loss of the British barque Sophy Anderson, of the singular adventures of the Grice Patersons in the island of Uffa, and finally of the Camberwell poisoning case. In the latter, as may be remembered, Sherlock Holmes was able, by winding up the dead man’s watch, to prove that it had been wound up two hours before, and that therefore the deceased had gone to bed within that time—a deduction which was of the greatest importance in clearing up the case. All these I may sketch out at some future date, but none of them present such singular features as the strange train of circumstances which I have now taken up my pen to describe. 	1887 год принес длинный ряд более или менее интересных дел. Все они записаны мною. Среди них — рассказ о «Парадол-чэмбер», Обществе Нищих-любителей, которое имело роскошный клуб в подвальном этаже большого мебельного магазина; отчет о фактах, связанных с гибелью британского судна «Софи Эндерсон»; рассказ о странных приключениях Грайса Петерсона на острове Юффа и, наконец, записки, относящиеся к Кемберуэльскому делу об отравлении. В последнем деле Шерлоку Холмсу удалось путем исследования механизма часов, найденных на убитом, доказать, что часы были заведены за два часа до смерти и поэтому покойный лег спать в пределах этого времени, — вывод, который помог обнаружить преступника. Все эти дела я, может быть, опишу когда-нибудь позже, но ни одно из них не обладает такими своеобразными чертами, как те необычайные события, которые я намерен сейчас изложить. 
3	It was in the latter days of September, and the equinoctial gales had set in with exceptional violence. All day the wind had screamed and the rain had beaten against the windows, so that even here in the heart of great, hand-made London we were forced to raise our minds for the instant from the routine of life and to recognise the presence of those great elemental forces which shriek at mankind through the bars of his civilisation, like untamed beasts in a cage. As evening drew in, the storm grew higher and louder, and the wind cried and sobbed like a child in the chimney. Sherlock Holmes sat moodily at one side of the fireplace cross-indexing his records of crime, while I at the other was deep in one of Clark Russell’s fine sea-stories until the howl of the gale from without seemed to blend with the text, and the splash of the rain to lengthen out into the long swash of the sea waves. My wife was on a visit to her mother’s, and for a few days I was a dweller once more in my old quarters at Baker Street. 	Был конец сентября, и осенние бури свирепствовали с неслыханной яростью. Целый день завывал ветер, и дождь барабанил в окна так, что даже здесь, в самом сердце огромного Лондона, мы невольно отрывались на миг от привычного течения жизни и ощущали присутствие грозных сил разбушевавшейся стихии. К вечеру буря разыгралась сильнее; ветер в трубе плакал и всхлипывал, как ребенок. Шерлок Холмс был мрачен. Он расположился у камина и приводил в порядок свою картотеку преступлений, а я, сидя против него, так углубился в чтение прелестных морских рассказов Кларка Рассела, что завывание бури слилось в моем сознании с текстом, а шум дождя стал казаться мне рокотом морских волн. Моя жена гостила у тетки, и я на несколько дней устроился в нашей старой квартире на Бейкер-стрит. 
4	“Why,” said I, glancing up at my companion, “that was surely the bell. Who could come to-night? Some friend of yours, perhaps?” 	— Послушайте, — сказал я, взглянув на Холмса, — это звонок. Кто же может прийти сегодня? Кто-нибудь из ваших друзей? 
5	“Except yourself I have none,” he answered. “I do not encourage visitors.” 	— Кроме вас, у меня нет друзей, — ответил Холмс. — А гости ко мне не ходят. 
6	“A client, then?” 	— Может быть, клиент? 
7	“If so, it is a serious case. Nothing less would bring a man out on such a day and at such an hour. But I take it that it is more likely to be some crony of the landlady’s.” 	— Если так, то дело должно быть очень серьезное. Что другое заставит человека выйти на улицу в такой день и в такой час? Но скорее всего это какая-нибудь кумушка, приятельница нашей квартирной хозяйки. 
8	Sherlock Holmes was wrong in his conjecture, however, for there came a step in the passage and a tapping at the door. He stretched out his long arm to turn the lamp away from himself and towards the vacant chair upon which a newcomer must sit. 	Однако Холмс ошибся, потому что послышались шаги в прихожей и стук в нашу дверь. Холмс протянул свою длинную руку и повернул лампу от себя так, чтобы осветить пустое кресло, предназначенное для посетителя. 
9	“Come in!” said he. 	— Войдите! — сказал он. 
