	en	ru
0	ADVENTURE  I. 	Артур Конан-Дойл    
1	  A SCANDAL IN BOHEMIA   	Скандал в Богемии    
2	I.   	I    
3	 To Sherlock Holmes she is always the woman. 	  Для Шерлока Холмса она всегда оставалась  «Этой Женщиной». 
4	 I have seldom heard him mention her under any other name. 	 Я редко слышал, чтобы он называл ее каким-либо другим именем. 
5	 In his eyes she eclipses and predominates the whole of her sex. 	 В его глазах она затмевала всех представительниц своего пола. 
6	 It was not that he felt any emotion akin to love for Irene Adler. 	 Не то чтобы он испытывал к Ирэн Адлер какое-либо чувство, близкое к любви. 
7	 All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind. 	 Все чувства, и особенно любовь, были ненавистны его холодному, точному, но удивительно уравновешенному уму. 
8	 He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position. 	 По-моему, он был самой совершенной мыслящей и наблюдающей машиной, какую когда-либо видел мир; но в качестве влюбленного он оказался бы не на своем месте. 
9	 He never spoke of the softer passions, save with a gibe and a sneer. 	 Он всегда говорил о нежных чувствах не иначе, как с презрительной насмешкой, с издевкой. 
10	 They were admirable things for the observer—excellent for drawing the veil from men’s motives and actions. 	 Нежные чувства были в его глазах великолепным объектом для наблюдения, превосходным средством сорвать покров с человеческих побуждений и дел. 
11	 But for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results. 	 Но для изощренного мыслителя допустить такое вторжение чувства в свой утонченный и великолепно налаженный внутренний мир означало бы внести туда смятение, которое свело бы на нет все завоевания его мысли. 
12	 Grit in a sensitive instrument, or a crack in one of his own high-power lenses, would not be more disturbing than a strong emotion in a nature such as his. 	 Песчинка, попавшая в чувствительный инструмент, или трещина в одной из его могучих линз — вот что такое была бы любовь для такого человека, как Холмс. 
13	 And yet there was but one woman to him, and that woman was the late Irene Adler, of dubious and questionable memory.    	 И все же для него существовала одна женщина, и этой женщиной была покойная Ирэн Адлер, особа весьма и весьма сомнительной репутации.    
14	I had seen little of Holmes lately.  My marriage had drifted us away from each other. 	За последнее время я редко виделся с Холмсом — моя женитьба отдалила нас друг от друга. 
15	 My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes, who loathed every form of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature. 	 Моего личного безоблачного счастья и чисто семейных интересов, которые возникают у человека, когда он впервые становится господином собственного домашнего очага, было достаточно, чтобы поглотить все мое внимание.  Между тем Холмс, ненавидевший своей цыганской душой всякую форму светской жизни, оставался жить в нашей квартире на Бейкер-стрит, окруженный грудами своих старых книг, чередуя недели увлечения кокаином с приступами честолюбия, дремотное состояние наркомана — с дикой энергией, присущей его натуре.    
16	 He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police. 	Как и прежде, он был глубоко увлечен расследованием преступлений.  Он отдавал свои огромные способности и необычайный дар наблюдательности поискам нитей к выяснению тех тайн, которые официальной полицией были признаны непостижимыми. 
17	 From time to time I heard some vague account of his doings: of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of Holland. 	 Время от времени до меня доходили смутные слухи о его делах: о том, что его вызывали в Одессу в связи с убийством Трепова, о том, что ему удалось пролить свет на загадочную трагедию братьев Аткинсон в Тринкомали, и, наконец, о поручении голландского королевского дома, выполненном им исключительно тонко и удачно.    
18	 Beyond these signs of his activity, however, which I merely shared with all the readers of the daily press, I knew little of my former friend and companion.    	Однако, помимо этих сведений о его деятельности, которые я так же, как и все читатели, черпал из газет, я мало знал о моем прежнем друге и товарище.    
19	One night—it was on the twentieth of March, 1888—I was returning from a journey to a patient (for I had now returned to civil practice), when my way led me through Baker Street. 	Однажды ночью — это было 20 марта 1888 года — я возвращался от пациента (так как теперь я вновь занялся частной практикой), и мой путь привел меня на Бейкер-стрит. 
