	en	ru
0	ADVENTURE  II.  THE RED-HEADED LEAGUE 	Артур Конан-Дойл Союз рыжих 
1	I had called upon my friend, Mr. Sherlock Holmes, one day in the autumn of last year and found him in deep conversation with a very stout, florid-faced, elderly gentleman with fiery red hair. With an apology for my intrusion, I was about to withdraw when Holmes pulled me abruptly into the room and closed the door behind me. 	Это было осенью прошлого года. У Шерлока Холмса сидел какой-то пожилой джентльмен, очень полный, огненно-рыжий. Я хотел было войти, но увидел, что оба они увлечены разговором, и поспешил удалиться. Однако Холмс втащил меня в комнату и закрыл за мной дверь. 
2	“You could not possibly have come at a better time, my dear Watson,” he said cordially. 	— Вы пришли как нельзя более кстати, мой дорогой Уотсон, — приветливо проговорил он. 
3	“I was afraid that you were engaged.” 	— Я боялся вам помешать. Мне показалось, что вы заняты. 
4	“So I am. Very much so.” 	— Да, я занят. И даже очень. 
5	“Then I can wait in the next room.” 	— Не лучше ли мне подождать в другой комнате? 
6	“Not at all. This gentleman, Mr. Wilson, has been my partner and helper in many of my most successful cases, and I have no doubt that he will be of the utmost use to me in yours also.” 	— Нет, нет… Мистер Уилсон, — сказал он, обращаясь к толстяку, — этот джентльмен не раз оказывал мне дружескую помощь во многих моих наиболее удачных исследованиях. Не сомневаюсь, что и в вашем деле он будет мне очень полезен. 
7	The stout gentleman half rose from his chair and gave a bob of greeting, with a quick little questioning glance from his small fat-encircled eyes. 	Толстяк привстал со стула и кивнул мне головой; его маленькие, заплывшие жиром глазки пытливо оглядели меня. 
8	“Try the settee,” said Holmes, relapsing into his armchair and putting his fingertips together, as was his custom when in judicial moods. “I know, my dear Watson, that you share my love of all that is bizarre and outside the conventions and humdrum routine of everyday life. You have shown your relish for it by the enthusiasm which has prompted you to chronicle, and, if you will excuse my saying so, somewhat to embellish so many of my own little adventures.” 	— Садитесь сюда, на диван, — сказал Холмс. Он опустился в кресло и, как всегда в минуты задумчивости, сложил концы пальцев обеих рук вместе. — Я знаю, мой дорогой Уотсон, — сказал он, — что вы разделяете мою любовь ко всему необычному, ко всему, что нарушает однообразие нашей будничной жизни. Если бы у вас не было этой любви к необыкновенным событиям, вы не стали бы с таким энтузиазмом записывать скромные мои приключения… причем по совести должен сказать, что иные из ваших рассказов изображают мою деятельность в несколько приукрашенном виде. 
9	“Your cases have indeed been of the greatest interest to me,” I observed. 	— Право же, ваши приключения всегда казались мне такими интересными, — возразил я. 
