	en	ru
0	ADVENTURE IV. THE BOSCOMBE VALLEY MYSTERY   	Артур Конан-Дойл   
1	 We were seated at breakfast one morning, my wife and I, when the maid brought in a telegram. 	 Тайна Боскомской долины   
2	 It was from Sherlock Holmes and ran in this way:    	 Однажды утром, когда мы с женой завтракали, горничная подала мне телеграмму от Шерлока Холмса:   
3	“Have you a couple of days to spare? 	   «Не можете ли вы освободиться на два дня? 
4	 Have just been wired for from the west of England in connection with Boscombe Valley tragedy. 	 Вызван на запад Англии связи трагедией Боскомской долине. 
5	 Shall be glad if you will come with me. 	 Буду рад если присоединитесь ко мне. 
6	 Air and scenery perfect. 	 Воздух пейзаж великолепны. 
7	 Leave Paddington by the 11:15.”    	 Выезжайте Паддингтона 11.15».   
8	“What do you say, dear?” said my wife, looking across at me.  “Will you go?”    	   — Ты поедешь? — ласково взглянув на меня, спросила жена.   
9	“I really don’t know what to say. 	 — Право, и сам не знаю. 
10	 I have a fairly long list at present.”    	 Сейчас у меня очень много пациентов…   
11	“Oh, Anstruther would do your work for you. 	 — О, Анструзер всех их примет! 
12	 You have been looking a little pale lately. 	 Последнее время у тебя утомленный вид. 
13	 I think that the change would do you good, and you are always so interested in Mr. Sherlock Holmes’ cases.”    “I should be ungrateful if I were not, seeing what I gained through one of them,” I answered.  “But if I am to go, I must pack at once, for I have only half an hour.”    	 Поездка пойдет тебе на пользу.  И ты всегда так интересуешься каждым делом, за которое берется мистер Шерлок Холмс.   
14	My experience of camp life in Afghanistan had at least had the effect of making me a prompt and ready traveller. 	 Мой опыт лагерной жизни в Афганистане имел по крайней мере то преимущество, что я стал закаленным и легким на подъем путешественником. 
15	 My wants were few and simple, so that in less than the time stated I was in a cab with my valise, rattling away to Paddington Station. 	 Вещей у меня было немного, так что я сел со своим саквояжем в кэб гораздо раньше, чем рассчитывал, и помчался на Паддингтонский вокзал.   
16	 Sherlock Holmes was pacing up and down the platform, his tall, gaunt figure made even gaunter and taller by his long grey travelling-cloak and close-fitting cloth cap.    	 Шерлок Холмс ходил вдоль платформы; его серый дорожный костюм и суконное кепи делали его худую, высокую фигуру еще более худой и высокой.   
17	“It is really very good of you to come, Watson,” said he.  	 — Вот чудесно, что вы пришли, Уотсон, — сказал он.  
18	“It makes a considerable difference to me, having someone with me on whom I can thoroughly rely. 	— Совсем другое дело, когда рядом со мной человек, на которого можно вполне положиться. 
19	 Local aid is always either worthless or else biassed. 	 Местная полиция или совсем бездействует, или идет по ложному следу. 
20	 If you will keep the two corner seats I shall get the tickets.”    	 Займите два угловых места, а я пойду за билетами.   
21	We had the carriage to ourselves save for an immense litter of papers which Holmes had brought with him.  Among these he rummaged and read, with intervals of note-taking and of meditation, until we were past Reading. 	 Мы сели в купе.  Холмс принялся читать газеты, которые он принес с собой; иногда он отрывался, чтобы записать что-то и обдумать.    Так мы доехали до Рэдинга. 
22	 Then he suddenly rolled them all into a gigantic ball and tossed them up onto the rack.    	 Неожиданно он смял все газеты в огромный ком и забросил его в багажную сетку.   
23	“Have you heard anything of the case?” he asked.    	 — Вы слышали что-нибудь об этом деле? — спросил он.   
24	“Not a word. 	 — Ни слова. 
25	 I have not seen a paper for some days.”    	 Я несколько дней не заглядывал в газеты.   
26	“The London press has not had very full accounts. 	 — Лондонская печать не помещала особенно подробных отчетов. 
27	 I have just been looking through all the recent papers in order to master the particulars. 	 Я только что просмотрел все последние газеты, чтобы вникнуть в подробности. 
28	 It seems, from what I gather, to be one of those simple cases which are so extremely difficult.”    	 Это, кажется, один из тех несложных случаев, которые всегда так трудны.   
29	“That sounds a little paradoxical.”    	 — Ваши слова звучат несколько парадоксально.   
30	“But it is profoundly true. 	 — Но это сама правда. 
31	 Singularity is almost invariably a clue. 	 В необычности почти всегда ключ к разгадке тайны. 
32	 The more featureless and commonplace a crime is, the more difficult it is to bring it home.  In this case, however, they have established a very serious case against the son of the murdered man.”    	 Чем проще преступление, тем труднее докопаться до истины… Как бы то ни было, в данном случае выдвинуто очень серьезное обвинение против сына убитого.   
33	“It is a murder, then?”    	 — Значит, это убийство?   
34	“Well, it is conjectured to be so. 	 — Ну, так предполагают. 
35	 I shall take nothing for granted until I have the opportunity of looking personally into it. 	 Я ничего не берусь утверждать, пока сам не ознакомлюсь с делом. 
36	 I will explain the state of things to you, as far as I have been able to understand it, in a very few words.    	 В нескольких словах я объясню вам положение вещей, каким оно мне представляется…   
37	“Boscombe Valley is a country district not very far from Ross, in Herefordshire. 	 Боскомская долина — это сельская местность вблизи Росса, в Хирфордшире. 
38	 The largest landed proprietor in that part is a Mr. John Turner, who made his money in Australia and returned some years ago to the old country. 	 Самый крупный землевладелец в тех краях — мистер Джон Тэнер.  Он составил себе капитал в Австралии и несколько лет назад вернулся на родину. 
39	 One of the farms which he held, that of Hatherley, was let to Mr. Charles McCarthy, who was also an ex-Australian. 	 Одну из своих ферм, Хазерлей, он сдал в аренду мистеру Чарлзу Маккарти, тоже приехавшему их Австралии. 
40	 The men had known each other in the colonies, so that it was not unnatural that when they came to settle down they should do so as near each other as possible. 	 Они познакомились в колониях, и ничего странного не было в том, что, переехав на новое место, они поселились как можно ближе друг к другу. 
