	en	ru
0	ADVENTURE  VI.  THE MAN WITH THE TWISTED LIP 	Артур Конан-Дойл Человек с рассеченной губой 
1	Isa Whitney, brother of the late Elias Whitney, D.D., Principal of the Theological College of St. George’s, was much addicted to opium. The habit grew upon him, as I understand, from some foolish freak when he was at college; for having read De Quincey’s description of his dreams and sensations, he had drenched his tobacco with laudanum in an attempt to produce the same effects. He found, as so many more have done, that the practice is easier to attain than to get rid of, and for many years he continued to be a slave to the drug, an object of mingled horror and pity to his friends and relatives. I can see him now, with yellow, pasty face, drooping lids, and pin-point pupils, all huddled in a chair, the wreck and ruin of a noble man. 	Айза Уитни приучился курить опий. Еще в колледже, прочитав книгу де Куинси, в которой описываются сны и ощущения курильщика опия, он начал подмешивать опий к своему табаку, чтобы пережить то, что пережил этот писатель. Как и многие другие, он скоро убедился, что начать курить гораздо легче, чем бросить, и в продолжение многих лет был рабом своей страсти, внушая сожаление и ужас всем своим друзьям. Я так и вижу перед собой его желтое, одутловатое лицо, его глаза с набрякшими веками и сузившимися зрачками, его тело, бессильно лежащее в кресле,- жалкие развалины человека. 
2	One night—it was in June, ’89—there came a ring to my bell, about the hour when a man gives his first yawn and glances at the clock. I sat up in my chair, and my wife laid her needle-work down in her lap and made a little face of disappointment. 	Однажды вечером, в июне 1889 года, как раз в то время, когда начинаешь уже зевать и посматривать на часы, в квартире моей раздался звонок. Я выпрямился в кресле, а жена, опустив свое шитье на колени, недовольно поморщилась. 
3	“A patient!” said she. “You’ll have to go out.” 	— Пациент! — сказала она. — Тебе придется идти к больному. 
4	I groaned, for I was newly come back from a weary day. 	Я вздохнул, потому что незадолго до этого вернулся домой после целого дня утомительной работы. 
5	We heard the door open, a few hurried words, and then quick steps upon the linoleum. Our own door flew open, and a lady, clad in some dark-coloured stuff, with a black veil, entered the room. 	Мы услышали шум отворяемой двери и чьи-то торопливые шаги в коридоре. Дверь нашей комнаты распахнулась, и вошла дама в темном платье, с черной вуалью на лице. 
6	“You will excuse my calling so late,” she began, and then, suddenly losing her self-control, she ran forward, threw her arms about my wife’s neck, and sobbed upon her shoulder. “Oh, I’m in such trouble!” she cried; “I do so want a little help.” 	— Извините, что я ворвалась так поздно, — начала она и вдруг, потеряв самообладание, бросилась к моей жене, обняла ее и зарыдала у нее на плече. — Ох, у меня такое горе! — воскликнула она. — Мне так нужна помощь! 
7	“Why,” said my wife, pulling up her veil, “it is Kate Whitney. How you startled me, Kate! I had not an idea who you were when you came in.” 	— Да ведь это Кэт Уитни, — сказала жена, приподняв ее вуаль. — Как ты испугала меня, Кэт! Мне и в голову не пришло, что это ты. 
8	“I didn’t know what to do, so I came straight to you.” That was always the way. Folk who were in grief came to my wife like birds to a light-house. 	— Я обращаюсь к тебе, потому что не знаю, что делать. Это было обычным явлением. Люди, с которыми случалась беда, устремлялись к моей жене, как птицы к маяку. 
9	“It was very sweet of you to come. Now, you must have some wine and water, and sit here comfortably and tell us all about it. Or should you rather that I sent James off to bed?” 	— И правильно поступила. Садись поудобнее, выпей вина с водой и рассказывай, что случилось. Может быть, ты хочешь, чтобы я отправила Джеймса спать? 
10	“Oh, no, no! I want the doctor’s advice and help, too. It’s about Isa. He has not been home for two days. I am so frightened about him!” 	— О нет, нет! От доктора я тоже жду совета и помощи. Дело идет об Айзе. Вот уже два дня, как его нет дома. Я так боюсь за него! 
11	It was not the first time that she had spoken to us of her husband’s trouble, to me as a doctor, to my wife as an old friend and school companion. We soothed and comforted her by such words as we could find. Did she know where her husband was? Was it possible that we could bring him back to her? 	Не в первый раз беседовала она с нами о своем несчастном муже — со мной как с доктором, а с женой как со своей старой школьной подругой. Мы утешали и успокаивали ее как могли. Знает ли она, где находится ее муж? Нельзя ли съездить за ним и привезти его домой? 
