	en	ru
0	The Adventure of the Six Napoleons. 	Артур Конан Дойл Шесть Наполеонов 
1	IT was no very unusual thing for Mr. Lestrade, of Scotland Yard, to look in upon us of an evening, and his visits were welcome to Sherlock Holmes, for they enabled him to keep in touch with all that was going on at the police head-quarters. In return for the news which Lestrade would bring, Holmes was always ready to listen with attention to the details of any case upon which the detective was engaged, and was able occasionally, without any active interference, to give some hint or suggestion drawn from his own vast knowledge and experience. 	Мистер Лестрейд, сыщик из Скотленд-Ярда, нередко навещал нас по вечерам. Шерлоку Холмсу были приятны его посещения. Лестрейд приносил всевозможные полицейские новости, а Холмс в благодарность за это охотно выслушивал подробные рассказы о тех делах, которые были поручены сыщику, и как бы невзначай давал ему советы, черпая их из сокровищницы своего опыта и обширных познаний. 
2	On this particular evening Lestrade had spoken of the weather and the newspapers. 	Но в этот вечер Лестрейд говорил только о погоде и о газетных известиях. 
3	Then he had fallen silent, puffing thoughtfully at his cigar. 	Потом он вдруг умолк и стал задумчиво сдувать пепел с сигары. 
4	Holmes looked keenly at him. 	Холмс пристально посмотрел на него: 
5	"""Anything remarkable on hand?"" he asked. "	– У вас есть для меня какое-то интересное дело? 
6	"""Oh, no, Mr. Holmes, nothing very particular."" "	– О нет, мистер Холмс, ничего интересного! 
7	"""Then tell me about it."" "	– В таком случае расскажите. 
8	Lestrade laughed. 	Лестрейд рассмеялся: 
9	"""Well, Mr. Holmes, there is no use denying that there IS something on my mind. "	– От вас ничего не скроешь, мистер Холмс. 
10	And yet it is such an absurd business that I hesitated to bother you about it. 	У меня действительно есть на примете один случай, но такой пустяковый, что я не хотел утруждать вас. 
11	On the other hand, although it is trivial, it is undoubtedly queer, and I know that you have a taste for all that is out of the common. 	Впрочем, пустяк-то пустяк, однако довольно странный пустяк, а я знаю, что вас особенно тянет ко всему необычному. 
12	"But in my opinion it comes more in Dr. Watson's line than ours."" "	Хотя, по правде сказать, это дело, скорее всего, должно бы занимать доктора Уотсона, а не нас с вами. 
13	"""Disease?"" said I. "	– Болезнь? – спросил я. 
14	"""Madness, anyhow. "	– Сумасшествие. 
15	And a queer madness too! 	И притом довольно странное сумасшествие. 
16	"You wouldn't think there was anyone living at this time of day who had such a hatred of Napoleon the First that he would break any image of him that he could see."" "	Трудно представить себе человека, который, живя в наше время, до такой степени ненавидит Наполеона Первого, что истребляет каждое его изображение, какое попадается на глаза. 
17	Holmes sank back in his chair. 	Холмс откинулся на спинку кресла: 
18	"""That's no business of mine,"" said he. "	– Это дело не по моей части. 
19	"""Exactly. That's what I said. "	– Вот-вот, я так и говорил. 
20	"But then, when the man commits burglary in order to break images which are not his own, that brings it away from the doctor and on to the policeman."" "	Впрочем, если человек этот совершает кражу со взломом и если те изображения Наполеона, которые он истребляет, принадлежат не ему, а другим, он из рук доктора попадает опять-таки к нам. 
21	Holmes sat up again. 	Холмс выпрямился снова: 
22	"""Burglary! "	– Кража со взломом! 
23	This is more interesting. 	Это куда любопытнее. 
24	"Let me hear the details."" "	Расскажите же мне все до малейшей подробности. 
25	Lestrade took out his official note-book and refreshed his memory from its pages. 	Лестрейд вытащил служебную записную книжку и перелистал ее, чтобы освежить свою память. 
26	"""The first case reported was four days ago,"" said he. ""It was at the shop of Morse Hudson, who has a place for the sale of pictures and statues in the Kennington Road. "	– О первом случае нам сообщили четыре дня назад, – сказал он. – Случай этот произошел в лавке Морза Хэдсона, который торгует картинами и статуями на Кеннингтон-роуд. 
27	The assistant had left the front shop for an instant when he heard a crash, and hurrying in he found a plaster bust of Napoleon, which stood with several other works of art upon the counter, lying shivered into fragments. 	Приказчик на минуту вышел из магазина и вдруг услышал какой-то треск. Он поспешил назад и увидел, что гипсовый бюст Наполеона, стоявший на прилавке вместе с другими произведениями искусства, лежит на полу, разбитый вдребезги. 
