	en	ru
0	A Farewell To Arms Ernest Hemingway 	Эрнест Хемингуэй «Прощай, оружие!» 
1	BOOK ONE 	КНИГА ПЕРВАЯ 
2	1 	Глава первая 
3	In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. 	В тот год поздним летом мы стояли в деревне, в домике, откуда видны были река и равнина, а за ними горы. 
4	In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. 	Русло реки устилали голыш и галька, сухие и белые на солнце, а вода была прозрачная и быстрая и совсем голубая в протоках. 
5	Troops went by the house and down the road and the dust they raised powdered the leaves of the trees. 	По дороге мимо домика шли войска, и пыль, которую они поднимали, садилась на листья деревьев. 
6	The trunks of the trees too were dusty and the leaves fell early that year and we saw the troops marching along the road and the dust rising and leaves, stirred by the breeze, falling and the soldiers marching and afterward the road bare and white except for the leaves. 	Стволы деревьев тоже были покрыты пылью, и листья рано начали опадать в тот год, и мы смотрели, как идут по дороге войска, и клубится пыль, и падают листья, подхваченные ветром, и шагают солдаты, а потом только листья остаются лежать на дороге, пустой и белой. 
7	The plain was rich with crops; there were many orchards of fruit trees and beyond the plain the mountains were brown and bare. 	Равнина была плодородна, на ней было много фруктовых садов, а горы за равниной были бурые и голые. 
8	There was fighting in the mountains and at night we could see the flashes from the artillery. 	В горах шли бои, и по ночам видны были вспышки разрывов. 
9	In the dark it was like summer lightning, but the nights were cool and there was not the feeling of a storm coming. 	В темноте это напоминало зарницы; только ночи были прохладные, и в воздухе не чувствовалось приближения грозы. 
10	Sometimes in the dark we heard the troops marching under the window and guns going past pulled by motor-tractors. 	Иногда в темноте мы слышали, как под нашими окнами проходят войска и тягачи везут мимо нас орудия. 
11	There was much traffic at night and many mules on the roads with boxes of ammunition on each side of their pack-saddles and gray motor trucks that carried men, and other trucks with loads covered with canvas that moved slower in the traffic. 	Ночью движение на дороге усиливалось, шло много мулов с ящиками боеприпасов по обе стороны вьючного седла, ехали серые грузовики, в которых сидели солдаты, и другие, с грузом под брезентовой покрышкой, подвигавшиеся вперед не так быстро. 
12	There were big guns too that passed in the day drawn by tractors, the long barrels of the guns covered with green branches and green leafy branches and vines laid over the tractors. 	Днем тоже проезжали тягачи с тяжелыми орудиями на прицепе, длинные тела орудий были прикрыты зелеными ветками, и поверх тягачей лежали зеленые густые ветки и виноградные лозы. 
13	To the north we could look across a valley and see a forest of chestnut trees and behind it another mountain on this side of the river. 	К северу от нас была долина, а за нею каштановая роща и дальше еще одна гора, на нашем берегу реки. 
14	There was fighting for that mountain too, but it was not successful, and in the fall when the rains came the leaves all fell from the chestnut trees and the branches were bare and the trunks black with rain. 	Ту гору тоже пытались взять, но безуспешно, и осенью, когда начались дожди, с каштанов облетели все листья, и ветки оголились, и стволы почернели от дождя. 
15	The vineyards were thin and bare-branched too and all the country wet and brown and dead with the autumn. 	Виноградники тоже поредели и оголились, и все кругом было мокрое, и бурое, и мертвое по-осеннему. 
16	There were mists over the river and clouds on the mountain and the trucks splashed mud on the road and the troops were muddy and wet in their capes; their rifles were wet and under their capes the two leather cartridge-boxes on the front of the belts, gray leather boxes heavy with the packs of clips of thin, long 6.5 mm. cartridges, bulged forward under the capes so that the men, passing on the road, marched as though they were six months gone with child. 	Над рекой стояли туманы, и на горы наползали облака, и грузовики разбрызгивали грязь на дороге, и солдаты шли грязные и мокрые в своих плащах; винтовки у них были мокрые, и две кожаные патронные сумки на поясе, серые кожаные сумки, тяжелые от обойм с тонкими 6,5-миллиметровыми патронами, торчали спереди под плащами так, что казалось, будто солдаты, идущие по дороге, беременны на шестом месяце. 
17	There were small gray motor cars that passed going very fast; usually there was an officer on the seat with the driver and more officers in the back seat. 	Проезжали маленькие серые легковые машины, которые шли очень быстро; обычно рядом с шофером сидел офицер, и еще офицеры сидели сзади. 
18	They splashed more mud than the camions even and if one of the officers in the back was very small and sitting between two generals, he himself so small that you could not see his face but only the top of his cap and his narrow back, and if the car went especially fast it was probably the King. 	Эти машины разбрызгивали грязь сильней, чем грузовики, и если один из офицеров был очень мал ростом и сидел сзади между двумя генералами, и оттого что он был так мал, лицо его не было видно, а только верх кепи и узкая спина, и если машина шла особенно быстро, – это, вероятно, был король. 
19	He lived in Udine and came out in this way nearly every day to see how things were going, and things went very badly. 	Он жил в Удине и почти каждый день ездил этой дорогой посмотреть, как идут дела, а дела шли очень плохо. 
20	At the start of the winter came the permanent rain and with the rain came the cholera. 	С приходом зимы начались сплошные дожди, а с дождями началась холера. 
21	But it was checked and in the end only seven thousand died of it in the army. 	Но ей не дали распространиться, и в армии за все время умерло от нее только семь тысяч. 
22	2 	Глава вторая 
23	The next year there were many victories. 	В следующем году было много побед. 
24	The mountain that was beyond the valley and the hillside where the chestnut forest grew was captured and there were victories beyond the plain on the plateau to the south and we crossed the river in August and lived in a house in Gorizia that had a fountain and many thick shady trees in a walled garden and a wistaria vine purple on the side of the house. 	Была взята гора по ту сторону долины и склон, где росла каштановая роща, и на плато к югу от равнины тоже были победы, и в августе мы перешли реку и расположились в Гориции, в доме, где стены были увиты пурпурной вистарией, и в саду с высокой оградой был фонтан и много густых тенистых деревьев. 
25	Now the fighting was in the next mountains beyond and was not a mile away. 	Теперь бои шли в ближних горах, меньше чем за милю от нас. 
26	The town was very nice and our house was very fine. 	Город был очень славный, а наш дом очень красивый. 
27	The river ran behind us and the town had been captured very handsomely but the mountains beyond it could not be taken and I was very glad the Austrians seemed to want to come back to the town some time, if the war should end, because they did not bombard it to destroy it but only a little in a military way. 	Река протекала позади нас, и город заняли без всякого труда, но горы за ним не удавалось взять, и я был очень рад, что австрийцы, как видно, собирались вернуться в город когда-нибудь, если окончится война, потому что они бомбардировали его не так, чтобы разрушить, а только слегка, для порядка. 
28	People lived on in it and there were hospitals and cafйs and artillery up side streets and two bawdy houses, one for troops and one for officers, and with the end of the summer, the cool nights, the fighting in the mountains beyond the town, the shell-marked iron of the railway bridge, the smashed tunnel by the river where the fighting had been, the trees around the square and the long avenue of trees that led to the square; these with there being girls in the town, the King passing in his motor car, sometimes now seeing his face and little long necked body and gray beard like a goat's chin tuft; all these with the sudden interiors of houses that had lost a wall through shelling, with plaster and rubble in their gardens and sometimes in the street, and the whole thing going well on the Carso made the fall very different from the last fall when we had been in the country. 	Население оставалось в городе, и там были госпитали, и кафе, и артиллерия в переулках, и два публичных дома – один для солдат, другой для офицеров; и когда кончилось лето и ночи стали прохладными, бои в ближних горах, помятое снарядами железо моста, разрушенный туннель у реки, на месте бывшего боя, деревья вокруг площади и двойной ряд деревьев вдоль улицы, ведущей на площадь, – все это и то, что в городе были девицы, что король проезжал мимо на своей серой машине и теперь можно было разглядеть его лицо и маленькую фигурку с длинной шеей и седую бородку пучком, как у козла, – все это, и неожиданно обнаженная внутренность домов, у которых снарядом разрушило стену, штукатурка и щебень в садах, а иногда и на улице, и то, что на Карсо дела шли хорошо, сильно отличало осень этого года от прошлой осени, когда мы стояли в деревне. 
29	The war was changed too. 	Война тоже стала другая. 
30	The forest of oak trees on the mountain beyond the town was gone. 	Дубовый лес на горе за городом погиб. 
31	The forest had been green in the summer when we had come into the town but now there were the stumps and the broken trunks and the ground torn up, and one day at the end of the fall when I was out where the oak forest had been I saw a cloud coming over the mountain. 	Этот лес был зеленый летом, когда мы пришли в город, но теперь от него остались только пни и расщепленные стволы, и земля была вся разворочена, и однажды, под конец осени, с того места, где прежде был дубовый лес, я увидел облако, которое надвигалось из-за горы. 
32	It came very fast and the sun went a dull yellow and then everything was gray and the sky was covered and the cloud came on down the mountain and suddenly we were in it and it was snow. 	Оно двигалось очень быстро, и солнце стало тускло-желтое, и потом все сделалось серым, и небо заволокло, и облако спустилось на гору, и вдруг накрыло нас, и это был снег. 
33	The snow slanted across the wind, the bare ground was covered, the stumps of trees projected, there was snow on the guns and there were paths in the snow going back to the latrines behind trenches. 	Снег падал косо по ветру, голая земля скрылась под ним, так что только пни деревьев торчали, снег лежал на орудиях, и в снегу были протоптаны дорожки к отхожим местам за траншеями. 
34	Later, below in the town, I watched the snow falling, looking out of the window of the bawdy house, the house for officers, where I sat with a friend and two glasses drinking a bottle of Asti, and, looking out at the snow falling slowly and heavily, we knew it was all over for that year. 	Вечером, спустившись в город, я сидел у окна публичного дома, того, что для офицеров, в обществе приятеля и двух стаканов за бутылкой асти. За окном падал снег, и, глядя, как он падает, медленно и грузно, мы понимали, что на этот год кончено. 
35	Up the river the mountains had not been taken; none of the mountains beyond the river had been taken. 	Горы в верховьях реки не были взяты; ни одна гора за рекой тоже не была взята. 
36	That was all left for next year. 	Это все осталось на будущий год. 
37	My friend saw the priest from our mess going by in the street, walking carefully in the slush, and pounded on the window to attract his attention. 	Мой приятель увидел на улице нашего полкового священника, осторожно ступавшего по слякоти, и стал стучать по стеклу, чтобы привлечь его внимание. 
38	The priest looked up. 	Священник поднял голову. 
39	He saw us and smiled. 	Он увидел нас и улыбнулся. 
40	My friend motioned for him to come in. 	Мой приятель поманил его пальцем. 
41	The priest shook his head and went on. 	Священник покачал головой и прошел мимо. 
42	That night in the mess after the spaghetti course, which every one ate very quickly and seriously, lifting the spaghetti on the fork until the loose strands hung clear then lowering it into the mouth, or else using a continuous lift and sucking into the mouth, helping ourselves to wine from the grass-covered gallon flask; it swung in a metal cradle and you pulled the neck of the flask down with the forefinger and the wine, clear red, tannic and lovely, poured out into the glass held with the same hand; after this course, the captain commenced picking on the priest. 	Вечером в офицерской столовой, после спагетти, которые все ели очень серьезно и торопливо, поднимая их на вилке так, чтобы концы повисли в воздухе и можно было опустить их в рот, или же только приподнимая вилкой и всасывая в рот без перерыва, а потом запивая вином из плетеной фляги, – она качалась на металлической стойке, и нужно было нагнуть указательным пальцем горлышко фляги, и вино, прозрачно-красное, терпкое и приятное, лилось в стакан, придерживаемый той же рукой, – после спагетти капитан принялся дразнить священника. 
43	The priest was young and blushed easily and wore a uniform like the rest of us but with a cross in dark red velvet above the left breast pocket of his gray tunic. 	Священник был молод и легко краснел и носил такую же форму, как и все мы, только с крестом из темно-красного бархата над левым нагрудным карманом серого френча. 
44	The captain spoke pidgin Italian for my doubtful benefit, in order that I might understand perfectly, that nothing should be lost. 	Капитан, специально для меня, говорил на ломаном итальянском языке, почему-то считая, что так я лучше пойму все и ничего не упущу. 
45	"""Priest to-day with girls,"" the captain said looking at the priest and at me. "	– Священник сегодня с девочка, – сказал капитан, поглядывая на священника и на меня. 
46	The priest smiled and blushed and shook his head. 	Священник улыбнулся и покраснел и покачал головой. 
47	This captain baited him often. 	Капитан часто зубоскалил на его счет. 
48	"""Not true?"" asked the captain. ""To-day I see priest with girls."" "	– Разве нет? – спросил капитан. – Я сегодня видеть священник у девочка. 
49	"""No,"" said the priest. "	– Нет, – сказал священник. 
50	The other officers were amused at the baiting. 	Остальные офицеры забавлялись зубоскальством капитана. 
51	"""Priest not with girls,"" went on the captain. ""Priest never with girls,"" he explained to me. "	– Священник с девочка нет, – продолжал капитан. – Священник с девочка никогда, – объяснил он мне. 
52	He took my glass and filled it, looking at my eyes all the time, but not losing sight of the priest. 	Он взял мой стакан и наполнил его, все время глядя мне в глаза, но не теряя из виду и священника. 
53	"""Priest every night five against one."" Every one at the table laughed. ""You understand? "	– Священник каждую ночь сам по себе. – Все кругом засмеялись. – Вам понятно? 
54	"Priest every night five against one."" He made a gesture and laughed loudly. "	Священник каждую ночь сам по себе. – Капитан сделал жест рукой и громко захохотал. 
55	The priest accepted it as a joke. 	Священник отнесся к этому, как к шутке. 
56	"""The Pope wants the Austrians to win the war,"" the major said. ""He loves Franz Joseph. "	– Папа хочет, чтобы войну выиграли австрийцы, – сказал майор. – Он любит Франца-Иосифа. 
57	That's where the money comes from. 	Вот откуда у австрийцев и деньги берутся. 
58	"I am an atheist."" "	Я – атеист. 
59	"""Did you ever read the 'Black Pig'?"" asked the lieutenant. ""I will get you a copy. "	– Вы читали когда-нибудь «Черную свинью»? – спросил лейтенант. – Я вам достану. 
60	"It was that which shook my faith."" "	Вот книга, которая пошатнула мою веру. 
61	"""It is a filthy and vile book,"" said the priest. ""You do not really like it."" "	– Это грязная и дурная книга, – сказал священник. – Не может быть, чтоб она вам действительно нравилась. 
62	"""It is very valuable,"" said the lieutenant. ""It tells you about those priests. "	– Очень полезная книга, – сказал лейтенант. – Там все сказано про священников. 
63	"You will like it,"" he said to me. "	Вам понравится, – сказал он мне. 
64	I smiled at the priest and he smiled back across the candle-light. 	Я улыбнулся священнику, и он улыбнулся мне в ответ из-за пламени свечи. 
65	"""Don't you read it,"" he said. "	– Не читайте этого, – сказал он. 
66	"""I will get it for you,"" said the lieutenant. "	– Я вам достану, – сказал лейтенант. 
67	"""All thinking men are atheists,"" the major said. ""I do not believe in the Free Masons however."" "	– Все мыслящие люди атеисты, – сказал майор. – Впрочем, я и масонства не признаю. 
68	"""I believe in the Free Masons,"" the lieutenant said. ""It is a noble organization."" "	– А я признаю масонство, – сказал лейтенант. – Это благородная организация. 
69	Some one came in and as the door opened I could see the snow falling. 	Кто-то вошел, и в отворенную дверь я увидел, как падает снег. 
70	"""There will be no more offensive now that the snow has come,"" I said. "	– Теперь уже наступления не будет, раз выпал снег, – сказал я. 
71	"""Certainly not,"" said the major. ""You should go on leave. "	– Конечно, нет, – сказал майор. – Взять бы вам теперь отпуск. 
72	"You should go to Rome, Naples, Sicily--"" "	Поехать в Рим, в Неаполь, в Сицилию… 
73	"""He should visit Amalfi,"" said the lieutenant. ""I will write you cards to my family in Amalfi. "	– Пусть он едет в Амальфи, – сказал лейтенант. – Я дам вам письмо к моим родным в Амальфи. 
74	"They will love you like a son."" "	Они вас полюбят, как сына. 
75	"""He should go to Palermo."" "	– Пусть он едет в Палермо. 
76	"""He ought to go to Capri."" "	– А еще лучше на Капри. 
77	"""I would like you to see Abruzzi and visit my family at Capracotta,"" said the priest. "	– Мне бы хотелось, чтобы вы побывали в Абруццах и погостили у моих родных в Капракотта, – сказал священник. 
78	"""Listen to him talk about the Abruzzi. "	– Очень ему нужно ехать в Абруццы. 
79	There's more snow there than here. 	Там снегу больше, чем здесь. 
80	He doesn't want to see peasants. 	Что ему, на крестьян любоваться? 
81	"Let him go to centres of culture and civilization."" "	Пусть едет в центры культуры и цивилизации. 
82	"""He should have fine girls. "	– Туда, где есть красивые девушки. 
83	I will give you the addresses of places in Naples. 	Я дам вам адреса в Неаполе. 
84	Beautiful young girls--accompanied by their mothers. 	Очаровательные молодые девушки – и все при мамашах. 
85	"Ha! Ha! Ha!"" "	Ха-ха-ха! 
86	The captain spread his hand open, the thumb up and fingers outspread as when you make shadow pictures. 	Капитан раскрыл кулак, подняв большой палец и растопырив остальные, как делают, когда показывают китайские тени. 
87	There was a shadow from his hand on the wall. 	На стене была тень от его руки. 
88	He spoke again in pidgin Italian. 	Он снова заговорил на ломаном языке: 
89	"""You go away like this,"" he pointed to the thumb, ""and come back like this,"" he touched the little finger. "	– Вы уехать вот такой, – он указал на большой палец, – а вернуться вот такой, – он дотронулся до мизинца. 
90	Every one laughed. 	Все засмеялись. 
91	"""Look,"" said the captain. "	– Смотрите, – сказал капитан. 
92	He spread the hand again. 	Он снова растопырил пальцы. 
93	Again the candle-light made its shadows on the wall. 	Снова пламя свечи отбросило на стену их тень. 
94	"He started with the upright thumb and named in their order the thumb and four fingers, ""soto-tenente (the thumb), tenente (first finger), capitano (next finger), maggiore (next to the little finger), and tenentecolonello (the little finger). You go away soto-tenente! "	Он начал с большого и назвал по порядку все пять пальцев: sotto-tenente(большой), tenente (указательный), capitano (средний), maggiore (безымянный) и tenente-colonello (мизинец). – Вы уезжаете sotto-tenente! 
95	"You come back soto-colonello!"" "	Вы возвращаетесь tenente-colonello! [sotto-tenente – младший лейтенант (итал.); tenente – лейтенант (итал.); capitano – капитан (итал.); maggiore – майор (итал.); tenente-colonello – подполковник (итал.)] 
96	They all laughed. 	Кругом все смеялись. 
97	The captain was having a great success with finger games. 	Китайские тени капитана имели большой успех. 
98	He looked at the priest and shouted, 	Он посмотрел на священника и закричал: 
99	"""Every night priest five against one!"" They all laughed again. "	– Священник каждую ночь сам по себе! – все засмеялись. 
100	"""You must go on leave at once,"" the major said. "	– Поезжайте в отпуск сейчас же, – сказал майор. 
101	"""I would like to go with you and show you things,"" the lieutenant said. "	– Жаль, я не могу поехать с вами вместе, все вам показать, – сказал лейтенант. 
102	"""When you come back bring a phonograph."" "	– Когда будете возвращаться, привезите граммофон. 
103	"""Bring good opera disks."" "	– Привезите хороших оперных пластинок. 
