	en	ru
0	The Project Gutenberg eBook, Gulliver's Travels, by Jonathan Swift 	Джонатан Свифт. Путешествия Гулливера 
1	THE PUBLISHER TO THE READER. 	ИЗДАТЕЛЬ К ЧИТАТЕЛЮ 
2	The author of these Travels, Mr. Lemuel Gulliver, is my ancient and intimate friend; there is likewise some relation between us on the mother’s side. 	Автор  этих  путешествий  мистер  Лемюэль Гулливер  -  мой старинный и близкий  друг; он  приходится мне также сродни по материнской линии. 
3	About three years ago, Mr. Gulliver growing weary of the concourse of curious people coming to him at his house in Redriff, made a small purchase of land, with a convenient house, near Newark, in Nottinghamshire, his native country; where he now lives retired, yet in good esteem among his neighbours. 	Около трех лет тому назад мистер Гулливер, которому надоело стечение любопытных к нему  в  Редриф, купил небольшой клочок земли с удобным домом близ Ньюарка в Ноттингемшире, на  своей  родине,  где  и  проживает сейчас в уединении, но уважаемый своими соседями. 
4	Although Mr. Gulliver was born in Nottinghamshire, where his father dwelt, yet I have heard him say his family came from Oxfordshire; to confirm which, I have observed in the churchyard at Banbury in that county, several tombs and monuments of the Gullivers. 	Хотя  мистер Гулливер родился в Ноттингемшире, где жил его отец, однако я  слышал  от  него, что предки его были выходцами из Оксфордского графства. Чтобы удостовериться в этом, я осмотрел кладбище в Банбери в этом графстве и нашел в нем несколько могил и памятников Гулливеров. 
5	Before he quitted Redriff, he left the custody of the following papers in my hands, with the liberty to dispose of them as I should think fit. 	Перед  отъездом  из  Редрифа  мистер  Гулливер  дал  мне  на сохранение нижеследующую рукопись, предоставив распорядиться ею по своему усмотрению. 
6	I have carefully perused them three times. 	Я три  раза  внимательно прочел ее. 
7	The style is very plain and simple; and the only fault I find is, that the author, after the manner of travellers, is a little too circumstantial. 	Слог оказался очень гладким и простым, я нашел в   нем   только  один недостаток:  автор,  следуя  обычной  манере путешественников,  слишком  уж обстоятелен. 
8	There is an air of truth apparent through the whole; and indeed the author was so distinguished for his veracity, that it became a sort of proverb among his neighbours at Redriff, when any one affirmed a thing, to say, it was as true as if Mr. Gulliver had spoken it. 	Все  произведение, несомненно, дышит  правдой, да и как могло быть иначе, если сам автор известен был такой правдивостью,  что  среди  его соседей  в Редрифе сложилась даже поговорка, когда  случалось  утверждать  что-нибудь:  это так же верно, как если бы это сказал мистер Гулливер. 
9	By the advice of several worthy persons, to whom, with the author’s permission, I communicated these papers, I now venture to send them into the world, hoping they may be, at least for some time, a better entertainment to our young noblemen, than the common scribbles of politics and party. 	По совету нескольких уважаемых лиц, которым я, с согласия автора, давал на  просмотр  эту  рукопись,  я  решаюсь опубликовать ее, в надежде, что, по крайней  мере, в продолжение некоторого времени, она будет служить для наших молодых  дворян  более занимательным развлечением, чем обычное бумагомарание политиков и партийных писак. 
10	This volume would have been at least twice as large, if I had not made bold to strike out innumerable passages relating to the winds and tides, as well as to the variations and bearings in the several voyages, together with the minute descriptions of the management of the ship in storms, in the style of sailors; likewise the account of longitudes and latitudes; wherein I have reason to apprehend, that Mr. Gulliver may be a little dissatisfied. But I was resolved to fit the work as much as possible to the general capacity of readers. 	Эта книга вышла бы, по крайней мере, в два раза объемистее, если б я не взял  на  себя смелость выкинуть бесчисленное множество страниц, посвященных ветрам,  приливам  и  отливам, склонениям  магнитной  стрелки и показаниям компаса  в различных путешествиях, а также подробнейшему описанию на морском жаргоне  маневров корабля во время бури. Точно так же я обошелся с долготами и  широтами.  боюсь, что мистер Гулливер останется этим несколько недоволен, но  я  поставил  своей целью сделать его сочинение как можно более доступным для  широкого  читателя. 
11	However, if my own ignorance in sea affairs shall have led me to commit some mistakes, I alone am answerable for them. And if any traveller hath a curiosity to see the whole work at large, as it came from the hands of the author, I will be ready to gratify him. 	Если же благодаря моему невежеству в морском деле я сделал какие-либо промахи, то ответственность за них падает всецело на меня; впрочем,  если найдется  путешественник,  который пожелал бы ознакомиться с сочинением во всем его объеме, как оно вышло из-под пера автора, то я охотно удовлетворю его любопытство. 
12	As for any further particulars relating to the author, the reader will receive satisfaction from the first pages of the book. 	Дальнейшие  подробности,  касающиеся  автора, читатель найдет на первых страницах этой книги. 
13	RICHARD SYMPSON. 	Ричард Симпсон 
14	A LETTER FROM CAPTAIN GULLIVER TO HIS COUSIN SYMPSON. Written in the Year 1727. 	ПИСЬМО КАПИТАНА ГУЛЛИВЕРА К СВОЕМУ РОДСТВЕННИКУ РИЧАРДУ СИМПСОНУ 
15	I hope you will be ready to own publicly, whenever you shall be called to it, that by your great and frequent urgency you prevailed on me to publish a very loose and uncorrect account of my travels, with directions to hire some young gentleman of either university to put them in order, and correct the style, as my cousin Dampier did, by my advice, in his book called 	Вы  не  откажетесь,  надеюсь,  признать  публично,  когда бы вам это ни предложили,  что  своими  настойчивыми и  частыми просьбами вы убедили меня опубликовать  очень  небрежный и  неточный  рассказ  о  моих  путешествиях, посоветовав    нанять  нескольких   молодых людей из   которого-нибудь университета для приведения моей рукописи в порядок и исправления слога, как поступил,   по моему  совету, мой  родственник  Демпиер  со  своей  книгой 
16	“A Voyage round the world.” 	"""Путешествие  вокруг  света""[1]. "
17	But I do not remember I gave you power to consent that any thing should be omitted, and much less that any thing should be inserted; therefore, as to the latter, I do here renounce every thing of that kind; particularly a paragraph about her majesty Queen Anne, of most pious and glorious memory; although I did reverence and esteem her more than any of human species. 	Но я не помню, чтобы предоставил вам право соглашаться  на  какие-либо  пропуски  и  тем  менее  на какие либо вставки. Поэтому,  что  касается  последних, то настоящим заявлением я отказываюсь от них  совершенно,  особенно от вставки, касающейся блаженной и славной памяти ее  величества покойной королевы Анны, хотя я уважал и ценил ее больше, чем всякого  другого представителя человеческой породы[2]. 
18	But you, or your interpolator, ought to have considered, that it was not my inclination, so was it not decent to praise any animal of our composition before my master Houyhnhnm: And besides, the fact was altogether false; for to my knowledge, being in England during some part of her majesty’s reign, she did govern by a chief minister; nay even by two successively, the first whereof was the lord of Godolphin, and the second the lord of Oxford; so that you have made me say the thing that was not. 	Ведь вы, или тот, кто это  сделал,  должны  были  принять во внимание, что мне несвойственно, да и было  неприлично,  хвалить  какое  либо  животное  нашей  породы  перед моим хозяином  гуигнгнмом. Кроме  того, самый факт совершенно неверен, насколько мне  известно (в царствование ее величества я жил некоторое время в Англии), она  управляла при  посредстве первого министра, даже двух последовательно: сначала  первым министром был лорд Годольфин, а затем лорд Оксфорд[3]. Таким образом,  вы  заставили  меня  говорить  то,  чего  не было. 
19	Likewise in the account of the academy of projectors, and several passages of my discourse to my master Houyhnhnm, you have either omitted some material circumstances, or minced or changed them in such a manner, that I do hardly know my own work. 	Точно так же в рассказе  об  Академии Прожектеров  и в некоторых частях моей речи к моему хозяину  гуигнгнму  вы либо опустили некоторые существенные обстоятельства, либо  смягчили и изменили их таким образом, что я с трудом узнаю собственное произведение. 
20	When I formerly hinted to you something of this in a letter, you were pleased to answer that you were afraid of giving offence; that people in power were very watchful over the press, and apt not only to interpret, but to punish every thing which looked like an innuendo (as I think you call it). 	Когда  же  я  намекнул  вам  об этом в одном из своих прежних писем, то вам угодно было ответить, что вы боялись нанести оскорбление, что власть имущие весьма зорко следят за прессой и готовы не только истолковать по-своему  все,  что  кажется  им намеком (так, помнится, выразились вы), но даже  подвергнуть за это наказанию[4]. 
21	But, pray how could that which I spoke so many years ago, and at about five thousand leagues distance, in another reign, be applied to any of the Yahoos, who now are said to govern the herd; especially at a time when I little thought, or feared, the unhappiness of living under them? 	Но позвольте, каким образом то, что я говорил  столько  лет  тому  назад  на расстоянии пяти тысяч миль отсюда, в другом государстве,  можно  отнести к кому-либо из еху, управляющих теперь, как говорят, нашим стадом, особенно в то время, когда я совсем не думал и не опасался,  что мне  выпадет  несчастье  жить  под  их властью[5]. 
22	Have not I the most reason to complain, when I see these very Yahoos carried by Houyhnhnms in a vehicle, as if they were brutes, and those the rational creatures? 	Разве не достаточно  у  меня  оснований сокрушаться при виде того, как эти самые еху разъезжают  на гуигнгнмах,  как  если бы  они были разумными существами, а гуигнгнмы  -  бессмысленными тварями. 
23	And indeed to avoid so monstrous and detestable a sight was one principal motive of my retirement hither. 	И в самом деле, главною причиной моего удаления  сюда было  желание  из  бежать столь чудовищного и омерзительного зрелища. 
24	Thus much I thought proper to tell you in relation to yourself, and to the trust I reposed in you. 	Вот что почел я своим долгом сказать вам о вашем по ступке и о доверии, оказанном мною вам. 
25	I do, in the next place, complain of my own great want of judgment, in being prevailed upon by the entreaties and false reasoning of you and some others, very much against my own opinion, to suffer my travels to be published. 	Затем   мне  приходится  пожалеть о  собственной большой  оплошности, выразившейся  в  том,  что я поддался просьбам и неосновательным доводам как вашим, так  и других лиц, и, вопреки собственному убеждению, согласился на издание  моих  Путешествий. 
26	Pray bring to your mind how often I desired you to consider, when you insisted on the motive of public good, that the Yahoos were a species of animals utterly incapable of amendment by precept or example: and so it has proved; for, instead of seeing a full stop put to all abuses and corruptions, at least in this little island, as I had reason to expect; behold, after above six months warning, I cannot learn that my book has produced one single effect according to my intentions. 	Благоволите вспомнить, сколько раз просил я вас, когда  вы настаивали на издании Путешествий в интересах общественного блага, принять  во  внимание, что  еху  представляют породу животных, совершенно неспособных  к исправлению путем наставлении или примеров. Ведь так и вышло. Уже  шесть  месяцев, как книга моя служит предостережением, а я не только не вижу,  чтобы  она положила конец всевозможным злоупотреблениям и порокам, по крайней мере, на нашем маленьком острове, как я имел основание ожидать, - но и не слыхал, чтобы она произвела хотя бы одно действие, соответствующее моим намерениям. 
27	I desired you would let me know, by a letter, when party and faction were extinguished; judges learned and upright; pleaders honest and modest, with some tincture of common sense, and Smithfield blazing with pyramids of law books; the young nobility’s education entirely changed; the physicians banished; the female Yahoos abounding in virtue, honour, truth, and good sense; courts and levees of great ministers thoroughly weeded and swept; wit, merit, and learning rewarded; all disgracers of the press in prose and verse condemned to eat nothing but their own cotton, and quench their thirst with their own ink. 	Я просил вас известить меня письмом, когда прекратятся партийные распри и  интриги,  судьи  станут просвещенными и справедливыми, стряпчие - честными,   умеренными  и   приобретут   хоть  капельку  здравого  смысла, Смитсфильд[6]  озарится пламенем пирамид собрания законов, в корне изменится система   воспитания  знатной  молодежи,  будут  изгнаны  врачи,  самки  еху украсятся  добродетелью,  честью,  правдивостью  и  здравым  смыслом,  будут основательно   вычищены   и   выметены  дворцы   и  министерские  приемные, вознаграждены  ум,  заслуги  и знание, все, позорящие печатное слово в прозе или  в стихах, осуждены на то, чтобы питаться только бумагой и утолять жажду чернилами. 
28	These, and a thousand other reformations, I firmly counted upon by your encouragement; as indeed they were plainly deducible from the precepts delivered in my book. 	На эти  и на тысячу других преобразований я твердо рассчитывал, слушая ваши  уговоры, ведь они прямо вытекали из наставлений, преподанных в моей  книге. 
29	And it must be owned, that seven months were a sufficient time to correct every vice and folly to which Yahoos are subject, if their natures had been capable of the least disposition to virtue or wisdom. 	И  должно признать, что семь месяцев - достаточный срок, чтобы избавиться  от всех пороков и безрассудств, которым подвержены еху, если бы только они  имели малейшее расположение к добродетели и мудрости. 
30	Yet, so far have you been from answering my expectation in any of your letters; that on the contrary you are loading our carrier every week with libels, and keys, and reflections, and memoirs, and second parts; wherein I see myself accused of reflecting upon great state folk; of degrading human nature (for so they have still the confidence to style it), and of abusing the female sex. 	Однако на эти  ожидания  не  было  никакого  ответа  в ваших письмах; напротив, каждую неделю  вы   обременяли   нашего   разносчика писем  пасквилями,  ключами, размышлениями, замечаниями  и вторыми  частями[7]; из них я вижу, что меня обвиняют  в  поношении сановников,  в унижении человеческой природы (ибо у авторов  хватает  еще  дерзости  величать  ее  так) и в оскорблении женского пола. 
31	I find likewise that the writers of those bundles are not agreed among themselves; for some of them will not allow me to be the author of my own travels; and others make me author of books to which I am wholly a stranger. 	"При  этом  я  нахожу, что сочинители этого хлама даже не столковались между собой:  одни из  них  не  желают  признавать  меня  автором моих ""Путешествий"", другие же  приписывают  мне  книги,  к которым я совершенно непричастен. "
