	en	ru
0	RIP VAN WINKLE. 	Вашингтон Ирвинг. Рип ван Винкль 
1	A POSTHUMOUS WRITING OF DIEDRICH KNICKERBOCKER. 	Посмертный труд Дитриха Никкербоккера 
2	By Woden, God of Saxons,     From whence comes Wensday, that is Wodensday,     Truth is a thing that ever I will keep     Unto thylke day in which I creep into     My sepulchre—                                         CARTWRIGHT. 	Клянусь Вотаном, богом саксов, Творцом среды (среда - Вотанов день), Что правда - вещь, которую храню До рокового дня, когда свалюсь В могилу... Картрайт 
3	WHOEVER has made a voyage up the Hudson must remember the Kaatskill mountains. 	Всякий, кому приходилось подниматься вверх по Гудзону, помнит, конечно, Каатскильские горы. 
4	They are a dismembered branch of the great Appalachian family, and are seen away to the west of the river, swelling up to a noble height, and lording it over the surrounding country. 	Эти дальние отроги великой семьи  Аппалачей,  взнесенные на внушительную высоту и господствующие над окружающей местностью, виднеются к западу от реки. 
5	Every change of season, every change of weather, indeed, every hour of the day produces some change in the magical hues and shapes of these mountains; and they are regarded by all the good wives, far and near, as perfect barometers. 	Всякое время года, всякая перемена погоды, больше  того  - всякий час  на  протяжении  дня  вносят  изменения  в  волшебную  окраску  и очертания этих гор, так что хозяюшки - что ближние, то и дальние  -  смотрят на них как на безупречный барометр. 
6	When the weather is fair and settled, they are clothed in blue and purple, and print their bold outlines on the clear evening sky; but sometimes, when the rest of the landscape is cloudless, they will gather a hood of gray vapors about their summits, which, in the last rays of the setting sun, will glow and light up like a crown of glory. 	Когда  погода  тиха  и  устойчива,  они, одетые в пурпур и бирюзу, вычерчивают  свои  смелые  контуры  на  прозрачном вечернем небе, но порою (хотя вокруг, куда ни глянь, все  безоблачно)  у  их вершин собирается сизая шапка тумана, и в последних лучах заходящего  солнца она горит и сияет, как венец славы. 
7	At the foot of these fairy mountains, the voyager may have descried the light smoke curling up from a Village, whose shingle roofs gleam among the trees, just where the blue tints of the upland melt away into the fresh green of the nearer landscape. 	У подножия этих  сказочных  гор  путнику,  вероятно,  случалось  видеть легкий дымок, вьющийся над селением, гонтовые  крыши  которого  просвечивают между деревьями как раз там, где голубые тона предгорья  переходят  в  яркую зелень расстилающейся  перед  ним  местности. 
8	It is a little village of great antiquity, having been founded by some of the Dutch colonists, in the early times of the province, just about the beginning of the government of the good Peter Stuyvesant (may he rest in peace!), and there were some of the houses of the original settlers standing within a few years, built of small yellow bricks, brought from Holland, having latticed windows and gable fronts, surmounted with weathercocks. 	Это  -  старинная  деревушка, построенная голландскими переселенцами еще в самую раннюю пору  колонизации, в начале правления доброго Питера Стюйвезента (да будет мир праху  его!),  и еще  совсем  недавно  тут  стояло  несколько  домиков,   сложенных   первыми колонистами  из  мелкого,  вывезенного  из  Голландии  желтого  кирпича,   с решетчатыми оконцами и флюгерами в  виде  петушков  на  гребнях  островерхих крыш. 
9	In that same village, and in one of these very houses (which, to tell the precise truth, was sadly time-worn and weather-beaten), there lived, many years since, while the country was yet a province of Great Britain, a simple, good-natured fellow, of the name of Rip Van Winkle. 	Вот в этой-то деревушке и в одном из таких домов (который,  сказать  по правде, порядком пострадал от времени и непогоды), в давние времена,  тогда, когда этот край был еще  британской  провинцией,  жил  простой,  добродушный малый по имени Рип ван Винкль. 
10	He was a descendant of the Van Winkles who figured so gallantly in the chivalrous days of Peter Stuyvesant, and accompanied him to the siege of Fort Christina. 	Он принадлежал к числу потомков тех самых ван Винклей, которые с великою славою подвизались  в  рыцарственные  дни  Питера Стюйвезента и находились с  ним  при  осаде  форта  Христина. 
11	He inherited, however, but little of the martial character of his ancestors. 	Воинственного характера своих предков он, впрочем, не унаследовал. 
