	en	ru
0	Orson Scott Card 	Орсон Скотт Кард. 
1	SEVENTH SON 	Седьмой сын Посвящается Эмили Джен, вся необходимая магия уже ведома ей 
2	Chapter One—Bloody Mary 	1. Злюка Мэри 
3	Little Peggy was very careful with the eggs. 	Малышка Пэгги была очень осторожна и внимательна, когда собирала яйца. 
4	She rooted her hand through the straw till her fingers bumped something hard and heavy. 	Вот и сейчас, запустив руку в солому, она потихоньку двигала ее вперед, пока пальцы не уткнулись во что-то твердое и тяжелое. 
5	She gave no never mind to the chicken drips. 	На следы куриной деятельности она просто не обращала внимания. 
6	After all, when folk with babies stayed at the roadhouse, Mama never even crinkled her face at their most spetackler diapers. 	В их гостинице частенько останавливались семьи с маленькими детьми, и мама малышки Пэгги никогда не кривилась при виде самых замызганных пеленок, а Пэгги старалась походить на нее. 
7	Even when the chicken drips were wet and stringy and made her fingers stick together, little Peggy gave no never mind. 	Пусть даже куриный помет был липким и неприятным на ощупь, склеивал пальцы, малышка не замечала этого. 
8	She just pushed the straw apart, wrapped her hand around the egg, and lifted it out of the brood box. 	Она раздвинула солому, нежно ухватила яйцо и достала из коробки, где сидела наседка. 
9	All this while standing tiptoe on a wobbly stool, reaching high above her head. 	Все это приходилось проделывать, стоя на цыпочках на качающейся скамеечке, пока рука шарила в гнезде. 
10	Mama said she was too young for egging, but little Peggy showed her. 	Мама сначала говорила, что Пэгги еще слишком мала, чтобы собирать яйца, но малышка Пэгги быстро доказала обратное. 
11	Every day she felt in every brood box and brought in every egg, every single one, that's what she did. 	Каждый день она заглядывала в куриные гнезда и приносила домой яйца – все до единого, не пропустив ни наседки. 
12	Every one, she said in her mind, over and over. I got to reach into every one. 	«Все до единого, – твердила она про себя. – Я должна собрать все яйца до единого». 
13	Then little Peggy looked back into the northeast corner, the darkest place in the whole coop, and there sat Bloody Mary in her brood box, looking like the devil's own bad dream, hatefulness shining out of her nasty eyes, saying come here little girl and give me nips. 	Еще раз повторив это, малышка Пэгги оглянулась, кинув настороженный взгляд в северо-восточный угол сарая, который был самым темным местом в курятнике. 
14	I want nips of finger and nips of thumb and if you come real close and try to take my egg I'll get a nip of eye from you. 	Там в своей коробке восседала Злюка Мэри собственной персоной. 
15	Most animals didn't have much heartfire, but Bloody Mary's was strong and made a poison smoke. 	Эта курица выглядела как настоящее порождение ада в перьях, ненависть так и сочилась из ее противных маленьких глазок, которые как бы говорили: «Ну, иди, иди сюда, девчонка, дай-ка я клюну тебя побольнее. Клюну в тот пальчик, в другой, а если ты посмеешь подойти совсем близко, то и до глаз твоих доберусь». Большинство животных лишены внутреннего пламени, но Злюка Мэри так и полыхала, так и коптила ядовитым дымом. 
16	Nobody else could see it, but little Peggy could. 	Этого не видел никто, но малышка Пэгги умела различать внутренний огонь, пламя сердца. 
17	Bloody Mary dreamed of death for all folks, but most specially for a certain little girl five years old, and little Peggy had the marks on her fingers to prove it. 	Злюка Мэри мечтала о том, чтобы все люди на земле умерли, и особенно она жаждала смерти некой маленькой девочки пяти лет от роду – пальцы Пэгги были изукрашены маленькими шрамиками от клюва курицы. 
