	en	ru
0	The Project Gutenberg EBook of Siddhartha, by Herman Hesse Translator: Gunther Olesch, Anke Dreher, Amy Coulter, Stefan Langer and Semyon Chaichenets Produced by Michael Pullen,  Chandra Yenco, Isaac Jones 	Герман Гессе Сиддхартха OCR – Окатьева Анна; Доп. вычитка – Niche (проект вычитки книг на Альдебаране) http://www.lib.ru/ Оригинал: Hermann Hesse, “Siddhartha” Перевод: Б. Д. Прозоровская Герман Гессе 
1	SIDDHARTHA An Indian Tale by Hermann Hesse FIRST PART To Romain Rolland, my dear friend 	Сиддхартха Часть первая. 
2	THE SON OF THE BRAHMAN 	СЫН БРАХМАНА 
3	In the shade of the house, in the sunshine of the riverbank near the boats, in the shade of the Sal-wood forest, in the shade of the fig tree is where Siddhartha grew up, the handsome son of the Brahman, the young falcon, together with his friend Govinda, son of a Brahman. 	Под сенью родительского дома, на солнце речного берега у лодок, в тени салового леса, в тени смоковниц вырос прекрасный сын брахмана, юный сокол Сиддхартха, вместе с Говиндой, своим другом, сыном брахмана. 
4	The sun tanned his light shoulders by the banks of the river when bathing, performing the sacred ablutions, the sacred offerings. 	Солнце покрывало загаром его белые плечи на берегу реки, при купании, при священных омовениях, при жертвенных обрядах. 
5	In the mango grove, shade poured into his black eyes, when playing as a boy, when his mother sang, when the sacred offerings were made, when his father, the scholar, taught him, when the wise men talked. 	Тень вливалась в его черные очи – в манговой роще, при играх мальчиков, при песнях матери, при священных жертвоприношениях, при поучениях ученого отца и беседах мудрецов. 
6	For a long time, Siddhartha had been partaking in the discussions of the wise men, practising debate with Govinda, practising with Govinda the art of reflection, the service of meditation. 	Давно уже Сиддхартха принимал участие в этих беседах; вместе с Говиндой упражнялся он в словесных состязаниях, в искусстве созерцания, с целью самоуглубления. 
7	He already knew how to speak the Om silently, the word of words, to speak it silently into himself while inhaling, to speak it silently out of himself while exhaling, with all the concentration of his soul, the forehead surrounded by the glow of the clear-thinking spirit. 	Уже он в состоянии был беззвучно произносить слово «Ом», это слово слов, – беззвучно выговаривать его при дыхании и выдыхании, с сосредоточенной душой, с челом, озаренным сиянием ясной мысли. 
8	He already knew to feel Atman in the depths of his being, indestructible, one with the universe. 	Уже в глубине своего существа он познавал Атмана, непреходящего, со вселенной единого. 
9	Joy leapt in his father's heart for his son who was quick to learn, thirsty for knowledge; he saw him growing up to become great wise man and priest, a prince among the Brahmans. 	Радость наполняла сердце отца при виде сына, столь одаренного, жаждущего знания: великого мудреца и священно служителя провидел он в нем, князя среди брахманов. 
10	Bliss leapt in his mother's breast when she saw him, when she saw him walking, when she saw him sit down and get up, Siddhartha, strong, handsome, he who was walking on slender legs, greeting her with perfect respect. 	Блаженством преисполнялась грудь матери, когда она глядела на сына, когда видела, как двигался, садился и вставал Сиддхартха, сильный, прекрасный, как ступали его стройные ноги, с какой отменной благопристойностью он ее приветствовал. 
11	Love touched the hearts of the Brahmans' young daughters when Siddhartha walked through the lanes of the town with the luminous forehead, with the eye of a king, with his slim hips. 	Любовь зарождалась в сердцах юных дочерей брахманов, когда Сиддхартха проходил по улицам города, с лучезарным челом, с царственным взором, с узкими бедрами. 
12	But more than all the others he was loved by Govinda, his friend, the son of a Brahman. 	Но всех больше любил его Говинда, его друг, сын брахмана. 
13	He loved Siddhartha's eye and sweet voice, he loved his walk and the perfect decency of his movements, he loved everything Siddhartha did and said and what he loved most was his spirit, his transcendent, fiery thoughts, his ardent will, his high calling. 	Он любил очи и чарующий голос Сиддхартхи, любил его походку и исполненные благородства движения, любил все, что делал и говорил Сиддхартха – а всего больше любил его душу, его огненные мысли, его пламенную волю, его высокое призвание. 
14	Govinda knew: he would not become a common Brahman, not a lazy official in charge of offerings; not a greedy merchant with magic spells; not a vain, vacuous speaker; not a mean, deceitful priest; and also not a decent, stupid sheep in the herd of the many. 	Ибо знал Говинда – не рядовым брахманом станет его друг, не небрежным исполнителем жертвенных обрядов, не алчным продавцом заклинаний, не тщеславным пустым краснобаем, не злым и коварным жрецом, – как не будет он добродушным и глупым бараном в многоголовом стаде. 
15	No, and he, Govinda, as well did not want to become one of those, not one of those tens of thousands of Brahmans. 	Нет, не будет этого! Да и он – Говинда – не хотел стать одним из тех брахманов, каких существуют десятки тысяч. 
16	He wanted to follow Siddhartha, the beloved, the splendid. 	Он хотел следовать во всем за Сиддхартхой, за любимым, чудным. 
17	And in days to come, when Siddhartha would become a god, when he would join the glorious, then Govinda wanted to follow him as his friend, his companion, his servant, his spear-carrier, his shadow. 	И если Сиддхартха когда‑нибудь станет богом, если он приобщится к сонму лучезарных, – тогда и он, Говинда, последует за ним, – как друг его, как спутник, как слуга и копьеносец, как тень. 
18	Siddhartha was thus loved by everyone. 	Все любили Сиддхартху. 
