	en	ru
0	Anton Chekhov 	Чехов А. П. 
1	Malingerers. 	СИМУЛЯНТЫ. 
2	MARFA PETROVNA PETCHONKIN, the General's widow, who has been practising for ten years as a homeopathic doctor, is seeing patients in her study on one of the Tuesdays in May. 	Генеральша Марфа Петровна Печонкина, или, как ее зовут мужики, Печончиха, десять лет уже практикующая на поприще гомеопатии, в один из майских вторников принимает у себя в кабинете больных. 
3	On the table before her lie a chest of homeopathic drugs, a book on homeopathy, and bills from a homeopathic chemist. 	Перед ней на столе гомеопатическая аптечка, лечебник и счета гомеопатической аптеки. 
4	On the wall the letters from some Petersburg homeopath, in Marfa Petrovna's opinion a very celebrated and great man, hang under glass in a gilt frame, and there also is a portrait of Father Aristark, to whom the lady owes her salvation -- that is, the renunciation of pernicious allopathy and the knowledge of the truth. 	На стене в золотых рамках под стеклом висят письма какого-то петербургского гомеопата, по мнению Марфы Петровны, очень знаменитого и даже великого, и висит портрет отца Аристарха, которому генеральша обязана своим спасением: отречением от зловредной аллопатии и знанием истины. 
5	In the vestibule patients are sitting waiting, for the most part peasants. 	В передней сидят и ждут пациенты, всё больше мужики. 
6	All but two or three of them are barefoot, as the lady has given orders that their ill-smelling boots are to be left in the yard. 	Все они, кроме двух-трех, босы, так как генеральша велит оставлять вонючие сапоги на дворе. 
7	"Marfa Petrovna has already seen ten patients when she calls the eleventh: ""Gavrila Gruzd!"" "	Марфа Петровна приняла уже десять человек и вызывает одиннадцатого:     -- Гаврила Груздь! 
8	The door opens and instead of Gavrila Gruzd, Zamuhrishen, a neighbouring landowner who has sunk into poverty, a little old man with sour eyes, and with a gentleman's cap under his arm, walks into the room. 	Дверь отворяется и, вместо Гаврилы Груздя, в кабинет входит Замухришин, генеральшин сосед, помещик из оскудевших, маленький старичок с кислыми глазками и с дворянской фуражкой под мышкой. 
9	He puts down his stick in the corner, goes up to the lady, and without a word drops on one knee before her. 	Он ставит палку в угол, подходит к генеральше и молча становится перед ней на одно колено. 
10	"""What are you about, Kuzma Kuzmitch?"" cries the lady in horror, flushing crimson. ""For goodness sake!"" "	-- Что вы! Что вы, Кузьма Кузьмич! -- ужасается генеральша, вся вспыхивая. -- Бога ради! 
11	"""While I live I will not rise,"" says Zamuhrishen, bending over her hand. ""Let all the world see my homage on my knees, our guardian angel, benefactress of the human race! "	-- Покуда жив буду, не встану! -- говорит Замухришин, прижимаясь к ручке. -- Пусть весь народ видит мое коленопреклонение, ангел-хранитель наш, благодетельница рода человеческого! 
12	Let them! 	Пусть! 
13	Before the good fairy who has given me life, guided me into the path of truth, and enlightened my scepticism I am ready not merely to kneel but to pass through fire, our miraculous healer, mother of the orphan and the widowed! 	Которая благодетельная фея даровала мне жизнь, указала мне путь истинный и просветила мудрование мое скептическое, перед тою согласен стоять не только на коленях, но и в огне, целительница наша чудесная, мать сирых и вдовых! 
14	I have recovered. 	Выздоровел! 
15	"I am a new man, enchantress!"" "	Воскрес, волшебница! 
16	"""I . . . I am very glad . . ."" mutters the lady, flushing with pleasure. ""It's so pleasant to hear that. . . "	-- Я... я очень рада... -- бормочет генеральша, краснея от удовольствия. -- Это так приятно слышать... 
17	Sit down please! 	Садитесь, пожалуйста! 
18	"Why, you were so seriously ill that Tuesday."" "	А ведь вы в тот вторник были так тяжело больны! 
19	"""Yes indeed, how ill I was! "	-- Да ведь как болен! 
