	en	ru
0	'Tis the opinion of myself, Sanderson Pratt, who sets this down, that the educational system of the United States should be in the hands of the weather bureau. 	Я, Сандерсон Пратт, пишущий эти строки, полагаю, что системе образования в Соединенных Штатах следовало бы находиться в ведении бюро погоды. 
1	I can give you good reasons for it; and you can't tell me why our college professors shouldn't be transferred to the meteorological department. 	В пользу этого я могу привести веские доводы. Ну, скажите, почему бы наших профессоров не передать метеорологическому департаменту? 
2	They have been learned to read; and they could very easily glance at the morning papers and then wire in to the main office what kind of weather to expect. 	Их учили читать, и они легко могли бы пробегать утренние газеты и потом телеграфировать в главную контору, какой ожидать погоды. 
3	But there's the other side of the proposition. 	Но этот вопрос интересен и с другой стороны. 
4	I am going on to tell you how the weather furnished me and Idaho Green with an elegant education. 	Сейчас я собираюсь вам рассказать, как погода снабдила меня и Айдахо Грина светским образованием. 
5	We was up in the Bitter Root Mountains over the Montana line prospecting for gold. 	Мы находились и горах Биттер-Рут, за хребтом Монтана, искали золота. 
6	A chin-whiskered man in Walla-Walla, carrying a line of hope as excess baggage, had grubstaked us; and there we was in the foothills pecking away, with enough grub on hand to last an army through a peace conference. 	В местечке Уолла-Уолла один бородатый малый, надеясь неизвестно на что, выдал нам аванс. И вот мы торчали в горах, ковыряя их понемножку и располагая запасом еды, которого хватило бы на прокорм целой армии на все время мирной конференции. 
7	Along one day comes a mail-rider over the mountains from Carlos, and stops to eat three cans of greengages, and leave us a newspaper of modern date. 	В один прекрасный день приезжает из Карлоса почтальон, делает у нас привал, съедает три банки сливовых консервов и оставляет нам свежую газету. 
8	"This paper prints a system of premonitions of the weather, and the card it dealt Bitter Root Mountains from the bottom of the deck was ""warmer and fair, with light westerly breezes."" "	Эта газета печатала сводки предчувствий погоды, и карта, которую она сдала горам Биттер-Рут с самого низа колоды, означала: «Тепло и ясно, ветер западный, слабый». 
9	That evening it began to snow, with the wind strong in the east. 	В тот же день вечером пошел снег и подул сильный восточный ветер. 
10	Me and Idaho moved camp into an old empty cabin higher up the mountain, thinking it was only a November flurry. 	Мы с Айдахо перенесли свою стоянку повыше, в старую заброшенную хижину, думая, что это всего-навсего налетела ноябрьская метелица. 
11	But after falling three foot on a level it went to work in earnest; and we knew we was snowed in. 	Но когда на ровных местах снегу выпало на три фута, непогода разыгралась всерьез, и мы поняли, что нас занесло. 
12	We got in plenty of firewood before it got deep, and we had grub enough for two months, so we let the elements rage and cut up all they thought proper. 	Груду топлива мы натаскали еще до того, как его засыпало, кормежки у нас должно было хватить на два месяца, так что мы предоставили стихиям бушевать и злиться, как им заблагорассудится. 
13	If you want to instigate the art of manslaughter just shut two men up in a eighteen by twenty-foot cabin for a month. 	Если вы хотите поощрять ремесло человекоубийства, заприте на месяц двух человек в хижине восемнадцать на двадцать футов. 
14	Human nature won't stand it. 	Человеческая натура этого не выдержит. 
15	When the first snowflakes fell me and Idaho Green laughed at each other's jokes and praised the stuff we turned out of a skillet and called bread. 	Когда упали первые снежные хлопья, мы хохотали над своими остротами да похваливали бурду, которую извлекали из котелка и называли хлебом. 
16	At the end of three weeks Idaho makes this kind of a edict to me. 	К концу третьей недели Айдахо опубликовывает такого рода эдикт. 
17	"Says he: ""I never exactly heard sour milk dropping out of a balloon on the bottom of a tin pan, but I have an idea it would be music of the spears compared to this attenuated stream of asphyxiated thought that emanates out of your organs of conversation. "	— Я не знаю, какой звук издавало бы кислое молоко, падая с воздушного шара на дно жестяной кастрюльки, но, мне кажется, это было бы небесной музыкой по сравнению с бульканьем жиденькой струйки дохлых мыслишек, истекающих из ваших разговорных органов. 
18	"The kind of half- masticated noises that you emit every day puts me in mind of a cow's cud, only she's lady enough to keep hers to herself, and you ain't."" "	Полупрожеванные звуки, которые вы ежедневно издаете, напоминают мне коровью жвачку с той только разницей, что корова — особа воспитанная и оставляет свое при себе, а вы нет. 
19	"""Mr. Green,"" says I, ""you having been a friend of mine once, I have some hesitations in confessing to you that if I had my choice for society between you and a common yellow, three-legged cur pup, one of the inmates of this here cabin would be wagging a tail just at present."" "	— Мистер Грин, — говорю я, — вы когда-то были моим приятелем, и это мешает мне сказать вам со всей откровенностью, что если бы мне пришлось выбирать между вашим обществом и обществом обыкновенной кудлатой, колченогой дворняжки, то один из обитателей этой хибарки вилял бы сейчас хвостом. 
20	This way we goes on for two or three days, and then we quits speaking to one another. 	В таком духе мы беседуем несколько дней, а потом и вовсе перестаем разговаривать. 
21	We divides up the cooking implements, and Idaho cooks his grub on one side of the fireplace, and me on the other. 	Мы делим кухонные принадлежности, и Айдахо стряпает на одном конце очага, а я — на другом. 
22	The snow is up to the windows, and we have to keep a fire all day. 	Снега навалило по самые окна, и огонь приходилось поддерживать целый день. 
23	"You see me and Idaho never had any education beyond reading and doing ""if John had three apples and James five"" on a slate. "	Мы с Айдахо, надо вам доложить, не имели никакого образования, разве что умели читать да вычислять на грифельной доске 
24	We never felt any special need for a university degree, though we had acquired a species of intrinsic intelligence in knocking around the world that we could use in emergencies. 	«Если у Джона три яблока, а у Джеймса пять…» Мы никогда не ощущали особой необходимости в университетском дипломе, так как, болтаясь по свету, приобрели кое-какие истинные познание и могли ими пользоваться в критических обстоятельствах. 
