	en	ru
0	Project Gutenberg,Produced by Charles Keller THE MYSTERIOUS AFFAIR AT STYLES By Agatha Christie 	Агата Кристи ТАИНСТВЕННОЕ ПРОИСШЕСТВИЕ В СТАЙЛЗ 
1	CHAPTER I. 	1. 
2	I GO TO STYLES 	 Я приезжаю в Стайлз 
3	"The intense interest aroused in the public by what was known at the time as ""The Styles Case"" has now somewhat subsided. "	Необычайный интерес, вызванный нашумевшим в свое время «убийством в Стайлз», сегодня уже заметно поутих. 
4	Nevertheless, in view of the world-wide notoriety which attended it, I have been asked, both by my friend Poirot and the family themselves, to write an account of the whole story. 	Однако вся история получила в те дни такую широкую огласку, что мой друг Пуаро и сами участники драмы попросили меня подробно изложить обстоятельства этого дела. 
5	This, we trust, will effectually silence the sensational rumours which still persist. 	Надеемся, что это положит конец скандальным слухам, до сих пор витающим вокруг этой истории. 
6	I will therefore briefly set down the circumstances which led to my being connected with the affair. 	Постараюсь коротко изложить обстоятельства, благодаря которым я стал свидетелем тех событий. 
7	I had been invalided home from the Front; and, after spending some months in a rather depressing Convalescent Home, was given a month's sick leave. 	Я был ранен на фронте и отправлен в тыл, где провел несколько месяцев в довольно неприглядном госпитале, после чего получил месячный отпуск. 
8	Having no near relations or friends, I was trying to make up my mind what to do, when I ran across John Cavendish. 	И вот, когда я раздумывал, где его провести (поскольку не имел ни друзей, ни близких знакомых), случай свел меня с Джоном Кавендишем. 
9	I had seen very little of him for some years. Indeed, I had never known him particularly well. 	Виделся я с ним крайне редко, да мы никогда не были особыми друзьями. 
10	He was a good fifteen years my senior, for one thing, though he hardly looked his forty-five years. 	Он на добрых пятнадцать лет старше меня, хотя выглядел гораздо моложе своих сорока пяти. 
11	As a boy, though, I had often stayed at Styles, his mother's place in Essex. We had a good yarn about old times, and it ended in his inviting me down to Styles to spend my leave there. 	В детстве я часто бывал в Стайлз, в поместье его матери в Эссексе, и мы долго болтали, вспоминая то далекое время. Разговор закончился тем, что Джон предложил мне провести отпуск в Стайлз. 
12	"""The mater will be delighted to see you again—after all those years,"" he added. "	– Это будет просто великолепно, если ты снова приедешь к нам. Ведь прошло столько лет! – воскликнул он. 
13	"""Your mother keeps well?"" I asked. "	– А как поживает твоя мать? – спросил я. 
14	"""Oh, yes. "	– Прекрасно. 
15	"I suppose you know that she has married again?"" "	Надеюсь, ты знаешь, что она снова вышла замуж? 
16	I am afraid I showed my surprise rather plainly. 	– Боюсь, что я не сумел скрыть своего удивления. 
17	Mrs. Cavendish, who had married John's father when he was a widower with two sons, had been a handsome woman of middle-age as I remembered her. 	Отец Джона, после смерти первой жены, оказался один с двумя детьми, и миссис Кавендиш, которая вышла за него замуж, была, насколько я помню, женщиной хотя и привлекательной, но уже в возрасте. 
18	She certainly could not be a day less than seventy now. 	Сейчас ей, видимо, было не меньше семидесяти. 
19	I recalled her as an energetic, autocratic personality, somewhat inclined to charitable and social notoriety, with a fondness for opening bazaars and playing the Lady Bountiful. 	Я помнил, что она была натурой энергичной, властной, но весьма щедрой и к тому же обладала довольно большим личным состоянием. 
20	She was a most generous woman, and possessed a considerable fortune of her own. 	Постоянная помощь бедным и участие в многочисленных благотворительных базарах даже принесли ей определенную известность. 
21	Their country-place, Styles Court, had been purchased by Mr. Cavendish early in their married life. 	Усадьбу Стайлз Корт мистер Кавендиш приобрел еще в самом начале их совместной жизни. 
22	He had been completely under his wife's ascendancy, so much so that, on dying, he left the place to her for her lifetime, as well as the larger part of his income; an arrangement that was distinctly unfair to his two sons. 	Находясь полностью под влиянием жены, он перед смертью завещал ей поместье и большую часть состояния, что было весьма несправедливо по отношению к двум его сыновьям. 
23	Their step-mother, however, had always been most generous to them; indeed, they were so young at the time of their father's remarriage that they always thought of her as their own mother. 	Впрочем, мачеха была исключительно добра к ним, и братья всегда считали ее родной матерью. К тому же они были еще совсем детьми, когда мистер Кавендиш женился вторично. 
24	Lawrence, the younger, had been a delicate youth. 	Младший из братьев, Лоуренс, был чувствительным юношей. 
25	He had qualified as a doctor but early relinquished the profession of medicine, and lived at home while pursuing literary ambitions; though his verses never had any marked success. 	Он получил медицинское образование, но вскоре оставил практику и поселился в поместье. Лоуренс решил посвятить себя литературе, хотя его стихи не имели ни малейшего успеха. 
26	John practiced for some time as a barrister, but had finally settled down to the more congenial life of a country squire. 	Джон занимался некоторое время адвокатской практикой, но жизнь сельского сквайра была ему больше по нутру, и вскоре он тоже поселился под родительским кровом. 
27	He had married two years ago, and had taken his wife to live at Styles, though I entertained a shrewd suspicion that he would have preferred his mother to increase his allowance, which would have enabled him to have a home of his own. 	Два года назад он женился и теперь жил в Стайлз вместе с супругой, хотя я сильно подозреваю, что он предпочел бы получить от матери большее содержание и обзавестись собственным домом. 
28	Mrs. Cavendish, however, was a lady who liked to make her own plans, and expected other people to fall in with them, and in this case she certainly had the whip hand, namely: the purse strings. 	Однако миссис Кавендиш была из породы людей, которые строят жизненные планы не только для себя, но и для окружающих, и имела все основания предполагать, что не встретит с их стороны никаких возражений: ведь у нее был самый сильный аргумент – деньги. 
29	John noticed my surprise at the news of his mother's remarriage and smiled rather ruefully. 	Джон заметил мое удивление по поводу замужества матери и уныло усмехнулся. 
30	"""Rotten little bounder too!"" he said savagely. ""I can tell you, Hastings, it's making life jolly difficult for us. "	– На редкость гнусный проходимец, – резко выпалил он. – Поверь мне, Хастингс, наша жизнь стала просто невыносимой. 
31	"As for Evie—you remember Evie?"" "	Что же касается Эви… Ты ведь помнишь ее? 
32	"""No."" "	– Нет. 
33	"""Oh, I suppose she was after your time. "	– Да, видимо, ее еще тогда у нас не было. 
34	She's the mater's factotum, companion, Jack of all trades! 	Она компаньонка матери, скорее, даже ее советчица во всех делах. Все знает, все умеет! 
35	A great sport—old Evie! 	Эта Эви для нас просто находка. 
36	"Not precisely young and beautiful, but as game as they make them."" "	Конечно, не красавица и не первой молодости, но в доме она буквально незаменима. 
37	"""You were going to say——?"" "	– Ты говорил о… 
38	"""Oh, this fellow! "	– Да, я говорил об этом типе. 
39	He turned up from nowhere, on the pretext of being a second cousin or something of Evie's, though she didn't seem particularly keen to acknowledge the relationship. 	В один прекрасный день он неожиданно свалился к нам на голову и заявил, что он троюродный брат Эви или что-то в этом роде. Она не выглядела особенно счастливой от встречи с родственничком. 
40	The fellow is an absolute outsider, anyone can see that. 	Было сразу видно, что этот тип ей абсолютно чужд. 
41	He's got a great black beard, and wears patent leather boots in all weathers! 	У него, кстати, огромная черная борода, и в любую погоду он носит одни и те же кожаные ботинки! 
42	"But the mater cottoned to him at once, took him on as secretary—you know how she's always running a hundred societies?"" "	Но мамаша сразу сочувствовала к нему симпатию и сделала своим секретарем. Ты ведь знаешь, она всегда состоит в доброй сотне благотворительных обществ. 
43	I nodded. 	Я кивнул. 
44	"""Well, of course the war has turned the hundreds into thousands. "	– Вот, вот. А война превратила сотни в тысячи! 
45	No doubt the fellow was very useful to her. But you could have knocked us all down with a feather when, three months ago, she suddenly announced that she and Alfred were engaged! 	Естественно, этот тип был ей весьма полезен, но когда через три месяца она объявила о своей помолвке с Альфредом, это было для нас как гром среди ясного неба. 
46	The fellow must be at least twenty years younger than she is! 	Он же лет на двадцать моложе ее! 
47	"It's simply bare-faced fortune hunting; but there you are—she is her own mistress, and she's married him."" "	Это просто откровенная охота за наследством. Но что поделаешь… она никого и слушать не хотела – вышла за него замуж, и все тут! 
48	"""It must be a difficult situation for you all."" "	– Да, ситуация у вас не из приятных… 
49	"""Difficult! "	– Не из приятных? 
50	"It's damnable!"" "	Да это просто кошмар! 
51	Thus it came about that, three days later, I descended from the train at Styles St. Mary, an absurd little station, with no apparent reason for existence, perched up in the midst of green fields and country lanes. 	Вот так случайная встреча и привела к тому, что тремя днями позже я сошел с поезда в Стайлз Сент-Мэри. Это был маленький, нелепый полустанок, непонятно для чего затерявшийся среди сельских проселочных дорог и зелени окрестных полей. 
