	en	ru
0	William Somerset Maugham. 	Сомерсет Моэм. 
1	The Theatre. 	Театр. Пер. - Г.Островская. 
2	1. 	1. 
3	THE door opened and Michael Gosselyn looked up. 	Дверь отворилась, Майкл Госселин поднял глаза. 
4	Julia came in. 	В комнату вошла Джулия. 
5	"""Hulloa! "	- Это ты? 
6	I won't keep you a minute. 	Я тебя не задержу. Всего  одну  минутку. 
7	"I was just signing some letters."" "	Только  покончу  с письмами. 
8	"""No hurry. "	-  Я  не  спешу. 
9	I only came to see what seats had been sent to the Dennorants. 	Просто  зашла  посмотреть,   какие   билеты   послали Деннорантам. 
10	"What's that young man doing here?"" "	Что тут делает этот молодой человек? 
11	With the experienced actress's instinct to fit the gesture to the word, by a movement of her neat head she indicated the room through which she had just passed. 	С безошибочным чутьем опытной актрисы приурочивая  жест  к  слову,  она указала движением изящной головки на комнату,  через  которую  только  что прошла. 
12	"""He's the accountant. "	- Это бухгалтер. 
13	He comes from Lawrence and Hamphreys. 	Из конторы Лоренса и Хэмфри. 
14	"He's been here three days."" "	Он здесь уже три дня. 
15	"""He looks very young."" "	- Выглядит очень юным. 
16	"""He's an articled clerk. "	- Он у них в учениках  по  контракту. 
17	He seems to know his job. 	Похоже,  что  дело  свое  знает. 
18	He can't get over the way our accounts are kept. 	Поражен тем, как ведутся у нас  бухгалтерские  книги. 
19	He told me he never expected a theatre to be run on such businesslike lines. 	Он  не  представлял себе, что можно поставить театр на деловые рельсы. 
20	"He says the way some of those firms in the city keep their accounts is enough to turn your hair grey."" "	Говорит,  в  некоторых фирмах счетные книги в таком состоянии, что поседеть можно. 
21	«Julia smiled at the complacency on her husband's handsome face. 	"""Джулия  улыбнулась,  глядя   на   красивое   лицо   мужа,   излучающее самодовольство. "
22	"""He's a young man of tact."" "	- Тактичный юноша. 
23	"""He finishes today. "	- Он сегодня кончает. 
24	I thought we might take him back with us and give him a spot of lunch. 	Не взять ли его  с  собой  перекусить  на  скорую руку? 
25	"He's quite a gentleman."" "	Он вполне хорошо воспитан. 
26	"""Is that a sufficient reason to ask him to lunch?"" "	- По-твоему, этого достаточно, чтобы приглашать его к ленчу? 
27	Michael did not notice the faint irony of her tone. 	Майкл не заметил легкой иронии, прозвучавшей в ее голосе. 
28	"""I won't ask him if you don't want him. "	- Если ты возражаешь, я не стану его звать. 
29	I merely thought it would be a treat for him. 	Я просто подумал,  что  это доставит ему большое удовольствие. 
30	He admires you tremendously. 	Он страшно тобой восхищается. 
31	He's been to see the play three times. 	Три  раза ходил на последнюю пьесу. 
32	"He's crazy to be introduced to you."" "	Ему до смерти хочется познакомиться с тобой. 
33	Michael touched a button and in a moment his secretary came in. 	Майкл нажал кнопку, и через секунду на пороге появилась его секретарша. 
34	"""Here are the letters, Margery. "	- Письма готовы, Марджори. 
35	"What appointments have I got for this afternoon?"" "	Какие на сегодня у меня назначены встречи? 
36	Julia with half an ear listened to the list Margery read out and, though she knew the room so well, idly looked about her. 	Джулия вполуха слушала список, который читала  Марджори,  и  от  нечего делать оглядывала комнату, хотя помнила  ее  до  мелочей. 
37	It was a very proper room for the manager of a first-class theatre. 	Как  раз  такой кабинет и должен быть у антрепренера  первоклассного  театра. 
38	The walls had been panelled (at cost price) by a good decorator and on them hung engravings of theatrical pictures by Zoffany and de Wilde. 	Стены  были обшиты панелями (по себестоимости)  хорошим  декоратором,  на  них  висели гравюры на театральные сюжеты, выполненные Зоффани и де  Уайльдом. 
39	The armchairs were large and comfortable. 	Кресла удобные, большие. 
40	Michael sat in a heavily carved Chippendale chair, a reproduction but made by a well-known firm, and his Chippendale table, with heavy ball and claw feet, was immensely solid. 	Майкл сидел в чиппенделе [стиль английской мебели  XVIII века] - подделка, но куплена в известной мебельной фирме, -  его  стол,  с тяжелыми  пузатыми  ножками,  тоже  чиппендель,   выглядел   необыкновенно солидно. 
41	On it stood in a massive silver frame a photograph of herself and to balance it a photograph of Roger, their son. 	На столе стояли ее фотография в массивной серебряной рамке и, для симметрии, фотография Роджера, их сына. 
42	Between these was a magnificent silver ink-stand that she had herself given him on one of his birthdays and behind it a rack in red morocco, heavily gilt, in which he kept his private paper in case he wanted to write a letter in his own hand. 	Между ними помещался  великолепный серебряный чернильный прибор, который она подарила как-то  Майклу  в  день рождения, а впереди бювар из красного сафьяна с  богатым  золотым  узором, где Майкл держал бумагу, на случай, если ему вздумается написать письмо от руки. 
43	The paper bore the address, Siddons Theatre, and the envelope his crest, a boar’s head with the motto underneath: Nemo me impune lacessit. 	"На бумаге был адрес: ""Сиддонс-театр"", на конвертах  эмблема  Майкла: кабанья голова, а под ней девиз: ""Nemo m impune lacessit"" [никто не тронет меня безнаказанно (лат.)]. "
44	A bunch of yellow tulips in a silver bowl, which he had got through winning the theatrical golf tournament three times running, showed Margery’s care. 	Желтые тюльпаны в серебряной  вазе,  выигранной Майклом на  состязаниях  по  гольфу  среди  актеров,  свидетельствовали  о заботливости Марджори. 
45	Julia gave her a reflective glance. 	Джулия бросила на нее задумчивый  взгляд. 
46	Notwithstanding her cropped peroxide hair and her heavily-painted lips she had the neutral look that marks the perfect secretary. 	Несмотря на коротко стриженные, обесцвеченные перекисью волосы и густо  накрашенные губы, у  нее  был  бесполый  вид,  отличающий  идеальную  секретаршу. 
47	She had been with Michael for five years. In that time she must have got to know him inside and out. 	Она проработала с Майклом пять лет, должна была вдоль и поперек изучить его за это время. 
48	Julia wondered if she could be such a fool as to be in love with him. 	Интересно, хватило у нее ума влюбиться в него? 
49	But Michael rose from his chair. 	Майкл поднялся с кресла. 
50	‘Now, darling, I’m ready for you.’ 	- Ну, дорогая, я готов. 
51	Margery gave him his black Homburg hat and opened the door for Julia and Michael to go out. 	Марджори подала ему черную фетровую шляпу и распахнула дверь. 
52	As they entered the office the young man Julia had noticed turned round and stood up. 	Когда они вышли в контору, юноша, которого заметила, проходя,  Джулия,  обернулся  и встал. 
53	‘I should like to introduce you to Miss Lambert,’ said Michael. 	- Разрешите познакомить вас с миссис Лэмберт,  -  сказал  Майкл. 
54	Then with the air of an ambassador presenting an attache to the sovereign of the court to which he is accredited: 	Затем добавил с видом посла, представляющего атташе царственной особе, при дворе которой он аккредитован: 
55	‘This is the gentleman who is good enough to put some order into the mess we make of our accounts.’ 	- Это тот джентльмен, который любезно  согласился  привести  в  порядок наши бухгалтерские книги. 
56	The young man went scarlet. 	Юноша залился ярким румянцем. 
57	He smiled stiffly in answer to Julia’s warm, ready smile and she felt the palm of his hand wet with sweat when she cordially grasped it. 	На теплую улыбку Джулии, всегда бывшую  у нее наготове, он ответил деревянной улыбкой. А сердечно  пожав  ему  руку, она отметила, что ладонь его стала влажной  от  пота. 
58	His confusion was touching. 	Его  смущение  было трогательно. 
59	That was how people had felt when they were presented to Sarah Siddons. 	Так, верно,  чувствовали  себя  те,  кого  представляли  Саре Сиддонс [Сидонс Сара (1755-1831) - знаменитая английская актриса]. 
60	She thought that she had not been very gracious to Michael when he had proposed asking the boy to luncheon. 	Джулия подумала, что не очень-то любезно  ответила  Майклу,  когда  он  предложил позвать мальчика  на  ленч. 
61	She looked straight into his eyes. Her own were large, of a very dark brown, and starry. 	Она  посмотрела  ему  прямо  в  глаза  своими огромными темно-карими лучистыми  глазами. 
62	It was no effort to her, it was as instinctive as brushing away a fly that was buzzing round her, to suggest now a faintly amused, friendly tenderness. 	Без  всякого  усилия,  так  же инстинктивно, как отмахнулась бы от докучавшей  ей  мухи,  она  вложила  в голос чуть ироничное, ласковое радушие: 
