	en	ru
0	THE ONE THOUSAND DOZEN 	Джек Лондон Тысяча дюжин 
1	David Rasmunsen was a hustler, and, like many a greater man, a man of the one idea. 	Дэвид Расмунсен отличался предприимчивостью и, как многие, даже менее заурядные люди, был одержим одной идеей. 
2	Wherefore, when the clarion call of the North rang on his ear, he conceived an adventure in eggs and bent all his energy to its achievement. 	Вот почему, когда трубный глас Севера коснулся его ушей, он решил спекулировать яйцами и все свои силы посвятил этому предприятию. 
3	He figured briefly and to the point, and the adventure became iridescent-hued, splendid. 	Он произвел краткий и точный подсчет, и будущее заискрилось и засверкало перед ним всеми цветами радуги. 
4	That eggs would sell at Dawson for five dollars a dozen was a safe working premise. 	В качестве рабочей гипотезы можно было допустить, что яйца в Доусоне будут стоить не дешевле пяти долларов за дюжину. 
5	Whence it was incontrovertible that one thousand dozen would bring, in the Golden Metropolis, five thousand dollars. 	Отсюда следовало, что на одной тысяче дюжин в Столице Золота можно будет заработать пять тысяч долларов. 
6	On the other hand, expense was to be considered, and he considered it well, for he was a careful man, keenly practical, with a hard head and a heart that imagination never warmed. 	С другой стороны, следовало учесть расходы, и он их учел, как человек осторожный, весьма практический и трезвый, неспособный увлекаться и действовать очертя голову. 
7	At fifteen cents a dozen, the initial cost of his thousand dozen would be one hundred and fifty dollars, a mere bagatelle in face of the enormous profit. 	При цене пятнадцать центов за дюжину тысяча дюжин яиц обойдется в сто пятьдесят долларов — сущие пустяки по сравнению с громадной прибылью. 
8	And suppose, just suppose, to be wildly extravagant for once, that transportation for himself and eggs should run up eight hundred and fifty more; he would still have four thousand clear cash and clean when the last egg was disposed of and the last dust had rippled into his sack. 	А если предположить — только предположить — такую баснословную дороговизну, что на дорогу и провоз яиц уйдет восемьсот пятьдесят долларов, все же, после того как он продаст последнее яйцо и ссыплет в мешок последнюю щепотку золотого песка, на руках у него останется чистых четыре тысячи. 
9	“You see, Alma,”—he figured it over with his wife, the cosy dining-room submerged in a sea of maps, government surveys, guide-books, and Alaskan itineraries,—“you see, expenses don’t really begin till you make Dyea—fifty dollars’ll cover it with a first-class passage thrown in. 	— Понимаешь, Альма, — высчитывал он вслух, сидя с женой в уютной столовой, заваленной картами, правительственными отчетами и путеводителями по Аляске, — понимаешь ли, расходы по-настоящему начинаются только с Дайи, а на дорогу до Дайи за глаза хватит пятидесяти долларов, даже если ехать первым классом. 
10	Now from Dyea to Lake Linderman, Indian packers take your goods over for twelve cents a pound, twelve dollars a hundred, or one hundred and twenty dollars a thousand. 	Ну-с, от Дайи до озера Линдерман индейцы-носильщики берут по двенадцати центов с фунта, то есть двенадцать долларов с сотни фунтов, а с тысячи — сто двадцать долларов. 
11	Say I have fifteen hundred pounds, it’ll cost one hundred and eighty dollars—call it two hundred and be safe. 	У меня будет, скажем, полторы тысячи фунтов, это обойдется в сто восемьдесят долларов; прикинем что-нибудь для верности — ну, хотя бы в двести. 
12	I am creditably informed by a Klondiker just come out that I can buy a boat for three hundred. 	Один приезжий из Клондайка заверял меня честным словом, что лодку на Линдермане можно купить за триста долларов. 
13	But the same man says I’m sure to get a couple of passengers for one hundred and fifty each, which will give me the boat for nothing, and, further, they can help me manage it. 	Он же говорил, что нетрудно подыскать двух пассажиров, по сто пятьдесят долларов с головы, — значит, лодка обойдется даром, а кроме того, они будут помогать в пути. 
14	And . . . that’s all; I put my eggs ashore from the boat at Dawson. 	Ну… вот и все. В Доусоне я выгружаю яйца прямо на берег. 
15	Now let me see how much is that?” 	Ну-ка, сколько же это всего получается? 
16	“Fifty dollars from San Francisco to Dyea, two hundred from Dyea to Linderman, passengers pay for the boat—two hundred and fifty all told,” she summed up swiftly. 	— Пятьдесят долларов от Сан-Франциско до Дайи, двести от Дайи до Линдермана, за лодку платят пассажиры, — значит, всего двести пятьдесят, — быстро подсчитала жена. 
17	“And a hundred for my clothes and personal outfit,” he went on happily; “that leaves a margin of five hundred for emergencies. And what possible emergencies can arise?” 	— Да еще сто на одежду и снаряжение, — радостно подхватил муж, — значит, пятьсот останется про запас, на экстренные расходы. 
18	Alma shrugged her shoulders and elevated her brows. 	Альма пожала плечами и подняла брови. 
19	If that vast Northland was capable of swallowing up a man and a thousand dozen eggs, surely there was room and to spare for whatever else he might happen to possess. 	Если просторы Севера могут поглотить человека и тысячу дюжин яиц, они смогут поглотить и все его достояние. 
20	So she thought, but she said nothing. 	Так она подумала, но не сказала ничего. 
21	She knew David Rasmunsen too well to say anything. 	Она слишком хорошо знала Дэвида Расмунсена и потому предпочла промолчать. 
22	“Doubling the time because of chance delays, I should make the trip in two months. 	— Если даже положить вдвое больше времени — на случайные задержки, — то на всю поездку уйдет два месяца. 
23	Think of it, Alma! 	Подумай только, Альма! 
24	Four thousand in two months! 	Четыре тысячи в два месяца! 
