	en	ru
0	Heller, Joseph - Catch-22             	"Уловка-22 Джозеф Хеллер  Изд. ""Трамвай""-Киев-1995г.  OCR & Spellcheck : Валентин Мачулис.  "
1	 The Texan       It was love at first sight.      The first time Yossarian saw the chaplain he fell madly in love with him. 	Техасец  
2	     Yossarian was in the hospital with a pain in his liver that fell just short of being jaundice.  The doctors were puzzled by the fact that it wasn’t quite jaundice. 	    Йоссариан лежал в госпитале с болями в печени.  Подозрение падало на желтуху.  Однако для настоящей желтухи чего-то не хватало, и это ставило врачей в тупик.  
3	 If it became jaundice they could treat it. 	Будь это желтуха, они могли бы начать лечение. 
4	 If it didn’t become jaundice and went away they could discharge him.  But this just being short of jaundice all the time confused them. 	 Но болезни не хватало самой малости, чтобы стать настоящей полноценной желтухой, и это все время смущало врачей.  Выписать же Йоссариана из госпиталя они не решались.  
5	     Each morning they came around, three brisk and serious men with efficient mouths and inefficient eyes, accompanied by brisk and serious Nurse Duckett, one of the ward nurses who didn’t like Yossarian. 	Каждое утро они делали обход — трое серьезных энергичных мужчин.  Твердо сжатые губы выражали уверенность, которой явно недоставало их глазам.  Врачей сопровождала такая же серьезная и энергичная сестра Даккит, как и другие палатные сестры, недолюбливавшая Йоссариана. 
6	 They read the chart at the foot of the bed and asked impatiently about the pain. 	 Доктора просматривали висящий на спинке кровати температурный, лист и нетерпеливо расспрашивали Йоссариана о болях в печени. 
7	 They seemed irritated when he told them it was exactly the same.      	 Казалось, их раздражало, что изо дня в день он отвечал одно и то же.  
8	‘Still no movement?’ the full colonel demanded. 	— И по-прежнему не было стула? — допытывался медицинский полковник.  
9	     The doctors exchanged a look when he shook his head.      	Каждый раз, когда больной отрицательно качал головой, врачи переглядывались.  
10	‘Give him another pill.’ 	— Дайте ему еще одну таблетку.  
11	 Nurse Duckett made a note to give Yossarian another pill, and the four of them moved along to the next bed. 	Сестра Даккит записывала, что Йоссариану нужно дать еще одну таблетку, и все четверо переходили к следующей койке.  
12	 None of the nurses liked Yossarian. 	Медсестры недолюбливали Иоссариана. 
13	 Actually, the pain in his liver had gone away, but Yossarian didn’t say anything and the doctors never suspected. 	 На самом деле боли в печени давно прошли, но Йоссариан скрывал это от врачей, и они ни о чем не догадывались. 
14	 They just suspected that he had been moving his bowels and not telling anyone. 	 Они лишь подозревали, что он тайком бегает в уборную.  
15	     Yossarian had everything he wanted in the hospital. 	В госпитале у Йоссариана было все, что душе угодно. 
16	 The food wasn’t too bad, and his meals were brought to him in bed. 	 Кормили недурно, к тому же еду подавали прямо в постель. 
17	 There were extra rations of fresh meat, and during the hot part of the afternoon he and the others were served chilled fruit juice or chilled chocolate milk. 	 В дневной рацион входила дополнительная порция превосходного мяса, а в полдень, в самую жару, ему, как и другим, приносили охлажденный фруктовый сок или шоколадный напиток. 
18	 Apart from the doctors and the nurses, no one ever disturbed him. 	 Если не считать врачей и сестер, его никто не беспокоил. 
19	 For a little while in the morning he had to censor letters, but he was free after that to spend the rest of each day lying around idly with a clear conscience. 	 Правда, по утрам часок-другой ему приходилось выполнять обязанности почтового цензора, зато все остальное время он был предоставлен самому себе и валялся до самого вечера, нисколько не мучась угрызениями совести. 
20	 He was comfortable in the hospital, and it was easy to stay on because he always ran a temperature of 101. 	 Жизнь в госпитале была удобна и приятна.  Ему не стоило большого труда оставаться здесь и дальше, потому что температура у него держалась всегда одна и та же — тридцать восемь и три десятых. 
21	 He was even more comfortable than Dunbar, who had to keep falling down on his face in order to get his meals brought to him in bed. 	 Ему было намного лучше, чем, скажем, Данбэру, которому, чтобы заставить сестер приносить обед в постель, приходилось то и дело грохаться на пол и расквашивать себе физиономию. 
22	     After he had made up his mind to spend the rest of the war in the hospital, Yossarian wrote letters to everyone he knew saying that he was in the hospital but never mentioning why. 	 Решив потянуть так время до конца войны, Йоссариан написал всем знакомым, что находится в госпитале, не уточняя, однако, почему именно. 
23	 One day he had a better idea. 	 А потом ему пришла в голову еще более удачная мысль. 
24	 To everyone he knew he wrote that he was going on a very dangerous mission.  	 Он оповестил всех знакомых, что его посылают на особо опасное задание.  
25	‘They asked for volunteers. 	«Требовались добровольцы. 
26	 It’s very dangerous, but someone has to do it. 	 Дело рискованное, но кому-то ведь надо идти и на рискованные дела. 
27	 I’ll write you the instant I get back.’ 	 Как только вернусь — черкану». 
28	 And he had not written anyone since. 	 И с тех пор никому не написал ни строчки. 
29	     All the officer patients in the ward were forced to censor letters written by all the enlisted-men patients, who were kept in residence in wards of their own. 	 Всех офицеров из палаты Йоссариана заставляли цензуровать письма больных из рядового и сержантского состава, которые лежали в отведенных для нижних чинов палатах. 
30	 It was a monotonous job, and Yossarian was disappointed to learn that the lives of enlisted men were only slightly more interesting than the lives of officers. 	 Это было нудное занятие, и Йоссариан, читая письма, с разочарованием убедился, что жизнь рядовых и сержантов лишь немногим интереснее жизни офицеров. 
31	 After the first day he had no curiosity at all.  To break the monotony he invented games. 	 Уже на второй день он утратил всякий интерес к солдатским письмам, но, чтобы работа не казалась слишком скучной, он изобретал для себя всякие забавы.  
32	 Death to all modifiers, he declared one day, and out of every letter that passed through his hands went every adverb and every adjective. 	«Смерть определениям!» — объявил он однажды и начал вычеркивать из каждого письма, проходившего через его руки, все наречия и прилагательные. 
33	 The next day he made war on articles. 	 Назавтра Йоссариан объявил войну артиклям. 
34	 He reached a much higher plane of creativity the following day when he blacked out everything in the letters but a, an and the. 	 Но особую изобретательность он проявил на следующий день, вымарав в письмах все, кроме определенных и неопределенных артиклей. 
35	 That erected more dynamic intralinear tensions, he felt, and in just about every case left a message far more universal. 	 С его точки зрения, стиль после такой операции становился более энергичным и письма обретали более широкий смысл. 
36	 Soon he was proscribing parts of salutations and signatures and leaving the text untouched. 	 Вскоре он начал сражаться с обращениями и подписями, а текст письма оставлял нетронутым. 
37	 One time he blacked out all but the salutation  	 Однажды он вымарал все, кроме обращения  
38	‘Dear Mary’ from a letter, and at the bottom he wrote,  	«Дорогая Мари», а внизу приписал:  
39	‘I yearn for you tragically. 	«Тоскую по тебе ужасно! 
40	 R.  O.  Shipman, Chaplain, U.S.  Army.’ 	 А.Т.Тэппман, капеллан армии Соединенных Штатов». 
41	 R.O.  Shipman was the group chaplain’s name. 	 А.Т.Тэппман был капелланом их авиаполка.  
42	     When he had exhausted all possibilities in the letters, he began attacking the names and addresses on the envelopes, obliterating whole homes and streets, annihilating entire metropolises with careless flicks of his wrist as though he were God. 	Когда фантазия Йоссариана истощилась, все возможности поиздеваться над письмами были исчерпаны, он начал атаковать фамилии и адреса на конвертах.  Он отправлял в небытие дома и улицы и, словно господь бог, небрежным мановением руки стирал с лица земли целые столицы.  
43	 Catch-22 required that each censored letter bear the censoring officer’s name. 	Инструкция требовала, чтобы на каждом проверенном письме значилась фамилия цензора. 
44	 Most letters he didn’t read at all.  On those he didn’t read at all he wrote his own name. 	 Большинство писем Йоссариан не читал вообще и спокойно подписывал их своей фамилией. 
45	 On those he did read he wrote,  	 А на тех, которые читал, выводил:  
46	‘Washington Irving.’ 	«Вашингтон Ирвинг». 
47	 When that grew monotonous he wrote,  	 Когда ему и это надоело, он стал подписываться:  
48	‘Irving Washington.’ 	«Ирвинг Вашингтон».  
49	 Censoring the envelopes had serious repercussions, produced a ripple of anxiety on some ethereal military echelon that floated a C.I.D. man back into the ward posing as a patient. 	Его цензорские шалости на конвертах привели к серьезным последствиям.  Некие высокопоставленные военные чины обеспокоенно наморщили лбы и решили послать в госпиталь сотрудника контрразведки.  Под видом больного он вскоре появился в палате Йоссариана. 
