	en	ru
0	PART I: January 1976 	ЧАСТЬ ПЕРВАЯ. ЯНВАРЬ 1976 
1	Chapter One 	1 
2	ON THOSE CLOUDY DAYS, Robert Neville was never sure when sunset came, and sometimes they were in the streets before he could get back. 	В пасмурную погоду Роберт Нэвилль никогда не  мог  угадать  приближения темноты, и случалось, что  _они_  появлялись  на  улицах  прежде,  чем  он успевал скрыться. 
3	If he had been more analytical, he might have calculated the approximate time of their arrival; but he still used the lifetime habit of judging nightfall by the sky, and on cloudy days that method didn’t work. 	Задайся он такой целью, он, конечно, вычислил бы примерное  время  _их_ появления. Но он привык отмечать приближение темноты по солнцу и не  хотел отказываться от этой старой привычки даже в пасмурные дни,  когда  от  нее было мало проку. 
4	That was why he chose to stay near the house on those days. 	В такие дни он старался держаться поближе к дому. 
5	He walked around the house in the dull gray of afternoon, a cigarette dangling from the corner of his mouth, trailing threadlike smoke over his shoulder. 	Он не торопясь закурил и, отправив сигарету в уголок рта,  как  обычно, обошел  вокруг  дома. 
6	He checked each window to see if any of the boards had been loosened. 	Надо  было  проверить  все  окна:  не  ослабли   ли какие-нибудь доски. 
7	After violent attacks, the planks were often split or partially pried off, and he had to replace them completely; a job he hated. Today only one plank was loose. 	Часто после налетов доски бывали расщеплены и частично оторваны. Тогда их приходилось заменять. Он ненавидел это занятие. 
8	Isn’t that amazing? he thought. 	На этот раз только одна, не странно ли, - подумал он. 
9	In the back yard he checked the hothouse and the water tank. 	Он вышел на двор, проверил теплицу и  накопитель  воды. 
10	Sometimes the structure around the tank might be weakened or its rain catchers bent or broken off. Sometimes they would lob rocks over the high fence around the hothouse, and occasionally they would tear through the overhead net and he’d have to replace panes. 	Иногда  бывали повреждены крепления бака, иногда  погнуты  или  отломаны  дождеуловители. _Они_ швыряли камни через изгородь, и, хотя изгородь была  высокой,  камни долетали до теплицы и, несмотря на  натянутую  над  ней  сетку,  достигали цели. Приходилось ставить новые стекла. 
11	Both the tank and the hothouse were undamaged today. 	На этот раз и теплица и накопитель были в порядке. 
12	He went to the house for a hammer and nails. 	Он пошел в дом за молотком  и  гвоздями. 
13	As he pushed open the front door, he looked at the distorted reflection of himself in the cracked mirror he’d fastened to the door a month ago. 	У  самой  двери,  как  войти, висело, треснутое зеркало, которое он повесил всего с месяц тому назад. Он взглянул на свое кусочно-осколочное отражение. 
14	In a few days, jagged pieces of the silver-backed glass would start to fall off. 	Еще несколько дней - и  эти посеребренные стекляшки начнут выпадать. 
15	Let ‘em fall, he thought. 	И пусть падают, - подумал он. 
16	It was the last damned mirror he’d put there; it wasn’t worth it. 	Это проклятое зеркало - последнее, которое он  тут  повесил. Все  равно  зря. 
17	He’d put garlic there instead. Garlic always worked. 	Лучше повесить чеснок - и то больше проку. 
18	He passed slowly through the dim silence of the living room, turned left into the small hallway, and left again into his bedroom. 	Он прошел через темную гостиную в небольшой холл  и  зашел  в  спальню. 
19	Once the room had been warmly decorated, but that was in another time. 	Когда-то эта комната была неплохо обставлена, но это  было  давно. 
20	Now it was a room entirely functional, and since Neville’s bed and bureau took up so little space, he had converted one side of the room into a shop. 	Теперь здесь  все  было  функционально,  без  излишеств. Поскольку   кровать   и письменный  стол  занимали  немного  места,  полкомнаты   он   отвел   под мастерскую. 
21	A long bench covered almost an entire wall, on its hardwood top a heavy band saw; a wood lathe, an emery wheel, and a vise. 	Вдоль почти что всей стены был поставлен массивный деревянный  верстак, на котором базировались дисковая пила, рубанок, наждачный круг и тиски. 
22	Above it, on the wall, were haphazard racks of the tools that Robert Nèville used. 	На стеллаже над ним были развешаны инструменты. 
23	He took a hammer from the bench and picked out a few nails from one of the disordered bins. Then he went back outside and nailed the plank fast to the shutter. 	Он  взял  с  полки  молоток, несколько гвоздей из коробки, вышел и накрепко приколотил отошедшую доску. 
24	The unused nails he threw into the rubble next door. 	Оставшиеся гвозди швырнул возле двери. 
25	For a while he stood on the front lawn looking up and down the silent length of Cimarron Street. 	Стоя на лужайке перед домом, он некоторое время осматривал пустую в обе стороны   улицу. 
26	He was a tall man, thirty-six, born of English-German stock, his features undistinguished except for the long, determined mouth and the bright blue of his eyes, which moved now over the charred ruins of the houses on each side of his. He’d burned them down to prevent them from jumping on his roof from the adjacent ones. 	Высокого   роста,   тридцати   шести   лет   от   роду, англо-германских кровей. Черты его лица нельзя было бы назвать приметными, если бы не резко очерченный волевой рот и яркая глубина голубых  глаз. Он внимательно осмотрел пепелища прилегающих домов -  которые  спалил,  чтобы предохраниться от нападения сверху: чтобы нельзя было прыгнуть с крыши  на крышу. 
27	After a few minutes he took a long, slow breath and went back into the house. 	Эта рекогносцировка заняла несколько минут. Он  медленно,  глубоко вздохнул и направился к дому. 
28	He tossed the hammer on the living-room couch, then lit another cigarette and had his midmorning drink. 	Он швырнул молоток на кресло, снова  закурил и налил себе традиционный дневной стопарик. 
29	Later he forced himself into the kitchen to grind up the five-day accumulation of garbage in the sink. 	В кухню идти не хотелось. Но, немного посидев, он пересилил себя:  надо было разгрести кучу отходов, скопившуюся  в  раковине  за  последние  пять дней. 
30	He knew he should burn up the paper plates and utensils too, and dust the furniture and wash out the sinks and the bathtub and toilet, and change the sheets and pillowcase on his bed; but he didn’t feel like it. 	Да, он знал,  что  надо  бы  еще  и  сжечь  использованные  бумажные тарелки, другой хлам, протереть пыль, отмыть раковины и ванну,  и  туалет, сменить простыни и наволочку. Но это всегда тяготило его. 
31	For he was a man and he was alone and these things had no importance to him. 	Потому что он был мужчиной, и жил один, и все это его мало тревожило. 
32	It was almost noon. 	Близился полдень. 
33	Robert Neville was in his hothouse collecting a basketful of garlic. 	Наполняя небольшую корзинку, Роберт Нэвилль собирал в теплице чеснок. 
34	In the beginning it had made him sick to smell garlic in such quantity his stomach had been in a state of constant turmoil. 	Поначалу его воротило от чесночного запаха, да еще в таких количествах, и в животе постоянно творилась революция. 
35	Now the smell was in his house and in his clothes, and sometimes he thought it was even in his flesh. He hardly noticed it at all. 	Теперь этим  запахом  пропитался весь дом, вся одежда, а иногда казалось, что и плоть - тоже; он постепенно свыкся и перестал замечать его. 
36	When he had enough bulbs, he went back to the house and dumped them on the drainboard of the sink. 	Набрав достаточное количество головок, он  вернулся  в  дом  и  вывалил чеснок на дно раковины. 
37	As he flicked the wall switch, the light flickered, then flared into normal brilliance. 	Щелкнул выключателем на стене, и лампочка,  тускло помигав,  постепенно  дошла  до  нормального  свечения. 
38	A disgusted hiss passed his clenched teeth. 	Он   раздраженно чертыхнулся сквозь зубы. 
39	The generator was at it again. 	Опять генератор. 
40	He’d have to get out that damned manual again and check the wiring. 	Опять  надо  брать  это  чертово руководство, идти и проверять разводку. 
