	en	ru	ru_tokens	en_tokens
0	RAY BRADBURY  FAHRENHEIT 451  This one, with gratitude, is for DON CONGDON.  FAHRENHEIT 451:  The temperature at which book-paper catches fire and burns 	"Рэй Брэдбери. 451 градус по Фаренгейту --------------------------------------------------------------- Перевод Т. Шинкарь Изд: Рэй  Брэдбери ""О скитаниях вечных и о Земле"". Изд. ""Правда"", 1987. OCR: Петр Лоскутов (peter@mail.ur.ru) --------------------------------------------------------------- 451o по Фаренгейту - температура, при которой воспламеняется и горит бумага. ДОНУ КОНГДОНУ С БЛАГОДАРНОСТЬЮ Если тебе дадут линованную бумагу, пиши поперек. Хуан Рамон Хименес "	['Рэй', 'Брэдбери', '451', 'градус', 'по', 'Фаренгейту', 'Перевод', 'Т', 'Шинкарь', 'Изд', 'Рэй', 'Брэдбери', 'О', 'скитаниях', 'вечных', 'и', 'о', 'Земле', 'Изд', 'Правда', '1987', 'OCR', 'Петр', 'Лоскутов', 'peter@mail.ur.ru', '451o', 'по', 'Фаренгейту', 'температура', 'при', 'которой', 'воспламеняется', 'и', 'горит', 'бумага', 'ДОНУ', 'КОНГДОНУ', 'С', 'БЛАГОДАРНОСТЬЮ', 'Если', 'тебе', 'дадут', 'линованную', 'бумагу', 'пиши', 'поперек', 'Хуан', 'Рамон', 'Хименес']	['RAY', 'BRADBURY', 'FAHRENHEIT', '451', 'This', 'one', 'with', 'gratitude', 'is', 'for', 'DON', 'CONGDON', 'FAHRENHEIT', '451', 'The', 'temperature', 'at', 'which', 'book-paper', 'catches', 'fire', 'and', 'burns']
1	PART I  IT WAS A PLEASURE TO BURN  IT was a special pleasure to see things eaten, to see things blackened and changed. 	Часть 1. ОЧАГ И САЛАМАНДРА Жечь  было наслаждением. Какое-то особое наслаждение видеть, как  огонь пожирает  вещи, как они чернеют и  меняются. 	['Часть', '1', 'ОЧАГ', 'И', 'САЛАМАНДРА', 'Жечь', 'было', 'наслаждением', 'Какое-то', 'особое', 'наслаждение', 'видеть', 'как', 'огонь', 'пожирает', 'вещи', 'как', 'они', 'чернеют', 'и', 'меняются']	['PART', 'I', 'IT', 'WAS', 'A', 'PLEASURE', 'TO', 'BURN', 'IT', 'was', 'a', 'special', 'pleasure', 'to', 'see', 'things', 'eaten', 'to', 'see', 'things', 'blackened', 'and', 'changed']
2	With the brass nozzle in his fists, with this great python spitting its venomous  kerosene upon the world, the blood pounded in his head, and his hands were the  hands of some amazing conductor playing all the symphonies of blazing and burning  to bring down the tatters and charcoal ruins of history. 	Медный  наконечник  брандспойта зажат в кулаках, громадный питон  изрыгает на  мир  ядовитую струю керосина, кровь  стучит  в  висках,  а  руки  кажутся   руками  диковинного  дирижера, исполняющего симфонию огня  и  разрушения,  превращая  в  пепел  изорванные, обуглившиеся страницы истории. 	['Медный', 'наконечник', 'брандспойта', 'зажат', 'в', 'кулаках', 'громадный', 'питон', 'изрыгает', 'на', 'мир', 'ядовитую', 'струю', 'керосина', 'кровь', 'стучит', 'в', 'висках', 'а', 'руки', 'кажутся', 'руками', 'диковинного', 'дирижера', 'исполняющего', 'симфонию', 'огня', 'и', 'разрушения', 'превращая', 'в', 'пепел', 'изорванные', 'обуглившиеся', 'страницы', 'истории']	['With', 'the', 'brass', 'nozzle', 'in', 'his', 'fists', 'with', 'this', 'great', 'python', 'spitting', 'its', 'venomous', 'kerosene', 'upon', 'the', 'world', 'the', 'blood', 'pounded', 'in', 'his', 'head', 'and', 'his', 'hands', 'were', 'the', 'hands', 'of', 'some', 'amazing', 'conductor', 'playing', 'all', 'the', 'symphonies', 'of', 'blazing', 'and', 'burning', 'to', 'bring', 'down', 'the', 'tatters', 'and', 'charcoal', 'ruins', 'of', 'history']
3	With his symbolic helmet  numbered 451 on his stolid head, and his eyes all orange flame with the thought of  what came next, he flicked the igniter and the house jumped up in a gorging fire that  burned the evening sky red and yellow and black. 	Символический  шлем,  украшенный цифрой 451, низко  надвинут на лоб, глаза сверкают  оранжевым пламенем  при мысли о том, что должно сейчас произойти:  он  нажимает  воспламенитель  -  и огонь жадно бросается на  дом,  окрашивая вечернее небо в багрово-желто-черные тона. 	['Символический', 'шлем', 'украшенный', 'цифрой', '451', 'низко', 'надвинут', 'на', 'лоб', 'глаза', 'сверкают', 'оранжевым', 'пламенем', 'при', 'мысли', 'о', 'том', 'что', 'должно', 'сейчас', 'произойти', 'он', 'нажимает', 'воспламенитель', 'и', 'огонь', 'жадно', 'бросается', 'на', 'дом', 'окрашивая', 'вечернее', 'небо', 'в', 'багрово-желто-черные', 'тона']	['With', 'his', 'symbolic', 'helmet', 'numbered', '451', 'on', 'his', 'stolid', 'head', 'and', 'his', 'eyes', 'all', 'orange', 'flame', 'with', 'the', 'thought', 'of', 'what', 'came', 'next', 'he', 'flicked', 'the', 'igniter', 'and', 'the', 'house', 'jumped', 'up', 'in', 'a', 'gorging', 'fire', 'that', 'burned', 'the', 'evening', 'sky', 'red', 'and', 'yellow', 'and', 'black']
4	He strode in a swarm of fireflies. He wanted above all, like the old joke, to shove a marshmallow on a stick in the  furnace, while the flapping pigeon-winged books died on the porch and lawn of the  house. While the books went up in sparkling whirls and blew away on a wind turned  dark with burning. 	Он шагает в рое огненно-красных светляков,  и больше всего  ему хочется сделать сейчас то, чем он  так часто забавлялся в  детстве,- сунуть в огонь прутик с леденцом, пока книги, как  голуби, шелестя крыльями-страницами,  умирают  на крыльце и на лужайке перед домом, они взлетают в огненном вихре, и черный от копоти ветер уносит их прочь. 	['Он', 'шагает', 'в', 'рое', 'огненно-красных', 'светляков', 'и', 'больше', 'всего', 'ему', 'хочется', 'сделать', 'сейчас', 'то', 'чем', 'он', 'так', 'часто', 'забавлялся', 'в', 'детстве', 'сунуть', 'в', 'огонь', 'прутик', 'с', 'леденцом', 'пока', 'книги', 'как', 'голуби', 'шелестя', 'крыльями-страницами', 'умирают', 'на', 'крыльце', 'и', 'на', 'лужайке', 'перед', 'домом', 'они', 'взлетают', 'в', 'огненном', 'вихре', 'и', 'черный', 'от', 'копоти', 'ветер', 'уносит', 'их', 'прочь']	['He', 'strode', 'in', 'a', 'swarm', 'of', 'fireflies', 'He', 'wanted', 'above', 'all', 'like', 'the', 'old', 'joke', 'to', 'shove', 'a', 'marshmallow', 'on', 'a', 'stick', 'in', 'the', 'furnace', 'while', 'the', 'flapping', 'pigeon-winged', 'books', 'died', 'on', 'the', 'porch', 'and', 'lawn', 'of', 'the', 'house', 'While', 'the', 'books', 'went', 'up', 'in', 'sparkling', 'whirls', 'and', 'blew', 'away', 'on', 'a', 'wind', 'turned', 'dark', 'with', 'burning']
5	Montag grinned the fierce grin of all men singed and driven back by flame. 	Жесткая  улыбка  застыла  на  лице  Монтэга,  улыбка-гримаса,   которая появляется  на  губах  у  человека,  когда  его  вдруг  опалит  огнем  и  он стремительно отпрянет назад от его жаркого прикосновения. 	['Жесткая', 'улыбка', 'застыла', 'на', 'лице', 'Монтэга', 'улыбка-гримаса', 'которая', 'появляется', 'на', 'губах', 'у', 'человека', 'когда', 'его', 'вдруг', 'опалит', 'огнем', 'и', 'он', 'стремительно', 'отпрянет', 'назад', 'от', 'его', 'жаркого', 'прикосновения']	['Montag', 'grinned', 'the', 'fierce', 'grin', 'of', 'all', 'men', 'singed', 'and', 'driven', 'back', 'by', 'flame']
6	He knew that when he returned to the firehouse, he might wink at himself, a minstrel  man, burnt-corked, in the mirror. 	Он знал, что, вернувшись в пожарное депо, он, менестрель огня, взглянув в зеркало, дружески подмигнет своему  обожженному, измазанному сажей лицу. 	['Он', 'знал', 'что', 'вернувшись', 'в', 'пожарное', 'депо', 'он', 'менестрель', 'огня', 'взглянув', 'в', 'зеркало', 'дружески', 'подмигнет', 'своему', 'обожженному', 'измазанному', 'сажей', 'лицу']	['He', 'knew', 'that', 'when', 'he', 'returned', 'to', 'the', 'firehouse', 'he', 'might', 'wink', 'at', 'himself', 'a', 'minstrel', 'man', 'burnt-corked', 'in', 'the', 'mirror']
7	Later, going to sleep, he would feel the fiery smile  still gripped by his face muscles, in the dark. 	И позже  в  темноте,  уже  засыпая,  он  все  еще  будет чувствовать на  губах застывшую  судорожную улыбку. 	['И', 'позже', 'в', 'темноте', 'уже', 'засыпая', 'он', 'все', 'еще', 'будет', 'чувствовать', 'на', 'губах', 'застывшую', 'судорожную', 'улыбку']	['Later', 'going', 'to', 'sleep', 'he', 'would', 'feel', 'the', 'fiery', 'smile', 'still', 'gripped', 'by', 'his', 'face', 'muscles', 'in', 'the', 'dark']
8	It never went away, that. smile, it never  ever went away, as long as he remembered. 	Она  никогда  не покидала  его лица,  никогда, сколько он себя помнит. 	['Она', 'никогда', 'не', 'покидала', 'его', 'лица', 'никогда', 'сколько', 'он', 'себя', 'помнит']	['It', 'never', 'went', 'away', 'that', 'smile', 'it', 'never', 'ever', 'went', 'away', 'as', 'long', 'as', 'he', 'remembered']
9	He hung up his black-beetle-coloured helmet and shined it, he hung his flameproof  jacket neatly; he showered luxuriously, and then, whistling, hands in pockets, walked  across the upper floor of the fire station and fell down the hole. 	Он тщательно вытер и повесил на гвоздь черный блестящий шлем, аккуратно повесил рядом брезентовую куртку, с наслаждением вымылся  под сильной струей душа и, насвистывая,  сунув руки в карманы, пересек площадку верхнего  этажа пожарной станции и скользнул в люк. 	['Он', 'тщательно', 'вытер', 'и', 'повесил', 'на', 'гвоздь', 'черный', 'блестящий', 'шлем', 'аккуратно', 'повесил', 'рядом', 'брезентовую', 'куртку', 'с', 'наслаждением', 'вымылся', 'под', 'сильной', 'струей', 'душа', 'и', 'насвистывая', 'сунув', 'руки', 'в', 'карманы', 'пересек', 'площадку', 'верхнего', 'этажа', 'пожарной', 'станции', 'и', 'скользнул', 'в', 'люк']	['He', 'hung', 'up', 'his', 'black-beetle-coloured', 'helmet', 'and', 'shined', 'it', 'he', 'hung', 'his', 'flameproof', 'jacket', 'neatly', 'he', 'showered', 'luxuriously', 'and', 'then', 'whistling', 'hands', 'in', 'pockets', 'walked', 'across', 'the', 'upper', 'floor', 'of', 'the', 'fire', 'station', 'and', 'fell', 'down', 'the', 'hole']
