	en	ru	ru_tokens	en_tokens
0	*** START OF THIS PROJECT GUTENBERG EBOOK ALICE'S ADVENTURES IN WONDERLAND *** Produced by David Widger ALICE'S ADVENTURES IN WONDERLAND By Lewis Carroll 	Льюис Кэрролл. Алиса в стране чудес (Перевод Бориса Заходера) 	['Льюис', 'Кэрролл', 'Алиса', 'в', 'стране', 'чудес', 'Перевод', 'Бориса', 'Заходера']	"['START', 'OF', 'THIS', 'PROJECT', 'GUTENBERG', 'EBOOK', ""ALICE'S"", 'ADVENTURES', 'IN', 'WONDERLAND', 'Produced', 'by', 'David', 'Widger', ""ALICE'S"", 'ADVENTURES', 'IN', 'WONDERLAND', 'By', 'Lewis', 'Carroll']"
1	CHAPTER I. Down the Rabbit-Hole 	ГЛАВА ПЕРВАЯ, 	['ГЛАВА', 'ПЕРВАЯ']	['CHAPTER', 'I', 'Down', 'the', 'Rabbit-Hole']
2	Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversation?' 	"в которой Алиса чуть не провалилась сквозь Землю Алиса сидела со старшей сестрой на берегу и маялась: делать ей было совершенно нечего, а сидеть без дела, сами знаете, дело нелегкое; раз-другой она, правда, сунула нос в книгу, которую сестра читала, но там не оказалось ни картинок, ни стишков. ""Кому нужны книжки без картинок.- или хоть стишков, не понимаю!"" - думала Алиса. "	['в', 'которой', 'Алиса', 'чуть', 'не', 'провалилась', 'сквозь', 'Землю', 'Алиса', 'сидела', 'со', 'старшей', 'сестрой', 'на', 'берегу', 'и', 'маялась', 'делать', 'ей', 'было', 'совершенно', 'нечего', 'а', 'сидеть', 'без', 'дела', 'сами', 'знаете', 'дело', 'нелегкое', 'раз-другой', 'она', 'правда', 'сунула', 'нос', 'в', 'книгу', 'которую', 'сестра', 'читала', 'но', 'там', 'не', 'оказалось', 'ни', 'картинок', 'ни', 'стишков', 'Кому', 'нужны', 'книжки', 'без', 'картинок', 'или', 'хоть', 'стишков', 'не', 'понимаю', 'думала', 'Алиса']	"['Alice', 'was', 'beginning', 'to', 'get', 'very', 'tired', 'of', 'sitting', 'by', 'her', 'sister', 'on', 'the', 'bank', 'and', 'of', 'having', 'nothing', 'to', 'do', 'once', 'or', 'twice', 'she', 'had', 'peeped', 'into', 'the', 'book', 'her', 'sister', 'was', 'reading', 'but', 'it', 'had', 'no', 'pictures', 'or', 'conversations', 'in', 'it', ""'and"", 'what', 'is', 'the', 'use', 'of', 'a', ""book,'"", 'thought', 'Alice', ""'without"", 'pictures', 'or', ""conversation?'""]"
3	So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her. 	С горя она начала подумывать (правда, сейчас это тоже было дело не из легких - от жары ее совсем разморило), что, конечно, неплохо бы сплести венок из маргариток, но плохо то, что тогда нужно подниматься и идти собирать эти маргаритки, как вдруг... Как вдруг совсем рядом появился белый кролик с розовыми глазками! 	['С', 'горя', 'она', 'начала', 'подумывать', 'правда', 'сейчас', 'это', 'тоже', 'было', 'дело', 'не', 'из', 'легких', 'от', 'жары', 'ее', 'совсем', 'разморило', 'что', 'конечно', 'неплохо', 'бы', 'сплести', 'венок', 'из', 'маргариток', 'но', 'плохо', 'то', 'что', 'тогда', 'нужно', 'подниматься', 'и', 'идти', 'собирать', 'эти', 'маргаритки', 'как', 'вдруг', 'Как', 'вдруг', 'совсем', 'рядом', 'появился', 'белый', 'кролик', 'с', 'розовыми', 'глазками']	['So', 'she', 'was', 'considering', 'in', 'her', 'own', 'mind', 'as', 'well', 'as', 'she', 'could', 'for', 'the', 'hot', 'day', 'made', 'her', 'feel', 'very', 'sleepy', 'and', 'stupid', 'whether', 'the', 'pleasure', 'of', 'making', 'a', 'daisy-chain', 'would', 'be', 'worth', 'the', 'trouble', 'of', 'getting', 'up', 'and', 'picking', 'the', 'daisies', 'when', 'suddenly', 'a', 'White', 'Rabbit', 'with', 'pink', 'eyes', 'ran', 'close', 'by', 'her']
4	There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 	Тут, разумеется, еще не было ничего такого необыкновенного; Алиса-то не так уж удивилась, даже когда услыхала, что Кролик сказал (а сказал он: 	['Тут', 'разумеется', 'еще', 'не', 'было', 'ничего', 'такого', 'необыкновенного', 'Алиса-то', 'не', 'так', 'уж', 'удивилась', 'даже', 'когда', 'услыхала', 'что', 'Кролик', 'сказал', 'а', 'сказал', 'он']	['There', 'was', 'nothing', 'so', 'VERY', 'remarkable', 'in', 'that', 'nor', 'did', 'Alice', 'think', 'it', 'so', 'VERY', 'much', 'out', 'of', 'the', 'way', 'to', 'hear', 'the', 'Rabbit', 'say', 'to', 'itself']
5	'Oh dear! Oh dear! 	"""Ай-ай-ай! "	['Ай-ай-ай']	"[""'Oh"", 'dear', 'Oh', 'dear']"
6	I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge. 	"Я опаздываю!""). Кстати, потом, вспоминая обо всем этом, она решила, что все-таки немножко удивиться стоило, но сейчас ей казалось, что все идет как надо. Но когда Кролик достал из жилетного кармана (да-да, именно!) ЧАСЫ (настоящие!) и, едва взглянув на них, опрометью кинулся бежать, тут Алиса так и подскочила! Еще бы! Ведь это был первый Кролик в жилетке и при часах, какого она встретила за всю свою жизнь! Сгорая от любопытства, она со всех ног помчалась вдогонку за Кроликом и, честное слово, чуть-чуть его не догнала! Во всяком случае, она поспела как раз вовремя, чтобы заметить, как Белый Кролик скрылся в большой норе под колючей изгородью. "	['Я', 'опаздываю', 'Кстати', 'потом', 'вспоминая', 'обо', 'всем', 'этом', 'она', 'решила', 'что', 'все-таки', 'немножко', 'удивиться', 'стоило', 'но', 'сейчас', 'ей', 'казалось', 'что', 'все', 'идет', 'как', 'надо', 'Но', 'когда', 'Кролик', 'достал', 'из', 'жилетного', 'кармана', 'да-да', 'именно', 'ЧАСЫ', 'настоящие', 'и', 'едва', 'взглянув', 'на', 'них', 'опрометью', 'кинулся', 'бежать', 'тут', 'Алиса', 'так', 'и', 'подскочила', 'Еще', 'бы', 'Ведь', 'это', 'был', 'первый', 'Кролик', 'в', 'жилетке', 'и', 'при', 'часах', 'какого', 'она', 'встретила', 'за', 'всю', 'свою', 'жизнь', 'Сгорая', 'от', 'любопытства', 'она', 'со', 'всех', 'ног', 'помчалась', 'вдогонку', 'за', 'Кроликом', 'и', 'честное', 'слово', 'чуть-чуть', 'его', 'не', 'догнала', 'Во', 'всяком', 'случае', 'она', 'поспела', 'как', 'раз', 'вовремя', 'чтобы', 'заметить', 'как', 'Белый', 'Кролик', 'скрылся', 'в', 'большой', 'норе', 'под', 'колючей', 'изгородью']	"['I', 'shall', 'be', ""late!'"", 'when', 'she', 'thought', 'it', 'over', 'afterwards', 'it', 'occurred', 'to', 'her', 'that', 'she', 'ought', 'to', 'have', 'wondered', 'at', 'this', 'but', 'at', 'the', 'time', 'it', 'all', 'seemed', 'quite', 'natural', 'but', 'when', 'the', 'Rabbit', 'actually', 'TOOK', 'A', 'WATCH', 'OUT', 'OF', 'ITS', 'WAISTCOAT-POCKET', 'and', 'looked', 'at', 'it', 'and', 'then', 'hurried', 'on', 'Alice', 'started', 'to', 'her', 'feet', 'for', 'it', 'flashed', 'across', 'her', 'mind', 'that', 'she', 'had', 'never', 'before', 'seen', 'a', 'rabbit', 'with', 'either', 'a', 'waistcoat-pocket', 'or', 'a', 'watch', 'to', 'take', 'out', 'of', 'it', 'and', 'burning', 'with', 'curiosity', 'she', 'ran', 'across', 'the', 'field', 'after', 'it', 'and', 'fortunately', 'was', 'just', 'in', 'time', 'to', 'see', 'it', 'pop', 'down', 'a', 'large', 'rabbit-hole', 'under', 'the', 'hedge']"
7	In another moment down went Alice after it, never once considering how in the world she was to get out again. 	В ту же секунду Алиса не раздумывая ринулась за ним. А кой о чем подумать ей не мешало бы - ну хоть о том, как она выберется обратно! 	['В', 'ту', 'же', 'секунду', 'Алиса', 'не', 'раздумывая', 'ринулась', 'за', 'ним', 'А', 'кой', 'о', 'чем', 'подумать', 'ей', 'не', 'мешало', 'бы', 'ну', 'хоть', 'о', 'том', 'как', 'она', 'выберется', 'обратно']	['In', 'another', 'moment', 'down', 'went', 'Alice', 'after', 'it', 'never', 'once', 'considering', 'how', 'in', 'the', 'world', 'she', 'was', 'to', 'get', 'out', 'again']
8	The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well. 	Нора сперва шла ровно, как тоннель, а потом сразу обрывалась так круто и неожиданно, что Алиса ахнуть не успела, как полетела-полетела вниз, в какой-то очень, очень глубокий колодец. 	['Нора', 'сперва', 'шла', 'ровно', 'как', 'тоннель', 'а', 'потом', 'сразу', 'обрывалась', 'так', 'круто', 'и', 'неожиданно', 'что', 'Алиса', 'ахнуть', 'не', 'успела', 'как', 'полетела-полетела', 'вниз', 'в', 'какой-то', 'очень', 'очень', 'глубокий', 'колодец']	['The', 'rabbit-hole', 'went', 'straight', 'on', 'like', 'a', 'tunnel', 'for', 'some', 'way', 'and', 'then', 'dipped', 'suddenly', 'down', 'so', 'suddenly', 'that', 'Alice', 'had', 'not', 'a', 'moment', 'to', 'think', 'about', 'stopping', 'herself', 'before', 'she', 'found', 'herself', 'falling', 'down', 'a', 'very', 'deep', 'well']
9	Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. 	То ли колодец был действительно уж очень глубокий, то ли летела Алиса уж очень не спеша, но только вскоре выяснилось, что теперь у нее времени вволю и для того, чтобы осмотреться кругом, и для того, чтобы подумать, что ее ждет впереди. 	['То', 'ли', 'колодец', 'был', 'действительно', 'уж', 'очень', 'глубокий', 'то', 'ли', 'летела', 'Алиса', 'уж', 'очень', 'не', 'спеша', 'но', 'только', 'вскоре', 'выяснилось', 'что', 'теперь', 'у', 'нее', 'времени', 'вволю', 'и', 'для', 'того', 'чтобы', 'осмотреться', 'кругом', 'и', 'для', 'того', 'чтобы', 'подумать', 'что', 'ее', 'ждет', 'впереди']	['Either', 'the', 'well', 'was', 'very', 'deep', 'or', 'she', 'fell', 'very', 'slowly', 'for', 'she', 'had', 'plenty', 'of', 'time', 'as', 'she', 'went', 'down', 'to', 'look', 'about', 'her', 'and', 'to', 'wonder', 'what', 'was', 'going', 'to', 'happen', 'next']
